group,mod,defName,label,thingClass,cat,mv,does,mini,verdict
A. Unminifiable (the steal frontier),Anomaly,VoidNode,void node,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Anomaly,WarpedObelisk_Abductor,warped obelisk,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Anomaly,WarpedObelisk_Duplicator,corrupted obelisk,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Asimov,Asimov_HibernationSpot,hibernation spot,Building_HibernationSpot,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Biomes! Core,BMT_IceDiggingSpot,ice digging spot,Building_WorkTable,Production,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Biomes! Core,BMT_SandDiggingSpot,sand digging spot,Building_WorkTable,Production,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Biotech,AncientExostriderRemains,ancient exostrider midsection,Building_AncientMechRemains,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Biotech,BabySleepingSpot,baby sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Biotech,BandNode,band node,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Biotech,BasicRecharger,mech recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),Biotech,BurnoutMechlinkBooster,mechband antenna (tier 2),Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Biotech,LargeMechGestator,large mech gestator,Building_MechGestator,-,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Biotech,MechBooster,mech booster,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Biotech,MechGestator,mech gestator,Building_MechGestator,-,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Biotech,StandardRecharger,large mech recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),Core,AnimalSleepingSpot,animal sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Core,ButcherSpot,butcher spot,Building_WorkTable,Production,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Core,CaravanPackingSpot,caravan hitching spot,Building,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Core,CraftingSpot,crafting spot,Building_WorkTable,Production,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Core,DoubleSleepingSpot,double sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Core,MarriageSpot,marriage spot,Building_MarriageSpot,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Core,PartySpot,gathering spot,Building,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Core,ShipChunk,ship chunk,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Core,SleepingSpot,sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Core,SteamGeyser,steam geyser,Building_SteamGeyser,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Decorative Cliffs (Continued),SmoothTop_Cliff_Left,smooth cliff (top left),Building,DecorativeCliff,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Decorative Cliffs (Continued),SmoothTop_Cliff_Right,smooth cliff (top right),Building,DecorativeCliff,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Decorative Cliffs (Continued),Smooth_Cliff_Left,smooth cliff (bottom left),Building,DecorativeCliff,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Decorative Cliffs (Continued),Smooth_Cliff_Right,smooth cliff (bottom right),Building,DecorativeCliff,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Fortifications - Industrial,FT_RecoillessGun,recoilless gun,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),Fortifications - Industrial,FT_TurretEmpero,field cannon,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),Fortifications - Industrial,FT_TurretHexMortar,multi-barrel mortar launcher,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),Fortifications - Industrial,FT_TurretQuadAA,quad anti-air gun,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),GravTech,AdvShip_GravReactor,The Singularity Reactor,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),GravTech,GravForge,grav forge,Building_WorkTable,-,0,worktable,False,STEAL
A. Unminifiable (the steal frontier),Ideology,RitualSpot,ritual spot,Building,Ideology,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Melee Animation,AM_DuelSpot,duel spot,Building_DuelSpot,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Minerals Frozen,ZF_SnowDrift,Snow Drift,SnowDrift,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),More Ritual Seats,TST_RitualStandingSpot,ritual standing spot,Building,Ideology,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Odyssey,AncientSmokeVent,ancient smoke vent,Building_AncientVent,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Odyssey,AncientToxVent,ancient toxic vent,Building_AncientVent,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Odyssey,GeothermalVent,sulfur spout,Building_GeothermalVent,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Odyssey,Turret_AncientArmoredTurret,ancient defender turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),Polyamory Beds (Vanilla Edition),QuadSleepingSpot,quadra sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Polyamory Beds (Vanilla Edition),TripleSleepingSpot,triple sleeping spot,Building_Bed,Furniture,0,bed,False,STEAL
A. Unminifiable (the steal frontier),Research Reinvented: Stepping Stones,RR_ThinkingSpot,research spot,Building_ResearchBench,Production,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Rimsential - Spaceports (Continued),Spaceports_VisitorSpot,spaceport visitor spot,Building_ShuttleSpot,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Roo's Minotaur Xenotype,RBM_MilkingMachine,milking spot,Building,Production,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Royalty,MechAssembler,mech birther,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Royalty,MechCapsule,mech capsule,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Royalty,MeditationSpot,meditation spot,Building,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Signs and Comments,Comment,comment,Building_Comment,Dark_Signs,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Trade Ships Drop Spot,DropSpotTradeShip,Drop Spot,DropSpotIndicator,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Expanded Framework,VEF_OutpostDeliverySpot,outpost delivery spot,Building,Misc,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Factions Expanded - Tribals,VFET_SittingSpot,sitting spot,Building,Furniture,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Gravship Expanded - Chapter 1,VGE_GravshipBasicRecharger,compact mech recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Gravship Expanded - Chapter 1,VGE_GravshipStandardRecharger,compact large mech recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Gravship Expanded - Chapter 1,VGE_VacCheckpoint,vac checkpoint,Building_VacCheckpoint,VGE_Vacuum,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Vanilla Landmarks Expanded,VEE_DenseSnow,solid snow,DenseSnow,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),WallStuff,WallMountedMechBooster,wall mounted mech booster,WallThingBase,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),WallStuff,largewallcharger,large wall recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),WallStuff,ultrawallcharger,ultra wall recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),WallStuff,wallcharger,wall recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravEngine_Damaged,damaged grav engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravEngine_Encrypted,encrypted grav engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravhulkEngine_Damaged,damaged gravhulk engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravhulkEngine_Encrypted,encrypted gravhulk engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravjumperEngine_Damaged,damaged gravjumper engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[BTD] Gravship Blueprints,BTD_GravjumperEngine_Encrypted,encrypted gravjumper engine,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Emp_Turret,Wall Emp Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Emp_Turret_Ship,Naval Wall Emp Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_FireShotgun_Turret,Wall Shotgun Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Foam_Turret,Farmland Guardian,Building_TurretFoam,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_LightMachinegun_Turret,Wall Light Machinegun Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_MachineCannon_Turret_Ship,Naval Wall Machine Cannon Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Minigun_Turret,Wall Minigun Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Minigun_Turret_Ship,Naval Wall Minigun Turret,Building_TurretGun,-,0,turret/security,False,DENY
A. Unminifiable (the steal frontier),[HMC]Wall Furniture,HMC_Wall_Rocket_Turret,Wall Rocket Turret,Building_TurretGun,-,0,turret/security,False,DENY
B. Already-minifiable COMBAT (deny-list group),Alpha Animals,AA_BlackDefiler,black defiler,Building_TurretGun,VFEI2_Insectoids,950,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Alpha Animals,AA_FoamBelcher,foam belcher,Building_TurretFoam,VFEI2_Insectoids,150,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Alpha Biomes,AB_Turret_Propane,propane turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Alpha Memes,AM_AncientRazorwire,ancient razor wire,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Alpha Memes,AM_TrapBlunt,blunt trap,Building_TrapDamagerBlunt,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Ancient mining industry,BreadMoAM_Turret_LargeShotgun,large caliber shotgun turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Ancient mining industry,BreadMoAM_Turret_ShotgunTurret,ancient mini shotgun turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Ancient mining industry,BreadMoAM_Turret_ShotgunTurretN,mini shotgun turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Anomaly,TrapIED_Deadlife,IED deadlife trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Anomaly,Turret_TacticalTurret,tactical turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Archotech Blaster Turret,Turret_AutoChargeBlaster_OP,Archotech charge turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Big and Small - Genes & More,BMAD_GrowthTurret,growth-ray mini-turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Big and Small - Genes & More,BMAD_ShrinkTurret,shrink-ray mini-turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Biotech,TrapIED_ToxGas,IED tox trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Barricade,barricade,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Sandbags,sandbags,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_AntigrainWarhead,IED antigrain warhead trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_EMP,IED EMP trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_Firefoam,IED firefoam trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_HighExplosive,IED trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_Incendiary,IED incendiary trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapIED_Smoke,IED smoke trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,TrapSpike,spike trap,Building_TrapDamager,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_AutoChargeBlaster,auto charge turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_AutoInferno,auto inferno turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_AutoMiniTurret,mini-slugger turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_AutoMortar,auto mortar,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_Autocannon,autocannon turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_FoamTurret,foam turret,Building_TurretFoam,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_MiniTurret,mini-turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_Mortar,mortar,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_RocketswarmLauncher,rocketswarm launcher,Building_TurretRocket,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Core,Turret_Sniper,uranium slug turret,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Custom Gas Types,CGT_TrapIED_HalothaneGas,IED halothane trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Custom Gas Types,CGT_TrapIED_MustardGas,IED mustard gas trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Custom Gas Types,CGT_TrapIED_N2OGas,IED nitrous oxide trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Custom Gas Types,CGT_TrapIED_TearGas,IED tear gas trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Custom Gas Types,CGT_TrapIED_VXGas,IED VX trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dedicated Turrets,Turret_Atomiser,Atomiser Turret,Building_DedicatedTurret,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dedicated Turrets,Turret_Sludger,Sludger Turret,Building_DedicatedTurret,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dedicated Turrets,Turret_Vaporiser,Vaporiser Turret,Building_DedicatedTurret,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dedicated Turrets,Turret_Zapper,Zapper Turret,Building_DedicatedTurret,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dungeon Pack (Continued),DP_Automortar,Automortar,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Dungeon Pack (Continued),DP_MinigunTurret,Minigun Turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),E-Web Heavy Repeating Blaster,RN2SWGun_EWeb_MG,EWebMG,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_AutoCannon,autocannon,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Barrier,concrete barrier,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_BarrierDiagonal,diagonal concrete barrier,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Maxim4M,quad machine gun,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Platform,fortified platform,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Sandbag,military sandbag,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_TankTrap,tank trap,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Tetrapods,tetrapod,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Trench,fortified trench,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_TurretAA,anti-air gun,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_TurretAT,anti-tank gun,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_TurretPrince,field howitzer,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Turret_BunkerC,auto-turret bunker,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Turret_BunkerF,auto-turret military sandbag nest,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Turret_BunkerL,auto-turret sandbag nest,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Turret_BunkerM,auto-turret bunker,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_Turret_Mortar,infantry mortar,Building_TurretGun,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Industrial,FT_WallSandbag,military sandbag wall,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Neolithic,FT_CavalrySpike,cavalry spikes,Building_SpikeTrap,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Fortifications - Neolithic,FT_Ditch,ditch,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),GravTech,ShieldPylon_GT,shield pylon,Building,Security,1400,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),GravTech,TrapIED_Gravcore,IED gravcore trap,Building_TrapExplosive,Security,1000,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),GravTech,Turret_BeamRepeater,beam repeater turret,Building_TurretGun,Security,1500,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),GravTech,Turret_GravBlaster,grav blaster turret,Building_TurretGun,Security,3000,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),GravTech - Big cannons,GTbc_GravliteDefenseTurret,gravlite defense turret,Building_TurretGun,VGE_Combat,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Large Faction Bases (Continued),TrapIED_AntigrainWarhead_Large,IED antigrain warhead trap,Building_TrapExplosive,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Laser Cannon,BigLaserCannon,Laser Cannon,Building_LaserCannonTurret,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),MiningCo. DrillTurret (Continued),DrillTurret,drill turret,Building_DrillTurret,Production,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),MiningCo. Spaceship (Continued),VulcanTurret,vulcan turret,Building_TurretGun,-,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Odyssey,HunterDroneTrap,hunter trap,Building_TrapReleaseHunter,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_AnaxesTurret,anaxes-class turbolaser,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_HeavyImperialTurbolaser,heavy imperial turbolaser,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_HeavyIonCannon,heavy ion cannon,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_HeavyLaserCannon,heavy laser cannon,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_HeavyTurbolaser,heavy turbolaser,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_LightIonCannon,light ion cannon,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_LightLaserCannon_Corellia,light laser cannon (corellia),Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_LightLaserCannon_Coruscant,light laser cannon (coruscant),Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_LightLaserCannon_Tatooine,light laser cannon (tatooine),Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_MediumLaserCannon,medium laser cannon,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_PTowerTurret,p-tower turret,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_ProtonArtillery,proton artillery,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_ProtonMortar,proton mortar,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Outer Rim - Core,OuterRim_Turbolaser,turbolaser,Building_TurretGunSmart,OuterRim_ArchitectHypertech,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Shield Generators,ShieldGen_CoolingPlug,cooling plug,Building,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Shield Generators,ShieldGen_PlasmaPipe,plasma pipe,Building_Pipe,Security,0,turret/security,True,DENY
B. Already-minifiable COMBAT (deny-list group),Shield Generators,ShieldGen_PlasmaPipeUnderground,plasma pipe (underground),Building_Pipe,Security,0,turret/security,True,DENY
