pawnKindDef,raceThingDef,appears,cut,intelligence
AA_MatureFleshbeast,AA_MatureFleshbeast,biomes:Desert=0.05400000140070915;Scarlands=0.05000000074505806;AridShrubland=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;ZBiome_Badlands=0.004999999888241291;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_MeadowAve,AA_MeadowAve,biomes:AB_TarPits=0.4000000059604645;ZBiome_Badlands=0.10000000149011612;ZBiome_Grasslands=0.05999999865889549;PoisonForest=0.05000000074505806;AridShrubland=0.03999999910593033;Desert=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746,,Animal
AA_MegaLouse,AA_MegaLouse,biomes:AB_RockyCrags=0.699999988079071;BMT_CrystalCaverns=0.699999988079071;ZBiome_Grasslands=0.04500000178813934;AridShrubland=0.029999999329447746;Desert=0.029999999329447746;Wasteland=0.029999999329447746;PoisonForest=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;Volcano=0.029999999329447746;ZBiome_Badlands=0.014999999664723873;Scarlands=0.009999999776482582;LavaField=0.009999999776482582,,Animal
AA_Metallovore,AA_Metallovore,biomes:LavaField=0.5;AB_PyroclasticConflagration=0.18000000715255737,,Animal
AA_Mime,AA_Mime,biomes:AB_GelatinousSuperorganism=0.4000000059604645,,Animal
AA_Murkling,AA_Murkling,biomes:AB_RockyCrags=1;AB_MycoticJungle=0.699999988079071;AridShrubland=0.4000000059604645;ZBiome_Badlands=0.20000000298023224;ZBiome_Grasslands=0.20000000298023224;ExtremeDesert=0.10000000149011612;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612,,Animal
AA_MycoidColossus,AA_MycoidColossus,biomes:AB_MycoticJungle=0.5;Scarlands=0.02160000056028366,,Animal
AA_Needlepost,AA_Needlepost,biomes:AB_MechanoidIntrusion=0.699999988079071;ZBiome_Grasslands=0.10499999672174454;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612;AridShrubland=0.07000000029802322;ExtremeDesert=0.03999999910593033,,Animal
AA_Needleroll,AA_Needleroll,biomes:ExtremeDesert=1.5;Desert=1.2000000476837158;ZBiome_DesertOasis=1.2000000476837158;AB_MechanoidIntrusion=1,,Animal
AA_NightAve,AA_NightAve,biomes:AB_RockyCrags=0.4000000059604645;ZBiome_Grasslands=0.05999999865889549;AridShrubland=0.03999999910593033;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;ZBiome_Badlands=0.004999999888241291,,Animal
AA_NightMule,AA_NightMule,biomes:AB_RockyCrags=1;LavaField=0.18000000715255737,,Animal
AA_NightRam,AA_NightRam,biomes:AB_RockyCrags=0.18000000715255737,,Animal
AA_Nightling,AA_Nightling,biomes:AB_RockyCrags=0.4000000059604645;PoisonForest=0.10000000149011612;ZBiome_Badlands=0.05000000074505806;AB_PyroclasticConflagration=0.05000000074505806;AridShrubland=0.03999999910593033;Desert=0.029999999329447746;Wasteland=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;Volcano=0.029999999329447746;ExtremeDesert=0.019999999552965164;ZBiome_Grasslands=0.019999999552965164;AB_TarPits=0.009999999776482582,,Animal
AA_OcularJelly,AA_OcularJelly,biomes:AB_OcularForest=2;Desert=0.699999988079071;Wasteland=0.009999999776482582;PoisonForest=0.004999999888241291;Volcano=0.004999999888241291,,Animal
AA_OcularNightling,AA_OcularNightling,biomes:BMT_FungalForest=0.4000000059604645,,Animal
AA_OvergrownColossus,AA_OvergrownColossus,biomes:PoisonForest=0.05000000074505806;AB_FeraliskInfestedJungle=0.019999999552965164;AB_GelatinousSuperorganism=0.019999999552965164;AB_MiasmicMangrove=0.009999999776482582,,Animal
AA_PebbleMit,AA_PebbleMit,biomes:PoisonForest=0.699999988079071;Volcano=0.10000000149011612;Desert=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;ZBiome_Badlands=0.03500000014901161;AB_MycoticJungle=0.029999999329447746;Wasteland=0.029999999329447746;AB_FeraliskInfestedJungle=0.029999999329447746;ZBiome_Grasslands=0.02500000037252903;AB_MiasmicMangrove=0.019999999552965164;AB_PropaneLakes=0.009999999776482582;AB_MechanoidIntrusion=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;LavaField=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_PedigreedRaptor,AA_PedigreedRaptor,biomes:ZBiome_Badlands=0.699999988079071;Desert=0.014999999664723873;ZBiome_Grasslands=0.014999999664723873;ZBiome_DesertOasis=0.014999999664723873;AridShrubland=0.009999999776482582;AB_MycoticJungle=0.009999999776482582;AB_PropaneLakes=0.009999999776482582;AB_FeraliskInfestedJungle=0.009999999776482582;Scarlands=0.009999999776482582;AB_MiasmicMangrove=0.009999999776482582;LavaField=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_Plasmorph,AA_Plasmorph,biomes:ZBiome_Grasslands=0.4000000059604645;ZBiome_DesertOasis=0.4000000059604645;AB_TarPits=0.30000001192092896;AB_OcularForest=0.029999999329447746;AB_GelatinousSuperorganism=0.009999999776482582;AB_MiasmicMangrove=0.009999999776482582,,Animal
AA_Radyak,AA_Radyak,biomes:AB_TarPits=0.18000000715255737;ZBiome_Grasslands=0.001500000013038516;AridShrubland=0.0010000000474974513;LavaField=0.0010000000474974513;ZBiome_Badlands=0.0002500000118743628,,Animal
AA_RaptorShrimp,AA_RaptorShrimp,biomes:AB_MiasmicMangrove=0.5;LavaField=0.4000000059604645;AB_FeraliskInfestedJungle=0.019999999552965164;AB_GelatinousSuperorganism=0.019999999552965164,,Animal
AA_Ravager,AA_Ravager,biomes:AB_RockyCrags=0.18000000715255737;BMT_CrystalCaverns=0.18000000715255737;Scarlands=0.10000000149011612;ZBiome_Badlands=0.004999999888241291;LavaField=0.004999999888241291;AridShrubland=0.0024999999441206455;Desert=0.0024999999441206455;ZBiome_DesertOasis=0.0024999999441206455;ZBiome_Grasslands=0.0012499999720603228,,Animal
AA_RayHound,AA_RayHound,biomes:AB_PyroclasticConflagration=0.4000000059604645;AridShrubland=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;ZBiome_Badlands=0.017500000074505806;Scarlands=0.009999999776482582,,Animal
AA_Razorjack,AA_Razorjack,biomes:ZBiome_DesertOasis=0.4000000059604645;ExtremeDesert=0.07000000029802322;Desert=0.07000000029802322;AB_OcularForest=0.07000000029802322;Volcano=0.05000000074505806;AB_MycoticJungle=0.029999999329447746;AB_FeraliskInfestedJungle=0.029999999329447746;AB_PyroclasticConflagration=0.029999999329447746;Scarlands=0.02500000037252903;ZBiome_Badlands=0.012500000186264515;AridShrubland=0.009999999776482582;Wasteland=0.009999999776482582;PoisonForest=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;AB_TarPits=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_RedGoo,AA_RedGoo,biomes:AB_OcularForest=0.75;AB_PropaneLakes=0.699999988079071;BMT_CrystalCaverns=0.699999988079071,,Animal
AA_RedSpore,AA_RedSpore,biomes:AB_OcularForest=0.8500000238418579;BMT_CrystalCaverns=0.18000000715255737,,Animal
AA_RipperHound,AA_RipperHound,biomes:Volcano=0.4000000059604645;AB_FeraliskInfestedJungle=0.07000000029802322;AridShrubland=0.05000000074505806;AB_MycoticJungle=0.029999999329447746;AB_PyroclasticConflagration=0.029999999329447746;ZBiome_Badlands=0.02500000037252903;ZBiome_Grasslands=0.02500000037252903;Wasteland=0.009999999776482582;PoisonForest=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_RoughPlatedMonitor,AA_RoughPlatedMonitor,biomes:AB_OcularForest=0.20000000298023224;AB_MiasmicMangrove=0.18000000715255737;Wasteland=0.10000000149011612;PoisonForest=0.10000000149011612;Desert=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;Volcano=0.07000000029802322;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;LavaField=0.05000000074505806;AB_MycoticJungle=0.029999999329447746;ZBiome_Grasslands=0.02500000037252903,,Animal
