defName,mod,package_id,bodySize,mass,drawSize,meleeDPS_best,tools,wildness,moveSpeed,mass_per_body,dps_per_body
AA_AnimusVox,Alpha Animals,sarg.alphaanimals,0.6499999761581421,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.5,left claw:8/2|right claw:8/2|?:9/2|head:4/2,0.5,4.599999904632568,92.3,6.92
AA_ArcticLion,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.0,left claw:15/1.5|right claw:15/1.5|?:18/1.850000023841858|head:9/1.75,0.8999999761581421,6,30.0,5.0
AA_Atispec,Alpha Animals,sarg.alphaanimals,7,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),16.67,left claw:10/1.5|right claw:10/1.5|?:25/1.5|?:25/1.850000023841858,0.800000011920929,3,8.6,2.38
AA_AuroraSylph,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),0.83,?:1/1.2000000476837158,0.800000011920929,2,120.0,1.67
AA_Barbslinger,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),13.33,left pincer:20/1.5|right pincer:20/1.5|?:15/2|head:4/2,0.8999999761581421,4,24.0,5.33
AA_BedBug,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.5,mandibles:7/2|head:6/2,0.75,3,120.0,7.0
AA_Behemoth,Alpha Animals,sarg.alphaanimals,32,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),48.0,left dragonclaw:72/1.5|right dragonclaw:72/1.5|razorfangs:60/2|devour:20/2,0.9900000095367432,4,1.9,1.5
AA_BlackScarab,Alpha Animals,sarg.alphaanimals,0.30000001192092896,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.5,mandibles:7/2|head:6/2,0.949999988079071,4.5,200.0,11.67
AA_BlackSpelopede,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.5,head claw:9/2|head:8/2,0.949999988079071,4,60.0,4.5
AA_BlackSpider,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.38,head claw:14/2.5999999046325684|head:10/2,1,5,40.0,3.59
AA_Blizzarisk,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.9850000143051147,5.199999809265137,30.0,4.55
AA_BlizzariskClutchMother,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.15,left first leg:12/1.5|right first leg:12/1.5|?:25/1.649999976158142|head:10/1.649999976158142,3,3,20.0,5.05
AA_BloodShrimp,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.74,head:6/1.649999976158142|?:15/2|left blade:12/1.5499999523162842|right blade:12/1.5499999523162842,0.800000011920929,5.5,60.0,7.74
AA_Bobeene,Alpha Animals,sarg.alphaanimals,2.0999999046325684,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.0,?:8.800000190734863/2.5999999046325684|head:7/2|left hoof:8/2|right hoof:8/2,0.30000001192092896,2.700000047683716,28.6,1.9
AA_BoulderMit,Alpha Animals,sarg.alphaanimals,4,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.24,?:32/2.0999999046325684|head:12/1.649999976158142,0.699999988079071,1,15.0,3.81
AA_Bumbledrone,Alpha Animals,sarg.alphaanimals,0.7900000214576721,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.0,?:3/1.5|claws:1/1.5499999523162842|?:3/1.850000023841858,0.800000011920929,5,75.9,2.53
AA_BumbledroneHierophant,Alpha Animals,sarg.alphaanimals,0.7900000214576721,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.68,?:10/1.5|claws:15/1.5499999523162842|?:3/1.850000023841858,0.800000011920929,4,75.9,12.25
AA_BumbledroneQueen,Alpha Animals,sarg.alphaanimals,0.7900000214576721,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.67,?:4/1.5|claws:1/1.5499999523162842|?:1/1.850000023841858,0.800000011920929,4,75.9,3.38
AA_Cactipine,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.0,left claw:6/1.5|right claw:6/1.5|?:5/2,0.75,4.5,120.0,8.0
AA_ChameleonYak,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.77,head:15/2.5999999046325684|left hoof:8/2|right hoof:8/2|?:10/2,0.6000000238418579,4,24.0,2.31
AA_ChemfuelMyrmidon,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.0,head claw:11/2.5999999046325684|head:10/2,0.800000011920929,3,40.0,3.33
AA_Cinderlisk,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.9850000143051147,5,24.0,3.64
AA_ColossalAerofleet,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.7,?:20/2.5|tentacles:16/1.649999976158142,0.800000011920929,2.8399999141693115,30.0,4.85
AA_CrepuscularBeetle,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.0,head claw:18/2|head:6/2,0.75,4,20.0,3.0
AA_CrescendoAnole,Alpha Animals,sarg.alphaanimals,0.30000001192092896,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.0,left claw:8/2|right claw:8/2|?:10/2.5999999046325684|head:5/2,0.699999988079071,3,200.0,13.33
AA_CrystalMit,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.08,?:8/2.5999999046325684|head:4/1.649999976158142,0.6000000238418579,1.7999999523162842,120.0,6.15
AA_CrystallineCaracal,Alpha Animals,sarg.alphaanimals,0.800000011920929,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.0,left claw:9/1.5|right claw:9/1.5|?:10/1.850000023841858|head:5/1.75,1,5,75.0,7.5
AA_DarkVandal,Alpha Animals,sarg.alphaanimals,1.2000000476837158,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.85,tusk:9.699999809265137/2|?:8.5/2|head:5/2,0.6000000238418579,4.599999904632568,50.0,4.04
AA_Darkbeast,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),13.33,horn:20/1.5|?:18/2|head:3/1.649999976158142,0.6499999761581421,4,40.0,8.89
AA_DecayDrake,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),8.67,left claw:13/1.5|right claw:13/1.5|razorfangs:15/2|head:5/2,0.800000011920929,4,60.0,8.67
AA_DesertAve,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.45,claws:10/1.5499999523162842|?:7/1.850000023841858|head:3/1.649999976158142,0.75,7,60.0,6.45
AA_DevilSheep,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.24,left hoof:7/1.649999976158142|right hoof:7/1.649999976158142|?:5/1.850000023841858|head:3/1.649999976158142,1,3,120.0,8.48
AA_Drainer,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.83,?:7/1.2000000476837158,0.6499999761581421,3,120.0,11.67
AA_DrainerLarva,Alpha Animals,sarg.alphaanimals,0.10000000149011612,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),1.5,head:3/2,0.699999988079071,1.2000000476837158,600.0,15.0
AA_Dunealisk,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.9850000143051147,5,30.0,4.55
AA_DunealiskClutchMother,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.15,left first leg:12/1.5|right first leg:12/1.5|?:25/1.649999976158142|head:10/1.649999976158142,3,5,20.0,5.05
AA_DuskProwler,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.0,ninetails:3/0.20000000298023224|left claw:16/1.7999999523162842|right claw:16/1.7999999523162842|?:18/3.5999999046325684,0.75,6,40.0,10.0
AA_DuskRat,Alpha Animals,sarg.alphaanimals,0.15000000596046448,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.0,left claw:3.5999999046325684/1.5|right claw:3.5999999046325684/1.5|?:6/2|head:2/2,0.5,4,400.0,20.0
AA_EmpressButterfly,Alpha Animals,sarg.alphaanimals,0.75,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),0.83,?:1/1.2000000476837158,0.6499999761581421,3,80.0,1.11
AA_EmpressButterflyLarva,Alpha Animals,sarg.alphaanimals,0.10000000149011612,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),0.5,head:1/2,0.6000000238418579,1.5,600.0,5.0
AA_EngorgedTentacularAberration,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),13.51,?:25/1.850000023841858|tentacles:15/1.649999976158142,0.800000011920929,1.5,10.0,2.25
AA_Erin,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),8.5,left claw:11/1.5|right claw:11/1.5|fangs:17/2|head:5/2,0.6000000238418579,4,60.0,8.5
AA_Eyeling,Alpha Animals,sarg.alphaanimals,0.12999999523162842,20,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.0,eye:8/2,0.019999999552965164,3,153.8,30.77
AA_Feralisk,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.9850000143051147,5.5,60.0,9.09
AA_FeraliskClutchMother,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.15,left first leg:12/1.5|right first leg:12/1.5|?:25/1.649999976158142|head:10/1.649999976158142,3,5.5,20.0,5.05
AA_FireWasp,Alpha Animals,sarg.alphaanimals,0.7900000214576721,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.0,?:3/1.5|claws:1/1.5499999523162842|?:3/1.850000023841858,0.699999988079071,1.5,75.9,2.53
AA_FissionMouse,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.5,left claw:4/2|right claw:4/2|?:5/2|head:2/2,0.699999988079071,5,120.0,5.0
AA_FissionMouseSecond,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.5,left claw:3/2|right claw:3/2|?:5/2|head:2/2,0.699999988079071,4.5,120.0,5.0
AA_FissionMouseThird,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.5,left claw:2/2|right claw:2/2|?:5/2|head:2/2,0.699999988079071,4,120.0,5.0
AA_FlamingoPhoenix,Alpha Animals,sarg.alphaanimals,0.6000000238418579,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.33,claws:5/1.5|beak:3/2|head:4/2,1,3,100.0,5.56
AA_FrostAve,Alpha Animals,sarg.alphaanimals,1.2999999523162842,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.68,claws:15/1.5499999523162842|?:9/1.850000023841858|head:3/1.649999976158142,0.8600000143051147,7,46.2,7.44
AA_FrostLynx,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),8.11,left claw:12/1.5|right claw:12/1.5|?:15/1.850000023841858|head:9/1.75,1,5,30.0,4.05
AA_FrostboundBehemoth,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),13.16,body:25/1.899999976158142,0.44999998807907104,2,20.0,4.39
AA_Frostling,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.67,left claw:16/1.5|right claw:16/1.5|?:18/2|head:3/1.649999976158142,0.75,6,40.0,7.11
AA_Frostmite,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.0,head-claw:7/2|?:5/1.25|head:2/1.649999976158142,0.699999988079071,6,120.0,8.0
AA_FungalHusk,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.0,left fist:12/2|right fist:12/2|teeth:8.199999809265137/2|head:5/2,1,4.599999904632568,60.0,6.0
AA_Gallatross,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),41.18,horn:35/0.8500000238418579|horn:27/1.7000000476837158|?:12/1.649999976158142|head:9/1.649999976158142,0.9900000095367432,5.699999809265137,10.0,6.86
AA_GallatrossMoribund,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),41.18,horn:35/0.8500000238418579|horn:27/1.7000000476837158|?:12/1.649999976158142|head:9/1.649999976158142,0.9900000095367432,5.699999809265137,10.0,6.86
AA_Genix,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),8.11,left claw:12/1.5|right claw:12/1.5|?:15/1.850000023841858|head:9/1.75,1,4,30.0,4.05
AA_GiantCrownedSilkie,Alpha Animals,sarg.alphaanimals,1.100000023841858,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.74,claws:12/1.5499999523162842|?:8/1.850000023841858|head:3/1.649999976158142,0.10000000149011612,3,54.5,7.04
AA_Gigantelope,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.0,head:13/2.5999999046325684|left hoof:10/2|right hoof:10/2|?:10/2,0.6000000238418579,4.5,30.0,2.5
AA_GreatDevourer,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.69,?:20/2.5999999046325684|head:12/1.649999976158142,0.75,2.799999952316284,24.0,3.08
AA_GreenGoo,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.67,tentacles:8/1.2000000476837158,0.6000000238418579,1.5,120.0,13.33
AA_GreyCoatedMouflon,Alpha Animals,sarg.alphaanimals,0.800000011920929,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.24,left hoof:7/1.649999976158142|right hoof:7/1.649999976158142|?:3/1.850000023841858|horns:3/1.649999976158142,0.5,2,75.0,5.3
AA_Groundrunner,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.5,left claw:9/2|right claw:9/2|?:7/1.649999976158142|head:4/1.649999976158142,0.30000001192092896,3,30.0,2.25
AA_Helixien,Alpha Animals,sarg.alphaanimals,4,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.91,body:18/1.649999976158142,0.4000000059604645,0.6000000238418579,15.0,2.73
AA_InfectedAerofleet,Alpha Animals,sarg.alphaanimals,0.20000000298023224,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.8,?:7/2.5|tentacles:4/1.649999976158142,0.6000000238418579,2.8399999141693115,300.0,14.0
AA_IronhuskBeetle,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.38,?:27/2.5999999046325684|head:9/1.649999976158142,0.20000000298023224,2.799999952316284,24.0,4.15
AA_Junglelisk,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.9599999785423279,5.5,60.0,9.09
AA_LarvalAtispec,Alpha Animals,sarg.alphaanimals,0.10000000149011612,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.0,head:4/2,0.800000011920929,2,600.0,20.0
AA_Lockjaw,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.03,?:13/1.850000023841858|head:10/1.649999976158142,0.800000011920929,3,24.0,2.81
AA_Locusts,Alpha Animals,sarg.alphaanimals,0.009999999776482582,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),0.03,mandibles:1/40,1,2,6000.0,2.5
AA_LuciferBug,Alpha Animals,sarg.alphaanimals,0.15000000596046448,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.03,mandibles:3/2.5|head:5/1.649999976158142,0.15000000596046448,3,400.0,20.2
AA_MammothWorm,Alpha Animals,sarg.alphaanimals,3,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),15.79,body:30/1.899999976158142|tusks:10/1.899999976158142,0.8999999761581421,2,20.0,5.26
AA_Mantrap,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.67,razor barbs:5/1.350000023841858|?:9/1.350000023841858|head:4/2,0.800000011920929,3,30.0,3.33
AA_MatureFleshbeast,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.81,?:20/1.850000023841858|head:15/1.649999976158142,0.800000011920929,2,10.0,1.8
AA_MeadowAve,Alpha Animals,sarg.alphaanimals,1.2000000476837158,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.74,claws:12/1.5499999523162842|?:8/1.850000023841858|head:3/1.649999976158142,0.8500000238418579,7,50.0,6.45
AA_MegaLouse,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.4,tusks:16/2.5|head:5/1.649999976158142,0.8999999761581421,3,120.0,12.8
AA_Metallovore,Alpha Animals,sarg.alphaanimals,2,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,tentacle:15/1.649999976158142|body:7/1.649999976158142,0.6499999761581421,2,30.0,4.55
AA_Mime,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.0,left fist:12/2|right fist:12/2|teeth:8.199999809265137/2|head:5/2,1,4.599999904632568,60.0,6.0
AA_Murkling,Alpha Animals,sarg.alphaanimals,0.3499999940395355,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.5,left claw:4/2|right claw:4/2|plague carrier:5/2|poisonous bite:5/2|head:2/2,0.6000000238418579,5.099999904632568,171.4,7.14
AA_MycoidColossus,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.81,?:20/1.850000023841858|head:15/1.649999976158142,0.8999999761581421,2,10.0,1.8
AA_Needlepost,Alpha Animals,sarg.alphaanimals,0.7900000214576721,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.93,stings:6/1.350000023841858|?:8/1.350000023841858|head:4/2,0.6000000238418579,3,75.9,7.5
AA_Needleroll,Alpha Animals,sarg.alphaanimals,0.15000000596046448,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),4.44,stings:3/1.350000023841858|?:6/1.350000023841858|head:4/2,0.6000000238418579,2.5,400.0,29.63
AA_NightAve,Alpha Animals,sarg.alphaanimals,1.100000023841858,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.74,claws:12/1.5499999523162842|?:8/1.850000023841858|head:3/1.649999976158142,0.8799999952316284,7,54.5,7.04
AA_NightMule,Alpha Animals,sarg.alphaanimals,2.799999952316284,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.5,horns:15/2|head:9/2.5999999046325684|left hoof:10/2|right hoof:10/2|?:10/2,0.6499999761581421,4.5,21.4,2.68
AA_NightRam,Alpha Animals,sarg.alphaanimals,2.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.5,horn:15/2|left hoof:15/2|right hoof:15/2|?:10/2|head:13/2.5999999046325684,0.75,4,24.0,3.0
AA_Nightling,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),7.33,left claw:11/1.5|right claw:11/1.5|?:13/2|head:3/1.649999976158142,0.8999999761581421,5,60.0,7.33
AA_OcularJelly,Alpha Animals,sarg.alphaanimals,0.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.36,?:7/1.100000023841858|tentacles:4/1.2000000476837158,0.800000011920929,2,120.0,12.73
