file,name,width,height,cells,game_version,version_major,size_bucket,distinct_hash_count,region_count,region_size_mean,region_size_p50,region_size_p90,region_size_max_frac,perim_area_mean_overall,top5_sizes,top5_perimeters,top5_perim_area_ratios,openness_topk_k,openness_frac,openness_window_mean,openness_window_std,adjacency_distinct_pairs,adjacency_entropy_bits,chokepoint_erosion_radius,chokepoint_width_est,chokepoint_split_count
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_32_Ruined_Dam/RuinedDam.rws,World_32_Ruined_Dam,300,300,90000,1.4.3704 rev896,1.4,300,21,702,128.205,2.0,60.9,0.13328,2.77112,11995;9466;7442;6717;6623,1818;1016;1786;950;1618,0.15156;0.10733;0.23999;0.14143;0.24430,3,0.57452,0.57452,0.37971,68,4.38249,1,1,47
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_33/DecayedMines.rws,World_33,250,250,62500,1.4.3704 rev896,1.4,250,14,496,126.008,3.0,48.5,0.63464,2.61919,39665;5200;3963;3799;1037,5258;2042;680;768;244,0.13256;0.39269;0.17159;0.20216;0.23529,3,0.9232,0.9232,0.1454,28,2.92097,1,1,13
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_34/ElizesDepression.rws,World_34,250,250,62500,1.4.3901 rev238,1.4,250,19,1429,43.737,2.0,49.0,0.12803,2.80501,8002;6438;3819;2494;2204,1514;3162;678;450;528,0.18920;0.49115;0.17753;0.18043;0.23956,3,0.51683,0.51683,0.22154,73,4.73449,1,1,38
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_35/Cythlio'sReMemory.rws,World_35,275,275,75625,1.4.3901 rev238,1.4,275,21,940,80.452,2.0,87.1,0.23154,2.85266,17510;13924;5735;2622;1983,1694;3624;2080;468;384,0.09674;0.26027;0.36269;0.17849;0.19365,3,0.57782,0.57782,0.32388,76,4.66238,1,1,21
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_36/JungleFlow.rws,World_36,250,250,62500,1.4.3901 rev238,1.4,250,16,1226,50.979,2.0,58.0,0.1387,2.7602,8669;5415;3838;2601;2586,876;4642;936;1090;1194,0.10105;0.85725;0.24388;0.41907;0.46172,3,0.59322,0.59322,0.25598,57,4.2956,1,1,26
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_37/LeviathansRest.rws,World_37,500,500,250000,1.4.3901 rev238,1.4,400+,28,3374,74.096,2.0,35.7,0.18748,2.93871,46869;22886;12044;11570;10487,9840;3050;1170;1786;1474,0.20995;0.13327;0.09714;0.15436;0.14055,3,0.70174,0.70174,0.29722,128,4.88189,1,1,50
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_38_Point_Sea/PointSea.rws,World_38_Point_Sea,275,275,75625,1.4.3901 rev238,1.4,275,13,1043,72.507,2.0,64.8,0.18748,2.77261,14178;9453;7994;6777;5938,7566;952;1020;1168;1120,0.53364;0.10071;0.12760;0.17235;0.18862,3,0.52325,0.52325,0.31184,48,4.27548,1,1,335
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_39/WinteryMistakes.rws,World_39,250,250,62500,1.4.3901 rev238,1.4,250,14,1239,50.444,2.0,31.0,0.54589,2.96229,34118;4994;4810;1778;669,4574;2658;2806;1352;446,0.13406;0.53224;0.58337;0.76040;0.66667,3,0.76653,0.76653,0.25244,40,4.0002,1,1,56
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_40/aRiveriousTale.rws,World_40,250,250,62500,1.4.3901 rev238,1.4,250,14,1875,33.333,2.0,34.0,0.1491,3.00908,9319;8336;7181;952;934,1652;1806;826;474;516,0.17727;0.21665;0.11503;0.49790;0.55246,3,0.70526,0.70526,0.23043,52,4.00087,1,1,66
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_41/aGiantsRest.rws,World_41,250,250,62500,1.4.3901 rev238,1.4,250,14,2103,29.719,2.0,52.0,0.27654,2.95825,17284;2262;736;683;633,7112;556;886;406;274,0.41148;0.24580;1.20380;0.59444;0.43286,3,0.70474,0.70474,0.16394,40,3.58018,1,1,155
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_42_Lake_Lands/LakeLands-Release.rws,World_42_Lake_Lands,300,300,90000,1.4.3901 rev238,1.4,300,14,2351,38.282,2.0,65.0,0.11198,2.80351,10078;9808;1515;1491;1443,2544;2664;570;760;320,0.25243;0.27162;0.37624;0.50973;0.22176,3,0.62013,0.62013,0.23102,51,4.03117,1,1,64
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_43_SacraficialAltar/SacrificialAltar.rws,World_43_SacraficialAltar,275,275,75625,1.5.4104 rev435,1.5,275,24,2303,32.838,2.0,41.0,0.1006,2.87755,7608;4055;3664;3256;3139,2122;966;978;770;672,0.27892;0.23822;0.26692;0.23649;0.21408,3,0.52163,0.52163,0.30821,96,4.93202,1,1,37
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_44_Cathedral/CathedralRelease.rws,World_44_Cathedral,275,275,75625,1.5.4104 rev435,1.5,275,23,1696,44.59,2.0,44.0,0.17806,2.87524,13466;10824;5459;4321;2969,2946;2018;1368;678;708,0.21877;0.18644;0.25060;0.15691;0.23846,3,0.67435,0.67435,0.21564,97,4.75951,1,1,193
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_45_In_Memory_of_Rain/InMemoryOfRain.rws,World_45_In_Memory_of_Rain,325,325,105625,1.5.4104 rev435,1.5,325+,20,1585,66.64,3.0,49.0,0.17645,2.72504,18638;14548;13442;11952;9205,4176;3532;1132;2906;2292,0.22406;0.24278;0.08421;0.24314;0.24900,3,0.64366,0.64366,0.31559,68,4.46092,1,1,283
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_46/CervantesCliffs.rws,World_46,300,300,90000,1.5.4104 rev435,1.5,300,19,2320,38.793,2.0,37.1,0.18328,2.87968,16495;12747;3870;2125;2118,2916;922;800;558;1468,0.17678;0.07233;0.20672;0.26259;0.69311,3,0.71562,0.71562,0.27759,65,4.05599,1,1,36
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_47/Mals Hollow.rws,World_47,250,250,62500,1.5.4243 rev947,1.5,250,21,1439,43.433,2.0,61.0,0.12245,2.73404,7653;5961;2648;2238;1969,2036;2138;928;1648;336,0.26604;0.35866;0.35045;0.73637;0.17064,3,0.6036,0.6036,0.27442,85,4.59077,1,1,15
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_48/JungleWound.rws,World_48,250,250,62500,1.5.4243 rev947,1.5,250,17,824,75.85,2.0,36.0,0.36379,2.83822,22737;10700;8389;4993;3247,3934;2128;2394;858;396,0.17302;0.19888;0.28537;0.17184;0.12196,3,0.90352,0.90352,0.13596,58,3.84341,1,1,64
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_49_The_Estuary/TheEstuary.rws,World_49_The_Estuary,350,350,122500,1.5.4297 rev1079,1.5,325+,27,2269,53.989,2.0,55.0,0.08621,2.72646,10561;8798;7488;6197;5742,1184;3186;890;1132;1066,0.11211;0.36213;0.11886;0.18267;0.18565,3,0.54368,0.54368,0.2706,135,5.09712,1,1,96
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_50_Lush_River/LushRiverRelease.rws,World_50_Lush_River,250,250,62500,1.5.4297 rev1079,1.5,250,19,1119,55.853,3.0,44.0,0.15013,2.71783,9383;8539;4560;4381;3309,2088;1846;1032;986;974,0.22253;0.21618;0.22632;0.22506;0.29435,3,0.72504,0.72504,0.27916,64,4.30853,1,1,3
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_51/Darkrest/Vanilla Saves/Darkrest - Anomaly.rws,Vanilla Saves,275,275,75625,1.5.4297 rev1079,1.5,275,17,1132,66.807,2.0,56.8,0.42471,2.84831,32119;6859;4057;3542;1718,2660;1114;1360;2410;352,0.08282;0.16241;0.33522;0.68041;0.20489,3,0.7131,0.7131,0.27533,57,4.4349,1,1,84
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_51/Darkrest/Vanilla Saves/Darkrest - Basic.rws,Vanilla Saves,275,275,75625,1.5.4297 rev1079,1.5,275,15,1121,67.462,2.0,57.0,0.42471,2.84854,32119;6859;4057;3542;1718,2660;1114;1360;2410;352,0.08282;0.16241;0.33522;0.68041;0.20489,3,0.71382,0.71382,0.27437,49,4.40074,1,1,84
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_51/Darkrest/Vanilla Saves/Darkrest - Biotech.rws,Vanilla Saves,275,275,75625,1.5.4297 rev1079,1.5,275,15,1121,67.462,2.0,57.0,0.42471,2.84854,32119;6859;4057;3542;1718,2660;1114;1360;2410;352,0.08282;0.16241;0.33522;0.68041;0.20489,3,0.71382,0.71382,0.27437,49,4.40074,1,1,84
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_52/IslandInferno/Rimworld Save File/IslandInferno - Anomaly.rws,Rimworld Save File,300,300,90000,1.5.4409 rev1120,1.5,300,19,1901,47.344,2.0,44.0,0.18031,2.86835,16228;4250;3651;3541;3535,4756;710;2006;1416;598,0.29307;0.16706;0.54944;0.39989;0.16917,3,0.57582,0.57582,0.30752,79,4.8535,1,1,24
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_52/IslandInferno/Rimworld Save File/IslandInferno - Basic.rws,Rimworld Save File,300,300,90000,1.5.4409 rev1120,1.5,300,19,1827,49.261,2.0,45.0,0.18031,2.84781,16228;4250;3651;3541;3535,4756;710;2006;1416;598,0.29307;0.16706;0.54944;0.39989;0.16917,3,0.57587,0.57587,0.30744,78,4.81033,1,1,24
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_53_The_Tar_Pits/TheTarPits/Vanilla Save Files/TheTarPits.rws,Vanilla Save Files,275,275,75625,1.5.4409 rev1120,1.5,275,18,2597,29.12,2.0,40.0,0.16788,2.86918,12696;4816;2879;2328;2151,4420;1476;528;788;726,0.34814;0.30648;0.18340;0.33849;0.33752,3,0.52967,0.52967,0.2797,71,4.70851,1,1,48
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_54/CharlottesRimWorld/Rimworld Save File/CharlottesRimWorld.rws,Rimworld Save File,275,275,75625,1.5.4409 rev1120,1.5,275,22,2995,25.25,2.0,30.0,0.07976,2.8649,6032;5787;5372;3646;3424,1242;648;506;550;450,0.20590;0.11198;0.09419;0.15085;0.13143,3,0.53493,0.53493,0.29325,86,4.99713,1,1,17
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_55/[W55] Lighthouse Blues/Vanilla Save Files/LighthouseBlues.rws,Vanilla Save Files,200,200,40000,1.5.4409 rev1120,1.5,250,18,1215,32.922,2.0,42.0,0.11632,2.8618,4653;4053;2958;2793;1535,778;774;470;698;520,0.16720;0.19097;0.15889;0.24991;0.33876,3,0.5586,0.5586,0.25979,59,4.22865,1,1,31
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_56/[W56] Kains Swamp/Vanilla Save Files/Kains Swamp.rws,Vanilla Save Files,250,250,62500,1.6.4543 rev1058,1.6,250,17,1830,34.153,3.0,75.1,0.04416,2.67762,2760;2540;1462;1286;1071,1274;708;1010;266;312,0.46159;0.27874;0.69083;0.20684;0.29132,3,0.60848,0.60848,0.20937,72,4.62436,1,1,51
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_57_Ides_Veil/[W57] Ides Veil/Vanilla Save Files/IdesVeil - Release.rws,Vanilla Save Files,250,250,62500,1.6.4633 rev1261,1.6,250,18,1209,51.696,2.0,52.2,0.18995,2.8054,11872;6065;5541;3938;2624,1244;1284;1320;1010;1516,0.10478;0.21171;0.23822;0.25648;0.57774,3,0.66192,0.66192,0.27722,72,4.39991,1,1,69
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_58_the_Dead_City/[W58] Dead City - Fox/DeadCity.rws,[W58] Dead City - Fox,500,500,250000,1.6.4633 rev1261,1.6,400+,44,9343,26.758,2.0,35.0,0.0434,2.81267,10850;10791;10473;8176;5047,5658;2894;2556;1630;1766,0.52147;0.26819;0.24406;0.19936;0.34991,3,0.44261,0.44261,0.30389,346,5.82672,1,1,219
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_59_Secluded_Cove/[W59] Secluded Cove - K/SecludedCove - K.rws,[W59] Secluded Cove - K,400,400,160000,1.6.4633 rev1261,1.6,400+,27,2495,64.128,2.0,44.0,0.13551,2.84504,21682;13930;13239;10720;7526,6608;1472;1718;1220;770,0.30477;0.10567;0.12977;0.11381;0.10231,3,0.5049,0.5049,0.29199,110,4.72445,1,1,319
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_60_Satsuki/[W60] Satsuki - T/Satsuki - Isthmus.rws,[W60] Satsuki - T,250,250,62500,1.6.4633 rev1261,1.6,250,28,2128,29.37,2.0,36.0,0.11118,2.7838,6949;3333;2443;2415;2148,2236;652;1364;950;854,0.32177;0.19562;0.55833;0.39337;0.39758,3,0.50432,0.50432,0.29243,116,4.76146,1,1,67
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_60_Satsuki/[W60] Satsuki - T/Satsuki - Peninsual.rws,[W60] Satsuki - T,250,250,62500,1.6.4633 rev1261,1.6,250,28,2151,29.056,2.0,36.0,0.11118,2.79459,6949;4433;2443;2415;1828,2236;1130;1364;950;1310,0.32177;0.25491;0.55833;0.39337;0.71663,3,0.49787,0.49787,0.29629,116,4.7932,1,1,67
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_61_Dragons_Fall/[W61] DragonsFall - F2/DragonsFall - F2.rws,[W61] DragonsFall - F2,400,400,160000,1.6.4633 rev1261,1.6,400+,31,3253,49.185,2.0,29.0,0.36541,2.87412,58466;43480;6171;4903;1111,10500;6016;3400;1882;564,0.17959;0.13836;0.55096;0.38385;0.50765,3,0.81007,0.81008,0.20186,127,4.53114,1,1,73
