tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution
45,23.9263,35.7478,ZBiome_Grasslands,571,16,1746,Flat,0.3176,0
46,22.6661,50.4839,Ocean,-248,18.5,2542,Flat,0.5294,0
47,32.277,61.3351,Ocean,-363,16.4,1492,Flat,0.0314,0
48,-11.6416,14.0736,Ocean,-145,28.9,2135,Flat,0.1216,0
49,0,7.0191,Ocean,-109,31.2,1806,Flat,0.4078,0
50,11.6416,14.0736,BiomeAreeb,22,29,3446,Flat,0.3529,0
51,11.9957,27.9517,AB_OcularForest,787,22.2,2570,Flat,0,0
52,0,34.3793,Ocean,-186,30.6,1745,Flat,0.3137,0
53,59.6661,-78.4541,Ocean,-440,-10.4,791,Flat,0.1569,0
54,59.6661,78.4541,Ocean,-368,-8.8,180,Flat,0,0
55,29.6574,-6.6799,BiomeToxlands,561,15.4,1239,Flat,0.1647,1
56,25.6161,0,BiomeGrindland,1074,14.3,1899,Flat,0,0
57,29.6574,6.6799,Wasteland,1223,11.5,2201,Impassable,0,0.05
58,36.5766,-4.4618,ZBiome_Grasslands,329,13.9,1011,Mountainous,0,0
59,36.5766,4.4618,BiomeGRuquoise,683,12,744,Flat,0.0275,0
60,67.6429,-21.2477,Ocean,-155,-11.5,162,Flat,0,0
61,61.9896,-8.5647,Ocean,-284,-7.3,143,Flat,0,0
62,75.479,-15.7148,IceSheet,65,-22.1,98,SmallHills,0,0
63,75.479,15.7148,Ocean,-10,-20.4,100,Flat,0,0
64,61.9896,8.5647,Ocean,-102,-7.9,152,Flat,0,0
65,67.6429,21.2477,BiomeArcticOasis,10,-13.6,83,Flat,0,0
66,37.8463,-54.3312,Ocean,-235,8.1,1529,Flat,0.3333,0
67,30.2431,-52.295,Ocean,-14,15.6,1552,Flat,0.7216,0
68,43.1165,-46.37,Wasteland,51,7.4,328,Mountainous,0,0.05
69,39.905,-36.887,BiomeGRimworld,214,11.1,70,Flat,0,0
70,27.4159,-43.7233,BiomeGrindland,1014,13,1889,Flat,0,0
71,31.8942,-36.3871,ZBiome_Grasslands,197,17.1,951,Impassable,0,0
72,-3.8938,-13.9991,Ocean,-75,28.2,2001,Flat,0.3569,0
73,3.8938,-13.9991,AB_GallatrossGraveyard,186,29.2,1645,Flat,0.3176,0
74,4.0105,-27.7443,Ocean,-432,28.2,1303,Flat,0.3176,0
75,7.9232,-20.973,AridShrubland,121,29.3,676,Flat,0,0
76,-4.0105,-27.7443,Ocean,-494,28.3,717,Flat,0,0
77,-7.9232,-20.973,Ocean,-496,27.1,1159,Flat,0.5569,0
78,39.905,36.887,Wasteland,159,8.6,1061,Flat,0.1725,0.05
79,43.1165,46.37,Ocean,-12,9.2,640,Flat,0,0
80,31.8942,36.3871,ZBiome_Grasslands,424,11.8,1267,Flat,0.4157,0
81,27.4159,43.7233,BiomeToxlands,25,17.2,1497,LargeHills,0,1
82,30.2431,52.295,Ocean,-324,16.9,1834,Flat,0.0314,0
83,37.8463,54.3312,Ocean,-395,13.3,885,Flat,0.0078,0
84,-4.0105,27.7443,Ocean,-11,32.7,2538,Flat,0.0314,0
85,-7.9232,20.973,AB_GelatinousSuperorganism,20,31.4,2578,Flat,0.3843,0
86,-3.8938,13.9991,AB_OcularForest,154,32.5,2416,Flat,0.5686,0
87,3.8938,13.9991,Ocean,-151,31.8,2851,Flat,0.0941,0
88,7.9232,20.973,BiomeAreeb,461,29.2,3841,Flat,0.3255,0
89,4.0105,27.7443,BiomeAreeb,419,29,3306,Flat,0.6157,0
90,73.3977,-65.4155,Ocean,-154,-22.1,149,Flat,0,0
91,79.6842,-47.3804,SeaIce,-248,-26.6,78,Flat,0,0
92,59.9232,-64.6016,Ocean,-73,-11.7,731,Flat,0.0078,0
93,52.7633,-59.6557,Ocean,-218,-3.6,1097,Flat,0.0078,0
94,66.2071,-54.8547,BiomeArcticOasis,86,-14.8,397,Mountainous,0,0
95,63.8021,-38.0038,Ocean,-118,-11.8,128,Flat,0,0
96,50.899,-47.9045,BiomeGRimonade,329,-0.5,485,Mountainous,0,0
97,55.804,-37.2722,Glowforest,32,-4,139,Flat,0,0
98,46.5588,-67.5669,Ocean,-461,1.9,635,Flat,0,0
99,39.4924,-64.1704,Ocean,-479,6.5,1088,Flat,0.2627,0
100,79.6842,47.3804,SeaIce,-184,-25.4,69,Flat,0,0
101,73.3976,65.4155,Ocean,-91,-20,132,Flat,0,0
102,66.2071,54.8547,Ocean,-57,-11,204,Flat,0,0
103,59.9232,64.6016,Ocean,-1,-9.2,132,Flat,0,0
104,63.8021,38.0038,Ocean,-71,-8.4,88,Flat,0,0
105,55.804,37.2722,Glowforest,288,-1.3,117,Flat,0,0
106,50.899,47.9045,Wasteland,88,4.5,256,Flat,0,0.05
107,52.7633,59.6557,BiomeGRimworld,219,0.7,94,Flat,0,0
108,46.5588,67.5669,Ocean,-276,6.7,306,Flat,0,0
109,39.4924,64.1704,Ocean,-424,12.5,515,Flat,0,0
110,-15.059,7.0707,Ocean,-268,25.1,883,Flat,0.2784,0
111,-15.059,-7.0707,Ocean,-307,24.7,1319,Flat,0.1922,0
112,-7.5711,-7.0252,Ocean,-141,27.8,1670,Flat,0.0157,0
113,-7.5711,7.0252,Ocean,-32,29,997,Flat,0.2392,0
114,-3.6667,0,Ocean,-106,29.4,2197,Flat,0.0824,0
115,41.8871,-10.2793,Ocean,-45,10.2,638,Flat,0,0
116,48.9762,-6.1276,Ocean,-133,5,569,Flat,0,0
117,51.9613,-26.6524,Glowforest,11,-0.4,130,Flat,0,0
118,54.671,-14.0168,Ocean,-116,-1.7,213,Flat,0,0
119,43.9958,-27.8646,BiomeGRimworld,107,7.5,111,Impassable,0,0
120,39.4623,-19.869,Ocean,-50,12.3,262,Flat,0,0
121,31.4804,-21.0053,BiomeGrindland,837,10.9,729,Flat,0,0
122,26.918,-13.9496,Glowforest,570,15.5,1373,SmallHills,0.6275,0
123,27.9035,-28.5819,BiomeGRuquoise,128,19.3,1029,Flat,0.2235,0
124,19.8988,-28.4007,AB_GallatrossGraveyard,15,22.1,880,Flat,0.7725,0
125,15.7723,-21.1906,BiomeToxlands,365,24.5,974,Flat,0.0118,1
126,19.2612,-14.241,ZBiome_Grasslands,595,20.8,1396,Flat,0.0039,0
127,15.059,-7.0707,Volcano,527,24.7,2047,Mountainous,0,0
128,18.655,0,AB_GallatrossGraveyard,336,24.4,2131,Flat,0.0314,0
129,3.6667,0,Ocean,-50,30.8,2021,Flat,0.4314,0
130,7.5711,-7.0252,PoisonForest,131,29.9,2277,Flat,0.102,0
131,7.5711,7.0252,Ocean,-90,31.3,2112,Flat,0.5098,0
132,15.059,7.0707,BiomeGRuquoise,78,27.4,2477,Flat,0.1176,0
133,41.8871,10.2793,ZBiome_Grasslands,93,11.1,873,Flat,0.5098,0
134,39.4623,19.869,Wasteland,724,6.4,1084,Flat,0.0392,0.05
135,48.9762,6.1276,Wasteland,58,4.8,562,LargeHills,0,0.05
136,54.671,14.0169,Ocean,-9,-0.5,201,Flat,0,0
137,51.9613,26.6524,Ocean,-41,1.9,485,Flat,0,0
138,43.9958,27.8646,Wasteland,344,6,1055,LargeHills,0,0.05
139,19.2612,14.241,BiomeAreeb,409,23.8,4065,SmallHills,0.1843,0
140,26.918,13.9496,AB_MycoticJungle,190,22.4,2334,Flat,0.5176,0
141,31.4804,21.0053,ZBiome_Grasslands,340,15.9,1703,Flat,0.1294,0
142,27.9035,28.5819,BiomeGRimberlands,1052,10,1161,Flat,0,0
143,15.7723,21.1906,AB_MycoticJungle,1076,18.2,2839,Flat,0,0
144,19.8988,28.4007,Wasteland,1902,7.9,1093,Flat,0,0.05
145,7.6341,47.6516,Ocean,-331,26.3,1049,Flat,0.4157,0
146,15.2121,48.8029,Ocean,-21,22.4,1418,Flat,0.1569,0
147,16.0459,34.9626,ZBiome_Grasslands,616,18,1685,Flat,0.1412,0
148,19.6473,42.477,Volcano,499,16.6,1890,Mountainous,0,0
149,8.0513,34.5158,AB_PyroclasticConflagration,475,25.7,1534,Flat,0.0392,0
150,4.0176,40.8611,Ocean,-239,26.1,1638,Flat,0.149,0
151,17.7999,56.7383,Ocean,-430,22.4,1812,Flat,0.3647,0
152,25.0109,58.9081,Ocean,-445,20.3,1687,Flat,0.3765,0
153,17.7999,-56.7383,Ocean,-346,24.4,2364,Flat,0.051,0
154,25.0109,-58.9081,Ocean,-254,19.1,1851,Flat,0.6745,0
155,7.6341,-47.6516,Ocean,-416,29.4,2055,Flat,0.0118,0
156,4.0176,-40.8611,Ocean,-447,28.6,1460,Flat,0.4588,0
157,15.2121,-48.8029,Ocean,-224,26.2,2450,Flat,0.0275,0
158,19.6473,-42.477,AB_OcularForest,265,23.8,2834,Flat,0.3294,0
159,16.0459,-34.9626,Ocean,-83,26.5,1808,Flat,0.4392,0
160,8.0513,-34.5158,Ocean,-423,28.7,1181,Flat,0.2431,0
161,29.037,-2.2109,BiomeGrindland,893,14.3,1805,Flat,0,0
162,29.037,2.2109,AB_GallatrossGraveyard,1262,10.7,2118,Flat,0,0
163,32.68,3.7175,Wasteland,1237,9.4,1378,Mountainous,0,0.05
164,32.68,-3.7175,ZBiome_Grasslands,526,14.5,1265,Flat,0.1725,0
165,35.0069,0,BiomeGrindland,656,12.4,1095,Mountainous,0,0
166,66.4689,-10.0224,Ocean,-115,-11.6,153,Flat,0,0
167,64.5374,0,Ocean,-82,-9.6,158,Flat,0,0
168,70.9774,-12.1871,Ocean,-351,-16.5,137,Flat,0,0
169,73.6957,0,IceSheet,58,-19.4,108,Flat,0,0
170,66.4689,10.0224,BiomeArcticOasis,123,-12.1,131,LargeHills,0,0
171,70.9774,12.1871,Ocean,-181,-17.3,124,Flat,0,0
172,34.5163,-50.5364,AB_GallatrossGraveyard,81,12.7,1814,Flat,0.2627,0
173,31.0294,-47.011,BiomeGRuquoise,732,12.2,1718,Flat,0.0275,0
174,38.815,-48.58,BiomeMist,6,10.4,795,Flat,0.1451,0
175,39.5031,-42.7447,Wasteland,255,10.5,320,Flat,0,0.05
176,31.5807,-41.6939,ZBiome_Grasslands,206,17.1,1363,Impassable,0,0
177,35.7524,-39.4334,ZBiome_Grasslands,122,14.2,719,Mountainous,0,0
178,0,-16.3034,Ocean,-86,28.3,1305,Flat,0.2627,0
179,3.9454,-18.6231,AB_GelatinousSuperorganism,21,28.6,660,Mountainous,0,0
180,0,-25.4621,Ocean,-472,28.2,989,Flat,0.298,0
181,3.9841,-23.2097,Ocean,-350,28.5,594,Flat,0,0
182,-3.9841,-23.2097,Ocean,-424,26.8,1044,Flat,0.2235,0
183,-3.9454,-18.6231,Ocean,-275,27.1,1584,Flat,0.5569,0
184,35.7524,39.4334,BiomeGRimberlands,118,11.8,1384,Mountainous,0,0
185,39.5031,42.7447,Ocean,-28,10,1196,Flat,0.3098,0
186,31.5807,41.6939,BiomeMist,92,15,1638,Mountainous,0,0
187,31.0294,47.011,Ocean,-140,15.2,1943,Flat,0.098,0
188,34.5163,50.5364,Ocean,-372,14,1499,Flat,0.0588,0
189,38.8149,48.58,Ocean,-375,11.7,974,Flat,0.0235,0
190,0,25.4621,AB_OcularForest,1264,23.5,2489,Impassable,0,0
191,-3.9841,23.2097,BiomeAreeb,379,30.5,3098,Flat,0.1098,0
192,-3.9454,18.6231,BiomeAreeb,499,30,3208,LargeHills,0,0
193,0,16.3034,PoisonForest,34,32.9,2614,Flat,0.4431,0
194,3.9454,18.6231,Volcano,173,32,2787,Impassable,0,0
195,3.9841,23.2097,AB_OcularForest,740,27.5,3042,SmallHills,0.0627,0
196,74.9071,-81.2199,Ocean,-341,-22.8,112,Flat,0,0
197,77.8569,-67.5621,Ocean,-246,-24.8,95,Flat,0,0
198,82.2316,-72.546,Ocean,-314,-29.5,77,Flat,0,0
199,57.2198,-58.0054,Ocean,-121,-8.9,778,Flat,0.0314,0
200,54.1792,-52.492,BiomeMist,158,-4.4,626,SmallHills,0,0
201,61.7024,-56.4049,Ocean,-37,-12.7,595,Flat,0,0
202,63.0158,-47.4684,BiomeArcticOasis,18,-12.4,363,Flat,0,0
203,55.2014,-44.9851,IceSheet,1452,-15.2,164,Mountainous,0,0
204,59.5076,-41.7451,Glowforest,65,-8.6,146,Flat,0,0
205,42.1367,-68.6601,Ocean,-472,4.9,885,Flat,0.2196,0
206,82.2316,72.546,Ocean,-333,-28.9,68,Flat,0,0
207,77.8569,67.5621,SeaIce,-250,-23.6,86,Flat,0,0
208,74.9071,81.2199,SeaIce,-291,-22.6,103,Flat,0,0
209,63.0158,47.4684,Ocean,-83,-7.3,102,Flat,0,0
210,61.7024,56.4049,Glowforest,67,-8.5,100,LargeHills,0,0
211,59.5076,41.7451,Glowforest,101,-3.9,78,LargeHills,0,0
212,55.2014,44.9851,Glowforest,500,-2.1,59,Flat,0,0
213,54.1792,52.492,Glowforest,530,-2,88,SmallHills,0,0
214,57.2198,58.0054,Glowforest,221,-4,74,Flat,0,0
215,42.1367,68.6601,Ocean,-330,11.2,321,Flat,0,0
216,-11.2103,4.6945,Ocean,-179,27.2,947,Flat,0.0588,0
217,-14.9109,2.3571,Ocean,-242,25.2,1285,Flat,0.102,0
218,-14.9109,-2.3571,Ocean,-312,24.2,1227,Flat,0.0471,0
219,-11.2103,-4.6945,Ocean,-223,26.7,1258,Flat,0.0392,0
220,-7.407,2.3426,Ocean,-126,28.2,1181,Flat,0.1647,0
221,-7.407,-2.3426,Ocean,-209,27.7,1377,Flat,0.0235,0
222,46.1757,-11.4574,Ocean,-4,7,825,Flat,0.1647,0
223,50.442,-12.6945,BiomeGRuquoise,157,2.7,605,LargeHills,0,0
224,47.8584,-24.1507,BiomeGRimworld,100,3.5,145,Flat,0,0
225,51.4461,-19.5866,Ocean,-8,0,338,Flat,0,0
226,43.6855,-21.9107,Desert,21,8,175,Flat,0,0
227,42.9784,-16.0159,Ocean,-241,9.2,376,Flat,0,0
228,27.6621,-23.7237,ZBiome_Grasslands,400,16.5,1192,LargeHills,0,0
229,27.3335,-18.8393,BiomeGRuquoise,663,14.5,1243,Mountainous,0,0
230,23.7929,-26.1764,AB_GallatrossGraveyard,449,18.3,769,LargeHills,0,0
231,19.7458,-23.7185,AridShrubland,114,22,646,SmallHills,0,0
232,19.5336,-18.9932,BiomeGRimethyst,214,22.7,907,SmallHills,0.0392,0
233,23.2574,-16.5886,BiomeMist,461,18,1103,Flat,0.1412,0
234,11.2103,-4.6945,Volcano,824,24.7,1957,Mountainous,0,0
235,14.9109,-2.3571,AB_GallatrossGraveyard,291,26.7,1858,Flat,0.0039,0
236,7.407,2.3426,AB_GallatrossGraveyard,149,31.8,2189,Flat,0.298,0
237,7.407,-2.3426,AB_GallatrossGraveyard,89,30.3,2151,Flat,0.1137,0
238,11.2103,4.6945,Ocean,-145,29.6,1852,Flat,0.1608,0
239,14.9109,2.3571,PoisonForest,93,27.4,2279,Flat,0.0275,0
240,42.9785,16.0159,BiomeGRuquoise,326,8.8,935,Flat,0.3529,0
241,43.6855,21.9107,BiomeGRimethyst,299,7.5,961,Flat,0.2706,0
242,46.1757,11.4574,BiomeGRuquoise,48,7.9,807,Flat,0.1176,0
243,50.442,12.6945,Ocean,-75,3.6,561,Flat,0,0
244,51.4461,19.5866,Wasteland,234,3.2,398,Flat,0,0.05
245,47.8584,24.1507,Ocean,-126,5.7,836,Flat,0.3255,0
246,19.5336,18.9932,AB_MycoticJungle,1214,16.5,2618,SmallHills,0,0
247,23.2574,16.5886,BiomeMist,369,23.3,3334,SmallHills,0.2235,0
248,27.3335,18.8393,AB_OcularForest,387,19.3,2247,Flat,0.3922,0
249,27.6621,23.7238,BiomeToxlands,417,16.5,1773,Flat,0.3255,1
250,19.7458,23.7185,AB_MycoticJungle,700,19.1,2248,Flat,0.0706,0
251,23.7929,26.1764,AB_GelatinousSuperorganism,2063,4.8,977,Impassable,0,0
252,11.6453,45.8888,Ocean,-207,23.7,1303,Flat,0.1137,0
253,15.6551,44.167,ZBiome_Grasslands,194,20.6,1157,Flat,0.0314,0
254,12.0597,36.9011,ZBiome_Grasslands,354,23.7,964,Flat,0.102,0
255,15.9331,39.5458,AB_PyroclasticConflagration,899,15.5,1320,Flat,0,0
256,8.0449,38.8632,AB_PyroclasticConflagration,95,25.8,1242,SmallHills,0.1137,0
257,7.9059,43.2482,Ocean,-93,25.2,1371,Flat,0.2392,0
258,7.9059,-43.2482,Ocean,-424,28.2,2391,Flat,0.3294,0
259,8.0449,-38.8632,Ocean,-383,29.4,1684,Flat,0,0
260,11.6453,-45.8888,Ocean,-315,27.3,2203,Flat,0.1686,0
261,15.6551,-44.167,Ocean,-29,25.7,2413,Flat,0.1412,0
262,15.9331,-39.5458,AB_OcularForest,24,26.7,2577,Flat,0.2431,0
263,12.0597,-36.9011,Ocean,-143,27.9,2021,Flat,0.7843,0
264,62.1748,-72.0067,Ocean,-313,-12.8,635,Flat,0,0
265,70.7068,-76.2968,Ocean,-283,-19.6,209,Flat,0,0
266,64.4098,-64.1904,Ocean,-36,-15.6,419,Flat,0,0
267,68.9053,-64.3329,Ocean,-147,-18.4,262,Flat,0,0
268,57.7684,-71.643,Ocean,-306,-9,958,Flat,0.3294,0
269,55.4508,-65.3614,Ocean,-252,-7.2,845,Flat,0.1098,0
270,49.0944,-72.7215,Ocean,-496,-0.4,909,Flat,0.3294,0
271,50.9958,-66.3739,Ocean,-465,-2.8,1017,Flat,0.0235,0
272,70.7068,76.2968,Ocean,-278,-20.1,138,Flat,0,0
273,68.9053,64.3329,Ocean,-44,-16.5,160,Flat,0,0
274,64.4098,64.1904,Ocean,-236,-11.9,216,Flat,0,0
275,62.1748,72.0067,Ocean,-223,-11.7,166,Flat,0,0
276,57.7684,71.643,Ocean,-268,-7.6,145,Flat,0,0
277,55.4508,65.3614,Glowforest,138,-3.9,87,Flat,0,0
278,50.9958,66.3739,Ocean,-155,0.7,123,Flat,0,0
279,49.0944,72.7215,Ocean,-275,2.2,143,Flat,0,0
280,33.6487,-8.088,BiomeGRuquoise,375,14.6,1309,Flat,0.2039,0
281,37.7275,-9.2833,Ocean,-77,13.5,1059,Flat,0.1608,0
282,38.7012,-14.431,Ocean,-32,12.6,704,Flat,0,0
283,35.213,-17.9824,BiomeMist,350,13.8,882,Flat,0.2275,0
284,31.0292,-16.016,ZBiome_Grasslands,304,16.7,1341,Flat,0.4118,0
285,30.4108,-11.2309,BiomeGrindland,540,15.2,1621,Mountainous,0,0
286,26.3555,-9.2599,ZBiome_Grasslands,1203,10.6,1338,Flat,0,0
287,25.9113,-4.6158,BiomeGRimethyst,1563,9.3,1180,Flat,0,0
288,22.8821,-11.7777,ZBiome_Grasslands,379,19.1,1632,Flat,0.0431,0
289,18.9284,-9.4856,BiomeGrindland,888,18.7,1378,Mountainous,0,0
290,18.7226,-4.7404,AB_GallatrossGraveyard,406,23.4,1760,Flat,0.0235,0
291,22.2474,-2.3826,BiomeGRimerald,343,21.6,2094,Flat,0.2431,0
292,22.2474,2.3826,AB_MycoticJungle,607,20.1,2404,Flat,0.098,0
293,25.9113,4.6158,BiomeMist,1629,9.9,2315,SmallHills,0,0
294,18.7226,4.7404,BiomeGRuquoise,55,25.5,2702,Flat,0.0588,0
295,18.9284,9.4856,AB_GelatinousSuperorganism,23,25.9,3258,Flat,0.1098,0
296,22.8821,11.7777,AB_MycoticJungle,404,22.4,3352,SmallHills,0.2078,0
297,26.3555,9.2599,Wasteland,2000,7.4,1685,LargeHills,0,0.05
298,38.7911,0,ZBiome_Grasslands,247,14.7,800,Flat,0.1529,0
299,40.5705,4.9341,ZBiome_Grasslands,162,13.3,656,Flat,0,0
300,40.5705,-4.9341,Ocean,-53,12.5,696,Flat,0,0
301,44.7106,-5.4786,Wasteland,155,9,727,LargeHills,0,0.05
302,44.7106,5.4786,BiomeMist,137,9.9,811,Flat,0.1843,0
303,47.0968,0,Wasteland,11,6.5,694,Flat,0,0.05
304,30.4108,11.2309,Wasteland,1323,9.5,1516,Mountainous,0,0.05
305,33.6487,8.088,Wasteland,1181,9.8,1539,Mountainous,0,0.05
306,37.7275,9.2833,BiomeGRuquoise,456,12.2,1009,Flat,0.4118,0
307,38.7012,14.431,Wasteland,540,9.6,1145,Flat,0.3098,0.05
308,31.0292,16.016,ZBiome_Grasslands,1185,10.5,1345,SmallHills,0,0
309,35.213,17.9824,ZBiome_Grasslands,729,11,1726,Flat,0.0314,0
310,3.8905,45.158,Ocean,-341,26.9,1714,Flat,0.8667,0
311,0,42.9029,Ocean,-388,26.9,1926,Flat,0.4706,0
312,11.2149,50.3993,Ocean,-445,25.4,788,Flat,0.1569,0
313,14.6096,53.4241,Ocean,-401,24,1347,Flat,0.4667,0
314,11.2149,-50.3993,Ocean,-392,28,1965,Flat,0,0
315,14.6096,-53.4241,Ocean,-313,25.7,2296,Flat,0,0
316,3.8905,-45.158,Ocean,-429,28.9,2395,Flat,0.2627,0
317,0,-42.9029,Ocean,-455,28.3,1218,Flat,0.3804,0
318,71.9163,-26.0427,Ocean,-225,-16.9,122,Flat,0,0
319,76.0173,-33.753,SeaIce,-356,-22.8,109,Flat,0,0
320,70.7361,-53.3237,Ocean,-82,-18,190,Flat,0,0
321,75.2381,-51.1261,SeaIce,-149,-21.8,118,Flat,0,0
322,67.4526,-44.474,Ocean,-81,-14.7,193,Flat,0,0
323,67.9674,-33.0284,Ocean,-304,-13,122,Flat,0,0
324,63.9178,-28.0099,Ocean,-107,-9.1,136,Flat,0,0
325,63.3074,-18.0229,Ocean,-193,-8.7,194,Flat,0,0
326,59.9404,-33.1867,Ocean,-246,-7.1,98,Flat,0,0
327,55.9723,-29.5176,Ocean,-142,-3.5,96,Flat,0,0
328,55.5967,-21.6841,Ocean,-55,-3.5,162,Flat,0,0
329,58.9707,-15.7257,Ocean,-244,-6.1,157,Flat,0,0
330,78.3284,0,SeaIce,-217,-23.6,77,Flat,0,0
331,79.902,22.3847,SeaIce,-68,-25.7,69,Flat,0,0
332,79.902,-22.3847,SeaIce,-320,-26.1,71,Flat,0,0
333,84.0035,-38.7817,SeaIce,-259,-30.3,69,Flat,0,0
334,87.6525,0,Ocean,-330,-33.8,71,Flat,0,0
335,84.0035,38.7817,SeaIce,-259,-30.6,70,Flat,0,0
336,71.9163,26.0427,Ocean,-191,-17.8,89,Flat,0,0
337,67.9674,33.0284,Ocean,-225,-14.1,59,Flat,0,0
338,76.0173,33.753,SeaIce,-24,-21.6,88,Flat,0,0
339,75.2381,51.1261,IceSheet,19,-20,113,Flat,0,0
340,70.7361,53.3237,IceSheet,128,-16.3,179,Flat,0,0
341,67.4526,44.474,Ocean,-38,-12.3,121,Flat,0,0
342,57.5654,-7.5231,Ocean,-240,-2.8,141,Flat,0,0
343,60.0409,0,Glowforest,79,-5.3,157,Flat,0,0
344,51.3047,0,Ocean,-13,1.7,402,Flat,0,0
345,53.2229,-6.7406,Ocean,-127,0.9,332,Flat,0,0
346,53.2229,6.7406,Ocean,-65,0.1,286,Flat,0,0
347,57.5654,7.5231,Ocean,-94,-3.4,212,Flat,0,0
348,58.9707,15.7257,Ocean,-228,-4.6,101,Flat,0,0
349,63.3074,18.0229,Glowforest,91,-8.5,109,Flat,0,0
350,63.9178,28.0099,Ocean,-263,-8.5,59,Flat,0,0
351,59.9404,33.1867,Glowforest,169,-5.2,71,LargeHills,0,0
352,55.5967,21.6841,Glowforest,11,-0.7,162,Flat,0,0
353,55.9723,29.5176,Glowforest,14,-1.8,154,Flat,0,0
354,42.2006,-52.4741,Ocean,-332,6.4,841,Flat,0.1569,0
355,46.5592,-50.3605,Ocean,-29,4.4,737,Flat,0.0118,0
356,48.3275,-61.344,Ocean,-395,0.9,958,Flat,0.0196,0
357,49.7877,-54.7694,Ocean,-84,1,807,Flat,0.0353,0
358,43.8987,-62.8324,Ocean,-401,5.1,997,Flat,0.0196,0
359,40.9853,-58.4253,Ocean,-343,5.8,1148,Flat,0.0863,0
360,36.6094,-59.9478,Ocean,-409,8.9,1419,Flat,0.1216,0
361,33.516,-55.9949,Ocean,-406,12.7,1919,Flat,0.3451,0
362,35.1232,-65.4001,Ocean,-458,10.5,1162,Flat,0.3961,0
363,28.002,-62.6317,Ocean,-417,16.2,1548,Flat,0.4353,0
364,29.2312,-57.5097,Ocean,-261,16.2,1488,Flat,0.4039,0
