Turret_AutoChargeBlaster | Bullet 15 | r 45.9 | expl 0 | base: Things/Building/Mech/TurretMechLarge_Base | top: Things/Item/Equipment/WeaponRanged/ChargeBlasterLight
AA_BlackDefiler | AA_BlackHiveBolt 107 | r 28.9 | expl 3.9000000953674316 | base: Things/Building/InsectoidTurrets/InsectoidTurret_Base | top: Things/Building/AA_BlackDefiler
DP_Automortar | Bomb -1 | r 56 | expl 3 | base: Things/Building/Security/TurretHeavy_Base | top: Things/Building/Security/TurretMortar_Top
Turret_GravBlaster | GravBlastShockwave 7 | r 51.9 | expl 7.5 | base: Building/TurretGrav_Base | top: Item/GravBlasterStatic
GTbc_HugeGravBlaster | HugeGravBlastShockwave 4 | r 99999 | expl 12.5 | base: Things/Structures/Artillery/GravshipArtillery_Base_Small | top: Building/Artillery/HugeGravBlaster_TurretTop
GTbc_GravliteDefenseTurret | None None | r 31.9 | expl None | base: Things/Structures/Artillery/GravshipArtillery_Base_Small | top: Building/Artillery/GravliteDefenseTurret_TurretTop
GTbc_GravRailArtillery | Bomb 280 | r 99999 | expl 8.899999618530273 | base: Things/Structures/Artillery/GravshipArtillery_Base_Normal | top: Building/Artillery/GravRailArtillery_TurretTop
GTbc_TheSingularityCannon | Bomb 308 | r 99999 | expl 6.900000095367432 | base: Things/Structures/Artillery/GravshipArtillery_Base_Large | top: Building/Artillery/TheSingularityCannon_TurretTop
OuterRim_MediumLaserCannon | OuterRim_Blaster 200 | r 39.9 | expl 0 | base: OuterRim/Building/Security/GenericMediumBase | top: OuterRim/Building/Security/MediumLaserCannon_Head
OuterRim_ProtonMortar | OuterRim_ProtonBomb -1 | r 52.9 | expl 5.900000095367432 | base: OuterRim/Building/Security/GenericMediumBase | top: OuterRim/Building/Security/ProtonMortar_Head
OuterRim_Turbolaser | OuterRim_Blaster 2000 | r 39.9 | expl 0 | base: OuterRim/Building/Security/GenericMediumBase | top: OuterRim/Building/Security/Turbolaser_Head
OuterRim_AnaxesTurret | OuterRim_Blaster 200 | r 32.9 | expl 0 | base: OuterRim/Building/Security/RepublicTower/Turret_Base | top: OuterRim/Building/Security/RepublicTower/Turret_Top
OuterRim_HeavyImperialTurbolaser | OuterRim_Turbolaser 2000 | r 54.9 | expl 1.899999976158142 | base: OuterRim/Building/Security/GenericLargeBase | top: OuterRim/Building/Security/HeavyImperialTurbolaser_Head
OuterRim_HeavyIonCannon | OuterRim_BlasterIon 20 | r 80 | expl 0 | base: OuterRim/Building/Security/GenericLargeBase | top: OuterRim/Building/Security/HeavyIonCannon_Head
OuterRim_HeavyLaserCannon | OuterRim_Blaster 200 | r 51.9 | expl 0 | base: OuterRim/Building/Security/GenericLargeBase | top: OuterRim/Building/Security/HeavyImperialTurboCannon_Head
OuterRim_HeavyTurbolaser | OuterRim_Turbolaser 2000 | r 54.9 | expl 1.899999976158142 | base: OuterRim/Building/Security/GenericLargeBase | top: OuterRim/Building/Security/SeperatistTurbolaser_Head
OuterRim_ProtonArtillery | OuterRim_ProtonBomb -1 | r 500 | expl 7.900000095367432 | base: OuterRim/Building/Security/GenericLargeBase | top: OuterRim/Building/Security/ProtonArtillery_Head
TOTAL: 40
