defName,label,mod,intelligence,bodySize,status,px,w,h,aspect,fill,spiky,symmetry,hue,hue_conc,sat,val,contrast,hist,biomes_now
AA_AnimusVox,animus vox,Alpha Animals,Animal,0.6499999761581421,ours,2532,44,91,0.484,0.632,1.514,0.99,0.5493,0.713,0.078,0.555,0.348,0.063 0.020 0.026 0.000 0.009 0.003 0.593 0.168 0.102 0.001 0.013 0.001,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_MiasmicMangrove|AB_MycoticJungle|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|Glowforest|Grasslands|IronScruff_PrimordialGeysers|LavaField|PoisonForest|Savanna|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Grasslands
AA_ArcticLion,arctic lion,Alpha Animals,Animal,2,ours,2652,62,80,0.775,0.535,1.331,0.974,0.678,0.987,0.045,0.688,0.39,0.000 0.000 0.002 0.000 0.001 0.000 0.002 0.143 0.848 0.002 0.002 0.000,AB_PropaneLakes|BorealForest|ColdBog|GlacialPlain|IceSheet|IronScruff_PrimordialGeysers|SeaIce|Tundra|ZBiome_AlpineMeadow|ZBiome_GlacialShield|ZBiome_Iceberg_NoBeach|ZBiome_Marsh
AA_Atispec,atispec,Alpha Animals,Animal,7,dormant,2850,61,99,0.616,0.472,2.346,0.884,0.0033,0.963,0.472,0.397,0.304,0.705 0.000 0.000 0.000 0.000 0.000 0.014 0.003 0.001 0.000 0.001 0.276,
AA_AuroraSylph,Aurora sylph,Alpha Animals,Animal,0.5,ours,6354,122,104,1.173,0.501,2.891,0.909,0.8496,0.512,0.347,0.362,0.264,0.388 0.021 0.001 0.000 0.000 0.000 0.000 0.001 0.491 0.048 0.025 0.025,AridShrubland|BorealForest|Desert|Glowforest|Grasslands|IronScruff_PrimordialGeysers|LavaField|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands
AA_Barbslinger,barbslinger,Alpha Animals,Animal,2.5,ours,4232,92,103,0.893,0.447,1.604,0.998,0.113,0.99,0.317,0.409,0.299,0.085 0.894 0.021 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000,AB_GallatrossGraveyard|AB_TarPits|AridShrubland|Desert|ExtremeDesert|Savanna|Wasteland|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_BedBug,bedbug,Alpha Animals,Animal,0.5,ours,6514,101,101,1.0,0.639,1.419,0.985,0.0158,1.0,0.474,0.2,0.145,0.999 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001,AridShrubland|BorealForest|ColdBog|Grasslands|PoisonForest|Savanna|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_Grasslands|ZBiome_Marsh
AA_Behemoth,Behemoth,Alpha Animals,Animal,8,dormant,1614,43,68,0.632,0.552,1.706,0.569,0.1441,0.398,0.242,0.173,0.144,0.000 0.551 0.148 0.000 0.000 0.000 0.000 0.001 0.300 0.000 0.000 0.000,
AA_BlackScarab,black scarab,Alpha Animals,Animal,0.30000001192092896,dormant,2063,40,64,0.625,0.806,1.087,0.987,0.9584,0.986,0.091,0.217,0.172,0.084 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.914,
AA_BlackSpelopede,black spelopede,Alpha Animals,Animal,1,dormant,3722,56,106,0.528,0.627,1.396,0.994,0.9826,0.965,0.088,0.212,0.177,0.305 0.002 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.691,
AA_BlackSpider,blackspider,Alpha Animals,Animal,1.5,dormant,3345,49,93,0.527,0.734,1.136,0.975,0.9596,0.985,0.112,0.211,0.153,0.102 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.896,
AA_Blizzarisk,blizzarisk,Alpha Animals,Animal,2,ours,5009,72,91,0.791,0.764,1.16,0.985,0.7735,0.565,0.067,0.618,0.345,0.277 0.021 0.000 0.000 0.000 0.000 0.000 0.021 0.669 0.006 0.002 0.004,AB_PropaneLakes|BMT_CrystalCaverns|BorealForest|ColdBog|GlacialPlain|IceSheet|IronScruff_PrimordialGeysers|SeaIce|Tundra|ZBiome_AlpineMeadow|ZBiome_GlacialShield|ZBiome_Iceberg_NoBeach|ZBiome_Marsh
AA_BlizzariskClutchMother,blizzarisk clutch mother,Alpha Animals,Animal,3,dormant,4867,74,100,0.74,0.658,1.282,1.0,0.759,0.533,0.101,0.634,0.349,0.265 0.025 0.000 0.000 0.000 0.001 0.028 0.040 0.630 0.006 0.001 0.003,
AA_BloodShrimp,blood shrimp,Alpha Animals,Animal,1,ours,1800,54,48,1.125,0.694,1.629,0.976,0.0554,0.913,0.455,0.341,0.237,0.820 0.132 0.001 0.000 0.015 0.026 0.003 0.000 0.000 0.000 0.001 0.003,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_MiasmicMangrove|AB_OcularForest|AridShrubland|BorealForest|PoisonForest|Savanna|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Grasslands
AA_Bobeene,bobeene,Alpha Animals,Animal,2.0999999046325684,foreign,4912,78,103,0.757,0.611,1.369,0.96,0.4288,0.513,0.142,0.585,0.309,0.000 0.302 0.001 0.002 0.019 0.360 0.286 0.025 0.005 0.000 0.000 0.000,AB_IdyllicMeadows
AA_BoulderMit,bouldermit,Alpha Animals,Animal,4,ours,5587,89,90,0.989,0.698,0.936,0.989,0.0461,0.988,0.314,0.376,0.171,0.999 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MechanoidIntrusion|AB_MiasmicMangrove|AB_MycoticJungle|AB_OcularForest|AB_PropaneLakes|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|ColdBog|Desert|ExtremeDesert|GlacialPlain|Glowforest|Grasslands|IceSheet|IronScruff_PrimordialGeysers|LavaField|PoisonForest|Savanna|Scarlands|SeaIce|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Iceberg_NoBeach|ZBiome_Marsh|ZBiome_Sandbar_NoBeach
AA_Bumbledrone,bumbledrone,Alpha Animals,Animal,0.7900000214576721,ours,4003,100,92,1.087,0.435,2.176,0.982,0.0863,0.975,0.221,0.504,0.336,0.465 0.524 0.001 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.003 0.005,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MiasmicMangrove|AB_MycoticJungle|AB_TarPits|AridShrubland|Desert|Glowforest|Grasslands|PoisonForest|Savanna|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands
AA_BumbledroneHierophant,bumbledrone hierophant,Alpha Animals,Animal,0.7900000214576721,ours,5437,124,122,1.016,0.359,2.931,0.972,0.0887,0.974,0.222,0.499,0.358,0.458 0.531 0.003 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.004 0.003,AridShrubland|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Grasslands
AA_BumbledroneQueen,bumbledrone queen,Alpha Animals,Animal,0.7900000214576721,dormant,7417,124,122,1.016,0.49,2.329,0.959,0.0857,0.968,0.229,0.52,0.336,0.431 0.546 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.014 0.006,
AA_Cactipine,cactipine,Alpha Animals,Animal,0.5,ours,3447,57,97,0.588,0.623,0.995,0.981,0.1765,0.999,0.425,0.517,0.355,0.000 0.144 0.856 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000,AB_GallatrossGraveyard|AB_IdyllicMeadows|AridShrubland|Desert|ExtremeDesert|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_ChameleonYak,chameleon yak,Alpha Animals,Animal,2.5,ours,5020,75,80,0.938,0.837,0.979,0.995,0.0609,0.973,0.233,0.226,0.237,0.981 0.006 0.001 0.000 0.000 0.000 0.012 0.000 0.000 0.000 0.000 0.000,AridShrubland|BorealForest|ColdBog|Desert|ExtremeDesert|GlacialPlain|Grasslands|IceSheet|IronScruff_PrimordialGeysers|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh|ZBiome_Sandbar_NoBeach
AA_ChemfuelMyrmidon,chemfuel myrmidon,Alpha Animals,Animal,1.5,ours,3201,50,102,0.49,0.628,1.685,0.993,0.0634,0.97,0.147,0.234,0.219,0.734 0.247 0.008 0.000 0.001 0.000 0.001 0.000 0.000 0.000 0.000 0.006,AB_PyroclasticConflagration|BMT_EarthenDepths|LavaField
AA_Cinderlisk,cinderlisk,Alpha Animals,Animal,2.5,ours,3558,63,80,0.787,0.706,1.173,0.99,0.0814,0.914,0.134,0.328,0.171,0.113 0.849 0.003 0.000 0.000 0.001 0.009 0.024 0.001 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MiasmicMangrove|AB_MycoticJungle|AB_OcularForest|AB_PyroclasticConflagration|AridShrubland|BMT_EarthenDepths|Desert|ExtremeDesert|Grasslands|LavaField|Volcano|Wasteland|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_ColossalAerofleet,colossal aerofleet,Alpha Animals,Animal,2,dormant,4454,62,116,0.534,0.619,1.606,0.926,0.5671,0.984,0.311,0.53,0.266,0.000 0.000 0.000 0.000 0.000 0.000 0.731 0.262 0.006 0.000 0.000 0.000,
AA_CrepuscularBeetle,Crepuscular Beetle,Alpha Animals,Animal,3,ours,3360,50,98,0.51,0.686,1.645,0.992,0.6456,0.628,0.21,0.138,0.116,0.000 0.154 0.028 0.000 0.000 0.000 0.002 0.609 0.204 0.002 0.000 0.000,AB_RockyCrags|BMT_FungalForest|Glowforest
AA_CrescendoAnole,crescendo anole,Alpha Animals,Animal,0.30000001192092896,ours,2519,36,102,0.353,0.686,1.315,0.928,0.1053,0.973,0.359,0.164,0.135,0.225 0.741 0.026 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.008,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_MiasmicMangrove|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|Desert|ExtremeDesert|Glowforest|Grasslands|Scarlands|TropicalSwamp|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_CrystalMit,crystalmit,Alpha Animals,Animal,0.5,ours,2816,55,77,0.714,0.665,1.531,0.983,0.5885,0.945,0.509,0.391,0.287,0.000 0.000 0.000 0.000 0.000 0.116 0.143 0.740 0.001 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_MycoticJungle|AB_OcularForest|AB_PropaneLakes|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|ColdBog|Desert|ExtremeDesert|Glowforest|Grasslands|LavaField|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh|ZBiome_Sandbar_NoBeach
AA_CrystallineCaracal,crystalline caracal,Alpha Animals,Animal,0.800000011920929,dormant,3944,52,115,0.452,0.66,1.397,0.618,0.8259,0.399,0.533,0.465,0.331,0.001 0.000 0.000 0.000 0.000 0.000 0.388 0.023 0.005 0.004 0.011 0.569,
AA_DarkVandal,dark vandal,Alpha Animals,Animal,1.2000000476837158,ours,3317,54,102,0.529,0.602,1.166,0.96,0.6695,0.691,0.195,0.147,0.095,0.000 0.133 0.022 0.000 0.000 0.000 0.000 0.017 0.828 0.000 0.000 0.000,AB_RockyCrags|AridShrubland|BorealForest|ColdBog|Desert|Glowforest|Grasslands|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh
AA_Darkbeast,darkbeast,Alpha Animals,Animal,1.5,ours,3188,50,98,0.51,0.651,1.514,0.92,0.6747,0.812,0.497,0.131,0.113,0.000 0.000 0.000 0.000 0.002 0.001 0.398 0.076 0.110 0.409 0.004 0.001,AB_IdyllicMeadows|AB_PropaneLakes|AB_RockyCrags|BorealForest|ColdBog|GlacialPlain|Glowforest|IceSheet|Scarlands|SeaIce|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Iceberg_NoBeach|ZBiome_Marsh
AA_DecayDrake,decay drake,Alpha Animals,Animal,1,ours,2582,60,81,0.741,0.531,2.243,0.954,0.2066,0.95,0.428,0.272,0.191,0.000 0.000 0.963 0.006 0.004 0.001 0.008 0.012 0.006 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_MiasmicMangrove|ColdBog|PoisonForest|Savanna|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Wetland|ZBiome_CloudForest|ZBiome_Marsh
AA_DesertAve,desert ave,Alpha Animals,Animal,1,ours,2296,51,66,0.773,0.682,1.466,0.97,0.1117,0.978,0.405,0.438,0.308,0.012 0.957 0.023 0.000 0.001 0.001 0.005 0.001 0.000 0.000 0.000 0.000,AridShrubland|Desert|ExtremeDesert|Grasslands|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_DevilSheep,devil sheep,Alpha Animals,Animal,0.5,dormant,4758,76,84,0.905,0.745,0.908,0.989,0.0073,0.948,0.493,0.393,0.263,0.013 0.079 0.003 0.000 0.000 0.001 0.008 0.000 0.000 0.000 0.000 0.896,
AA_Drainer,drainer,Alpha Animals,Animal,0.5,ours,8809,112,107,1.047,0.735,1.205,0.995,0.5141,0.982,0.838,0.609,0.318,0.000 0.000 0.000 0.000 0.000 0.372 0.621 0.007 0.000 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MycoticJungle|AB_OcularForest|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|Desert|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands
AA_DrainerLarva,drainer larva,Alpha Animals,Animal,0.10000000149011612,ours,932,20,55,0.364,0.847,1.109,1.0,0.6089,0.985,0.382,0.192,0.174,0.000 0.000 0.000 0.000 0.000 0.032 0.014 0.952 0.002 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MycoticJungle|AB_OcularForest|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|Desert|Grasslands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands
AA_Dunealisk,dunealisk,Alpha Animals,Animal,2,ours,4540,69,93,0.742,0.707,1.168,0.983,0.1186,0.984,0.395,0.514,0.293,0.032 0.933 0.005 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.030,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AridShrubland|Desert|ExtremeDesert|Grasslands|Scarlands|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_DunealiskClutchMother,dunealisk clutch mother,Alpha Animals,Animal,3,dormant,5264,78,99,0.788,0.682,1.291,0.996,0.1181,0.968,0.432,0.5,0.3,0.031 0.928 0.005 0.001 0.001 0.000 0.004 0.003 0.001 0.000 0.000 0.026,
AA_DuskProwler,dusk prowler,Alpha Animals,Animal,1.5,ours,2416,36,99,0.364,0.678,1.957,0.974,0.6802,0.215,0.189,0.109,0.098,0.000 0.172 0.222 0.000 0.000 0.000 0.000 0.021 0.585 0.000 0.000 0.000,AB_RockyCrags|AridShrubland|BorealForest|ColdBog|Desert|ExtremeDesert|IceSheet|SeaIce|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Iceberg_NoBeach|ZBiome_Marsh|ZBiome_Sandbar_NoBeach
AA_DuskRat,dusk rat,Alpha Animals,Animal,0.15000000596046448,ours,2549,40,108,0.37,0.59,1.268,0.949,0.6314,0.206,0.194,0.125,0.124,0.000 0.290 0.104 0.000 0.000 0.000 0.008 0.494 0.101 0.000 0.000 0.000,AB_RockyCrags|BMT_CrystalCaverns|BMT_FungalForest
AA_EmpressButterfly,Empress butterfly,Alpha Animals,Animal,0.75,foreign,5516,111,103,1.078,0.482,2.176,0.982,0.5653,0.494,0.379,0.401,0.354,0.010 0.005 0.111 0.037 0.043 0.064 0.309 0.238 0.049 0.042 0.092 0.000,BorealForest|Glowforest|Grasslands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_GlacialShield
AA_EmpressButterflyLarva,Empress butterfly larva,Alpha Animals,Animal,0.10000000149011612,foreign,1737,29,76,0.382,0.788,1.151,0.991,0.0614,0.351,0.194,0.402,0.266,0.075 0.593 0.001 0.000 0.000 0.000 0.000 0.324 0.004 0.001 0.001 0.001,BorealForest|Glowforest|Grasslands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_GlacialShield
AA_EngorgedTentacularAberration,engorged tentacular aberration,Alpha Animals,Animal,6,dormant,4913,124,73,1.699,0.543,2.942,0.763,0.0112,0.972,0.569,0.387,0.296,0.985 0.001 0.000 0.000 0.000 0.000 0.013 0.000 0.000 0.000 0.000 0.000,
AA_Erin,erin,Alpha Animals,Animal,1,ours,2611,42,102,0.412,0.609,1.242,0.933,0.1402,0.986,0.278,0.199,0.129,0.022 0.638 0.339 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000,AB_GallatrossGraveyard|AB_MiasmicMangrove|AB_TarPits|AridShrubland|Desert|ExtremeDesert|Scarlands|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach
AA_Eyeling,ikee,Alpha Animals,Animal,0.4000000059604645,ours,3113,68,72,0.944,0.636,1.451,0.834,0.0404,0.919,0.429,0.397,0.324,0.930 0.036 0.000 0.000 0.000 0.001 0.026 0.007 0.000 0.000 0.000 0.000,ExtremeDesert|Wasteland|ZBiome_DesertOasis
AA_Feralisk,feralisk,Alpha Animals,Animal,1,ours,4568,70,84,0.833,0.777,1.064,0.997,0.03,0.677,0.342,0.187,0.129,0.832 0.001 0.000 0.000 0.000 0.001 0.077 0.085 0.001 0.001 0.000 0.002,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MiasmicMangrove|BMT_FungalForest|Glowforest|Grasslands|Savanna|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Wasteland|ZBiome_CloudForest
AA_FeraliskClutchMother,feralisk clutch mother,Alpha Animals,Animal,3,dormant,4085,70,85,0.824,0.687,1.192,0.999,0.0256,0.702,0.331,0.184,0.118,0.840 0.001 0.000 0.000 0.000 0.000 0.059 0.089 0.003 0.000 0.001 0.007,
AA_FireWasp,fire wasp,Alpha Animals,Animal,0.7900000214576721,ours,2217,106,86,1.233,0.243,2.426,0.98,0.0806,0.99,0.53,0.289,0.276,0.561 0.430 0.005 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.004,AB_PyroclasticConflagration
AA_FissionMouse,fission mouse,Alpha Animals,Animal,0.5,ours,1905,47,67,0.701,0.605,1.487,0.607,0.0705,0.767,0.19,0.465,0.384,0.879 0.001 0.000 0.000 0.001 0.000 0.091 0.020 0.007 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MechanoidIntrusion|AB_MycoticJungle|AB_OcularForest|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BorealForest|ColdBog|Desert|ExtremeDesert|Glowforest|Grasslands|IceSheet|LavaField|PoisonForest|Savanna|Scarlands|SeaIce|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Iceberg_NoBeach|ZBiome_Marsh|ZBiome_Sandbar_NoBeach
