biome,defName,label,mod,bodySize,status,belong,standout
Desert,AA_EngorgedTentacularAberration,engorged tentacular aberration,Alpha Animals,6,dormant,0.7119,0.2881
Desert,AA_Erin,erin,Alpha Animals,1,ours,0.6269,0.3731
Desert,AA_Eyeling,ikee,Alpha Animals,0.4000000059604645,ours,0.8276,0.1724
Desert,AA_Feralisk,feralisk,Alpha Animals,1,ours,0.6146,0.3854
Desert,AA_FeraliskClutchMother,feralisk clutch mother,Alpha Animals,3,dormant,0.611,0.389
Desert,AA_FireWasp,fire wasp,Alpha Animals,0.7900000214576721,ours,0.6677,0.3323
Desert,AA_FissionMouse,fission mouse,Alpha Animals,0.5,ours,0.8531,0.1469
Desert,AA_FissionMouseSecond,"fission mouse, second generation",Alpha Animals,0.5,dormant,0.8531,0.1469
Desert,AA_FissionMouseThird,"fission mouse, third generation",Alpha Animals,0.5,dormant,0.8531,0.1469
Desert,AA_FlamingoPhoenix,flamingo phoenix,Alpha Animals,0.6000000238418579,dormant,0.7342,0.2658
Desert,AA_FrostAve,frost ave,Alpha Animals,1.2999999523162842,foreign,0.7216,0.2784
Desert,AA_FrostLynx,frost lynx,Alpha Animals,2,dormant,0.7006,0.2994
Desert,AA_FrostboundBehemoth,frostbound behemoth,Alpha Animals,3,ours,0.6332,0.3668
Desert,AA_Frostling,frostling,Alpha Animals,1.5,ours,0.6741,0.3259
Desert,AA_Frostmite,frostmite,Alpha Animals,0.5,ours,0.638,0.362
Desert,AA_FungalHusk,fungal husk,Alpha Animals,1,dormant,0.7942,0.2058
Desert,AA_Gallatross,gallatross,Alpha Animals,6,dormant,0.7789,0.2211
Desert,AA_GallatrossMoribund,moribund gallatross,Alpha Animals,6,foreign,0.7738,0.2262
Desert,AA_Genix,genix,Alpha Animals,2,dormant,0.7842,0.2158
Desert,AA_GiantCrownedSilkie,giant crowned silkie,Alpha Animals,1.100000023841858,ours,0.6381,0.3619
Desert,AA_Gigantelope,gigantelope,Alpha Animals,2,ours,0.8187,0.1813
Desert,AA_GreatDevourer,great devourer,Alpha Animals,2.5,ours,0.6538,0.3462
Desert,AA_GreenGoo,green goo,Alpha Animals,0.5,ours,0.806,0.194
Desert,AA_GreyCoatedMouflon,Grey-Coated Mouflon,Alpha Animals,0.800000011920929,ours,0.6483,0.3517
Desert,AA_Groundrunner,groundrunner,Alpha Animals,2,ours,0.8102,0.1898
Desert,AA_Helixien,helixien,Alpha Animals,4,ours,0.7484,0.2516
Desert,AA_InfectedAerofleet,infected aerofleet,Alpha Animals,0.20000000298023224,ours,0.6701,0.3299
Desert,AA_IronhuskBeetle,ironhusk beetle,Alpha Animals,2.5,dormant,0.7371,0.2629
Desert,AA_Junglelisk,junglelisk,Alpha Animals,1,ours,0.7724,0.2276
Desert,AA_LarvalAtispec,larval atispec,Alpha Animals,0.10000000149011612,ours,0.89,0.11
Desert,AA_Lockjaw,lockjaw,Alpha Animals,2.5,ours,0.7476,0.2524
Desert,AA_Locusts,locusts,Alpha Animals,0.009999999776482582,dormant,0.6871,0.3129
Desert,AA_LuciferBug,luciferbug,Alpha Animals,0.15000000596046448,ours,0.5147,0.4853
Desert,AA_MammothWorm,mammoth worm,Alpha Animals,3,ours,0.6504,0.3496
Desert,AA_Mantrap,mantrap,Alpha Animals,2,ours,0.7619,0.2381
Desert,AA_MatureFleshbeast,mature fleshbeast,Alpha Animals,6,ours,0.838,0.162
Desert,AA_MeadowAve,meadow ave,Alpha Animals,1.2000000476837158,ours,0.6973,0.3027
Desert,AA_MegaLouse,megalouse,Alpha Animals,0.5,ours,0.5782,0.4218
Desert,AA_Metallovore,metallovore,Alpha Animals,2,ours,0.5371,0.4629
Desert,AA_Mime,mime,Alpha Animals,1,dormant,0.5177,0.4823
Desert,AA_Murkling,murkling,Alpha Animals,0.3499999940395355,ours,0.482,0.518
Desert,AA_MycoidColossus,mycoid colossus,Alpha Animals,6,ours,0.763,0.237
Desert,AA_Needlepost,needlepost,Alpha Animals,0.7900000214576721,ours,0.8051,0.1949
Desert,AA_Needleroll,needleroll,Alpha Animals,0.15000000596046448,ours,0.8182,0.1818
Desert,AA_NightAve,night ave,Alpha Animals,1.100000023841858,ours,0.4705,0.5295
Desert,AA_NightMule,nightmule,Alpha Animals,2.799999952316284,ours,0.4804,0.5196
Desert,AA_NightRam,nightram,Alpha Animals,2.5,ours,0.5135,0.4865
Desert,AA_Nightling,nightling,Alpha Animals,1,ours,0.476,0.524
Desert,AA_OcularJelly,ocular jelly,Alpha Animals,0.5,ours,0.7454,0.2546
Desert,AA_OcularNightling,ocular nightling,Alpha Animals,1.2000000476837158,dormant,0.6094,0.3906
Desert,AA_OvergrownColossus,overgrown colossus,Alpha Animals,6,ours,0.6099,0.3901
Desert,AA_PebbleMit,pebblemit,Alpha Animals,0.5,ours,0.774,0.226
Desert,AA_PedigreedRaptor,pedigreed raptor,Alpha Animals,0.75,ours,0.7397,0.2603
Desert,AA_PhoenixOwlcat,phoenix owlcat,Alpha Animals,0.20000000298023224,dormant,0.7612,0.2388
Desert,AA_Plasmorph,plasmorph,Alpha Animals,1,ours,0.8006,0.1994
Desert,AA_Radyak,radyak,Alpha Animals,2.5,ours,0.7842,0.2158
Desert,AA_RaptorShrimp,raptor shrimp,Alpha Animals,1.399999976158142,ours,0.7028,0.2972
Desert,AA_Ravager,ravager,Alpha Animals,2.5,ours,0.6066,0.3934
Desert,AA_RayHound,ray-hound,Alpha Animals,1.5,ours,0.6982,0.3018
Desert,AA_Razorjack,razorjack,Alpha Animals,1,ours,0.8138,0.1862
Desert,AA_RedGoo,red goo,Alpha Animals,0.5,ours,0.6216,0.3784
Desert,AA_RedSpore,red spore,Alpha Animals,2,ours,0.6075,0.3925
Desert,AA_RipperHound,ripper hound,Alpha Animals,1.5,ours,0.8023,0.1977
Desert,AA_RoughPlatedMonitor,rough-plated monitor,Alpha Animals,2,ours,0.6997,0.3003
Desert,AA_RoyalAve,royal ave,Alpha Animals,1.100000023841858,ours,0.7293,0.2707
Desert,AA_SandLion,sand lion,Alpha Animals,2,ours,0.8933,0.1067
Desert,AA_SandProwler,sand prowler,Alpha Animals,2,ours,0.7206,0.2794
Desert,AA_SandSquid,sand squid,Alpha Animals,2,ours,0.6771,0.3229
Desert,AA_ShadowCharger,shadow charger,Alpha Animals,2.5,ours,0.5283,0.4717
Desert,AA_ShockGoat,shock goat,Alpha Animals,0.6499999761581421,ours,0.8862,0.1138
Desert,AA_Skiphound,skiphound,Alpha Animals,0.7900000214576721,ours,0.7304,0.2696
Desert,AA_Skyeel,arcturan sky eel,Alpha Animals,0.25,dormant,0.7543,0.2457
Desert,AA_Slurrypede,slurrypede,Alpha Animals,2,ours,0.7025,0.2975
Desert,AA_SmallButterfly,small butterflies,Alpha Animals,0.009999999776482582,dormant,0.6217,0.3783
Desert,AA_SpinedGow,spined gow,Alpha Animals,2.75,ours,0.723,0.277
Desert,AA_SummitCrab,summit crab,Alpha Animals,15,dormant,0.8839,0.1161
Desert,AA_Swarmling,swarmling,Alpha Animals,0.30000001192092896,ours,0.6422,0.3578
Desert,AA_TarGuzzler,tar guzzler,Alpha Animals,2,ours,0.5301,0.4699
Desert,AA_TeratogenicOriginator,teratogenic originator,Alpha Animals,5,ours,0.7763,0.2237
Desert,AA_Terramorph,terramorph,Alpha Animals,1.5,ours,0.592,0.408
Desert,AA_TetraSlug,tetra slug,Alpha Animals,5,ours,0.859,0.141
Desert,AA_Thermadon,thermadon,Alpha Animals,1.5,ours,0.5994,0.4006
Desert,AA_Thunderbeast,thunderbeast,Alpha Animals,1.5,ours,0.6261,0.3739
Desert,AA_Thunderox,thunderox,Alpha Animals,2.5,ours,0.4865,0.5135
Desert,AA_UnblinkingEye,unblinking eye,Alpha Animals,7,dormant,0.7997,0.2003
Desert,AA_Wildpawn,wildpawn,Alpha Animals,1.399999976158142,ours,0.781,0.219
Desert,AA_Wildpod,wildpod,Alpha Animals,4,ours,0.8858,0.1142
Desert,AA_WindBeast,windbeast,Alpha Animals,1.5,ours,0.5979,0.4021
Desert,AG_OcularSlinger,ocular slinger,Alpha Genes,2.5,dormant,0.6255,0.3745
Desert,AM_Apoptosis,apoptosis,Alpha Mechs,1,dormant,0.6523,0.3477
Desert,AM_Aura,aura,Alpha Mechs,1,dormant,0.7039,0.2961
Desert,AM_Blitzkrieg,blitzkrieg,Alpha Mechs,0.699999988079071,dormant,0.7196,0.2804
Desert,AM_Daggersnout,daggersnout,Alpha Mechs,1,dormant,0.6048,0.3952
Desert,AM_Demolisher,demolisher,Alpha Mechs,4,dormant,0.5998,0.4002
Desert,AM_Dryad_Corruptor,corruptor dryad,Alpha Memes,0.6669999957084656,dormant,0.6708,0.3292
Desert,AM_Dryad_Ocular,ocular dryad,Alpha Memes,0.6669999957084656,dormant,0.7055,0.2945
Desert,AM_Dryad_Spitter,spitter dryad,Alpha Memes,0.6499999761581421,dormant,0.7636,0.2364
Desert,AM_Dryad_Tumorous,tumorous dryad,Alpha Memes,0.6669999957084656,dormant,0.6717,0.3283
Desert,AM_Dryad_Unstable,unstable dryad,Alpha Memes,0.6499999761581421,dormant,0.6645,0.3355
Desert,AM_Fireworm,fireworm,Alpha Mechs,1.7999999523162842,dormant,0.843,0.157
Desert,AM_Goliath,goliath,Alpha Mechs,1.7999999523162842,dormant,0.6026,0.3974
Desert,AM_Infernus,infernus,Alpha Mechs,4,dormant,0.8427,0.1573
Desert,AM_Mech_Artilleron,artilleron,Alpha Mechs,0.949999988079071,dormant,0.6781,0.3219
Desert,AM_Mech_Bellicor,bellicor,Alpha Mechs,0.949999988079071,dormant,0.7473,0.2527
Desert,AM_Mech_Geneticor,geneticor,,0.699999988079071,dormant,0.6528,0.3472
Desert,AM_Mech_Guttersnipe,guttersnipe,Alpha Mechs,0.699999988079071,dormant,0.706,0.294
Desert,AM_Mech_Legate,legate,Alpha Mechs,3.5999999046325684,dormant,0.6504,0.3496
Desert,AM_Mech_Lux,lux,Alpha Mechs,1,dormant,0.7101,0.2899
Desert,AM_Mech_MasterChef,culinarius,Alpha Mechs,0.699999988079071,dormant,0.6601,0.3399
Desert,AM_Mech_Munifex,munifex,Alpha Mechs,1,dormant,0.6314,0.3686
Desert,AM_Mech_Optio,optio,Alpha Mechs,1,dormant,0.7316,0.2684
Desert,AM_Mech_Polychoron,polychoron,Alpha Mechs,1.2000000476837158,dormant,0.7276,0.2724
Desert,AM_Mech_PristineAssembler,pristine assembler,Alpha Mechs,2,dormant,0.6477,0.3523
Desert,AM_Mech_PristineSlurrypede,pristine slurrypede,Alpha Mechs,2,dormant,0.7047,0.2953
Desert,AM_Mech_Sagittarius,sagittarius,Alpha Mechs,1,dormant,0.7097,0.2903
Desert,AM_Mech_TurboCleaner,turbocleaner,Alpha Mechs,0.20000000298023224,dormant,0.7326,0.2674
Desert,AM_Phalanx,phalanx,Alpha Mechs,1.7000000476837158,dormant,0.5807,0.4193
Desert,AM_PristineStrider,pristine strider,Alpha Mechs,1,dormant,0.7572,0.2428
Desert,AM_Siegebreaker,siegebreaker,Alpha Mechs,4,dormant,0.6392,0.3608
Desert,AM_Siegemelter,siegemelter,Alpha Mechs,4,dormant,0.6353,0.3647
Desert,AM_Starfire,starfire,Alpha Mechs,4,dormant,0.5918,0.4082
Desert,AM_UnshackledDryad,unshackled dryad,Alpha Memes,0.6669999957084656,dormant,0.7755,0.2245
Desert,AM_WarEmpress,war empress,Alpha Mechs,5,dormant,0.7177,0.2823
Desert,AV_Balloon,Balloon,Alpha Vehicles - Neolithic,5,dormant,0.6878,0.3122
Desert,AV_Chariot,Chariot,Alpha Vehicles - Neolithic,2,dormant,0.7803,0.2197
Desert,AV_CoveredCarriage,Covered Carriage,Alpha Vehicles - Neolithic,2.5,dormant,0.8004,0.1996
Desert,AV_DogSled,eopie sled,Alpha Vehicles - Neolithic,2,dormant,0.6951,0.3049
Desert,AV_Hwacha,Hwacha,Alpha Vehicles - Neolithic,1,dormant,0.7284,0.2716
Desert,AV_OutriggerCanoe,Outrigger Canoe,Alpha Vehicles - Neolithic,1.5499999523162842,dormant,0.7143,0.2857
Desert,AV_OxCart,Ox cart,Alpha Vehicles - Neolithic,4,dormant,0.6732,0.3268
Desert,AV_Palanquin,Palanquin,Alpha Vehicles - Neolithic,1,dormant,0.7059,0.2941
Desert,AV_Rickshaw,Rickshaw,Alpha Vehicles - Neolithic,1,dormant,0.6732,0.3268
Desert,AV_RowBoat,Row boat,Alpha Vehicles - Neolithic,1,dormant,0.7514,0.2486
Desert,AV_WarChariot,War chariot,Alpha Vehicles - Neolithic,2.5,dormant,0.6567,0.3433
Desert,AV_Wheelbarrow,Wheelbarrow,Alpha Vehicles - Neolithic,1,dormant,0.6729,0.3271
Desert,Acklay,acklay,Star Wars Animal Collection (Continued),3,ours,0.6525,0.3475
Desert,Aiwha,aiwha,Star Wars Animal Collection (Continued),3,foreign,0.7433,0.2567
Desert,Akk,akk,Star Wars Animal Collection (Continued),3,ours,0.571,0.429
Desert,Alligator,alligator,Odyssey,1.5,dormant,0.6735,0.3265
Desert,AlligatorMan,alligator man,Beasts of the Rim (Continued),1,dormant,0.7456,0.2544
Desert,Alpaca,alpaca,Core,1,ours,0.8714,0.1286
Desert,AlphaThrumbo,alpha thrumbo,Odyssey,5,dormant,0.7085,0.2915
Desert,Alphabeaver,alphabeaver,Core,0.44999998807907104,dormant,0.7351,0.2649
Desert,Andrewsarchus,andrewsarchus,Megafauna,5,dormant,0.9313,0.0687
Desert,Anooba,anooba,Star Wars Animal Collection (Continued),0.949999988079071,ours,0.7411,0.2589
Desert,Armadillo,armadillo,Beasts of the Rim (Continued),0.550000011920929,dormant,0.6765,0.3235
Desert,Arthropleura,arthropleura,Megafauna,3.5,ours,0.7037,0.2963
Desert,Aurochs,aurochs,Megafauna,3,dormant,0.6415,0.3585
Desert,BI_Queen,queen,Better Infestations (Continued),1.7999999523162842,dormant,0.6755,0.3245
Desert,BMT_AaroxisDendoria,aaroxis dendoria,Biomes! Caverns,1,ours,0.6557,0.3443
Desert,BMT_AaroxisDendoriaLarvae,cinnabar caterpillar,Biomes! Caverns,0.800000011920929,ours,0.8193,0.1807
Desert,BMT_AaroxisDendoriaPupa,aaroxis dendoria pupa,Biomes! Caverns,1,dormant,0.7434,0.2566
Desert,BMT_AcidSlug,acid slug,Biomes! Caverns,4,dormant,0.7138,0.2862
Desert,BMT_BarbedPangolin,barbed pangolin,Biomes! Polluted Lands,2,dormant,0.4872,0.5128
Desert,BMT_Basilisk,basilisk,Biomes! Caverns,1.5,dormant,0.632,0.368
Desert,BMT_Batbird,batbird,Biomes! Caverns,0.25,dormant,0.7518,0.2482
Desert,BMT_BeardedYak,bearded yak,Biomes! Caverns,2.0999999046325684,dormant,0.7846,0.2154
Desert,BMT_BiliousVarog,bilious varog,Biomes! Polluted Lands,2.4000000953674316,dormant,0.5982,0.4018
Desert,BMT_BloodletterPetrel,bloodletter petrel,Biomes! Polluted Lands,0.3199999928474426,dormant,0.7106,0.2894
Desert,BMT_BloodropLarvae,bloodrop larvae,Biomes! Caverns,0.699999988079071,ours,0.6695,0.3305
Desert,BMT_BloodropMoth,bloodrop moth,Biomes! Caverns,0.7699999809265137,ours,0.9353,0.0647
Desert,BMT_BloodropPupa,bloodrop pupa,Biomes! Caverns,1,dormant,0.6651,0.3349
Desert,BMT_BovineBeetle,bovine beetle,Biomes! Caverns,2.450000047683716,ours,0.8473,0.1527
Desert,BMT_BovineBeetleLarvae,bovine grub,Biomes! Caverns,0.8999999761581421,ours,0.744,0.256
Desert,BMT_BovineBeetlePupa,bovine pupa,Biomes! Caverns,1,dormant,0.6503,0.3497
Desert,BMT_BrownBat,brown bat,Biomes! Caverns,0.25,dormant,0.5691,0.4309
Desert,BMT_BunkerBug,bunker bug,Biomes! Polluted Lands,4,dormant,0.6948,0.3052
Desert,BMT_CactusCrab,cactus crab,Biomes! Caverns,2.4000000953674316,dormant,0.9505,0.0495
Desert,BMT_CarrionVulture,carrion vulture,Biomes! Polluted Lands,0.3199999928474426,dormant,0.7334,0.2666
Desert,BMT_CaveCricket,cave cricket,Biomes! Caverns,0.800000011920929,ours,0.8749,0.1251
Desert,BMT_CaveLemming,cave lemming,Biomes! Caverns,1,dormant,0.6515,0.3485
Desert,BMT_CaveSpider,cave spider,Biomes! Caverns,4,ours,0.7339,0.2661
Desert,BMT_ChemSnail,chem snail,Biomes! Caverns,0.4000000059604645,ours,0.8399,0.1601
Desert,BMT_ColonyPustuleHornet,pustule hornet,Biomes! Polluted Lands,0.3199999928474426,dormant,0.8937,0.1063
Desert,BMT_ColonyPustuleHornetQueen,pustule queen,Biomes! Polluted Lands,1,dormant,0.8972,0.1028
Desert,BMT_Creature_Mantrap,mantrap,Biomes! Polluted Lands,0.7699999809265137,dormant,0.6175,0.3825
Desert,BMT_CrestedDragon,crested dragon,Biomes! Caverns,0.699999988079071,dormant,0.7465,0.2535
Desert,BMT_CrystalBeetle,crystalback beetle,Biomes! Caverns,2.450000047683716,ours,0.6258,0.3742
Desert,BMT_CrystalBeetleLarvae,crystalback grub,Biomes! Caverns,0.8999999761581421,ours,0.7099,0.2901
Desert,BMT_CrystalBeetlePupa,crystalback pupa,Biomes! Caverns,1,dormant,0.6503,0.3497
Desert,BMT_CrystalCrab,crystal crab,Biomes! Caverns,2.4000000953674316,ours,0.6755,0.3245
Desert,BMT_CrystalFairyMole,crystal fairy mole,Biomes! Caverns,0.8600000143051147,ours,0.6357,0.3643
Desert,BMT_CrystalMantis,crystal mimic mantis,Biomes! Caverns,2,ours,0.6748,0.3252
Desert,BMT_Crystalope,crystalope,Biomes! Caverns,2,ours,0.6882,0.3118
Desert,BMT_DarkAxolotl,dark axolotl,Biomes! Caverns,1,dormant,0.6174,0.3826
Desert,BMT_Diggerpede,diggerpede,Biomes! Caverns,1.5,dormant,0.9856,0.0144
Desert,BMT_FacetMoth,facet moth,Biomes! Caverns,0.7699999809265137,ours,0.6191,0.3809
Desert,BMT_FacetMothLarvae,crystalline caterpillar,Biomes! Caverns,0.699999988079071,ours,0.6707,0.3293
Desert,BMT_FacetMothPupa,facet pupa,Biomes! Caverns,1,dormant,0.6519,0.3481
Desert,BMT_FamineLocust,famine locust,Biomes! Polluted Lands,0.3199999928474426,dormant,0.6231,0.3769
Desert,BMT_FenridStoat,fenrid stoat,Biomes! Polluted Lands,1.399999976158142,dormant,0.6007,0.3993
Desert,BMT_FireSalamander,fire salamander,Biomes! Caverns,1.25,foreign,0.4739,0.5261
Desert,BMT_FleeceSpider,fleece spider,Biomes! Caverns,0.3199999928474426,dormant,0.6349,0.3651
Desert,BMT_FoundryBeetle,foundry beetle,Biomes! Caverns,2.4000000953674316,foreign,0.645,0.355
Desert,BMT_FoundryBeetleLarvae,foundry grub,Biomes! Caverns,1.7999999523162842,dormant,0.756,0.244
Desert,BMT_FoundryBeetlePupa,foundry pupa,Biomes! Caverns,1,dormant,0.6503,0.3497
Desert,BMT_FreezerFrog,freezer frog,Biomes! Caverns,0.75,dormant,0.7364,0.2636
Desert,BMT_FrostweaverSpider,frostweaver,Biomes! Caverns,2.4000000953674316,dormant,0.7637,0.2363
Desert,BMT_FungalFerret,fungal ferret,Biomes! Caverns,0.5,ours,0.9241,0.0759
Desert,BMT_FungalMantis,fungal mimic mantis,Biomes! Caverns,2,ours,0.7295,0.2705
Desert,BMT_FungalWeevil,fungal weevil,Biomes! Caverns,0.5,ours,0.9667,0.0333
Desert,BMT_GastroToad,gastro toad,Biomes! Polluted Lands,0.30000001192092896,dormant,0.6688,0.3312
Desert,BMT_Gembug,gembug,Biomes! Caverns,0.33500000834465027,ours,0.5266,0.4734
Desert,BMT_GiantSlug,giant slug,Biomes! Caverns,1.7000000476837158,ours,0.8113,0.1887
Desert,BMT_GiantSnail,giant snail,Biomes! Caverns,2.5999999046325684,ours,0.781,0.219
Desert,BMT_GlarralPenguin,glarral penguin,Biomes! Caverns,1,dormant,0.7335,0.2665
Desert,BMT_GlowBat,bioluminescent bat,Biomes! Caverns,0.25,ours,0.5102,0.4898
Desert,BMT_GlowSlug,glowslug,Biomes! Caverns,0.4000000059604645,ours,0.7469,0.2531
Desert,BMT_Glowtail,glowtail,Biomes! Polluted Lands,0.3199999928474426,dormant,0.8605,0.1395
Desert,BMT_GoetoTadpole,goeto tadpole,Biomes! Caverns,0.10000000149011612,dormant,0.867,0.133
Desert,BMT_GoetoToad,goeto toad,Biomes! Caverns,0.30000001192092896,ours,0.867,0.133
Desert,BMT_HoarfrostMastodon,hoarfrost mastodon,Biomes! Caverns,3.5,dormant,0.6779,0.3221
Desert,BMT_HungeringHydra,hungering hydra,Biomes! Caverns,5.5,dormant,0.7469,0.2531
Desert,BMT_ImperialToad,imperial toad,Biomes! Caverns,0.30000001192092896,dormant,0.8536,0.1464
Desert,BMT_Jellypot,jellypot,Biomes! Caverns,0.6499999761581421,dormant,0.9022,0.0978
Desert,BMT_JewelBeetle,jewel beetle,Biomes! Caverns,2.450000047683716,dormant,0.5504,0.4496
Desert,BMT_JewelBeetleLarvae,jewel grub,Biomes! Caverns,0.8999999761581421,dormant,0.8133,0.1867
Desert,BMT_JewelBeetlePupa,jewel pupa,Biomes! Caverns,1,dormant,0.6503,0.3497
Desert,BMT_LandOctopus,terrestrial octopus,Biomes! Core,0.800000011920929,dormant,0.7351,0.2649
Desert,BMT_MaceDrake,mace drake,Biomes! Caverns,3.5,dormant,0.656,0.344
Desert,BMT_Maguana,maguana,Biomes! Caverns,2.0999999046325684,foreign,0.8251,0.1749
Desert,BMT_Maligoat,maligoat,Biomes! Polluted Lands,1,dormant,0.7159,0.2841
Desert,BMT_Maxolotl,maxolotl,Biomes! Core,2.4000000953674316,ours,0.6147,0.3853
Desert,BMT_Megabat,megabat,Biomes! Caverns,2.200000047683716,dormant,0.608,0.392
Desert,BMT_Megakrill,megakrill,Biomes! Polluted Lands,0.20000000298023224,dormant,0.6299,0.3701
Desert,BMT_Megaphorid,megaphorid,Biomes! Polluted Lands,0.6000000238418579,dormant,0.633,0.367
Desert,BMT_MegaphoridLarva,megaphorid maggot,Biomes! Polluted Lands,0.3199999928474426,dormant,0.6237,0.3763
Desert,BMT_Megapleura,megapleura,Biomes! Caverns,2.4000000953674316,ours,0.5722,0.4278
Desert,BMT_Megaroach,megaroach,Biomes! Polluted Lands,0.20000000298023224,dormant,0.726,0.274
Desert,BMT_MetalloSnail,metallosnail,Biomes! Caverns,0.8500000238418579,foreign,0.6121,0.3879
Desert,BMT_Mole,mole,Biomes! Caverns,0.4000000059604645,dormant,0.5624,0.4376
Desert,BMT_Molebear,Molebear,Biomes! Caverns,2.1500000953674316,dormant,0.6313,0.3687
Desert,BMT_MossBeetle,moss beetle,Biomes! Caverns,0.44999998807907104,ours,0.6631,0.3369
