defName,label,mod,bodySize,status,cluster,hue,sat,val,aspect,spiky
AA_ChameleonYak,chameleon yak,Alpha Animals,2.5,ours,14,0.0609,0.233,0.226,0.938,0.979
AA_ChemfuelMyrmidon,chemfuel myrmidon,Alpha Animals,1.5,ours,4,0.0634,0.147,0.234,0.49,1.685
AA_Cinderlisk,cinderlisk,Alpha Animals,2.5,ours,21,0.0814,0.134,0.328,0.787,1.173
AA_ColossalAerofleet,colossal aerofleet,Alpha Animals,2,dormant,19,0.5671,0.311,0.53,0.534,1.606
AA_CrepuscularBeetle,Crepuscular Beetle,Alpha Animals,3,ours,16,0.6456,0.21,0.138,0.51,1.645
AA_CrescendoAnole,crescendo anole,Alpha Animals,0.30000001192092896,ours,21,0.1053,0.359,0.164,0.353,1.315
AA_CrystalMit,crystalmit,Alpha Animals,0.5,ours,8,0.5885,0.509,0.391,0.714,1.531
AA_CrystallineCaracal,crystalline caracal,Alpha Animals,0.800000011920929,dormant,3,0.8259,0.533,0.465,0.452,1.397
AA_DarkVandal,dark vandal,Alpha Animals,1.2000000476837158,ours,10,0.6695,0.195,0.147,0.529,1.166
AA_Darkbeast,darkbeast,Alpha Animals,1.5,ours,6,0.6747,0.497,0.131,0.51,1.514
AA_DecayDrake,decay drake,Alpha Animals,1,ours,23,0.2066,0.428,0.272,0.741,2.243
AA_DesertAve,desert ave,Alpha Animals,1,ours,22,0.1117,0.405,0.438,0.773,1.466
AA_DevilSheep,devil sheep,Alpha Animals,0.5,dormant,3,0.0073,0.493,0.393,0.905,0.908
AA_Drainer,drainer,Alpha Animals,0.5,ours,17,0.5141,0.838,0.609,1.047,1.205
AA_DrainerLarva,drainer larva,Alpha Animals,0.10000000149011612,ours,16,0.6089,0.382,0.192,0.364,1.109
AA_Dunealisk,dunealisk,Alpha Animals,2,ours,22,0.1186,0.395,0.514,0.742,1.168
AA_DunealiskClutchMother,dunealisk clutch mother,Alpha Animals,3,dormant,22,0.1181,0.432,0.5,0.788,1.291
AA_DuskProwler,dusk prowler,Alpha Animals,1.5,ours,10,0.6802,0.189,0.109,0.364,1.957
AA_DuskRat,dusk rat,Alpha Animals,0.15000000596046448,ours,16,0.6314,0.194,0.125,0.37,1.268
AA_EmpressButterfly,Empress butterfly,Alpha Animals,0.75,foreign,9,0.5653,0.379,0.401,1.078,2.176
AA_EmpressButterflyLarva,Empress butterfly larva,Alpha Animals,0.10000000149011612,foreign,21,0.0614,0.194,0.402,0.382,1.151
AA_EngorgedTentacularAberration,engorged tentacular aberration,Alpha Animals,6,dormant,9,0.0112,0.569,0.387,1.699,2.942
AA_Erin,erin,Alpha Animals,1,ours,21,0.1402,0.278,0.199,0.412,1.242
AA_Eyeling,ikee,Alpha Animals,0.4000000059604645,ours,14,0.0404,0.429,0.397,0.944,1.451
AA_Feralisk,feralisk,Alpha Animals,1,ours,4,0.03,0.342,0.187,0.833,1.064
AA_FeraliskClutchMother,feralisk clutch mother,Alpha Animals,3,dormant,4,0.0256,0.331,0.184,0.824,1.192
AA_FireWasp,fire wasp,Alpha Animals,0.7900000214576721,ours,9,0.0806,0.53,0.289,1.233,2.426
AA_FissionMouse,fission mouse,Alpha Animals,0.5,ours,2,0.0705,0.19,0.465,0.701,1.487
AA_FissionMouseSecond,"fission mouse, second generation",Alpha Animals,0.5,dormant,2,0.0705,0.19,0.465,0.701,1.487
AA_FissionMouseThird,"fission mouse, third generation",Alpha Animals,0.5,dormant,2,0.0705,0.19,0.465,0.701,1.487
AA_FlamingoPhoenix,flamingo phoenix,Alpha Animals,0.6000000238418579,dormant,3,0.9547,0.458,0.691,0.673,1.256
AA_FrostAve,frost ave,Alpha Animals,1.2999999523162842,foreign,18,0.6275,0.103,0.626,0.747,1.549
AA_FrostLynx,frost lynx,Alpha Animals,2,dormant,16,0.5941,0.094,0.372,0.32,1.412
AA_FrostboundBehemoth,frostbound behemoth,Alpha Animals,3,ours,18,0.6299,0.063,0.721,0.589,1.009
AA_Frostling,frostling,Alpha Animals,1.5,ours,18,0.6051,0.037,0.634,0.487,1.33
AA_Frostmite,frostmite,Alpha Animals,0.5,ours,18,0.6118,0.043,0.698,0.657,1.0
AA_FungalHusk,fungal husk,Alpha Animals,1,dormant,4,0.0162,0.351,0.343,0.854,1.441
AA_Gallatross,gallatross,Alpha Animals,6,dormant,6,0.7887,0.117,0.52,1.011,1.003
AA_GallatrossMoribund,moribund gallatross,Alpha Animals,6,foreign,6,0.7793,0.111,0.504,1.011,1.003
AA_Genix,genix,Alpha Animals,2,dormant,17,0.323,0.156,0.417,0.387,1.509
AA_GiantCrownedSilkie,giant crowned silkie,Alpha Animals,1.100000023841858,ours,2,0.5881,0.291,0.33,0.552,1.439
AA_Gigantelope,gigantelope,Alpha Animals,2,ours,5,0.0861,0.449,0.398,0.581,1.324
AA_GreatDevourer,great devourer,Alpha Animals,2.5,ours,14,0.042,0.609,0.344,1.065,1.232
AA_GreenGoo,green goo,Alpha Animals,0.5,ours,23,0.1806,0.46,0.403,1.212,1.148
AA_GreyCoatedMouflon,Grey-Coated Mouflon,Alpha Animals,0.800000011920929,ours,4,0.051,0.182,0.24,0.625,1.102
AA_Groundrunner,groundrunner,Alpha Animals,2,ours,22,0.0899,0.511,0.474,1.039,1.004
AA_Helixien,helixien,Alpha Animals,4,ours,15,0.0628,0.549,0.413,0.754,1.352
AA_InfectedAerofleet,infected aerofleet,Alpha Animals,0.20000000298023224,ours,14,0.01,0.574,0.332,0.889,1.059
AA_IronhuskBeetle,ironhusk beetle,Alpha Animals,2.5,dormant,4,0.0722,0.15,0.346,0.762,0.916
AA_Junglelisk,junglelisk,Alpha Animals,1,ours,23,0.1895,0.384,0.333,0.778,1.074
AA_LarvalAtispec,larval atispec,Alpha Animals,0.10000000149011612,ours,14,0.0004,0.415,0.487,0.915,0.982
AA_Lockjaw,lockjaw,Alpha Animals,2.5,ours,7,0.2526,0.117,0.396,0.744,0.918
AA_Locusts,locusts,Alpha Animals,0.009999999776482582,dormant,9,0.1481,0.108,0.7,3.167,1.915
AA_LuciferBug,luciferbug,Alpha Animals,0.15000000596046448,ours,4,0.0533,0.018,0.194,0.775,1.373
AA_MammothWorm,mammoth worm,Alpha Animals,3,ours,3,0.9493,0.115,0.277,0.739,1.009
AA_Mantrap,mantrap,Alpha Animals,2,ours,23,0.1863,0.455,0.35,0.66,1.992
AA_MatureFleshbeast,mature fleshbeast,Alpha Animals,6,ours,15,0.0055,0.478,0.5,0.67,1.285
AA_MeadowAve,meadow ave,Alpha Animals,1.2000000476837158,ours,8,0.6397,0.375,0.466,0.711,1.146
AA_MegaLouse,megalouse,Alpha Animals,0.5,ours,3,0.956,0.094,0.214,0.587,1.127
AA_Metallovore,metallovore,Alpha Animals,2,ours,10,0.7655,0.297,0.156,0.948,2.111
AA_Mime,mime,Alpha Animals,1,dormant,21,0.06,0.091,0.155,0.489,1.076
AA_Murkling,murkling,Alpha Animals,0.3499999940395355,ours,10,0.6836,0.16,0.111,0.464,2.112
AA_MycoidColossus,mycoid colossus,Alpha Animals,6,ours,4,0.9416,0.145,0.387,0.739,1.388
AA_Needlepost,needlepost,Alpha Animals,0.7900000214576721,ours,23,0.1932,0.418,0.377,0.491,1.298
AA_Needleroll,needleroll,Alpha Animals,0.15000000596046448,ours,23,0.1927,0.495,0.52,1.2,1.263
AA_NightAve,night ave,Alpha Animals,1.100000023841858,ours,10,0.6702,0.196,0.1,0.675,1.42
AA_NightMule,nightmule,Alpha Animals,2.799999952316284,ours,10,0.6708,0.191,0.109,0.455,1.258
AA_NightRam,nightram,Alpha Animals,2.5,ours,10,0.6687,0.191,0.14,0.372,1.239
AA_Nightling,nightling,Alpha Animals,1,ours,10,0.6699,0.194,0.105,0.495,1.173
AA_OcularJelly,ocular jelly,Alpha Animals,0.5,ours,14,0.0055,0.574,0.494,1.981,1.051
AA_OcularNightling,ocular nightling,Alpha Animals,1.2000000476837158,dormant,3,0.0043,0.524,0.23,0.5,1.422
AA_OvergrownColossus,overgrown colossus,Alpha Animals,6,ours,12,0.3334,0.558,0.282,0.733,1.849
AA_PebbleMit,pebblemit,Alpha Animals,0.5,ours,14,0.0412,0.392,0.33,0.923,1.033
AA_PedigreedRaptor,pedigreed raptor,Alpha Animals,0.75,ours,2,0.066,0.15,0.349,1.016,1.655
AA_PhoenixOwlcat,phoenix owlcat,Alpha Animals,0.20000000298023224,dormant,0,0.0845,0.088,0.498,0.423,1.275
AA_Plasmorph,plasmorph,Alpha Animals,1,ours,9,0.0755,0.31,0.343,0.843,2.105
AA_Radyak,radyak,Alpha Animals,2.5,ours,7,0.3401,0.123,0.543,0.537,1.106
AA_RaptorShrimp,raptor shrimp,Alpha Animals,1.399999976158142,ours,9,0.1499,0.221,0.277,1.21,2.245
AA_Ravager,ravager,Alpha Animals,2.5,ours,3,0.9822,0.077,0.254,0.714,1.838
AA_RayHound,ray-hound,Alpha Animals,1.5,ours,9,0.1088,0.048,0.412,0.446,1.866
AA_Razorjack,razorjack,Alpha Animals,1,ours,5,0.0881,0.463,0.404,0.465,1.26
AA_RedGoo,red goo,Alpha Animals,0.5,ours,14,0.0221,0.698,0.464,1.212,1.148
AA_RedSpore,red spore,Alpha Animals,2,ours,15,0.0159,0.634,0.309,0.695,2.04
AA_RipperHound,ripper hound,Alpha Animals,1.5,ours,3,0.087,0.138,0.46,0.679,0.995
AA_RoughPlatedMonitor,rough-plated monitor,Alpha Animals,2,ours,15,0.0551,0.51,0.311,0.34,1.478
AA_RoyalAve,royal ave,Alpha Animals,1.100000023841858,ours,8,0.6381,0.228,0.388,0.675,1.725
AA_SandLion,sand lion,Alpha Animals,2,ours,15,0.0627,0.427,0.485,0.409,1.32
AA_SandProwler,sand prowler,Alpha Animals,2,ours,4,0.0385,0.09,0.385,0.4,1.214
AA_SandSquid,sand squid,Alpha Animals,2,ours,2,0.6113,0.274,0.358,0.554,1.833
AA_ShadowCharger,shadow charger,Alpha Animals,2.5,ours,10,0.0706,0.169,0.135,0.519,1.237
AA_ShockGoat,shock goat,Alpha Animals,0.6499999761581421,ours,0,0.0727,0.218,0.482,0.74,1.095
AA_Skiphound,skiphound,Alpha Animals,0.7900000214576721,ours,1,0.2381,0.216,0.31,0.529,1.53
AA_Skyeel,arcturan sky eel,Alpha Animals,0.25,dormant,8,0.5888,0.224,0.506,0.36,1.425
AA_Slurrypede,slurrypede,Alpha Animals,2,ours,4,0.1569,0.103,0.345,0.986,0.942
AA_SmallButterfly,small butterflies,Alpha Animals,0.009999999776482582,dormant,10,0.691,0.443,0.301,1.091,1.27
AA_SpinedGow,spined gow,Alpha Animals,2.75,ours,17,0.3906,0.059,0.457,0.419,1.283
AA_SummitCrab,summit crab,Alpha Animals,15,dormant,15,0.0472,0.313,0.416,0.88,1.147
AA_Swarmling,swarmling,Alpha Animals,0.30000001192092896,ours,15,0.0397,0.558,0.282,0.471,1.293
AA_TarGuzzler,tar guzzler,Alpha Animals,2,ours,10,0.8627,0.223,0.133,1.218,1.95
AA_TeratogenicOriginator,teratogenic originator,Alpha Animals,5,ours,0,0.0734,0.22,0.677,1.2,1.038
AA_Terramorph,terramorph,Alpha Animals,1.5,ours,8,0.5775,0.468,0.331,0.875,1.968
AA_TetraSlug,tetra slug,Alpha Animals,5,ours,4,0.0655,0.265,0.404,0.92,0.94
AA_Thermadon,thermadon,Alpha Animals,1.5,ours,3,0.9505,0.099,0.233,0.452,1.664
AA_Thunderbeast,thunderbeast,Alpha Animals,1.5,ours,17,0.4925,0.216,0.247,0.51,1.466
AA_Thunderox,thunderox,Alpha Animals,2.5,ours,10,0.6771,0.188,0.114,0.611,1.082
AA_UnblinkingEye,unblinking eye,Alpha Animals,7,dormant,15,0.0148,0.519,0.531,0.672,1.775
AA_Wildpawn,wildpawn,Alpha Animals,1.399999976158142,ours,22,0.0897,0.455,0.361,1.0,1.447
AA_Wildpod,wildpod,Alpha Animals,4,ours,22,0.1219,0.369,0.423,0.905,1.579
AA_WindBeast,windbeast,Alpha Animals,1.5,ours,17,0.4243,0.394,0.231,0.515,1.662
AG_OcularSlinger,ocular slinger,Alpha Genes,2.5,dormant,15,0.0064,0.597,0.297,0.893,1.596
AM_Apoptosis,apoptosis,Alpha Mechs,1,dormant,9,0.2095,0.08,0.304,1.025,2.828
AM_Aura,aura,Alpha Mechs,1,dormant,9,0.2074,0.079,0.374,1.419,3.013
AM_Blitzkrieg,blitzkrieg,Alpha Mechs,0.699999988079071,dormant,13,0.2451,0.079,0.401,1.299,0.996
AM_Daggersnout,daggersnout,Alpha Mechs,1,dormant,13,0.2255,0.033,0.287,1.059,1.091
AM_Demolisher,demolisher,Alpha Mechs,4,dormant,13,0.2239,0.048,0.268,0.72,1.577
AM_Dryad_Corruptor,corruptor dryad,Alpha Memes,0.6669999957084656,dormant,15,0.0,0.524,0.294,0.585,1.766
AM_Dryad_Ocular,ocular dryad,Alpha Memes,0.6669999957084656,dormant,14,0.0057,0.562,0.369,0.651,1.465
AM_Dryad_Spitter,spitter dryad,Alpha Memes,0.6499999761581421,dormant,14,0.0415,0.542,0.588,0.831,1.064
AM_Dryad_Tumorous,tumorous dryad,Alpha Memes,0.6669999957084656,dormant,14,0.0,0.389,0.243,0.842,0.993
AM_Dryad_Unstable,unstable dryad,Alpha Memes,0.6499999761581421,dormant,14,0.0701,0.659,0.476,0.841,0.989
AM_Fireworm,fireworm,Alpha Mechs,1.7999999523162842,dormant,22,0.095,0.3,0.38,0.562,0.988
AM_Goliath,goliath,Alpha Mechs,1.7999999523162842,dormant,13,0.2278,0.04,0.278,0.915,1.976
AM_Infernus,infernus,Alpha Mechs,4,dormant,0,0.1192,0.171,0.53,1.019,1.088
AM_Mech_Artilleron,artilleron,Alpha Mechs,0.949999988079071,dormant,10,0.8914,0.005,0.527,0.488,1.132
AM_Mech_Bellicor,bellicor,Alpha Mechs,0.949999988079071,dormant,13,0.2026,0.077,0.479,0.757,1.187
AM_Mech_Geneticor,geneticor,,0.699999988079071,dormant,13,0.2386,0.074,0.31,1.01,1.581
AM_Mech_Guttersnipe,guttersnipe,Alpha Mechs,0.699999988079071,dormant,13,0.2343,0.082,0.374,1.08,1.389
AM_Mech_Legate,legate,Alpha Mechs,3.5999999046325684,dormant,13,0.2315,0.053,0.327,0.694,1.793
AM_Mech_Lux,lux,Alpha Mechs,1,dormant,13,0.2359,0.06,0.415,0.865,1.841
AM_Mech_MasterChef,culinarius,Alpha Mechs,0.699999988079071,dormant,13,0.22,0.057,0.336,0.487,1.392
AM_Mech_Munifex,munifex,Alpha Mechs,1,dormant,13,0.2259,0.052,0.303,0.789,1.568
AM_Mech_Optio,optio,Alpha Mechs,1,dormant,13,0.2039,0.071,0.442,0.905,1.428
AM_Mech_Polychoron,polychoron,Alpha Mechs,1.2000000476837158,dormant,13,0.2003,0.066,0.444,0.734,1.342
AM_Mech_PristineAssembler,pristine assembler,Alpha Mechs,2,dormant,13,0.2055,0.043,0.334,0.671,1.045
AM_Mech_PristineSlurrypede,pristine slurrypede,Alpha Mechs,2,dormant,4,0.1602,0.105,0.346,0.986,0.947
AM_Mech_Sagittarius,sagittarius,Alpha Mechs,1,dormant,13,0.2283,0.068,0.4,0.513,1.334
AM_Mech_TurboCleaner,turbocleaner,Alpha Mechs,0.20000000298023224,dormant,13,0.2447,0.091,0.406,1.735,1.408
AM_Phalanx,phalanx,Alpha Mechs,1.7000000476837158,dormant,13,0.218,0.029,0.261,0.529,1.589
AM_PristineStrider,pristine strider,Alpha Mechs,1,dormant,13,0.2324,0.091,0.465,0.625,1.072
AM_Siegebreaker,siegebreaker,Alpha Mechs,4,dormant,13,0.2318,0.05,0.315,0.648,1.153
AM_Siegemelter,siegemelter,Alpha Mechs,4,dormant,13,0.2476,0.048,0.312,0.673,1.062
AM_Starfire,starfire,Alpha Mechs,4,dormant,13,0.2274,0.033,0.271,0.631,1.069
AM_UnshackledDryad,unshackled dryad,Alpha Memes,0.6669999957084656,dormant,7,0.256,0.111,0.467,0.967,1.092
AM_WarEmpress,war empress,Alpha Mechs,5,dormant,2,0.2355,0.087,0.386,0.857,1.6
AV_Balloon,Balloon,Alpha Vehicles - Neolithic,5,dormant,8,0.6501,0.374,0.606,0.667,1.836
AV_Chariot,Chariot,Alpha Vehicles - Neolithic,2,dormant,9,0.0946,0.141,0.411,0.66,2.037
AV_CoveredCarriage,Covered Carriage,Alpha Vehicles - Neolithic,2.5,dormant,0,0.0586,0.141,0.573,0.439,2.249
AV_DogSled,eopie sled,Alpha Vehicles - Neolithic,2,dormant,6,0.6938,0.022,0.518,0.259,2.86
AV_Hwacha,Hwacha,Alpha Vehicles - Neolithic,1,dormant,0,0.0548,0.06,0.556,0.6,1.531
AV_OutriggerCanoe,Outrigger Canoe,Alpha Vehicles - Neolithic,1.5499999523162842,dormant,2,0.0908,0.041,0.498,0.583,2.448
AV_OxCart,Ox cart,Alpha Vehicles - Neolithic,4,dormant,9,0.0,0.0,0.496,0.535,3.192
AV_Palanquin,Palanquin,Alpha Vehicles - Neolithic,1,dormant,20,0.5245,0.05,0.434,0.33,2.238
AV_Rickshaw,Rickshaw,Alpha Vehicles - Neolithic,1,dormant,18,0.0,0.0,0.496,0.447,2.035
AV_RowBoat,Row boat,Alpha Vehicles - Neolithic,1,dormant,9,0.1086,0.084,0.464,1.042,1.626
AV_WarChariot,War chariot,Alpha Vehicles - Neolithic,2.5,dormant,16,0.4802,0.046,0.346,0.58,2.286
AV_Wheelbarrow,Wheelbarrow,Alpha Vehicles - Neolithic,1,dormant,18,0.0,0.0,0.53,0.5,1.906
Acklay,acklay,Star Wars Animal Collection (Continued),3,ours,20,0.4647,0.412,0.315,1.113,2.152
Aiwha,aiwha,Star Wars Animal Collection (Continued),3,foreign,23,0.2089,0.332,0.304,1.073,1.45
Akk,akk,Star Wars Animal Collection (Continued),3,ours,2,0.0247,0.734,0.404,0.622,1.359
Alligator,alligator,Odyssey,1.5,dormant,16,0.5926,0.192,0.318,0.317,1.443
AlligatorMan,alligator man,Beasts of the Rim (Continued),1,dormant,2,0.0856,0.337,0.296,0.88,1.166
Alpaca,alpaca,Core,1,ours,11,0.1129,0.198,0.51,0.513,1.121
AlphaThrumbo,alpha thrumbo,Odyssey,5,dormant,18,0.5575,0.049,0.576,0.455,1.557
Alphabeaver,alphabeaver,Core,0.44999998807907104,dormant,14,0.0398,0.294,0.29,0.619,1.051
Andrewsarchus,andrewsarchus,Megafauna,5,dormant,22,0.1192,0.392,0.516,0.737,1.045
Anooba,anooba,Star Wars Animal Collection (Continued),0.949999988079071,ours,18,0.1317,0.096,0.411,0.266,1.477
Armadillo,armadillo,Beasts of the Rim (Continued),0.550000011920929,dormant,4,0.0168,0.073,0.341,0.52,1.161
Arthropleura,arthropleura,Megafauna,3.5,ours,12,0.1844,0.03,0.511,0.732,0.999
Aurochs,aurochs,Megafauna,3,dormant,21,0.0532,0.166,0.24,0.679,1.048
BI_Queen,queen,Better Infestations (Continued),1.7999999523162842,dormant,10,0.8333,0.002,0.501,0.736,2.172
BMT_AaroxisDendoria,aaroxis dendoria,Biomes! Caverns,1,ours,4,0.9985,0.041,0.348,0.935,1.024
BMT_AaroxisDendoriaLarvae,cinnabar caterpillar,Biomes! Caverns,0.800000011920929,ours,0,0.0187,0.147,0.505,0.52,1.008
BMT_AaroxisDendoriaPupa,aaroxis dendoria pupa,Biomes! Caverns,1,dormant,0,0.0,0.076,0.557,2.2,1.103
BMT_AcidSlug,acid slug,Biomes! Caverns,4,dormant,3,0.9248,0.574,0.431,0.701,1.341
BMT_BarbedPangolin,barbed pangolin,Biomes! Polluted Lands,2,dormant,4,0.0571,0.095,0.124,0.727,0.993
BMT_Basilisk,basilisk,Biomes! Caverns,1.5,dormant,3,0.7026,0.281,0.263,0.318,1.312
BMT_Batbird,batbird,Biomes! Caverns,0.25,dormant,3,0.0286,0.571,0.52,1.05,1.423
BMT_BeardedYak,bearded yak,Biomes! Caverns,2.0999999046325684,dormant,11,0.1265,0.111,0.511,0.92,1.329
BMT_BiliousVarog,bilious varog,Biomes! Polluted Lands,2.4000000953674316,dormant,13,0.1749,0.094,0.234,0.842,1.034
BMT_BloodletterPetrel,bloodletter petrel,Biomes! Polluted Lands,0.3199999928474426,dormant,4,0.0076,0.187,0.298,0.778,1.041
BMT_BloodropLarvae,bloodrop larvae,Biomes! Caverns,0.699999988079071,ours,0,0.0,0.016,0.607,0.657,1.075
BMT_BloodropMoth,bloodrop moth,Biomes! Caverns,0.7699999809265137,ours,14,0.0,0.318,0.535,1.422,1.509
BMT_BloodropPupa,bloodrop pupa,Biomes! Caverns,1,dormant,14,0.0022,0.632,0.406,2.479,1.131
BMT_BovineBeetle,bovine beetle,Biomes! Caverns,2.450000047683716,ours,13,0.2212,0.182,0.498,1.016,0.89
BMT_BovineBeetleLarvae,bovine grub,Biomes! Caverns,0.8999999761581421,ours,0,0.0618,0.076,0.556,0.52,1.024
BMT_BovineBeetlePupa,bovine pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_BrownBat,brown bat,Biomes! Caverns,0.25,dormant,16,0.728,0.197,0.185,1.786,1.343
BMT_BunkerBug,bunker bug,Biomes! Polluted Lands,4,dormant,21,0.1556,0.137,0.309,0.52,1.181
BMT_CactusCrab,cactus crab,Biomes! Caverns,2.4000000953674316,dormant,22,0.1072,0.29,0.538,1.174,1.454
BMT_CarrionVulture,carrion vulture,Biomes! Polluted Lands,0.3199999928474426,dormant,0,0.0519,0.07,0.449,0.918,1.118
BMT_CaveCricket,cave cricket,Biomes! Caverns,0.800000011920929,ours,9,0.0728,0.242,0.433,1.067,1.889
BMT_CaveLemming,cave lemming,Biomes! Caverns,1,dormant,16,0.5961,0.107,0.3,0.598,0.954
BMT_CaveSpider,cave spider,Biomes! Caverns,4,ours,9,0.0778,0.173,0.327,1.096,1.904
BMT_ChemSnail,chem snail,Biomes! Caverns,0.4000000059604645,ours,11,0.1215,0.167,0.5,0.741,1.011
BMT_ColonyPustuleHornet,pustule hornet,Biomes! Polluted Lands,0.3199999928474426,dormant,13,0.2205,0.272,0.462,0.685,1.862
BMT_ColonyPustuleHornetQueen,pustule queen,Biomes! Polluted Lands,1,dormant,13,0.2196,0.269,0.469,1.016,1.878
BMT_Creature_Mantrap,mantrap,Biomes! Polluted Lands,0.7699999809265137,dormant,2,0.2255,0.134,0.233,1.041,2.34
BMT_CrestedDragon,crested dragon,Biomes! Caverns,0.699999988079071,dormant,15,0.0759,0.377,0.301,0.382,1.239
BMT_CrystalBeetle,crystalback beetle,Biomes! Caverns,2.450000047683716,ours,19,0.5912,0.272,0.298,1.141,1.097
BMT_CrystalBeetleLarvae,crystalback grub,Biomes! Caverns,0.8999999761581421,ours,0,0.0642,0.042,0.462,0.565,0.996
BMT_CrystalBeetlePupa,crystalback pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_CrystalCrab,crystal crab,Biomes! Caverns,2.4000000953674316,ours,19,0.5681,0.415,0.521,0.661,1.144
BMT_CrystalFairyMole,crystal fairy mole,Biomes! Caverns,0.8600000143051147,ours,19,0.5706,0.216,0.746,0.652,1.009
BMT_CrystalMantis,crystal mimic mantis,Biomes! Caverns,2,ours,19,0.5707,0.313,0.407,0.747,1.789
BMT_Crystalope,crystalope,Biomes! Caverns,2,ours,19,0.5681,0.156,0.692,0.717,1.096
BMT_DarkAxolotl,dark axolotl,Biomes! Caverns,1,dormant,4,0.0,0.066,0.274,0.448,1.46
BMT_Diggerpede,diggerpede,Biomes! Caverns,1.5,dormant,22,0.0815,0.313,0.51,1.0,0.958
BMT_FacetMoth,facet moth,Biomes! Caverns,0.7699999809265137,ours,19,0.5645,0.417,0.682,1.351,1.444
BMT_FacetMothLarvae,crystalline caterpillar,Biomes! Caverns,0.699999988079071,ours,19,0.5675,0.42,0.554,0.635,1.026
BMT_FacetMothPupa,facet pupa,Biomes! Caverns,1,dormant,19,0.5474,0.444,0.625,2.179,1.089
BMT_FamineLocust,famine locust,Biomes! Polluted Lands,0.3199999928474426,dormant,13,0.2258,0.071,0.277,0.649,1.381
BMT_FenridStoat,fenrid stoat,Biomes! Polluted Lands,1.399999976158142,dormant,4,0.0434,0.124,0.22,0.387,1.282
