species,implementations,recommended_source,recommended_defName,rec_mech_genes,rec_total_genes,rec_combatPowerFactor,rec_unresolved_genes,outerrim_defName,outerrim_mech,outerrim_total,swxeno_defName,swxeno_mech,swxeno_total,btd_defName,btd_mech,btd_total,recommended_mechanical_gene_list
Falleen,2,BTD,BTD_Falleen,15,29,1.0,0,,,,guy762_xenotype_falleen,7,13,BTD_Falleen,15,29,guy762_statgene_metabolismcheat guy762_lifespan_double Turn_Gene_Certain Turn_Gene_TraitGrandeur MinTemp_SmallIncrease MaxTemp_LargeIncrease MeleeDamage_Strong Pain_Reduced Outland_EggLayer Outland_DeceleratedPregnancy Turn_Gene_HighBeautyStandard Outland_WebbedFeet Outland_RidgedSkin Outland_ThickSkin AptitudeStrong_Social
Feeorin,2,BTD,BTD_Feeorin,11,25,1.0,0,,,,guy762_xenotype_feeorin,6,17,BTD_Feeorin,11,25,TotalHealing guy762_BodySizeGene_bigger guy762_lifespan_quad Turn_Gene_TraitGrandeur Aggression_Aggressive MeleeDamage_Strong Robust Outland_EggLayer Outland_ThickSkin AptitudePoor_Plants AptitudePoor_Medicine
Gamorrean,2,BTD,BTD_Gamorrean,17,28,1.0,0,,,,guy762_xenotype_gamorrean,13,24,BTD_Gamorrean,17,28,guy762_BodySizeGene_big WoundHealing_Slow Turn_Gene_HerdMentality Aggression_Aggressive Robust Beauty_VeryUgly Nose_Pig StrongStomach RobustDigestion Learning_Slow GS_Primitive Unstoppable AptitudeStrong_Shooting AptitudeRemarkable_Melee AptitudeTerrible_Crafting AptitudeTerrible_Social AptitudeTerrible_Intellectual
Gand,2,BTD,BTD_Gand,13,26,1.0,0,,,,guy762_xenotype_gand,13,24,BTD_Gand,13,26,guy762_BodySizeGene_small guy762_lifespan_half PsychicAbility_Enhanced Turn_Gene_MeditationNeed MinTemp_SmallIncrease Pain_Reduced Outland_EggLayer Beauty_VeryUgly Hands_Pig DarkVision Outland_InsectBody AptitudeStrong_Construction AptitudeStrong_Crafting
GeonosianVariants,3,BTD,BTD_Geonosian,15,24,0.7,0,OuterRim_Geonosian,8,14,guy762_xenotype_geonosian_drone,13,23,BTD_Geonosian,15,24,guy762_BodySizeGene_small MeleeDamage_Weak Pain_Extra Outland_EggLayer Beauty_Ugly OuterRim_GeonosianHead Outland_Wings_Insect Outland_InsectBody Outland_AcceleratedAgeing Outland_AcceleratedMaturation Turn_Gene_MotivationHigh AptitudeRemarkable_Construction AptitudeRemarkable_Crafting AptitudeTerrible_Social AptitudeTerrible_Intellectual
Gungan,3,SWXeno,guy762_xenotype_gungan,10,20,1.4,0,OuterRim_Gungan,4,8,guy762_xenotype_gungan,10,20,BTD_Gungan,8,13,guy762_statgene_amphibious Turn_Gene_Certain guy762_AbilityGene_JumpLegs guy762_lifespan_half Turn_Gene_SlowNeuralHeat MaxTemp_SmallDecrease UVSensitivity_Mild Turn_Gene_Duelist Robust RobustDigestion
Herglic,2,BTD,BTD_Herglic,8,13,1.0,0,OuterRim_Herglic,3,8,,,,BTD_Herglic,8,13,MeleeDamage_Strong OuterRim_HerglicHead Outland_ThickSkin Outland_BodyScale_Large AptitudeStrong_Melee AptitudePoor_Medicine AptitudePoor_Social AptitudePoor_Intellectual
Hutt,2,SWXeno,guy762_xenotype_hutt,17,30,1.5,0,,,,guy762_xenotype_hutt,17,30,BTD_Hutt,14,32,BS_Fast_TotalHealing guy762_BodySizeGene_biggest guy762_lifespan_nine Immunity_SuperStrong PsychicAbility_Dull NakedSpeed Turn_Gene_TraitGrandeur MaxTemp_SmallIncrease Sleepy Robust VU_Hermaphromorph Beauty_VeryUgly StrongStomach DarkVision guy762_Tail_hutt AptitudeRemarkable_Social AptitudeRemarkable_Intellectual
Iktotchi,2,BTD,BTD_Iktotchi,9,15,1.0,0,OuterRim_Iktotchi,2,7,,,,BTD_Iktotchi,9,15,Immunity_Weak PsychicAbility_Enhanced Turn_Gene_FastNeuralHeat MinTemp_SmallIncrease Outland_DeceleratedPregnancy OuterRim_IktotchiHead Hands_Pig Outland_ThickSkin Outland_Evasive
Iridonian (Zabrak),3,BTD,BTD_Iridonian,4,11,1.0,0,OuterRim_Iridonian,0,4,guy762_xenotype_zabrak,2,4,BTD_Iridonian,4,11,Aggression_Aggressive MeleeDamage_Strong Turn_Gene_Duelist Outland_LowFertility
Ithorian,3,BTD,BTD_Ithorian,10,19,1.0,0,OuterRim_Ithorian,3,12,guy762_xenotype_ithorian,8,17,BTD_Ithorian,10,19,guy762_BodySizeGene_big MoveSpeed_Slow Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_IthorianHead ElongatedFingers StrongStomach RobustDigestion Outland_UnusualSpeech AptitudeStrong_Plants
Jawa,3,BTD,BTD_Jawa,12,21,1.0,0,OuterRim_Jawa,4,8,guy762_xenotype_jawa,11,18,BTD_Jawa,12,21,guy762_BodySizeGene_smaller WoundHealing_Slow Superclotting MaxTemp_LargeIncrease MeleeDamage_Weak Turn_Gene_Terrified Pain_Extra DarkVision Hair_Grayless AptitudeStrong_Construction AptitudeStrong_Crafting AptitudeStrong_Social
Kage,1,SWXeno,Lee_xenotype_kage,7,15,1.4,0,,,,Lee_xenotype_kage,7,15,,,,Beauty_Beautiful MeleeDamage_Strong guy762_statgene_metabolismcheat UVSensitivity_Intense MoveSpeed_Quick Turn_Gene_Duelist Lee_traitgene_GreatMemory
Kaleesh,3,BTD,BTD_Kaleesh,9,26,1.0,0,OuterRim_Kaleesh,1,13,guy762_xenotype_kaleesh,6,18,BTD_Kaleesh,9,26,guy762_statgene_predator guy762_BodySizeGene_big MinTemp_SmallIncrease MaxTemp_SmallIncrease BS_Diet_Carnivore Aggression_Aggressive Outland_Scalebody Outland_ThickSkin Outland_Evasive
Kaminoan,2,BTD,BTD_Kaminoan,13,19,0.8,0,OuterRim_Kaminoan,6,10,,,,BTD_Kaminoan,13,19,guy762_BodySizeGene_bigger Turn_Gene_BiosculptAccelerated Turn_Gene_BiosculptNeed MoveSpeed_Slow Delicate Outland_LowFertility Outland_DeceleratedPregnancy OuterRim_KaminoanHead ElongatedFingers Outland_AcceleratedMaturation AptitudeRemarkable_Medicine AptitudeStrong_Social AptitudeRemarkable_Intellectual
KelDor,2,BTD,BTD_KelDor,11,18,1.0,0,,,,guy762_xenotype_keldor,8,16,BTD_KelDor,11,18,guy762_Mouth_sus guy762_BodySizeGene_big guy762_lifespan_double PsychicAbility_Enhanced Turn_Gene_LatentPsychic Turn_Gene_MeditationNeed Hands_Pig Turn_Gene_FrailDigestion Outland_ThickSkin Outland_Evasive AptitudeStrong_Social
Klatoonian,2,BTD,BTD_Klatoonian,12,23,1.2,0,,,,guy762_xenotype_klatoonian,4,14,BTD_Klatoonian,12,23,guy762_statgene_compliant guy762_Nose_Dog MaxTemp_SmallIncrease MeleeDamage_Strong Robust Outland_EggLayer Outland_DeceleratedPregnancy AptitudeStrong_Shooting AptitudeStrong_Melee AptitudeTerrible_Medicine AptitudeTerrible_Social AptitudeTerrible_Intellectual
Kubaz,2,BTD,BTD_Kubaz,10,19,1.0,0,,,,guy762_xenotype_kubaz,5,12,BTD_Kubaz,10,19,PsychicAbility_Dull MinTemp_SmallIncrease BS_Diet_Carnivore ToxicEnvironmentResistance_Partial UVSensitivity_Mild StrongStomach RobustDigestion DarkVision PollutionRush Outland_InsectBody
Lasat,2,BTD,BTD_Lasat,9,24,1.4,0,,,,guy762_xenotype_lasat,6,14,BTD_Lasat,9,24,guy762_AbilityGene_JumpLegs guy762_BodySizeGene_bigger WoundHealing_Slow Superclotting NakedSpeed BS_Diet_Carnivore MeleeDamage_Strong OuterRim_CatharHead DarkVision
Mandalorian,1,BTD,BTD_Mandalorian,13,15,1.4,0,,,,,,,BTD_Mandalorian,13,15,Immunity_Weak WoundHealing_Fast Superclotting PsychicAbility_Dull Turn_Gene_SlowNeuralHeat Aggression_Aggressive Robust DarkVision Outland_Evasive AptitudeStrong_Shooting AptitudeStrong_Melee AptitudePoor_Cooking AptitudePoor_Plants
Mimbanese,2,BTD,BTD_Mimbanese,10,19,1.0,0,,,,guy762_xenotype_mimbanese,4,13,BTD_Mimbanese,10,19,UVSensitivity_Mild Aggression_Aggressive Outland_AcceleratedPregnancy Head_Devolved DarkVision GS_Primitive Outland_ThickSkin AptitudeStrong_Melee AptitudeStrong_Mining AptitudePoor_Intellectual
Miraluka,3,BTD,BTD_Miraluka,6,8,1.0,0,OuterRim_Miraluka,2,2,guy762_xenotype_miraluka,3,5,BTD_Miraluka,6,8,PsychicAbility_Enhanced Turn_Gene_LatentPsychic Turn_Gene_MeditationNeed Outland_DeceleratedPregnancy OuterRim_MiralukaHead OuterRim_ForceSight
Mirialan,3,BTD,BTD_Mirialan,8,25,1.0,0,OuterRim_Mirialan,1,4,guy762_xenotype_mirialan,3,12,BTD_Mirialan,8,25,guy762_statgene_PsyHarmonize Turn_Gene_Certain MinTemp_SmallIncrease MaxTemp_SmallIncrease Turn_Gene_Duelist OuterRim_MirialanHead Hair_Grayless Outland_Evasive
MonCalamari,3,BTD,BTD_MonCalamari,8,17,1.0,0,OuterRim_MonCalamari,1,9,guy762_xenotype_moncal,7,17,BTD_MonCalamari,8,17,MinTemp_SmallIncrease MaxTemp_SmallDecrease KindInstinct Fertile Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_MonCalamariHead Turn_Gene_MotivationHigh
Muun,1,BTD,BTD_Muun,10,17,0.8,0,,,,,,,BTD_Muun,10,17,guy762_BodySizeGene_bigger Immunity_Weak WoundHealing_Slow Delicate ElongatedFingers AptitudePoor_Shooting AptitudePoor_Melee AptitudeRemarkable_Crafting AptitudeStrong_Medicine AptitudeRemarkable_Intellectual
Nagai,2,BTD,BTD_Nagai,7,14,1.0,0,,,,guy762_xenotype_nagai,6,10,BTD_Nagai,7,14,guy762_BodySizeGene_big Aggression_Aggressive Turn_Gene_FreeSpirit Outland_SvelteHead Outland_Evasive AptitudeStrong_Melee AptitudeStrong_Social
Nautolan,2,BTD,BTD_Nautolan,10,23,1.0,0,,,,guy762_xenotype_nautolan,4,11,BTD_Nautolan,10,23,WoundHealing_Fast MinTemp_SmallIncrease MaxTemp_SmallDecrease Turn_Gene_Duelist Outland_EggLayer Outland_DeceleratedPregnancy Outland_SvelteHead DarkVision AptitudePoor_Construction AptitudePoor_Mining
Neimoidian,3,BTD,BTD_Neimoidian,11,23,1.0,0,OuterRim_Neimoidian,1,6,guy762_xenotype_nemoidian,8,17,BTD_Neimoidian,11,23,MinTemp_SmallIncrease MaxTemp_SmallIncrease Turn_Gene_Terrified Delicate Outland_EggLayer Outland_AcceleratedPregnancy OuterRim_DurosHead ElongatedFingers Outland_Scalebody AptitudeStrong_Social AptitudeStrong_Intellectual
Nelvaanian,2,BTD,BTD_Nelvaanian,11,17,1.0,0,,,,guy762_xenotype_nelvaanian,8,17,BTD_Nelvaanian,11,17,guy762_statgene_predator guy762_BodySizeGene_big NakedSpeed MinTemp_SmallDecrease Turn_Gene_Duelist OuterRim_BothanHead GS_Primitive Outland_UnusualSpeech AptitudePoor_Plants AptitudePoor_Medicine AptitudePoor_Intellectual
Nikto,3,BTD,BTD_Nikto,12,22,1.0,0,OuterRim_Nikto,1,6,guy762_xenotype_nikto,4,17,BTD_Nikto,12,22,Immunity_Weak WoundHealing_Slow Superclotting MinTemp_SmallIncrease MaxTemp_SmallIncrease ToxicEnvironmentResistance_Total Aggression_Aggressive MeleeDamage_Strong Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_NiktoHead Outland_Scalebody
Ortolan,1,BTD,BTD_Ortolan,8,17,1.0,0,,,,,,,BTD_Ortolan,8,17,Immunity_Strong MinTemp_LargeDecrease Hands_Pig StrongStomach RobustDigestion Learning_Slow Nearsighted AptitudePoor_Cooking
Pantoran,3,BTD,BTD_Pantoran,6,14,1.0,0,OuterRim_Pantoran,3,7,guy762_xenotype_pantoran,1,10,BTD_Pantoran,6,14,Immunity_Weak MinTemp_LargeDecrease Beauty_Pretty Turn_Gene_HighBeautyStandard OuterRim_PantoranHead Hair_Grayless
Pyke,2,BTD,BTD_Pyke,14,21,1.0,0,OuterRim_Pyke,1,7,,,,BTD_Pyke,14,21,guy762_BodySizeGene_big WoundHealing_Slow Aggression_Aggressive OuterRim_PykeHead Hands_Pig Outland_ThickSkin Turn_Gene_MotivationLow AptitudeStrong_Shooting AptitudeStrong_Plants AptitudeTerrible_Animals AptitudePoor_Intellectual AddictionResistant_GoJuice AddictionResistant_Psychite AddictionResistant_WakeUp
Quarren,3,BTD,BTD_Quarren,6,13,1.0,0,OuterRim_Quarren,1,4,guy762_xenotype_quarren,5,16,BTD_Quarren,6,13,guy762_AbilityGene_inkspray MaxTemp_SmallIncrease Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_QuarrenHead Hands_Pig
Rakata,2,BTD,BTD_Rakata,14,21,1.0,0,OuterRim_Rakata,1,7,,,,BTD_Rakata,14,21,PsychicAbility_Enhanced Turn_Gene_LatentPsychic Turn_Gene_FastNeuralHeat Turn_Gene_TraitGrandeur MaxTemp_SmallDecrease BS_Diet_Carnivore Aggression_HyperAggressive MeleeDamage_Strong Turn_Gene_Duelist Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_RakatanHead Hands_Pig Outland_WebbedFeet
Rodian,3,BTD,BTD_Rodian,12,30,1.0,0,OuterRim_Rodian,2,14,guy762_xenotype_rodian,2,16,BTD_Rodian,12,30,WoundHealing_Slow Superclotting Mood_Pessimist MinTemp_SmallIncrease Outland_EggLayer Outland_DeceleratedPregnancy ElongatedFingers DarkVision Outland_ScaleSkin Outland_Evasive AptitudeStrong_Shooting AptitudeStrong_Melee
Selkath,3,SWXeno,guy762_xenotype_selkath,8,16,1.2,0,OuterRim_Selkath,1,5,guy762_xenotype_selkath,8,16,BTD_Selkath,6,18,guy762_statgene_amphibious guy762_statgene_metabolismcheat guy762_statgene_predator guy762_BodySizeGene_small WoundHealing_Fast Superclotting Aggression_DeadCalm Hands_Pig
Sith Pureblood (Kissai),3,BTD,BTD_SithK,10,20,1.0,0,OuterRim_Sith,4,11,guy762_xenotype_sith,10,19,BTD_SithK,10,20,PsychicAbility_Enhanced Turn_Gene_LatentPsychic Turn_Gene_FastNeuralHeat Turn_Gene_MeditationNeed Aggression_Aggressive Outland_DeceleratedPregnancy Head_Bone Outland_RidgedSkin Outland_ThickSkin Outland_Evasive
Sith Pureblood (Massassi),2,BTD,BTD_SithM,12,22,1.0,0,OuterRim_Massassi,7,14,,,,BTD_SithM,12,22,guy762_BodySizeGene_big WoundHealing_Fast Aggression_HyperAggressive MeleeDamage_Strong Robust Pain_Reduced Head_Bone Outland_RidgedSkin AptitudeRemarkable_Melee AptitudeTerrible_Plants AptitudeTerrible_Medicine AptitudeTerrible_Intellectual
Sith Pureblood (Zugurak),1,BTD,BTD_SithZ,8,20,1.0,0,,,,,,,BTD_SithZ,8,20,Aggression_Aggressive ElongatedFingers Outland_RidgedSkin AptitudeStrong_Construction AptitudeStrong_Mining AptitudeStrong_Cooking AptitudePoor_Artistic AptitudePoor_Social
Snivvian,2,BTD,BTD_Snivvian,8,17,1.0,0,,,,guy762_xenotype_snivvian,5,11,BTD_Snivvian,8,17,guy762_BodySizeGene_small MinTemp_SmallDecrease Beauty_Ugly Turn_Gene_LowBeautyStandard Nose_Pig AptitudeRemarkable_Artistic AptitudeTerrible_Medicine AptitudeTerrible_Social
Sullustan,3,BTD,BTD_Sullustan,11,19,1.0,0,OuterRim_Sullustan,4,10,guy762_xenotype_sullustan,8,15,BTD_Sullustan,11,19,guy762_BodySizeGene_small Mood_Optimist KindInstinct OuterRim_SullustanHead DarkVision AptitudeTerrible_Melee AptitudeStrong_Construction AptitudeStrong_Mining AptitudeTerrible_Plants AptitudeTerrible_Animals AptitudeStrong_Intellectual
Taung,2,BTD,BTD_Taung,13,24,1.8,0,,,,guy762_xenotype_taung,10,22,BTD_Taung,13,24,guy762_statgene_predator guy762_BodySizeGene_big Aggression_HyperAggressive MeleeDamage_Strong Turn_Gene_Duelist KillThirst Turn_Gene_FreeSpirit Robust Outland_Hands_Talons Unstoppable Outland_AcceleratedAgeing Outland_AcceleratedMaturation Outland_Evasive
Togorian,1,BTD,BTD_Togorian,15,25,1.0,0,,,,,,,BTD_Togorian,15,25,guy762_Furskin_shortfur guy762_statgene_predator guy762_BodySizeGene_big Immunity_Strong NakedSpeed MaxTemp_SmallIncrease BS_Diet_Carnivore Aggression_Aggressive MeleeDamage_Strong Robust Pain_Reduced Hair_Grayless AptitudePoor_Shooting AptitudePoor_Social AptitudePoor_Intellectual
Togruta,3,BTD,BTD_Togruta,7,24,1.0,0,OuterRim_Togruta,2,18,guy762_xenotype_togruta,1,19,BTD_Togruta,7,24,Turn_Gene_Certain Outland_LowFertility Outland_DeceleratedPregnancy OuterRim_TogrutaHead Outland_Teeth_Fangs StrongStomach Hair_Grayless
Trandoshan,3,BTD,BTD_Trandoshan,10,21,1.0,0,OuterRim_Trandoshan,4,9,guy762_xenotype_trandoshan,9,23,BTD_Trandoshan,10,21,BS_Fast_TotalHealing guy762_statgene_predator guy762_BodySizeGene_big MinTemp_SmallIncrease Aggression_Aggressive Robust Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_TrandoshanHead Outland_Scalebody
Tusken,3,SWXeno,guy762_xenotype_tusken,15,21,1.0,0,OuterRim_Tusken,3,6,guy762_xenotype_tusken,15,21,BTD_Tusken,13,20,MinTemp_SmallIncrease MaxTemp_LargeIncrease FireTerror Aggression_Aggressive Beauty_VeryUgly guy762_Nose_Dog Head_Devolved RobustDigestion GS_Primitive AptitudeRemarkable_Shooting AptitudeStrong_Melee AptitudePoor_Construction AptitudePoor_Plants AptitudeRemarkable_Animals AptitudePoor_Intellectual
Twilek,3,BTD,BTD_Twilek,8,31,1.0,0,OuterRim_Twilek,1,6,guy762_xenotype_twilek,1,14,BTD_Twilek,8,31,Turn_Gene_Uncertain Turn_Gene_AgressionSubmissive Libido_High Outland_LowFertility Beauty_Beautiful OuterRim_TwilekHead Turn_Gene_FrailDigestion Outland_Evasive
Ugnaught,2,BTD,BTD_Ugnaught,14,21,1.0,0,,,,guy762_xenotype_ugnaught,9,16,BTD_Ugnaught,14,21,guy762_statgene_compliant guy762_Nose_SmallPig guy762_BodySizeGene_smaller guy762_lifespan_double Turn_Gene_Certain Turn_Gene_MotivationHigh AptitudeTerrible_Shooting AptitudeTerrible_Melee AptitudeRemarkable_Construction AptitudeTerrible_Mining AptitudePoor_Cooking AptitudePoor_Plants AptitudePoor_Animals AptitudeRemarkable_Crafting
Umbaran,3,BTD,BTD_Umbaran,6,12,1.0,0,OuterRim_Umbaran,1,7,guy762_xenotype_umbaran,3,11,BTD_Umbaran,6,12,Turn_Gene_SlowNeuralHeat Turn_Gene_TraitGrandeur MinTemp_SmallIncrease MaxTemp_SmallDecrease DarkVision AptitudeRemarkable_Social
Weequay,2,BTD,BTD_Weequay,11,26,1.2,0,,,,guy762_xenotype_weequay,3,13,BTD_Weequay,11,26,MinTemp_SmallIncrease ToxicEnvironmentResistance_Total Pain_Reduced Beauty_Ugly PollutionRush Outland_ThickSkin AptitudeStrong_Shooting AptitudeStrong_Melee AptitudeTerrible_Cooking AptitudeTerrible_Plants AptitudeTerrible_Animals
Wookiee,3,BTD,BTD_Wookiee,13,25,1.0,0,OuterRim_Wookiee,5,9,guy762_xenotype_wookiee,11,22,BTD_Wookiee,13,25,guy762_BodySizeGene_big guy762_lifespan_quad PsychicAbility_Dull Turn_Gene_SlowNeuralHeat NakedSpeed MeleeDamage_Strong Pain_Reduced Outland_DeceleratedPregnancy RobustDigestion GS_Primitive Furskin Outland_AcceleratedMaturation Outland_UnusualSpeech
Yoder / Force gremlin (Yoda's species),3,BTD,BTD_Yoder,16,24,1.0,0,OuterRim_ForceGremlin,5,8,guy762_xenotype_yoder,6,12,BTD_Yoder,16,24,guy762_statgene_PsyHarmonize guy762_BodySizeGene_smaller guy762_lifespan_nine PsychicAbility_Enhanced Turn_Gene_LatentPsychic Turn_Gene_FastNeuralHeat Turn_Gene_MeditationNeed Turn_Gene_Duelist KindInstinct Outland_LowFertility Outland_DeceleratedPregnancy Hands_Pig Outland_DeceleratedMaturation Outland_Evasive Turn_Gene_MotivationLow AptitudeStrong_Melee
Zeltron,3,BTD,BTD_Zeltron,9,18,1.0,0,OuterRim_Zeltron,1,5,guy762_xenotype_zeltron,7,13,BTD_Zeltron,9,18,guy762_statgene_PsyHarmonize PsychicBonding Libido_High Beauty_Beautiful Hair_Grayless Outland_Empathic Turn_Gene_MotivationLow AptitudeStrong_Social AddictionResistant_Alcohol
Zygerrian,2,BTD,BTD_Zygerrian,8,22,1.0,0,,,,guy762_xenotype_zygerrian,3,10,BTD_Zygerrian,8,22,guy762_statgene_predator Turn_Gene_Certain Aggression_Aggressive Turn_Gene_Duelist Outland_AcceleratedPregnancy Turn_Gene_HighBeautyStandard OuterRim_CatharHead Outland_AcceleratedMaturation
