biome,animal,sources,direction,commonality,mod,file
AB_GallatrossGraveyard,TYR_KangarooRat,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\KangarooRat.xml
AB_GallatrossGraveyard,Yak,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GelatinousSuperorganism,Alpaca,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Capybara,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Cassowary,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Chinchilla,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Cobra,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Elephant,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,GuineaPig,1,biome.wildAnimals,0.02,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Horse,1,biome.wildAnimals,0.01,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Monkey,1,biome.wildAnimals,1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Panther,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Rat,1,biome.wildAnimals,1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,Rhinoceros,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_GelatinousSuperorganism,Tortoise,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_GelatinousSuperorganism,WildBoar,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GelatinousSuperorganism.xml
AB_IdyllicMeadows,Alpaca,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Bison,1,biome.wildAnimals,0.07,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Boomalope,1,biome.wildAnimals,0.4,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Boomrat,1,biome.wildAnimals,0.4,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Deer,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Donkey,1,biome.wildAnimals,0.20,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Gazelle,1,biome.wildAnimals,0.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,GuineaPig,1,biome.wildAnimals,0.45,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Hare,1,biome.wildAnimals,1.0,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Horse,1,biome.wildAnimals,0.20,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Ibex,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Megasloth,1,biome.wildAnimals,0.2,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Muffalo,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Raccoon,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Rat,1,biome.wildAnimals,1.0,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Rhinoceros,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Squirrel,1,biome.wildAnimals,1.0,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_IdyllicMeadows,Tortoise,1,biome.wildAnimals,0.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Turkey,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,WildBoar,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_IdyllicMeadows,Yak,1,biome.wildAnimals,0.06,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_IdyllicMeadows.xml
AB_MechanoidIntrusion,GuineaPig,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MechanoidIntrusion.xml
AB_MechanoidIntrusion,Rat,1,biome.wildAnimals,2,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MechanoidIntrusion.xml
AB_MechanoidIntrusion,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_MiasmicMangrove,Alpaca,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Capybara,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Cassowary,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Chinchilla,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Cobra,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Elephant,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,GuineaPig,1,biome.wildAnimals,0.02,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Horse,1,biome.wildAnimals,0.01,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Monkey,1,biome.wildAnimals,1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Panther,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Rat,1,biome.wildAnimals,1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,Rhinoceros,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_MiasmicMangrove,TYR_MousePoison,1,animal.wildBiomes,0.2,Little Critters,1.6\Defs\ThingDefs_Races\MousePoison.xml
AB_MiasmicMangrove,Tortoise,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MiasmicMangrove,WildBoar,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MiasmicMangrove.xml
AB_MycoticJungle,Alpaca,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Cassowary,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Chinchilla,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Cobra,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Raccoon,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,Rat,1,biome.wildAnimals,1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_MycoticJungle,TYR_MousePoison,1,animal.wildBiomes,0.2,Little Critters,1.6\Defs\ThingDefs_Races\MousePoison.xml
AB_MycoticJungle,Warg,1,biome.wildAnimals,0.07,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_MycoticJungle,WildBoar,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_MycoticJungle.xml
AB_OcularForest,Fox_Fennec,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_OcularForest.xml
AB_OcularForest,Hare,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_OcularForest.xml
AB_OcularForest,Iguana,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_OcularForest.xml
AB_OcularForest,Rat,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_OcularForest.xml
AB_PropaneLakes,Bear_Polar,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PropaneLakes.xml
AB_PropaneLakes,Fox_Arctic,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PropaneLakes.xml
AB_PropaneLakes,Muffalo,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PropaneLakes.xml
AB_PropaneLakes,Snowhare,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PropaneLakes.xml
AB_PropaneLakes,TYR_Lemming,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Lemming.xml
AB_PropaneLakes,Wolf_Arctic,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PropaneLakes.xml
AB_PyroclasticConflagration,Bison,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Cougar,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Donkey,1,biome.wildAnimals,0.2,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Dromedary,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Elephant,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Emu,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Fox_Fennec,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Gazelle,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,GuineaPig,1,biome.wildAnimals,0.017,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Hare,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Horse,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Iguana,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Megasloth,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Ostrich,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Rat,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,Rhinoceros,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_PyroclasticConflagration.xml
AB_PyroclasticConflagration,TYR_HotfootRat,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\HotfootRat.xml
AB_RockyCrags,Rat,1,biome.wildAnimals,0.101,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_ForsakenCrags.xml
AB_TarPits,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Boomrat,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Cougar,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Dromedary,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Elephant,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Emu,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Fox_Fennec,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Gazelle,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Hare,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Iguana,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Megasloth,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Ostrich,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Rat,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,Rhinoceros,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_TarPits.xml
AB_TarPits,TYR_HotfootRat,1,animal.wildBiomes,0.2,Little Critters,1.6\Defs\ThingDefs_Races\HotfootRat.xml
AB_TarPits,TYR_KangarooRat,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\KangarooRat.xml
AridShrubland,AA_AcanthamoebaGiganteaSmall,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_AcanthamoebaGigantea.xml
AridShrubland,AA_Aerofleet,1,animal.wildBiomes,0.2,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Aerofleet.xml
AridShrubland,AA_AngelMoth,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_AngelMoth.xml
AridShrubland,AA_AngelMothLarva,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_AngelMoth.xml
AridShrubland,AA_AnimusVox,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_AnimusVox.xml
AridShrubland,AA_AuroraSylph,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_AuroraSylph.xml
AridShrubland,AA_Barbslinger,1,animal.wildBiomes,0.5,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_BarbSlinger.xml
AridShrubland,AA_BedBug,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_BedBug.xml
AridShrubland,AA_BloodShrimp,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_BloodShrimp.xml
AridShrubland,AA_BoulderMit,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_BoulderMit.xml
AridShrubland,AA_Bumbledrone,1,animal.wildBiomes,0.07,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Bumbledrone.xml
AridShrubland,AA_BumbledroneHierophant,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Bumbledrone.xml
AridShrubland,AA_Cactipine,1,animal.wildBiomes,0.5,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Cactipine.xml
AridShrubland,AA_ChameleonYak,1,animal.wildBiomes,0.15,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_ChameleonYak.xml
AridShrubland,AA_Cinderlisk,1,animal.wildBiomes,0.03,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Cinderlisk.xml
AridShrubland,AA_CrescendoAnole,1,animal.wildBiomes,0.04,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_CrescendoAnole.xml
AridShrubland,AA_CrystalMit,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_CrystalMit.xml
AridShrubland,AA_CrystallineCaracal,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_CrystallineCaracal.xml
AridShrubland,AA_DarkVandal,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_DarkVandal.xml
AridShrubland,AA_DesertAve,1,animal.wildBiomes,0.4,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_DesertAve.xml
AridShrubland,AA_Drainer,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Drainer.xml
AridShrubland,AA_DrainerLarva,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Drainer.xml
AridShrubland,AA_Dunealisk,1,animal.wildBiomes,0.07,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Dunealisk.xml
AridShrubland,AA_DuskProwler,1,animal.wildBiomes,0.04,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_DuskProwler.xml
AridShrubland,AA_Erin,1,animal.wildBiomes,0.015,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Erin.xml
AridShrubland,AA_FissionMouse,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_FissionMouse.xml
AridShrubland,AA_FlamingoPhoenix,1,animal.wildBiomes,0.05,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_FlamingoPhoenix.xml
AridShrubland,AA_Gigantelope,1,animal.wildBiomes,0.2,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Gigantelope.xml
AridShrubland,AA_GreatDevourer,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_GreatDevourer.xml
AridShrubland,AA_Helixien,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Helixien.xml
AridShrubland,AA_LarvalAtispec,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Atispec.xml
AridShrubland,AA_LuciferBug,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_LuciferBug.xml
AridShrubland,AA_MammothWorm,1,animal.wildBiomes,0.03,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_MammothWorm.xml
AridShrubland,AA_Mantrap,1,animal.wildBiomes,0.1,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_Mantrap.xml
AridShrubland,AA_MatureFleshbeast,1,animal.wildBiomes,0.01,Alpha Animals,1.6\Defs\ThingDefs_Races\Races_MatureFleshbeast.xml
