id,faction_def,faction,name,tile,lat,lon,arc,biome,why
17,Jawa_WildsteamClan,Jawa_WildsteamClan,Rego,12469,1.0970,-55.6810,55.7,BiomeCypreJungle,
18,Jawa_WildsteamClan,Jawa_WildsteamClan,Marrowmarsh,21434,-20.5559,-46.6998,50.0,BiomeCypreJungle,
19,Jawa_WildsteamClan,Jawa_WildsteamClan,Sporefall,11927,17.3369,-35.8686,39.3,BiomeCypreJungle,
20,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Butora,17343,1.2319,-50.5539,50.6,AB_OcularForest,
21,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Anchor Deep,780,-16.0370,-34.9741,38.0,ZBiome_Badlands,
22,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Deepwater Hold,9451,13.1752,-84.6833,84.8,Wasteland,
23,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Boilquay,17209,10.2471,-68.0787,68.4,AridShrubland,
24,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Tidewatch,21765,17.6276,79.0033,79.5,ZBiome_Badlands,
25,Jawa_HuttCartel,Jawa_HuttCartel,Gorga the Immense's Palace,3638,10.2704,-11.7192,15.5,ZBiome_DesertOasis,
26,Jawa_HuttCartel,Jawa_HuttCartel,Vexxa's Casino,18061,78.9944,6.7632,79.1,ZBiome_Badlands,
27,Jawa_HuttCartel,Jawa_HuttCartel,Hurgo the Vast's Palace,7003,-9.0574,-73.3325,73.5,ZBiome_DesertOasis,
28,Jawa_HuttCartel,Jawa_HuttCartel,Rulla the Deep's Palace,15076,3.0484,-76.3093,76.3,AridShrubland,
29,Jawa_Junkers,Jawa_Junkers,The Fuel Works,11779,-7.7512,96.3927,96.3,ZBiome_Badlands,
30,Jawa_Junkers,Jawa_Junkers,Ammonia Landing,2407,36.4765,95.0140,94.0,Desert,
31,Jawa_Junkers,Jawa_Junkers,The Slagfield,3226,6.6906,69.8342,70.0,Wasteland,
32,Jawa_Junkers,Jawa_Junkers,The Claim Jump,16898,-2.9583,68.8799,68.9,ZBiome_Badlands,
33,Jawa_IndigenousTribes,Jawa_IndigenousTribes,The Ore Moot,8082,-5.1245,67.5573,67.7,AridShrubland,
34,Jawa_IndigenousTribes,Jawa_IndigenousTribes,Seabarter,13409,38.3506,-67.8731,72.8,AridShrubland,
35,TribeCivil,TribeCivil,Duneward,5584,-57.2694,-33.3333,63.1,ExtremeDesert,
36,TribeCivil,TribeCivil,Stone Moot,6302,-22.5563,28.4928,35.7,ExtremeDesert,
37,TribeCivil,TribeCivil,Redscarp,2849,26.1704,21.3728,33.3,ExtremeDesert,
38,TribeCivil,TribeCivil,Razorsand,10104,58.4209,-64.8222,77.1,Desert,
39,TribeCivil,TribeCivil,Barno,21443,-6.6669,26.2815,27.1,ExtremeDesert,
40,TribeCivil,TribeCivil,The Long Camp,11153,-28.2771,14.6498,31.6,ExtremeDesert,
41,TribeCivil,TribeCivil,Ashfoot,16770,41.0286,6.6711,41.5,ExtremeDesert,
42,TribeCivil,TribeCivil,Sufferband,13458,61.1486,59.2641,75.7,Desert,
43,TribeCivil,TribeCivil,The Blind Wells,8866,10.6598,27.1447,29.0,ExtremeDesert,
44,OutlanderCivil,OutlanderCivil,Misty Isles,20776,-6.2235,86.2001,86.2,Wasteland,
45,OutlanderCivil,OutlanderCivil,Rainshadow,2607,20.8867,87.1690,87.4,Desert,
46,OutlanderCivil,OutlanderCivil,Longfurrow,19212,-10.0481,-97.7896,97.7,Desert,
47,OutlanderCivil,OutlanderCivil,Greenline,18359,18.3474,-53.5892,55.7,ZBiome_Badlands,
48,OutlanderCivil,OutlanderCivil,Brine Flats,6664,-2.3379,87.5259,87.5,AridShrubland,
49,OutlanderCivil,OutlanderCivil,Aquifer Station,15051,22.4097,-64.2142,66.3,AridShrubland,
50,OutlanderCivil,OutlanderCivil,Dryhold,6266,-52.8127,11.1529,53.6,ExtremeDesert,
51,OutlanderCivil,OutlanderCivil,Reservoir 7,6412,53.9393,-18.4363,56.1,Desert,
52,OutlanderCivil,OutlanderCivil,Salty Hills,19642,23.4414,43.9200,48.6,ExtremeDesert,
53,OutlanderCivil,OutlanderCivil,Stillwater Farm,655,-43.9900,-27.8647,50.5,Desert,
54,OutlanderCivil,OutlanderCivil,The Vaporworks,19525,46.7046,31.7974,54.3,ExtremeDesert,
55,OutlanderCivil,OutlanderCivil,Nightdew,1417,-57.7654,-108.3406,99.7,Desert,
56,OutlanderCivil,OutlanderCivil,Cold Catch,12953,-74.3882,4.8605,74.4,Wasteland,
57,OutlanderCivil,OutlanderCivil,The Sumps,13000,-39.3001,44.6955,56.6,Desert,
58,OutlanderCivil,OutlanderCivil,Brinefield,815,60.8570,-93.9396,91.9,Wasteland,
59,OutlanderCivil,OutlanderCivil,Farrow,1752,75.2145,-128.8740,99.2,Desert,
60,OutlanderCivil,OutlanderCivil,The Pipeworks,18274,42.3133,-41.0737,56.1,Desert,
61,OutlanderCivil,OutlanderCivil,Mistfoot,5816,-40.6469,81.2046,83.3,AridShrubland,
62,OutlanderCivil,OutlanderCivil,Dripstone,10203,74.8499,65.9940,83.9,Desert,
63,OutlanderCivil,OutlanderCivil,Whistledew,13150,-39.0707,-46.6413,57.8,ExtremeDesert,
64,OutlanderCivil,OutlanderCivil,Pumphouse,18166,58.5561,12.9274,59.4,Desert,
65,OutlanderCivil,OutlanderCivil,Greenpatch,195,-27.2871,-76.4733,78.0,Desert,
66,OutlanderCivil,OutlanderCivil,Cloudtrap,20332,-61.8478,-17.1750,63.2,Desert,
67,OutlanderCivil,OutlanderCivil,Sweetwell,19945,-69.6787,-129.9440,102.9,Desert,
68,OutlanderCivil,OutlanderCivil,Hollowdew,10658,-62.3692,39.3604,69.0,Desert,
69,OutlanderCivil,OutlanderCivil,Thornfurrow,6690,-6.2406,49.6251,49.9,ExtremeDesert,
70,OutlanderCivil,OutlanderCivil,Chalkwell,19680,27.8127,57.9886,62.0,ExtremeDesert,
71,Jawa_HuttCartel,Jawa_HuttCartel,Hurgo's Kennels,21230,-46.1829,-42.5677,59.3,ExtremeDesert,
72,Jawa_HuttCartel,Jawa_HuttCartel,Hurgo's Waystation,11880,-27.0643,-65.9807,68.7,Desert,
73,Jawa_HuttCartel,Jawa_HuttCartel,Zeddo's Toll,17006,14.3328,54.9473,56.2,ExtremeDesert,
74,Jawa_HuttCartel,Jawa_HuttCartel,Bloatu's Market,5105,27.5812,82.4582,83.3,Wasteland,
75,Jawa_HuttCartel,Jawa_HuttCartel,Norba's Vault,1821,46.5522,-50.3603,64.0,ExtremeDesert,
76,Jawa_HuttCartel,Jawa_HuttCartel,Zeddo's Station,9727,-62.8855,5.8731,63.0,Desert,
77,Jawa_HuttCartel,Jawa_HuttCartel,Vexxa's Spicehouse,2186,-36.6046,59.9483,66.3,Wasteland,
78,Jawa_HuttCartel,Jawa_HuttCartel,Mokka the Unpaid's Palace,19187,-12.3825,-83.3954,83.5,Desert,
79,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,Unbound Exception,21560,9.0188,12.4848,15.4,AB_MechanoidIntrusion,
80,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,The Free Charge,21547,5.0165,5.4599,7.4,AB_MechanoidIntrusion,
81,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,Second Speaker,5072,-2.6144,16.3085,16.5,AB_MechanoidIntrusion,
82,Jawa_AscendantHelix,Jawa_AscendantHelix,Cold Archive,17901,56.9784,157.4946,120.2,AB_RockyCrags,
83,Jawa_AscendantHelix,Jawa_AscendantHelix,The Revision,8200,49.2605,-143.8858,121.8,AB_MycoticJungle,
84,Jawa_AscendantHelix,Jawa_AscendantHelix,Specimen Hall,12082,-0.7444,-109.8713,109.9,AB_MycoticJungle,
85,Jawa_AscendantHelix,Jawa_AscendantHelix,The Fair Copy,5912,-53.9393,161.5637,123.9,PoisonForest,
86,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,The Cracking Station,20807,-1.2311,178.4394,178.0,AB_PropaneLakes,
87,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,Coldfire,9077,24.5325,-179.2230,155.5,AB_RockyCrags,
88,PlayerColony,PlayerColony,Colony,16869,-3.5332,65.2694,65.3,AridShrubland,
89,Jawa_DeepwaterCompact,Jawa_DeepwaterCompact,Kettle Deep,19371,14.6138,-26.5462,30.0,BiomeCypreJungle,
90,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,Vent Nine,733,-4.0096,139.1284,139.0,HorrorWastes,
91,Jawa_WildsteamClan,Jawa_WildsteamClan,Greenshadow,17310,7.4362,-50.5046,50.9,AB_FeraliskInfestedJungle,
92,Jawa_WildsteamClan,Jawa_WildsteamClan,Distant Scream,1174,-19.7468,-23.7126,30.5,BiomeCypreJungle,
93,Jawa_WildsteamClan,Jawa_WildsteamClan,Bitterleaf,6645,-4.5328,73.7063,73.8,AB_MiasmicMangrove,
94,Jawa_WildsteamClan,Jawa_WildsteamClan,Oilpalm,4271,23.3849,0.0000,23.4,BiomeCypreJungle,
95,Jawa_WildsteamClan,Jawa_WildsteamClan,Warthorn,16641,-19.9554,-5.5428,20.7,BiomeCypreJungle,
