== BIOME (used 30 of 80 defs) ==
    4205 19.23%  Desert
    3179 14.53%  ExtremeDesert
   VEE_ResurgentCaldera                     resurgent caldera            Vanilla Landmarks Expanded
   VEE_RodentPlagues                        rodent plagues               Vanilla Landmarks Expanded
   VEE_Sinkholes                            sinkholes                    Vanilla Landmarks Expanded
   VEE_SkygazingSpot                        skygazing spot               Vanilla Landmarks Expanded
   VEE_SmallerRegion                        smaller region               Vanilla Landmarks Expanded
   VEE_SteamGeysers_Decreased               no geothermal activity       Vanilla Landmarks Expanded
   VEE_StrongerTides                        stronger tides               Vanilla Landmarks Expanded
   VEE_TornadoAlley                         tornado alley                Vanilla Landmarks Expanded
   VEE_TropicalBeach                        tropical beach               Vanilla Landmarks Expanded
   VEE_TropicalBeachFlora                   tropical beach flora         Vanilla Landmarks Expanded
   VEE_UndergroundGasDeposits               underground gas deposits     Vanilla Landmarks Expanded
   VEE_VenomousEcosystem                    venomous ecosystem           Vanilla Landmarks Expanded
   VEE_VolcanicRichSoil                     rich volcanic soil           Vanilla Landmarks Expanded
   VEE_VolcanicSandDesert                   volcanic sand desert         Vanilla Landmarks Expanded
   VEE_VolcanicSandDesertFlora              volcanic sand flora          Vanilla Landmarks Expanded
   VEE_WanderingCompanions                  wandering companions         Vanilla Landmarks Expanded
   VEE_WastelandFauna                       wasteland fauna              Vanilla Landmarks Expanded
   VEE_WildRice                             wild rice                    Vanilla Landmarks Expanded
   VEE_WildSucculents                       wild succulents              Vanilla Landmarks Expanded
   VEE_WildWheat                            wild wheat                   Vanilla Landmarks Expanded
   WetClimate                               wet climate                  Odyssey
   Wetland                                  wetland                      Odyssey
   WildAlderaanPlants                       wild plants                  Star Wars Animal Collection (Continued)
   WildFelucianPlants                       wild plants                  Star Wars Animal Collection (Continued)
   WildNabooPlants                          wild plants                  Star Wars Animal Collection (Continued)
   WildRylothPlants                         wild plants                  Star Wars Animal Collection (Continued)
   WildTropicalPlants                       wild plants                  Odyssey
   ZMD_NoMutator                            none                         Map Designer

== LANDMARKS: 579 placed, 51 distinct of 113 defs ==
     36  Dunes                              dunes
     32  Oasis                              oasis
     30  Ruins                              ruins
     27  Cliffs                             cliffs
     24  DryLake                            dry lake
     24  CoastalIsland                      coastal island
     23  VEE_DryRiver                       dry river
     21  Valley                             valley
     20  VEE_SaltPlains                     salt plains
     20  Cavern                             cavern
     19  VEE_PebbleDunes                    pebble dunes
     17  Archipelago                        archipelago
     16  VEE_StagnantRivulet                stagnant rivulet
     16  VEE_Cenotes                        cenotes
     16  AncientGarrison                    ancient garrison
     16  AncientWarehouse                   ancient warehouse
     16  VEE_MeteorCrater                   meteor crater
     15  VEE_DustBowl                       dust bowl
     14  VEE_QuicksandDunes                 quicksand dunes
     13  Bay                                bay
     12  VEE_RockRidge                      rock ridge
     12  VEE_GravelBeach                    gravel beach
     11  Hollow                             hollow
     10  VEE_SulfuricLake                   sulfuric lake
     10  ToxicLake                          toxic lake
     10  AncientChemfuelRefinery            ancient chemfuel refinery
     10  TerraformingScar                   terraforming scar
      9  AbandonedColonyTribal              abandoned colony
      9  VEE_JaggedRocks                    jagged rocks
      9  FrozenRuins                        frozen ruins
      7  Chasm                              chasm
      7  AB_TarLakes                        tar lakes
      7  VEE_FleshPits                      flesh pits
      6  AncientQuarry                      ancient quarry
      6  VEE_SerpentineCanyons              serpentine canyons
      4  VEE_StoneForest                    stone forest
      4  sw_DeadSarlacc                     dead Sarlacc
      3  AncientHeatVent                    ancient vent
      3  AB_MagmaticQuagmire                magmatic quagmire
      2  VEE_RedDesert                      red sand desert
      2  Plateau                            plateau
      2  HotSprings                         hot springs
      1  VEE_ToxicCrater                    toxic crater lake
      1  AbandonedColonyOutlander           abandoned colony
      1  sw_Sarlacc                         sarlacc pit
      1  AncientLaunchSite                  ancient launch site
      1  LavaCrater                         lava lake
      1  LavaLake                           lava lake
      1  VEE_AlluvialFan                    alluvial fan
      1  Basin                              basin
      1  AB_QuicksandPits                   quicksand pits

== LANDMARK DEFS NEVER USED (62) ==
   AB_HealingSprings                      healing springs                Alpha Biomes
   AB_MutagenicSprings                    mutagenic ocular springs       Alpha Biomes
   AB_PropaneLakes                        propane lakes                  Alpha Biomes
   AncientInfestedSettlement              infested settlement            Odyssey
   AncientSmokeVent                       ancient vent                   Odyssey
   AncientToxVent                         ancient vent                   Odyssey
   CoastalAtoll                           coastal atoll                  Odyssey
   Cove                                   bay                            Odyssey
   Crevasse                               crevasse                       Odyssey
   DA_SnaptoadSpawningPools               snaptoad spawning pools        Dark Ages : Beasts and Monsters
   Fjord                                  fjord                          Odyssey
   Harbor                                 harbor                         Odyssey
   IceDunes                               ice dunes                      Odyssey
   Iceberg                                iceberg                        Odyssey
   Lake                                   lake                           Odyssey
   LakeWithIsland                         lake                           Odyssey
   LakeWithIslands                        lake                           Odyssey
   LavaFlow                               lava flow                      Odyssey
   Peninsula                              peninsula                      Odyssey
   Pond                                   lake                           Odyssey
   VEE_AbandonedFarmland                  abandoned farmlands            Vanilla Landmarks Expanded
   VEE_AnimaCoast                         anima coast                    Vanilla Landmarks Expanded
   VEE_AnimaForest                        anima forest                   Vanilla Landmarks Expanded
   VEE_AuburnForest                       auburn forest                  Vanilla Landmarks Expanded
   VEE_BasaltCape                         basalt cape                    Vanilla Landmarks Expanded
   VEE_BloomingFields                     blooming fields                Vanilla Landmarks Expanded
   VEE_BurnedForest                       burned forest                  Vanilla Landmarks Expanded
   VEE_CactusFields                       cactus fields                  Vanilla Landmarks Expanded
   VEE_CalmBasin                          calm basin                     Vanilla Landmarks Expanded
   VEE_ContaminatedCoast                  contaminated coast             Vanilla Landmarks Expanded
   VEE_ContaminatedReservoir              contaminated reservoir         Vanilla Landmarks Expanded
   VEE_ContaminatedRiver                  contaminated river             Vanilla Landmarks Expanded
   VEE_CoralReef                          coral reef                     Vanilla Landmarks Expanded
   VEE_CradleOfLife                       cradle of life                 Vanilla Landmarks Expanded
   VEE_CraterLake                         crater lake                    Vanilla Landmarks Expanded
   VEE_DetachedIceberg                    detached iceberg               Vanilla Landmarks Expanded
   VEE_DriftwoodShore                     driftwood shore                Vanilla Landmarks Expanded
   VEE_FloodPlains                        flood plains                   Vanilla Landmarks Expanded
   VEE_GlacialMoraine                     glacial moraine                Vanilla Landmarks Expanded
   VEE_IceAndFire                         ice and fire                   Vanilla Landmarks Expanded
   VEE_IceSpires                          ice spires                     Vanilla Landmarks Expanded
   VEE_LaurelForest                       laurel forest                  Vanilla Landmarks Expanded
   VEE_LittoralDunes                      littoral dunes                 Vanilla Landmarks Expanded
   VEE_LoneIsland                         lone island                    Vanilla Landmarks Expanded
   VEE_LoneIslandWithLake                 central lake island            Vanilla Landmarks Expanded
   VEE_LoneIslandWithMountain             resurgent island               Vanilla Landmarks Expanded
   VEE_LushLavaFields                     lush lava fields               Vanilla Landmarks Expanded
   VEE_Mangrove                           mangrove                       Vanilla Landmarks Expanded
   VEE_Moor                               moor                           Vanilla Landmarks Expanded
   VEE_PermafrostBasin                    permafrost basin               Vanilla Landmarks Expanded
   VEE_QuicksandPits                      quicksand pits                 Vanilla Landmarks Expanded
   VEE_RelictDelta                        relict delta                   Vanilla Landmarks Expanded
   VEE_ResurgentCaldera                   resurgent caldera              Vanilla Landmarks Expanded
   VEE_RisingWaters                       rising waters                  Vanilla Landmarks Expanded
   VEE_Sinkholes                          sinkholes                      Vanilla Landmarks Expanded
   VEE_SulfuricRiver                      sulfuric river                 Vanilla Landmarks Expanded
   VEE_TemperateGrasslands                temperate grasslands           Vanilla Landmarks Expanded
   VEE_TropicalBeach                      tropical beach                 Vanilla Landmarks Expanded
   VEE_VolcanicSandDesert                 volcanic sand desert           Vanilla Landmarks Expanded
   VEE_Volcano                            volcano                        Vanilla Landmarks Expanded
   VEE_WindBlownPlateau                   wind-blown plateau             Vanilla Landmarks Expanded
   Wetland                                wetland                        Odyssey

== ROADS / RIVERS ==
 road link-ends: {'DirtRoad': 942, 'StoneRoad': 910, 'DirtPath': 568, 'AncientAsphaltHighway': 74}
 river link-ends: {'River': 124, 'Creek': 340, 'LargeRiver': 86, 'HugeRiver': 102}
 tiles with roads: 1242
 tiles with rivers: 335
 hiddenByBiome: 15
 ALL RoadDefs: ['AncientAsphaltHighway', 'AncientAsphaltRoad', 'DirtPath', 'DirtRoad', 'StoneRoad']
 ALL RiverDefs: ['Creek', 'HugeRiver', 'LargeRiver', 'River']

== FEATURES (named regions): 72, of 36 FeatureDefs ==
 featureDef use: {'WB_MapLabelFeature': 72}
 NEVER-USED FeatureDefs: ['Archipelago', 'AridShrubland', 'BMT_FeatureDef_CrystalCaverns', 'BMT_FeatureDef_EarthenDepths', 'BMT_FeatureDef_FungalForest', 'Bay', 'BorealForest', 'ColdBog', 'Desert', 'GlacialPlain', 'Glowforest', 'Grasslands', 'IceSheet', 'Island', 'Lake', 'LavaField', 'MountainRange', 'Ocean', 'OceanBay', 'OuterOcean', 'Peninsula', 'Scarlands', 'Sea', 'TemperateForest', 'TemperateSwamp', 'TropicalRainforest', 'TropicalSwamp', 'Tundra', 'ZBiome_AlpineMeadow', 'ZBiome_Badlands', 'ZBiome_CloudForest', 'ZBiome_CoastalDunes', 'ZBiome_GlacialShield', 'ZBiome_Grasslands', 'ZBiome_Iceberg']
   2051  Deadstone                WB_MapLabelFeature
   1692  Dune Sea                 WB_MapLabelFeature
    879  Glare                    WB_MapLabelFeature
    878  Kiln                     WB_MapLabelFeature
    853  Nightspill               WB_MapLabelFeature
    852  Twilight Sea             WB_MapLabelFeature
    818  Ammonia Flats            WB_MapLabelFeature
    802  Umbra                    WB_MapLabelFeature
    795  Sunreach                 WB_MapLabelFeature
    721  Long Sand                WB_MapLabelFeature
    617  Grey Sea                 WB_MapLabelFeature
    577  Gray Crags               WB_MapLabelFeature
    502  Thornbelt                WB_MapLabelFeature
    491  Dew Horn                 WB_MapLabelFeature
    433  South Crags              WB_MapLabelFeature
    387  Dry Marches              WB_MapLabelFeature
    384  Twilight Crags           WB_MapLabelFeature
    362  Dew Belt                 WB_MapLabelFeature
    360  Combs                    WB_MapLabelFeature
    349  Anvil                    WB_MapLabelFeature
    338  Rimewall                 WB_MapLabelFeature
    324  Ashfall Range            WB_MapLabelFeature
    312  Scald                    WB_MapLabelFeature
    276  Sinkground               WB_MapLabelFeature
    255  Sporefields              WB_MapLabelFeature
    254  Frostcaps                WB_MapLabelFeature
    249  Salt                     WB_MapLabelFeature
    236  Rust Cathedral           WB_MapLabelFeature
    234  Scour                    WB_MapLabelFeature
    230  Damp                     WB_MapLabelFeature
    227  Cracklands               WB_MapLabelFeature
    202  Ashen Wastes             WB_MapLabelFeature
