kind,old,new,tier,confidence,note
def,DW_KotORDroidColonist_GOTO,RSW_DW_KotORDroidColonist_GOTO,RimStarWars,HIGH,
def,DW_KotORDroidColonist_HK50AD,RSW_DW_KotORDroidColonist_HK50AD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_HK51AD,RSW_DW_KotORDroidColonist_HK51AD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_ITUD,RSW_DW_KotORDroidColonist_ITUD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_KM1HMD,RSW_DW_KotORDroidColonist_KM1HMD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_KM1MD,RSW_DW_KotORDroidColonist_KM1MD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_KX12APD,RSW_DW_KotORDroidColonist_KX12APD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_KX12UPD,RSW_DW_KotORDroidColonist_KX12UPD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_MPDMkI,RSW_DW_KotORDroidColonist_MPDMkI,RimStarWars,HIGH,
def,DW_KotORDroidColonist_R8009UD,RSW_DW_KotORDroidColonist_R8009UD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_SentWD,RSW_DW_KotORDroidColonist_SentWD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_T3UD,RSW_DW_KotORDroidColonist_T3UD,RimStarWars,HIGH,
def,DW_KotORDroidGood_3C,RSW_DW_KotORDroidGood_3C,RimStarWars,HIGH,
def,DW_KotORDroidGood_GE3LD,RSW_DW_KotORDroidGood_GE3LD,RimStarWars,HIGH,
def,DW_KotORDroidGood_GE3PD,RSW_DW_KotORDroidGood_GE3PD,RimStarWars,HIGH,
def,DW_KotORDroidGood_KM1HMD,RSW_DW_KotORDroidGood_KM1HMD,RimStarWars,HIGH,
def,DW_KotORDroidGood_KX12UPD,RSW_DW_KotORDroidGood_KX12UPD,RimStarWars,HIGH,
def,DW_KotORDroidGood_R8009,RSW_DW_KotORDroidGood_R8009,RimStarWars,HIGH,
def,DW_KotORMIBColonist_HK51AD,RSW_DW_KotORMIBColonist_HK51AD,RimStarWars,HIGH,
def,DW_KotORPlayableHero_HK47,RSW_DW_KotORPlayableHero_HK47,RimStarWars,HIGH,
def,DW_KotORPlayableHero_T3M4,RSW_DW_KotORPlayableHero_T3M4,RimStarWars,HIGH,
def,DW_MemoryWipe,RSW_DW_MemoryWipe,RimStarWars,HIGH,
def,DW_OuterRim_BattleDroid,RSW_DW_OuterRim_BattleDroid,RimStarWars,HIGH,
def,DW_OuterRim_BattleDroidAdvanced,RSW_DW_OuterRim_BattleDroidAdvanced,RimStarWars,HIGH,
def,DW_OuterRim_CommandoDroid,RSW_DW_OuterRim_CommandoDroid,RimStarWars,HIGH,
def,DW_OuterRim_DUMDroid,RSW_DW_OuterRim_DUMDroid,RimStarWars,HIGH,
def,DW_OuterRim_DestroyerDroid,RSW_DW_OuterRim_DestroyerDroid,RimStarWars,HIGH,
def,DW_OuterRim_FX7Droid,RSW_DW_OuterRim_FX7Droid,RimStarWars,HIGH,
def,DW_OuterRim_GNKDroid,RSW_DW_OuterRim_GNKDroid,RimStarWars,HIGH,
def,DW_OuterRim_HKDroid,RSW_DW_OuterRim_HKDroid,RimStarWars,HIGH,
def,DW_OuterRim_ImperialKXSecurityDroid,RSW_DW_OuterRim_ImperialKXSecurityDroid,RimStarWars,HIGH,
def,DW_OuterRim_ImperialLaborDroid,RSW_DW_OuterRim_ImperialLaborDroid,RimStarWars,HIGH,
def,DW_OuterRim_KXSecurityDroid,RSW_DW_OuterRim_KXSecurityDroid,RimStarWars,HIGH,
def,DW_OuterRim_MSEDroid,RSW_DW_OuterRim_MSEDroid,RimStarWars,HIGH,
def,DW_OuterRim_MagnaGuardDroid,RSW_DW_OuterRim_MagnaGuardDroid,RimStarWars,HIGH,
def,DW_OuterRim_MuckrakerDroid,RSW_DW_OuterRim_MuckrakerDroid,RimStarWars,HIGH,
def,DW_OuterRim_ProtocolDroid,RSW_DW_OuterRim_ProtocolDroid,RimStarWars,HIGH,
def,DW_OuterRim_RSeriesDroid,RSW_DW_OuterRim_RSeriesDroid,RimStarWars,HIGH,
def,DW_OuterRim_SalvageAssistDroid,RSW_DW_OuterRim_SalvageAssistDroid,RimStarWars,HIGH,
def,DW_OuterRim_SuperBattleDroid,RSW_DW_OuterRim_SuperBattleDroid,RimStarWars,HIGH,
def,DW_OuterRim_SuperTacticalDroid,RSW_DW_OuterRim_SuperTacticalDroid,RimStarWars,HIGH,
def,DW_OuterRim_TacticalDroid,RSW_DW_OuterRim_TacticalDroid,RimStarWars,HIGH,
def,DW_Power,RSW_DW_Power,RimStarWars,HIGH,
def,DW_PoweredDown,RSW_DW_PoweredDown,RimStarWars,HIGH,
def,DW_Race_JDSCIS_AQ_Battle_Droid,RSW_DW_Race_JDSCIS_AQ_Battle_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_B1_Battle_Droid,RSW_DW_Race_JDSCIS_B1_Battle_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_B1_Commander_Droid,RSW_DW_Race_JDSCIS_B1_Commander_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_B1_Security_Droid,RSW_DW_Race_JDSCIS_B1_Security_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_B2_HA_Super_Battle_Droid,RSW_DW_Race_JDSCIS_B2_HA_Super_Battle_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_B2_Super_Battle_Droid,RSW_DW_Race_JDSCIS_B2_Super_Battle_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_BX_Commando_Droid,RSW_DW_Race_JDSCIS_BX_Commando_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_DSD1_Dwarf_Spider_Droid,RSW_DW_Race_JDSCIS_DSD1_Dwarf_Spider_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_Demolition_Droid,RSW_DW_Race_JDSCIS_Demolition_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_Droideka_Droid,RSW_DW_Race_JDSCIS_Droideka_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_Droideka_Sharpshooter_Droid,RSW_DW_Race_JDSCIS_Droideka_Sharpshooter_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_IG-100_MagnaGuards,RSW_DW_Race_JDSCIS_IG-100_MagnaGuards,RimStarWars,HIGH,
def,DW_Race_JDSCIS_LR-57_Combat_Droid,RSW_DW_Race_JDSCIS_LR-57_Combat_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_Pistoeka_Sotage_Droid,RSW_DW_Race_JDSCIS_Pistoeka_Sotage_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_ST_Super_Tactical_Droid,RSW_DW_Race_JDSCIS_ST_Super_Tactical_Droid,RimStarWars,HIGH,
def,DW_Race_JDSCIS_T1_Tactical_Droid,RSW_DW_Race_JDSCIS_T1_Tactical_Droid,RimStarWars,HIGH,
def,DW_Race_OuterRim_AstromechDroid,RSW_DW_Race_OuterRim_AstromechDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_BattleDroid,RSW_DW_Race_OuterRim_BattleDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_BattleDroidAdvanced,RSW_DW_Race_OuterRim_BattleDroidAdvanced,RimStarWars,HIGH,
def,DW_Race_OuterRim_CommandoDroid,RSW_DW_Race_OuterRim_CommandoDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_DUMDroid,RSW_DW_Race_OuterRim_DUMDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_DestroyerDroid,RSW_DW_Race_OuterRim_DestroyerDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_FX7Droid,RSW_DW_Race_OuterRim_FX7Droid,RimStarWars,HIGH,
def,DW_Race_OuterRim_GNKDroid,RSW_DW_Race_OuterRim_GNKDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_HKDroid,RSW_DW_Race_OuterRim_HKDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_ImperialLaborDroid,RSW_DW_Race_OuterRim_ImperialLaborDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_KXSecurityDroid,RSW_DW_Race_OuterRim_KXSecurityDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_MSEDroid,RSW_DW_Race_OuterRim_MSEDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_MagnaGuardDroid,RSW_DW_Race_OuterRim_MagnaGuardDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_MuckrakerDroid,RSW_DW_Race_OuterRim_MuckrakerDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_ProtocolDroid,RSW_DW_Race_OuterRim_ProtocolDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_SalvageAssistDroid,RSW_DW_Race_OuterRim_SalvageAssistDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_SuperBattleDroid,RSW_DW_Race_OuterRim_SuperBattleDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_SuperTacticalDroid,RSW_DW_Race_OuterRim_SuperTacticalDroid,RimStarWars,HIGH,
def,DW_Race_OuterRim_TacticalDroid,RSW_DW_Race_OuterRim_TacticalDroid,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_3Cseries,RSW_DW_Race_guy762_DroidRace_3Cseries,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_ADMkI,RSW_DW_Race_guy762_DroidRace_ADMkI,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_ADMkIV,RSW_DW_Race_guy762_DroidRace_ADMkIV,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_ADMkIV_sith,RSW_DW_Race_guy762_DroidRace_ADMkIV_sith,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_ADMkI_sf,RSW_DW_Race_guy762_DroidRace_ADMkI_sf,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_DevAD,RSW_DW_Race_guy762_DroidRace_DevAD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_DevWD,RSW_DW_Race_guy762_DroidRace_DevWD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_GE3LD,RSW_DW_Race_guy762_DroidRace_GE3LD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_GE3PD,RSW_DW_Race_guy762_DroidRace_GE3PD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_GOTO,RSW_DW_Race_guy762_DroidRace_GOTO,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_HK50series,RSW_DW_Race_guy762_DroidRace_HK50series,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_HK51series,RSW_DW_Race_guy762_DroidRace_HK51series,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_HKseries,RSW_DW_Race_guy762_DroidRace_HKseries,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_ITseries,RSW_DW_Race_guy762_DroidRace_ITseries,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_KM1HMD,RSW_DW_Race_guy762_DroidRace_KM1HMD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_KM1MD,RSW_DW_Race_guy762_DroidRace_KM1MD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_KX12APD,RSW_DW_Race_guy762_DroidRace_KX12APD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_KX12UPD,RSW_DW_Race_guy762_DroidRace_KX12UPD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_MPDMkI,RSW_DW_Race_guy762_DroidRace_MPDMkI,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_R8009UD,RSW_DW_Race_guy762_DroidRace_R8009UD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_SentWD,RSW_DW_Race_guy762_DroidRace_SentWD,RimStarWars,HIGH,
def,DW_Race_guy762_DroidRace_T3series,RSW_DW_Race_guy762_DroidRace_T3series,RimStarWars,HIGH,
def,DW_RebootDroid,RSW_DW_RebootDroid,RimStarWars,HIGH,
def,DW_Recharge,RSW_DW_Recharge,RimStarWars,HIGH,
def,DW_RechargeInsert,RSW_DW_RechargeInsert,RimStarWars,HIGH,
def,DW_RemoveRestrainingBolt,RSW_DW_RemoveRestrainingBolt,RimStarWars,HIGH,
def,DW_RestrainingBolt,RSW_DW_RestrainingBolt,RimStarWars,HIGH,
def,DW_RestrainingBoltItem,RSW_DW_RestrainingBoltItem,RimStarWars,HIGH,
namespace,Droidworks,RimStarWars.Droidworks,RimStarWars,HIGH,
namespace,DroidworksBoltCore,RimStarWars.Droidworks,RimStarWars,HIGH,
mod,src/Jawa/EmpirePursuit,src/RimUtinni/EmpirePursuit,RimUtinni,HIGH,pursuer engine may generalize later
packageId,mandrake.empirepursuit,mandrake.rut.empirepursuit,RimUtinni,HIGH,
def,RuthlessPursuingMechanoids,RUT_RuthlessPursuingMechanoids,RimUtinni,HIGH,
namespace,RuthlessPursuingMechanoids,RimUtinni.EmpirePursuit,RimUtinni,HIGH,
mod,src/Jawa/Inhabited,src/RimMandrake/Inhabited,RimMandrake,HIGH,297 defs; par plan 7 keep Inhabited_ stem - def rows unchanged pending owner sign
packageId,mandrake.inhabited,mandrake.rm.inhabited,RimMandrake,HIGH,
def,Inhabited_Blackstar_AdannFerroTheRecoverer,Inhabited_Blackstar_AdannFerroTheRecoverer,RimMandrake,HIGH,
def,Inhabited_Blackstar_AdjusterUshetKelBa,Inhabited_Blackstar_AdjusterUshetKelBa,RimMandrake,HIGH,
def,Inhabited_Blackstar_BeggoThrune,Inhabited_Blackstar_BeggoThrune,RimMandrake,HIGH,
def,Inhabited_Blackstar_BosunVurgoNakk,Inhabited_Blackstar_BosunVurgoNakk,RimMandrake,HIGH,
def,Inhabited_Blackstar_BrotherAdjutantHoxxTenneb,Inhabited_Blackstar_BrotherAdjutantHoxxTenneb,RimMandrake,HIGH,
def,Inhabited_Blackstar_CaptainAurethSarVell,Inhabited_Blackstar_CaptainAurethSarVell,RimMandrake,HIGH,
def,Inhabited_Blackstar_IppoNuum,Inhabited_Blackstar_IppoNuum,RimMandrake,HIGH,
def,Inhabited_Blackstar_KessaRynWode,Inhabited_Blackstar_KessaRynWode,RimMandrake,HIGH,
def,Inhabited_Blackstar_KivTorrun,Inhabited_Blackstar_KivTorrun,RimMandrake,HIGH,
def,Inhabited_Blackstar_MaKeshBruul,Inhabited_Blackstar_MaKeshBruul,RimMandrake,HIGH,
def,Inhabited_Blackstar_MirriSett,Inhabited_Blackstar_MirriSett,RimMandrake,HIGH,
def,Inhabited_Blackstar_NekkArda,Inhabited_Blackstar_NekkArda,RimMandrake,HIGH,
def,Inhabited_Blackstar_NelSuntaRukhTheCrier,Inhabited_Blackstar_NelSuntaRukhTheCrier,RimMandrake,HIGH,
def,Inhabited_Blackstar_QuartermasterDolmPetrek,Inhabited_Blackstar_QuartermasterDolmPetrek,RimMandrake,HIGH,
def,Inhabited_Blackstar_RegistrarIvveOdo,Inhabited_Blackstar_RegistrarIvveOdo,RimMandrake,HIGH,
def,Inhabited_Blackstar_RuuneAdlai,Inhabited_Blackstar_RuuneAdlai,RimMandrake,HIGH,
def,Inhabited_Blackstar_SszikVhan,Inhabited_Blackstar_SszikVhan,RimMandrake,HIGH,
def,Inhabited_Blackstar_SubAdjutantNeshHollo,Inhabited_Blackstar_SubAdjutantNeshHollo,RimMandrake,HIGH,
def,Inhabited_Blackstar_TeskaVauntGrandSworn,Inhabited_Blackstar_TeskaVauntGrandSworn,RimMandrake,HIGH,
def,Inhabited_Blackstar_TobbetGraleThePenalty,Inhabited_Blackstar_TobbetGraleThePenalty,RimMandrake,HIGH,
def,Inhabited_Blackstar_UboTass,Inhabited_Blackstar_UboTass,RimMandrake,HIGH,
def,Inhabited_Blackstar_UnderwriterVessineRoal,Inhabited_Blackstar_UnderwriterVessineRoal,RimMandrake,HIGH,
def,Inhabited_Blackstar_ViddAnselm,Inhabited_Blackstar_ViddAnselm,RimMandrake,HIGH,
def,Inhabited_Blackstar_WexRhodaClauseNine,Inhabited_Blackstar_WexRhodaClauseNine,RimMandrake,HIGH,
def,Inhabited_Blackstar_YenevvaPoll,Inhabited_Blackstar_YenevvaPoll,RimMandrake,HIGH,
def,Inhabited_Cast,Inhabited_Cast,RimMandrake,HIGH,
def,Inhabited_Deepwater_AshaaOttouk,Inhabited_Deepwater_AshaaOttouk,RimMandrake,HIGH,
def,Inhabited_Deepwater_BossoTharn,Inhabited_Deepwater_BossoTharn,RimMandrake,HIGH,
def,Inhabited_Deepwater_ChaluBirNass,Inhabited_Deepwater_ChaluBirNass,RimMandrake,HIGH,
def,Inhabited_Deepwater_DabbIllo,Inhabited_Deepwater_DabbIllo,RimMandrake,HIGH,
def,Inhabited_Deepwater_FennOttouk,Inhabited_Deepwater_FennOttouk,RimMandrake,HIGH,
def,Inhabited_Deepwater_GrandTessek,Inhabited_Deepwater_GrandTessek,RimMandrake,HIGH,
def,Inhabited_Deepwater_HessaKur,Inhabited_Deepwater_HessaKur,RimMandrake,HIGH,
def,Inhabited_Deepwater_HighWardenOssoReeth,Inhabited_Deepwater_HighWardenOssoReeth,RimMandrake,HIGH,
def,Inhabited_Deepwater_IllikSar,Inhabited_Deepwater_IllikSar,RimMandrake,HIGH,
def,Inhabited_Deepwater_IlmaSook,Inhabited_Deepwater_IlmaSook,RimMandrake,HIGH,
def,Inhabited_Deepwater_MarrekOlDuun,Inhabited_Deepwater_MarrekOlDuun,RimMandrake,HIGH,
def,Inhabited_Deepwater_NossaraVekk,Inhabited_Deepwater_NossaraVekk,RimMandrake,HIGH,
def,Inhabited_Deepwater_OldDuula,Inhabited_Deepwater_OldDuula,RimMandrake,HIGH,
def,Inhabited_Deepwater_OldWenneth,Inhabited_Deepwater_OldWenneth,RimMandrake,HIGH,
def,Inhabited_Deepwater_OttikBirNass,Inhabited_Deepwater_OttikBirNass,RimMandrake,HIGH,
def,Inhabited_Deepwater_PerrikOssoVane,Inhabited_Deepwater_PerrikOssoVane,RimMandrake,HIGH,
def,Inhabited_Deepwater_QuartermasterBelNossik,Inhabited_Deepwater_QuartermasterBelNossik,RimMandrake,HIGH,
def,Inhabited_Deepwater_QuellOttouk,Inhabited_Deepwater_QuellOttouk,RimMandrake,HIGH,
def,Inhabited_Deepwater_SergeantVurraDask,Inhabited_Deepwater_SergeantVurraDask,RimMandrake,HIGH,
def,Inhabited_Deepwater_ShaelasDuun,Inhabited_Deepwater_ShaelasDuun,RimMandrake,HIGH,
def,Inhabited_Deepwater_SookNossik,Inhabited_Deepwater_SookNossik,RimMandrake,HIGH,
def,Inhabited_Deepwater_TobbGrell,Inhabited_Deepwater_TobbGrell,RimMandrake,HIGH,
def,Inhabited_Deepwater_WardenCaptainBoruuHalt,Inhabited_Deepwater_WardenCaptainBoruuHalt,RimMandrake,HIGH,
def,Inhabited_Deepwater_WardenKessoReeth,Inhabited_Deepwater_WardenKessoReeth,RimMandrake,HIGH,
def,Inhabited_Deepwater_WardenSethroVekk,Inhabited_Deepwater_WardenSethroVekk,RimMandrake,HIGH,
