defName,label,mod,isTree,treeCategory,purpose,growDays,harvestedThingDef,minGrowthTemp,maxGrowthTemp,minOptTemp,maxOptTemp,fertilityMin,ignoresFertility,cavePlant,pollution,wildOrder,wildClusterRadius,sowTags,texPath
PoisonPlantRaspberry,raspberry bush,Advanced Biomes (Continued),False,None,Food,6,RawBerries,0,58,6,42,0.5,False,False,CleanOnly,2,5,,Plant/PoisonRaspberryPlant
PoisonPlantTallGrass,tall grass,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,4,,Plant/PoisonGrass
PoisonPlantTreeCecropia,cecropia tree,Advanced Biomes (Continued),True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Plant/PoisonTreeCecropia
PoisonPlantTreeTeak,teak tree,Advanced Biomes (Continued),True,Full,Misc,32.5,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Plant/PoisonTreeTeak
PoisonRafflesia,poison rafflesia,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,,Plant/PoisonRafflesia
PoisonShrub,poison shrub,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Plant/PoisonShrub
PoisonTreeCypress,cypress tree,Advanced Biomes (Continued),True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Plant/PoisonTreeCypress
PoisonTreePalm,palm tree,Advanced Biomes (Continued),True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Plant/PoisonTreePalm
PoisonTreeWillow,willow tree,Advanced Biomes (Continued),True,Full,Misc,13,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,17,Ground,Plant/PoisonTreeWillow
SavannaBush,bush,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.4000000059604645,False,False,CleanOnly,2,4,,Plant/SavannaBush
SavannaTreeAcacia,acacia tree,Advanced Biomes (Continued),True,Full,Misc,32.5,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Plant/TreeAcacia
SavannaTreeBaobab,baobab tree,Advanced Biomes (Continued),True,Full,Misc,32.5,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Plant/TreeBaobab
SwordFern,sword fern,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.4000000059604645,False,False,CleanOnly,2,4,,Plant/SwordFern
TreeCedar,redcedar tree,Advanced Biomes (Continued),True,Full,Misc,20,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Plant/TreeCedar
TreeDead,dead tree,Advanced Biomes (Continued),True,Full,Misc,32.5,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Plant/TreeDead
WetlandTreeMangrove,mangrove tree,Advanced Biomes (Continued),True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,4,Ground,Plant/TreeMangrove
AA_AlienGrass,ocular grass,Alpha Animals,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_AlienGrass
AA_AlienTree,ocular tree,Alpha Animals,True,Full,Misc,5,GU_RedWood,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,Things/Plants/AB_OcularTree
AA_Heat_Ambrosia,heat resistant ambrosia bush,Alpha Animals,False,None,Food,6,Ambrosia,0,58,6,42,0.10000000149011612,False,False,CleanOnly,2,-1,,Things/Plant/Ambrosia
AA_Plant_PollenTrumpet,pollen trumpet,Alpha Animals,False,None,Beauty,0.5,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,-1,Ground|Decorative,Things/Plants/AA_PollenTrumpet
AA_RedLeaves,ocular plant,Alpha Animals,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_RedLeaves
AA_RedPlantsTall,ocular plant,Alpha Animals,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_RedLeaves2
AA_RottingMound,fermented rotting mound,Alpha Animals,False,None,Misc,0.0010000000474974513,,0,58,6,42,0,False,False,CleanOnly,1,-1,,Things/Item/Resource/AA_RottingMound
AB_Aaklac,aaklac,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,,Things/Plants/AB_Aaklac
AB_AgaricusDomeCap,agaricus domecap,Alpha Biomes,False,None,Food,10,AB_PsychotropicFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,3,Ground,Things/Plants/AB_AgaricusDomeCap
AB_Agarilux,agarilux,Alpha Biomes,False,None,Food,15,AB_PurpleRawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plant/Agarilux
AB_AgariluxPrime,Agarilux Prime,Alpha Biomes,False,None,Food,6000,RawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,,Things/Plants/AB_AgariluxPrime
AB_AlienGrass,ocular grass,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_AlienGrass
AB_AlienTree,ocular tree,Alpha Biomes,True,Full,Misc,5,GU_RedWood,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,Ground,Things/Plants/AB_OcularTree
AB_AlienTree_Polluted,mutated ocular tree,Alpha Biomes,True,Full,Misc,5,GU_RedWood,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,3,8,Ground,Things/Plants/AB_PollutedAlienTree
AB_ArbuscularMycorrhiza,arbuscular mycorrhiza,Alpha Biomes,False,None,Food,15,WoodLog,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_ArbuscularMycorrhiza
AB_BloodBouquet,blood bouquet,Alpha Biomes,False,None,Misc,5,AB_RawBloodBouquet,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,Things/Plants/AB_BloodBouquet
AB_BrownBarrelCactus,brown barrel cactus,Alpha Biomes,False,None,Misc,3,AB_RawBrownBarrelCactus,0,110,10,100,0.05000000074505806,False,False,CleanOnly,2,4,,Things/Plants/AB_BrownBarrelCactus
AB_Bryolux,bryolux,Alpha Biomes,False,None,Misc,5,,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,3,,Things/Plant/Bryolux
AB_CrystalFlower,crystal flower,Alpha Biomes,False,None,Misc,3,AB_CrystalWood,-60,10,-50,5,0.699999988079071,True,False,CleanOnly,2,4,,Things/Plants/AB_CrystalFlower
AB_CrystalHorn,crystal horn,Alpha Biomes,False,None,Misc,3,AB_RawCrystalHorn,-60,10,-50,5,0.25,False,False,CleanOnly,2,4,,Things/Plants/AB_CrystalHorn
AB_DeadBowerTree,dead bower tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_DeadBowerTree
AB_DessertTree,dessert tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_DessertTree
AB_DribblingCap,dribbling cap,Alpha Biomes,False,None,Food,15,AB_WeaponPoisonDart,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_DribblingCap
AB_EuphorbiaDesiccata,euphorbia desiccata,Alpha Biomes,True,Full,Misc,2,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,3,Ground,Things/Plants/AB_EuphorbiaDesiccata
AB_EuphorbiaRimworldia,euphorbia rimworldia,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Things/Plants/AB_EuphorbiaRimworldia
AB_EyeGrass,flowering ocular grass,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,1,-1,,Things/Plants/AB_EyeGrass
AB_FanPalm,fan palm,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.8500000238418579,False,False,CleanOnly,3,10,Ground|Ground,Things/Plants/AB_FanPalm
AB_FirevineTree,firevine tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,110,10,100,0.05000000074505806,False,False,CleanOnly,3,10,Ground|Ground,Things/Plants/AB_FirevineTree
AB_FlashFrozenTree,flash frozen tree,Alpha Biomes,False,None,Misc,9.999999747378752e-05,WoodLog,-60,10,-50,5,0,False,False,CleanOnly,2,-1,,Things/Plants/AB_FlashFrozenTree
AB_FleshTree,flesh tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_FleshTree
AB_Flowers,flowers,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/AB_Flowers
AB_FrostLeaf,frost leaf,Alpha Biomes,False,None,Misc,3,AB_RawFrostLeaf,-60,10,-50,5,0,False,False,CleanOnly,2,4,,Things/Plants/AB_FrostLeaf
AB_GargantuanLithops,gargantuan lithops,Alpha Biomes,False,None,Misc,3,Steel,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Things/Plants/AB_Lithops
AB_GiantAgariTox,agaritox,Alpha Biomes,True,Full,Misc,15,AB_MushroomWoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,8,Ground,Things/Plants/AB_GiantAgariTox
AB_GiantAgarilux,giant agarilux,Alpha Biomes,False,None,Food,15,AB_MushroomWoodLog,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_GiantAgarilux
AB_GiantFlower,giant mutant hibiscus,Alpha Biomes,True,Full,Misc,14,,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,,Things/Plants/AB_GiantFlower
AB_GiantGamma,giant gamma,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,10,Ground,Things/Plants/AB_GiantGamma
AB_GiantSeptimum,giant septimum,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_GiantSeptimum
AB_GiantStikehr,giant stikehr,Alpha Biomes,False,None,Food,15,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_GiantStikehr
AB_GiantSunflower,giant sunflower,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_GiantSunflower
AB_GiantToxicFlower,giant toxic flower,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,8,Ground,Things/Plants/AB_GiantToxicFlower
AB_GiantTulip,giant tulips,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_GiantTulip
AB_GlobularPlant,globular aberration,Alpha Biomes,False,None,Misc,5,GU_RedWood,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,Things/Plants/AB_GlobularPlant
AB_GlobularPlant_Polluted,polluted globular aberration,Alpha Biomes,True,Full,Misc,5,GU_RedWood,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,3,8,Ground,Things/Plants/AB_GlobularPlant_Polluted
AB_GlowingAgarilux,glowing agarilux,Alpha Biomes,False,None,Food,15,AB_PurpleRawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,,Things/Plant/Agarilux
AB_GlowingGrass,grass,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/AB_GlowingGrass
AB_Glowstool,glowstool,Alpha Biomes,False,None,Food,10,RawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,3,Ground,Things/Plant/Glowstool
AB_GoldenCubeTree,golden cube tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_CubeTree
AB_Gomphoeria,gomphoeria,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Things/Plants/AB_Gomphoeria
AB_GreenRockFern,green rock fern,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,4,,Things/Plants/AB_GreenRockFern
AB_HalfAlienTree,half transformed ocular tree,Alpha Biomes,True,Full,Misc,5,WoodLog,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,Things/Plants/AB_HalfAlienTree
AB_HardyGrass,hardy grass,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.30000001192092896,False,False,Any,1,-1,,Things/Plant/Grass_Leafless
AB_Iashiphus,iashiphus,Alpha Biomes,False,None,Misc,3,AB_RawIashiphus,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Things/Plants/AB_Iashiphus
AB_JungleTree,deep jungle tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_JungleTree
AB_JungleTree_Polluted,deep jungle polux,Alpha Biomes,True,Full,Misc,22,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,10,Ground,Things/Plants/AB_JunglePolux
AB_KeeningCordax,keening cordax,Alpha Biomes,True,Full,Misc,14,AB_CordaxResin,0,58,6,42,0.8500000238418579,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_KeeningCordax
AB_LandCoral,amethyst land coral fungus,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,1,-1,,Things/Plants/AB_LandCoral
AB_LargeSlimyTree,large slimy tree,Alpha Biomes,False,None,Misc,32.5,AB_RawSlime,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Things/Plants/AB_LargeSlimyTree
AB_LilacBeacon,lilac beacon,Alpha Biomes,False,None,Food,10,AB_PurpleRawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,3,Ground,Things/Plants/AB_LilacBeacon
AB_LuminescentTree,luminescent tree,Alpha Biomes,True,Full,Misc,20,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_LuminescentTree
AB_MangrovePalm,mangrove palm,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,True,False,CleanOnly,3,10,Ground,Things/Plants/AB_MangrovePalm
AB_MangroveTree,mangrove tree,Alpha Biomes,True,Full,Misc,14,WoodLog,0,58,6,42,0.699999988079071,True,False,CleanOnly,3,10,Ground,Things/Plants/AB_MangroveTree
AB_ParasiticMangrove,parasitic mangrove,Alpha Biomes,False,None,Misc,3,MedicineHerbal,0,58,6,42,0.699999988079071,True,False,CleanOnly,2,3,,Things/Plants/AB_ParasiticMangrove
AB_PollutedStikehr,polluted stikehr,Alpha Biomes,True,Full,Misc,15,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,1,8,Ground,Things/Plants/AB_PollutedStikehr
AB_RavenNettle,raven nettle,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,8,,Things/Plants/AB_RavenNettle
AB_RecurvedStropharia,recurved stropharia,Alpha Biomes,False,None,Food,15,AB_MushroomWoodLog,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_RecurvedStropharia
AB_RedBugloss,red bugloss,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Things/Plants/AB_RedBugloss
AB_RedLeaves,ocular plant,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_RedLeaves
AB_RedPlantsTall,ocular plant,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/GU_RedLeaves2
AB_RimeNodules,rime nodules,Alpha Biomes,False,None,Misc,3,AB_RawRimeNodules,-60,10,-50,5,0,False,False,CleanOnly,2,4,,Things/Plants/AB_RimeNodules
AB_SessileMechanoid,sessile mechanoid tree,Alpha Biomes,True,Full,Misc,40,WoodLog,0,58,6,42,0.10000000149011612,False,False,CleanOnly,3,8,Ground,Things/Plants/AB_SessileMechanoid
AB_Slimecasia,slimecasia,Alpha Biomes,False,None,Misc,3,AB_RawSlime,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Things/Plants/AB_Slimecasia
AB_SlimyFern,slimy fern,Alpha Biomes,False,None,Misc,3,AB_RawSlime,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Things/Plants/AB_SlimyFern
AB_SlimyPholiota,slimy pholiota,Alpha Biomes,False,None,Food,15,AB_BlueRawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,-1,Ground,Things/Plants/AB_SlimyPholiota
AB_SlimyTree,slimy tree,Alpha Biomes,False,None,Misc,32.5,AB_RawSlime,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground,Things/Plants/AB_SlimyTree
AB_SugarFamewort,sugar famewort,Alpha Biomes,False,None,Misc,3,AB_RawSugarFamewort,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Things/Plants/AB_SugarFamewort
AB_TallSlimyGrass,tall slimy grass,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,4,,Things/Plants/AB_SlimeGrass
AB_TangleTea,tangle tea,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Things/Plants/AB_TangleTea
AB_TarPuddle,tar puddle,Alpha Biomes,False,None,Food,9.999999747378752e-05,,0,58,6,42,0,False,False,CleanOnly,1,-1,,Things/Plants/AB_TarPuddle
AB_TechnoTree,techno tree,Alpha Biomes,True,Full,Misc,20,WoodLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,10,Ground,Things/Plants/AB_TechnoTree
AB_TentacularPlant,tentacular aberration,Alpha Biomes,False,None,Misc,5,AB_RawTentacularFruit,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,Things/Plants/AB_TentacularPlant
AB_TinkleGrass,tinkle grass,Alpha Biomes,False,None,Misc,1,,0,110,10,100,0.05000000074505806,False,False,CleanOnly,1,-1,,Things/Plants/AB_TinkleGrass
AB_ToxiBulb,toxibulb,Alpha Biomes,True,Full,Misc,2,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,8,Ground,Things/Plants/AB_ToxiBulb
AB_ToxiGrass,toxi grass,Alpha Biomes,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,1,-1,,Things/Plants/AB_ToxiGrass
AB_ToxicGamma,toxic gamma,Alpha Biomes,True,Full,Misc,2,WoodLog,0,58,6,42,0.5,False,False,PollutedOnly,3,8,Ground|Ground,Things/Plants/AB_ToxicGamma
AB_WeepingToxberry,weeping toxberry,Alpha Biomes,False,None,Misc,3,,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,2,-1,,Things/Plants/AB_WeepingToxberry
AB_WildRadagast,wild ragadast,Alpha Biomes,False,None,Misc,3,AB_RawRagadast,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,Ground,Things/Plants/AB_WildRadagast
AB_WitchesOyster,witches' oyster,Alpha Biomes,False,None,Food,5,AB_PinkRawFungus,0,58,6,42,0.949999988079071,False,False,CleanOnly,1,3,Ground,Things/Plants/AB_WitchesOyster
AG_DarkGamma,dark gamma,Alpha Genes,False,None,Beauty,5,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,Ground|Decorative,Things/Plant/AG_DarkGamma
AG_Gamma,gamma,Alpha Genes,False,None,Beauty,5,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,Ground|Decorative,Things/Plant/AG_Gamma
AG_Septimum,septimum,Alpha Genes,False,None,Misc,10,AG_Ultima,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,Ground,Things/Plant/AG_Septimum
AM_Plant_CorruptedPodGauranlen,corrupted Gauranlen pod,Alpha Memes,False,None,Misc,6,AM_CorruptedGauranlenSeed,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,-1,,Things/Plants/AM_CorruptedGaumakerPod
ChoppedStump_Harbinger,chopped harbinger stump,Anomaly,False,None,Misc,30,WoodLog,0,58,6,42,0.009999999776482582,False,False,CleanOnly,2,-1,,Things/Plant/Stumps/StumpChopped_HarbingerTree
Plant_TreeHarbinger,harbinger tree,Anomaly,True,Super,Misc,10,Bioferrite,0,58,6,42,0.5,False,False,Any,3,8,,Things/Plant/TreeHarbinger
SmashedStump_Harbinger,smashed harbinger stump,Anomaly,False,None,Misc,30,WoodLog,0,58,6,42,0.009999999776482582,False,False,CleanOnly,2,-1,,Things/Plant/Stumps/StumpSmashed_HarbingerTree
BMT_AbyssalGrapesVine,abyssal grapes,Biomes! Caverns,False,None,Food,14,BMT_AbyssalGrapes,0,58,6,42,0.699999988079071,False,True,CleanOnly,2,10,Ground,BMT_Caverns/Things/Plant/AbyssalGrapes
BMT_AmbrosyxFungus,ambrosyx fungus,Biomes! Caverns,False,None,Food,6,BMT_AmbrosyxShroom,-50,352.22198486328125,-50,352.22198486328125,0.699999988079071,False,True,CleanOnly,2,4,,BMT_Caverns/Things/Plant/Ambrosyx
BMT_Arpeau,arpeau,Biomes! Caverns,True,Full,Misc,5,BMT_MushroomLog,0,58,6,42,0.699999988079071,True,False,CleanOnly,1,20,,BMT_Caverns/Things/Plant/Arpeau
BMT_BalefulBolete,baleful bolete,Biomes! Caverns,False,None,Beauty,5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Decorative,BMT_Caverns/Things/Plant/BalefulBolete
BMT_BiolumiAlgaeCarnelian,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Carnelian
BMT_BiolumiAlgaeChrysoberyl,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Chrysoberyl
BMT_BiolumiAlgaeCitrine,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Citrine
BMT_BiolumiAlgaeKunzite,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Kunzite
BMT_BiolumiAlgaeTanzanite,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Tanzanite
BMT_BiolumiAlgaeTurquoise,bioluminescence algae,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.15000000596046448,True,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/BioluminescenceAlgae/Turquoise
BMT_BlackLily,black lily,Biomes! Caverns,False,None,Beauty,2,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,8,,BMT_Caverns/Things/Plant/BlackLily
BMT_Blastpod,blastpod shroom,Biomes! Caverns,False,None,Health,5,BMT_BlastSpore,50,352.22198486328125,50,352.22198486328125,0.699999988079071,False,True,CleanOnly,3,8,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Boomshroom/BoomshroomGrown
BMT_BleedingTooth,bleeding tooth,Biomes! Caverns,False,None,Misc,2,,0,58,6,42,0.699999988079071,False,False,Any,2,-1,,BMT_Caverns/Things/Plant/BleedingTooth
BMT_BloomingCactus,blooming cactus,Biomes! Caverns,False,None,Beauty,6,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,8,,BMT_Caverns/Things/Plant/BloomingCactus
BMT_BrightWispcap,bright wispcap,Biomes! Caverns,False,None,Misc,5,,0,58,6,42,0.10000000149011612,False,False,CleanOnly,3,3,Ground|Decorative,BMT_Caverns/Things/Plant/BrightWispcap
BMT_BrightWisptoll,bright wisptoll,Biomes! Caverns,True,Full,Misc,5,,0,58,6,42,0.10000000149011612,False,False,Any,3,3,Ground|Ground,BMT_Caverns/Things/Plant/BrightWisptoll
BMT_Brightbell,shinebell,Biomes! Caverns,False,None,Misc,5,RawFungus,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Decorative,BMT_Caverns/Things/Plant/Brightbell
