guy762.KotORWeapons elements EXCLUDED from absorption -- each references a
comp class confirmed to live in guy762.mm.kotorcore's own bundled DLLs
(CompExtraSounds / MentalBreakBlocker / SecondaryMineableYield /
SelfHediffVerb), which retire alongside kotorcore's Defs/. Absorbing these
verbatim today would silently break once kotorcore's C# is gone, unless
kotorcore's DLLs are kept active standalone or these classes are ported
into Jawa_Armoury's own assembly -- WEAPONS_ABSORPTION_WAVE_1's undecided
comp-porting fork. Not written to any Defs/ file; regenerate this list by
rerunning gen_kotorweapons_absorption.py.

defName	source file	matched class
KOTOR_SmallCrystal_blue	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_purple	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_white	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
guy762_electrostaff	ThingDefs_Weapons/WeaponMelee_KotORShockStaffs.xml	CompExtraSounds.
guy762_electrostaff_vulkar	ThingDefs_Weapons/WeaponMelee_KotORShockStaffs.xml	CompExtraSounds.
guy762_electrostaff_mando	ThingDefs_Weapons/WeaponMelee_KotORShockStaffs.xml	CompExtraSounds.
guy762_electrostaff_gand	ThingDefs_Weapons/WeaponMelee_KotORShockStaffs.xml	CompExtraSounds.
guy762_electrostaff_geonosian	ThingDefs_Weapons/WeaponMelee_KotORShockStaffs.xml	CompExtraSounds.
guy762_baton	ThingDefs_Weapons/WeaponMelee_KotORStunBaton.xml	CompExtraSounds.
guy762_baton_vulkar	ThingDefs_Weapons/WeaponMelee_KotORStunBaton.xml	CompExtraSounds.
guy762_baton_gand	ThingDefs_Weapons/WeaponMelee_KotORStunBaton.xml	CompExtraSounds.
guy762_baton_bothan	ThingDefs_Weapons/WeaponMelee_KotORStunBaton.xml	CompExtraSounds.
guy762_baton_rakatan	ThingDefs_Weapons/WeaponMelee_KotORStunBaton.xml	CompExtraSounds.
guy762_vdubblade	ThingDefs_Weapons/WeaponMelee_KotORVibroDoubleBlade.xml	CompExtraSounds.
guy762_vdubblade_sith	ThingDefs_Weapons/WeaponMelee_KotORVibroDoubleBlade.xml	CompExtraSounds.
guy762_vdubblade_echani	ThingDefs_Weapons/WeaponMelee_KotORVibroDoubleBlade.xml	CompExtraSounds.
guy762_vdubblade_trandoshan	ThingDefs_Weapons/WeaponMelee_KotORVibroDoubleBlade.xml	CompExtraSounds.
guy762_vdubblade_yusanis	ThingDefs_Weapons/WeaponMelee_KotORVibroDoubleBlade.xml	CompExtraSounds.
guy762_vaxe	ThingDefs_Weapons/WeaponMelee_KotORVibroaxe.xml	CompExtraSounds.
guy762_vaxe_hutt	ThingDefs_Weapons/WeaponMelee_KotORVibroaxe.xml	CompExtraSounds.
guy762_vaxe_sith	ThingDefs_Weapons/WeaponMelee_KotORVibroaxe.xml	CompExtraSounds.
guy762_vblade	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_prototype	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_krath	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_echani	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_tehkla	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_vao	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vblade_sanasiki	ThingDefs_Weapons/WeaponMelee_KotORVibroblade.xml	CompExtraSounds.
guy762_vglaive	ThingDefs_Weapons/WeaponMelee_KotORVibroglaive.xml	CompExtraSounds.
guy762_vglaive_krath	ThingDefs_Weapons/WeaponMelee_KotORVibroglaive.xml	CompExtraSounds.
guy762_vglaive_echani	ThingDefs_Weapons/WeaponMelee_KotORVibroglaive.xml	CompExtraSounds.
guy762_vsword	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_krath	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_sith	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_echani	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_exchange	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_baragwin	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
guy762_vsword_bacca	ThingDefs_Weapons/WeaponMelee_KotORVibrosword.xml	CompExtraSounds.
