defName,modName,label,capacities,power,cooldownTime,dps,armorPenetration,linkedBodyPartsGroup,chanceFactor
GuineaPig,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
LabradorRetriever,Core,left claw,Scratch,8.5,2,4.25,,FrontLeftPaw,
LabradorRetriever,Core,right claw,Scratch,8.5,2,4.25,,FrontRightPaw,
LabradorRetriever,Core,,Bite,14.2,2.6,5.46,,Teeth,0.7
LabradorRetriever,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
Husky,Core,left claw,Scratch,9.7,2,4.85,,FrontLeftPaw,
Husky,Core,right claw,Scratch,9.7,2,4.85,,FrontRightPaw,
Husky,Core,,Bite,14.2,2.6,5.46,,Teeth,0.7
Husky,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Monkey,Core,left fist,Blunt,3.6,1.5,2.4,,LeftHand,
Monkey,Core,right fist,Blunt,3.6,1.5,2.4,,RightHand,
Monkey,Core,,Bite,4,2,2.0,,Teeth,0.7
Monkey,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
Chicken,Core,claws,Scratch,2,1.5,1.33,,Feet,
Chicken,Core,beak,Bite,3,2,1.5,,Beak,
Chicken,Core,head,Blunt,1,1.5,0.67,,HeadAttackTool,0.2
Duck,Core,claws,Scratch,3,1.5,2.0,,Feet,
Duck,Core,beak,Bite,4,2,2.0,,Beak,
Duck,Core,head,Blunt,2,1.5,1.33,,HeadAttackTool,0.2
Turkey,Core,claws,Scratch,5,1.5,3.33,,Feet,
Turkey,Core,beak,Bite,6,2,3.0,,Beak,
Turkey,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Goose,Core,claws,Scratch,3,1.5,2.0,,Feet,
Goose,Core,beak,Bite,5.6,2,2.8,,Beak,
Goose,Core,head,Blunt,2,1.5,1.33,,HeadAttackTool,0.2
Cow,Core,,Bite,8.8,2.6,3.38,,Teeth,0.7
Cow,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Cow,Core,left hoof,Blunt;Poke,8,2,4.0,,FrontLeftLeg,
Cow,Core,right hoof,Blunt;Poke,8,2,4.0,,FrontRightLeg,
Boomalope,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Boomalope,Core,left hoof,Blunt;Poke,9,2,4.5,,FrontLeftLeg,
Boomalope,Core,right hoof,Blunt;Poke,9,2,4.5,,FrontRightLeg,
Boomalope,Core,,Bite,10,2,5.0,,Teeth,0.5
Muffalo,Core,head,Blunt,13,2.6,5.0,,HeadAttackTool,
Muffalo,Core,left hoof,Blunt;Poke,10,2,5.0,,FrontLeftLeg,
Muffalo,Core,right hoof,Blunt;Poke,10,2,5.0,,FrontRightLeg,
Muffalo,Core,,Bite,10,2,5.0,,Teeth,0.5
Bison,Core,head,Blunt,15,2.9,5.17,,HeadAttackTool,
Bison,Core,left hoof,Blunt;Poke,10,2,5.0,,FrontLeftLeg,
Bison,Core,right hoof,Blunt;Poke,10,2,5.0,,FrontRightLeg,
Bison,Core,,Bite,10,2,5.0,,Teeth,0.5
Dromedary,Core,left hoof,Blunt;Poke,9,2,4.5,,FrontLeftLeg,
Dromedary,Core,right hoof,Blunt;Poke,9,2,4.5,,FrontRightLeg,
Dromedary,Core,,Bite,10,2,5.0,,Teeth,0.7
Dromedary,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Goat,Core,,Bite,7.3,2,3.65,,Teeth,0.7
Goat,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Elk,Core,left hoof,Blunt;Poke,10,2,5.0,,FrontLeftLeg,
Elk,Core,right hoof,Blunt;Poke,10,2,5.0,,FrontRightLeg,
Elk,Core,,Bite,10,2,5.0,,Teeth,0.5
Elk,Core,head,Blunt,13,2.6,5.0,,HeadAttackTool,
Yak,Core,,Bite,8.8,2.6,3.38,,Teeth,0.7
Yak,Core,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Yak,Core,left hoof,Blunt;Poke,8,2,4.0,,FrontLeftLeg,
Yak,Core,right hoof,Blunt;Poke,8,2,4.0,,FrontRightLeg,
Caribou,Core,left hoof,Blunt;Poke,10,2,5.0,,FrontLeftLeg,
Caribou,Core,right hoof,Blunt;Poke,10,2,5.0,,FrontRightLeg,
Caribou,Core,,Bite,10,2,5.0,,Teeth,0.5
Caribou,Core,head,Blunt,13,2.6,5.0,,HeadAttackTool,
Horse,Core,head,Blunt,10,2.9,3.45,,HeadAttackTool,
Horse,Core,left hoof,Blunt;Poke,7,2,3.5,,FrontLeftLeg,
Horse,Core,right hoof,Blunt;Poke,7,2,3.5,,FrontRightLeg,
Horse,Core,,Bite,5,2,2.5,,Teeth,0.5
Donkey,Core,head,Blunt,12,2.9,4.14,,HeadAttackTool,
Donkey,Core,left hoof,Blunt;Poke,8,2,4.0,,FrontLeftLeg,
Donkey,Core,right hoof,Blunt;Poke,8,2,4.0,,FrontRightLeg,
Donkey,Core,,Bite,6,2,3.0,,Teeth,0.5
Elephant,Core,tusk,Scratch;Stab,25,2.6,9.62,,TuskAttackTool,
Elephant,Core,left foot,Blunt,16.9,2,8.45,,FrontLeftLeg,
Elephant,Core,right foot,Blunt,16.9,2,8.45,,FrontRightLeg,
Elephant,Core,head,Blunt,14,2,7.0,,HeadAttackTool,0.2
Rhinoceros,Core,horn,Scratch,19,2,9.5,,HornAttackTool,
Rhinoceros,Core,horn,Blunt,19,2,9.5,,HornAttackTool,
Rhinoceros,Core,,Bite,19,2.6,7.31,,Teeth,0.7
Rhinoceros,Core,head,Blunt,15,2,7.5,,HeadAttackTool,0.2
,Core,,Bite,3.4,2,1.7,,Teeth,
,Core,head,Blunt,1.5,2,0.75,,HeadAttackTool,0.2
Hare,Core,,Bite,3.4,2,1.7,,Teeth,
Hare,Core,head,Blunt,1.5,2,0.75,,HeadAttackTool,0.2
Snowhare,Core,,Bite,3.4,2,1.7,,Teeth,
Snowhare,Core,head,Blunt,1.5,2,0.75,,HeadAttackTool,0.2
Megascarab,Core,mandibles,Bite,5,2,2.5,,Mouth,
Megascarab,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.1
Spelopede,Core,head claw,Cut,7,2,3.5,,HeadClaw,
Spelopede,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Megaspider,Core,head claw,Cut,12,2.6,4.62,,HeadClaw,
Megaspider,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Thrumbo,Core,horn,Scratch;Stab,23,2,11.5,,HornAttackTool,
Thrumbo,Core,,Bite,28,2.6,10.77,,Teeth,0.7
Thrumbo,Core,left foot,Blunt,19,2,9.5,,FrontLeftLeg,
Thrumbo,Core,right foot,Blunt,19,2,9.5,,FrontRightLeg,
Thrumbo,Core,head,Blunt,17,2,8.5,,HeadAttackTool,0.2
Cobra,Core,venom-fangs,ToxicBite,12,2,6.0,,Mouth,
Cobra,Core,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Tortoise,Core,beak,Bite,8,2.6,3.08,,TurtleBeakAttackTool,
Tortoise,Core,head,Blunt,3,2.6,1.15,,HeadAttackTool,0.2
Alphabeaver,Core,left claw,Scratch,7.2,2,3.6,,FrontLeftPaw,
Alphabeaver,Core,right claw,Scratch,7.2,2,3.6,,FrontRightPaw,
Alphabeaver,Core,,Bite,8.5,2,4.25,,Teeth,0.7
Alphabeaver,Core,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Pig,Core,,Bite,7.3,2,3.65,,Teeth,0.7
Pig,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
WildBoar,Core,tusk,Scratch;Stab,9.7,2,4.85,,TuskAttackTool,
WildBoar,Core,,Bite,8.5,2,4.25,,Teeth,0.6
WildBoar,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
Ibex,Core,left hoof,Blunt;Poke,8,2,4.0,,FrontLeftLeg,
Ibex,Core,right hoof,Blunt;Poke,8,2,4.0,,FrontRightLeg,
Ibex,Core,,Bite,8,2,4.0,,Teeth,0.5
Ibex,Core,head,Blunt,10,2.6,3.85,,HeadAttackTool,
Deer,Core,left hoof,Blunt;Poke,7,2,3.5,,FrontLeftLeg,
Deer,Core,right hoof,Blunt;Poke,7,2,3.5,,FrontRightLeg,
Deer,Core,teeth,Bite,8,2,4.0,,Teeth,0.5
Deer,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
Gazelle,Core,left hoof,Blunt;Poke,5.5,1.5,3.67,,FrontLeftLeg,
Gazelle,Core,right hoof,Blunt;Poke,5.5,1.5,3.67,,FrontRightLeg,
Gazelle,Core,,Bite,7,2,3.5,,Teeth,0.7
Gazelle,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Chinchilla,Core,left claw,Scratch,3.6,1.5,2.4,,FrontLeftPaw,
Chinchilla,Core,right claw,Scratch,3.6,1.5,2.4,,FrontRightPaw,
Chinchilla,Core,,Bite,5.8,2,2.9,,Teeth,0.7
Chinchilla,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
Sheep,Core,head,Blunt,14,2.9,4.83,,HeadAttackTool,
Sheep,Core,left hoof,Blunt;Poke,6,2,3.0,,FrontLeftLeg,
Sheep,Core,right hoof,Blunt;Poke,6,2,3.0,,FrontRightLeg,
Sheep,Core,,Bite,8,2,4.0,,Teeth,0.5
Alpaca,Core,left hoof,Blunt;Poke,7.3,2,3.65,,FrontLeftLeg,
Alpaca,Core,right hoof,Blunt;Poke,7.3,2,3.65,,FrontRightLeg,
Alpaca,Core,,Bite,8,2,4.0,,Teeth,0.7
Alpaca,Core,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Megasloth,Core,left claw,Scratch,21,2,10.5,,FrontLeftPaw,
Megasloth,Core,right claw,Scratch,21,2,10.5,,FrontRightPaw,
Megasloth,Core,,Bite,22,2.6,8.46,,Teeth,0.7
Megasloth,Core,head,Blunt,15,2,7.5,,HeadAttackTool,0.2
Capybara,Core,left claw,Scratch,8.4,2,4.2,,FrontLeftPaw,
Capybara,Core,right claw,Scratch,8.4,2,4.2,,FrontRightPaw,
Capybara,Core,,Bite,8.5,2,4.25,,Teeth,0.7
Capybara,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Squirrel,Core,left claw,Scratch,4,2,2.0,,FrontLeftPaw,
Squirrel,Core,right claw,Scratch,4,2,2.0,,FrontRightPaw,
Squirrel,Core,,Bite,5,2,2.5,,Teeth,0.7
Squirrel,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
Rat,Core,left claw,Scratch,3.6,1.5,2.4,,FrontLeftPaw,
Rat,Core,right claw,Scratch,3.6,1.5,2.4,,FrontRightPaw,
Rat,Core,,Bite,6,2,3.0,,Teeth,0.7
Rat,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
Boomrat,Core,left claw,Scratch,5.4,1.5,3.6,,FrontLeftPaw,
Boomrat,Core,right claw,Scratch,5.4,1.5,3.6,,FrontRightPaw,
Boomrat,Core,,Bite,4.9,2,2.45,,Teeth,0.7
Boomrat,Core,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Raccoon,Core,left claw,Scratch,6,2,3.0,,FrontLeftPaw,
Raccoon,Core,right claw,Scratch,6,2,3.0,,FrontRightPaw,
Raccoon,Core,,Bite,7,2,3.5,,Teeth,0.7
Raccoon,Core,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Iguana,Core,left claw,Scratch,8,2,4.0,,FrontLeftClaws,
Iguana,Core,right claw,Scratch,8,2,4.0,,FrontRightClaws,
Iguana,Core,,Bite,10,2.6,3.85,,Teeth,0.7
Iguana,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
Warg,Core,left claw,Scratch,13,1.5,8.67,,FrontLeftPaw,
Warg,Core,right claw,Scratch,13,1.5,8.67,,FrontRightPaw,
Warg,Core,razorfangs,Bite,15,2,7.5,,Teeth,0.9
Warg,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
,Core,left claw,Scratch,10.9,2,5.45,,FrontLeftPaw,0.5
,Core,right claw,Scratch,10.9,2,5.45,,FrontRightPaw,0.5
,Core,,Bite,12,2,6.0,,Teeth,0.9
,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Wolf_Timber,Core,left claw,Scratch,10.9,2,5.45,,FrontLeftPaw,0.5
Wolf_Timber,Core,right claw,Scratch,10.9,2,5.45,,FrontRightPaw,0.5
Wolf_Timber,Core,,Bite,12,2,6.0,,Teeth,0.9
Wolf_Timber,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Wolf_Arctic,Core,left claw,Scratch,10.9,2,5.45,,FrontLeftPaw,0.5
Wolf_Arctic,Core,right claw,Scratch,10.9,2,5.45,,FrontRightPaw,0.5
Wolf_Arctic,Core,,Bite,12,2,6.0,,Teeth,0.9
Wolf_Arctic,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
,Core,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
,Core,right claw,Scratch,8,2,4.0,,FrontRightPaw,
,Core,,Bite,9,2,4.5,,Teeth,0.9
,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Fox_Fennec,Core,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Fox_Fennec,Core,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Fox_Fennec,Core,,Bite,9,2,4.5,,Teeth,0.9
Fox_Fennec,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Fox_Red,Core,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Fox_Red,Core,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Fox_Red,Core,,Bite,9,2,4.5,,Teeth,0.9
Fox_Red,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Fox_Arctic,Core,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Fox_Arctic,Core,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Fox_Arctic,Core,,Bite,9,2,4.5,,Teeth,0.9
Fox_Arctic,Core,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Human,Core,left fist,Blunt,8.2,2,4.1,,LeftHand,
Human,Core,right fist,Blunt,8.2,2,4.1,,RightHand,
Human,Core,teeth,Bite,8.2,2,4.1,,Teeth,0.07
Human,Core,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
,Core,head,Blunt,17,2.6,6.54,,HeadAttackTool,
Mech_Lancer,Core,left fist,Blunt,12.0,2,6.0,,LeftHand,
Mech_Lancer,Core,right fist,Blunt,12.0,2,6.0,,RightHand,
Mech_Lancer,Core,head,Blunt,8.5,2,4.25,,HeadAttackTool,0.2
Mech_Scyther,Core,left blade,Cut;Stab,20,2,10.0,,LeftBlade,
Mech_Scyther,Core,right blade,Cut;Stab,20,2,10.0,,RightBlade,
Mech_Scyther,Core,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Mech_Pikeman,Core,front left leg,Blunt,12.0,2,6.0,,FrontLeftLeg,
Mech_Pikeman,Core,front right leg,Blunt,12.0,2,6.0,,FrontRightLeg,
Mech_Pikeman,Core,head,Blunt,8.5,2,4.25,,HeadAttackTool,0.2
Mech_Termite,Core,head,Blunt,17,2.6,6.54,,HeadAttackTool,
,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
,Ideology,,Bite,9,2,4.5,,Teeth,0.9
,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Basic,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Basic,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Basic,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Basic,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Woodmaker,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Woodmaker,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Woodmaker,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Woodmaker,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Berrymaker,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Berrymaker,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Berrymaker,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Berrymaker,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Medicinemaker,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Medicinemaker,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Medicinemaker,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Medicinemaker,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Gaumaker,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Gaumaker,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Gaumaker,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Gaumaker,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Carrier,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Carrier,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Carrier,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Carrier,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Dryad_Clawer,Ideology,left claw,Scratch,18,1.5,12.0,0.8,FrontLeftPaw,
Dryad_Clawer,Ideology,right claw,Scratch,18,1.5,12.0,0.8,FrontRightPaw,
Dryad_Clawer,Ideology,,Bite,9,2,4.5,,Teeth,0.3
Dryad_Clawer,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.1
Dryad_Barkskin,Ideology,left claw,Scratch,8,2,4.0,,FrontLeftPaw,
Dryad_Barkskin,Ideology,right claw,Scratch,8,2,4.0,,FrontRightPaw,
Dryad_Barkskin,Ideology,,Bite,9,2,4.5,,Teeth,0.9
Dryad_Barkskin,Ideology,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
WasteRat,Biotech,left claw,Scratch,3.6,1.5,2.4,,FrontLeftPaw,0.8
WasteRat,Biotech,right claw,Scratch,3.6,1.5,2.4,,FrontRightPaw,0.8
WasteRat,Biotech,,ToxicBite,6,2,3.0,,Teeth,
WasteRat,Biotech,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
Toxalope,Biotech,head,Blunt,7,2,3.5,,HeadAttackTool,0.2
Toxalope,Biotech,left hoof,Blunt;Poke,9,2,4.5,,FrontLeftLeg,
Toxalope,Biotech,right hoof,Blunt;Poke,9,2,4.5,,FrontRightLeg,
Toxalope,Biotech,,Bite,10,2,5.0,,Teeth,0.5
Mech_Tunneler,Biotech,left power claw,Scratch,22,2.9,7.59,,LeftPowerClaw,
Mech_Tunneler,Biotech,right power claw,Scratch,22,2.9,7.59,,RightPowerClaw,
,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Militor,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Lifter,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Constructoid,Biotech,torso,Blunt,10,2.9,3.45,,Torso,
Mech_Fabricor,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Agrihand,Biotech,right blade,Cut;Stab,8,2,4.0,,RightBlade,
Mech_Cleansweeper,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_WarUrchin,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Paramedic,Biotech,head,Blunt,6,2.6,2.31,,HeadAttackTool,
Mech_Legionary,Biotech,left fist,Blunt,12.0,2,6.0,,LeftHand,
Mech_Legionary,Biotech,right fist,Blunt,12.0,2,6.0,,RightHand,
Mech_Legionary,Biotech,head,Blunt,8.5,2,4.25,,HeadAttackTool,0.2
Mech_Tesseron,Biotech,left fist,Blunt,12.0,2,6.0,,LeftHand,
Mech_Tesseron,Biotech,right fist,Blunt,12.0,2,6.0,,RightHand,
Mech_Tesseron,Biotech,head,Blunt,8.5,2,4.25,,HeadAttackTool,0.2
Mech_Scorcher,Biotech,front left leg,Blunt,12.0,2,6.0,,FrontLeftLeg,
Mech_Scorcher,Biotech,front right leg,Blunt,12.0,2,6.0,,FrontRightLeg,
Mech_Scorcher,Biotech,head,Blunt,8.5,2,4.25,,HeadAttackTool,0.2
Mech_Apocriton,Biotech,head,Blunt,9,2.6,3.46,,HeadAttackTool,
Mech_Centurion,Biotech,head,Demolish,12,2,6.0,,HeadAttackTool,0.2
Mech_Warqueen,Biotech,head,Blunt,4,2,2.0,,HeadAttackTool,0.2
Mech_Diabolus,Biotech,head,Blunt,18,2.6,6.92,,HeadAttackTool,
Metalhorror,Anomaly,left blade,Cut;Stab,20,2,10.0,,LeftBlade,
Metalhorror,Anomaly,right blade,Cut;Stab,20,2,10.0,,RightBlade,
Metalhorror,Anomaly,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Revenant,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Sightstealer,Anomaly,left claw,Scratch,7.0,2,3.5,,LeftHand,
Sightstealer,Anomaly,right claw,Scratch,7.0,2,3.5,,RightHand,
Sightstealer,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.1
CreepJoiner,Anomaly,left fist,Blunt,8.2,2,4.1,,LeftHand,
CreepJoiner,Anomaly,right fist,Blunt,8.2,2,4.1,,RightHand,
CreepJoiner,Anomaly,teeth,Bite,8.2,2,4.1,,Teeth,0.07
CreepJoiner,Anomaly,head,Blunt,5,2,2.5,,HeadAttackTool,0.2
Noctol,Anomaly,left claw,Scratch,12.3,1.25,9.84,,FrontLeftClaw,
Noctol,Anomaly,right claw,Scratch,12.3,1.25,9.84,,FrontRightClaw,
Noctol,Anomaly,,Bite,15,2,7.5,,Teeth,0.7
Noctol,Anomaly,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Gorehulk,Anomaly,left flesh club,Blunt,3,1.5,2.0,,LeftFleshClub,
Gorehulk,Anomaly,right flesh club,Blunt,3,1.5,2.0,,RightFleshClub,
Gorehulk,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.1
Devourer,Anomaly,left fin,Blunt,8,2,4.0,,LeftFin,
Devourer,Anomaly,right fin,Blunt,8,2,4.0,,RightFin,
Devourer,Anomaly,teeth,Blunt,15,2.5,6.0,0.2,HeadAttackTool,
Chimera,Anomaly,left claw,Scratch,17,2,8.5,,FrontLeftPaw,
Chimera,Anomaly,right claw,Scratch,17,2,8.5,,FrontRightPaw,
Chimera,Anomaly,,Bite,23.6,2.6,9.08,,Teeth,0.5
Chimera,Anomaly,head,Blunt,11,2,5.5,,HeadAttackTool,0.2
Bulbfreak,Anomaly,tentacle,Blunt,7,2,3.5,,FirstTentacle,
Bulbfreak,Anomaly,tentacle,Blunt,7,2,3.5,,SecondTentacle,
Bulbfreak,Anomaly,tentacle,Blunt,7,2,3.5,,ThirdTentacle,
Bulbfreak,Anomaly,tentacle,Blunt,7,2,3.5,,FourthTentacle,
Bulbfreak,Anomaly,tentacle,Blunt,7,2,3.5,,FifthTentacle,
Bulbfreak,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Toughspike,Anomaly,left spike,Stab,7,2,3.5,,LeftSpike,
Toughspike,Anomaly,right spike,Stab,7,2,3.5,,RightSpike,
Toughspike,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Trispike,Anomaly,left spike,Stab,7,2,3.5,,LeftSpike,
Trispike,Anomaly,right spike,Stab,7,2,3.5,,RightSpike,
Trispike,Anomaly,top spike,Stab,7,2,3.5,,MiddleSpike,0.5
Trispike,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Fingerspike,Anomaly,spike,Stab,7,2,3.5,,MiddleSpike,0.5
Fingerspike,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
Dreadmeld,Anomaly,left spike,Stab,14,2,7.0,,LeftSpike,
Dreadmeld,Anomaly,right spike,Stab,14,2,7.0,,RightSpike,
Dreadmeld,Anomaly,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
BogHound,Odyssey,left claw,Scratch,10.5,2,5.25,,FrontLeftPaw,
