defName,modName,index,def,minAge,soundWounded
Megasloth,Core,1,AnimalJuvenile,0.3333,
Megasloth,Core,2,AnimalAdult,0.6666,Pawn_Thrumbo_Pain
Capybara,Core,0,AnimalBaby,0,
Capybara,Core,1,AnimalJuvenile,0.2,
Capybara,Core,2,AnimalAdult,0.3333,Pawn_Alphabeaver_Wounded
Squirrel,Core,0,AnimalBaby,0,
Squirrel,Core,1,AnimalJuvenile,0.11,
Squirrel,Core,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Rat,Core,0,AnimalBaby,0,
Rat,Core,1,AnimalJuvenile,0.1,
Rat,Core,2,AnimalAdult,0.2222,Pawn_Boomrat_Wounded
Boomrat,Core,0,AnimalBaby,0,
Boomrat,Core,1,AnimalJuvenile,0.1,
Boomrat,Core,2,AnimalAdult,0.2222,Pawn_Boomrat_Wounded
Raccoon,Core,0,AnimalBaby,0,
Raccoon,Core,1,AnimalJuvenile,0.1,
Raccoon,Core,2,AnimalAdult,0.2222,Pawn_Boomrat_Wounded
Iguana,Core,0,AnimalBaby,0,
Iguana,Core,1,AnimalJuvenile,0.1,
Iguana,Core,2,AnimalAdult,0.2222,Pawn_Iguana_Wounded
Warg,Core,0,AnimalBaby,0,
Warg,Core,1,AnimalJuvenile,0.2,
Warg,Core,2,AnimalAdult,0.5,Pawn_Warg_Wounded
,Core,0,AnimalBaby,0,
,Core,1,AnimalJuvenile,0.2,
,Core,2,AnimalAdult,0.5,Pawn_Dog_Injured
Wolf_Timber,Core,0,AnimalBaby,0,
Wolf_Timber,Core,1,AnimalJuvenile,0.2,
Wolf_Timber,Core,2,AnimalAdult,0.5,Pawn_Dog_Injured
Wolf_Arctic,Core,0,AnimalBaby,0,
Wolf_Arctic,Core,1,AnimalJuvenile,0.2,
Wolf_Arctic,Core,2,AnimalAdult,0.5,Pawn_Dog_Injured
,Core,0,AnimalBaby,0,
,Core,1,AnimalJuvenile,0.1,
,Core,2,AnimalAdult,0.3333,
Fox_Fennec,Core,0,AnimalBaby,0,
Fox_Fennec,Core,1,AnimalJuvenile,0.1,
Fox_Fennec,Core,2,AnimalAdult,0.3333,
Fox_Red,Core,0,AnimalBaby,0,
Fox_Red,Core,1,AnimalJuvenile,0.1,
Fox_Red,Core,2,AnimalAdult,0.3333,
Fox_Arctic,Core,0,AnimalBaby,0,
Fox_Arctic,Core,1,AnimalJuvenile,0.1,
Fox_Arctic,Core,2,AnimalAdult,0.3333,
Human,Core,0,HumanlikeBaby,0,
Human,Core,1,HumanlikeChild,3,
Human,Core,2,HumanlikePreTeenager,9,
Human,Core,3,HumanlikeTeenager,13,
Human,Core,4,HumanlikeAdult,18,
,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Centipede_Wounded
,Core,1,MechanoidFullyFormed,100,Pawn_Mech_Centipede_Wounded
,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Scyther_Wounded
,Core,1,MechanoidFullyFormed,100,Pawn_Mech_Scyther_Wounded
Mech_Lancer,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Scyther_Wounded
Mech_Lancer,Core,1,MechanoidFullyFormed,100,Pawn_Mech_Scyther_Wounded
Mech_Scyther,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Scyther_Wounded
Mech_Scyther,Core,1,MechanoidFullyFormed,100,Pawn_Mech_Scyther_Wounded
Mech_Pikeman,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Pikeman_Wounded
Mech_Pikeman,Core,1,MechanoidFullyFormed,100,Pawn_Mech_Pikeman_Wounded
Mech_Termite,Core,0,MechanoidFullyFormed,0,Pawn_Mech_Termite_Wounded
Dryad_Basic,Ideology,0,AnimalAdult,,Pawn_Dryad_Wounded
Dryad_Woodmaker,Ideology,0,AnimalAdult,,Pawn_Dryad_Woodmaker_Wounded
Dryad_Berrymaker,Ideology,0,AnimalAdult,,Pawn_Dryad_Berrymaker_Wounded
Dryad_Medicinemaker,Ideology,0,AnimalAdult,,Pawn_Dryad_Medicinemaker_Wounded
Dryad_Gaumaker,Ideology,0,AnimalAdult,,Pawn_Dryad_Gaumaker_Wounded
Dryad_Carrier,Ideology,0,AnimalAdult,,Pawn_Dryad_Carrier_Wounded
Dryad_Clawer,Ideology,0,AnimalAdult,,Pawn_Dryad_Clawer_Wounded
Dryad_Barkskin,Ideology,0,AnimalAdult,,Pawn_Dryad_Barkskin_Wounded
WasteRat,Biotech,0,AnimalBaby,0,
WasteRat,Biotech,1,AnimalJuvenile,0.1,
WasteRat,Biotech,2,AnimalAdult,0.2222,Pawn_Spelopede_Pain
Toxalope,Biotech,0,AnimalBaby,0,
Toxalope,Biotech,1,AnimalJuvenile,0.2,
Toxalope,Biotech,2,AnimalAdult,0.3333,Pawn_Muffalo_Wounded
Mech_Tunneler,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Tunneler_Wounded
Mech_Tunneler,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Tunneler_Wounded
Mech_Militor,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Militor_Wounded
Mech_Militor,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Militor_Wounded
Mech_Lifter,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Lifter_Wounded
Mech_Lifter,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Lifter_Wounded
Mech_Constructoid,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Constructoid_Wounded
Mech_Constructoid,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Constructoid_Wounded
Mech_Fabricor,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Fabricor_Wounded
Mech_Fabricor,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Fabricor_Wounded
Mech_Agrihand,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Agrihand_Wounded
Mech_Agrihand,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Agrihand_Wounded
Mech_Cleansweeper,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Cleansweeper_Wounded
Mech_Cleansweeper,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Cleansweeper_Wounded
Mech_WarUrchin,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_WarUrchin_Wounded
Mech_WarUrchin,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_WarUrchin_Wounded
Mech_Paramedic,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Paramedic_Wounded
Mech_Paramedic,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Paramedic_Wounded
Mech_Legionary,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Legionary_Wounded
Mech_Legionary,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Legionary_Wounded
Mech_Tesseron,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Tesseron_Wounded
Mech_Tesseron,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Tesseron_Wounded
Mech_Scorcher,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Scorcher_Wounded
Mech_Scorcher,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Scorcher_Wounded
Mech_Apocriton,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Apocriton_Wounded
Mech_Apocriton,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Apocriton_Wounded
Mech_Centurion,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Centurion_Wounded
Mech_Centurion,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Centurion_Wounded
Mech_Warqueen,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Warqueen_Wounded
Mech_Warqueen,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Warqueen_Wounded
Mech_Diabolus,Biotech,0,MechanoidFullyFormed,0,Pawn_Mech_Diabolus_Wounded
Mech_Diabolus,Biotech,1,MechanoidFullyFormed,100,Pawn_Mech_Diabolus_Wounded
,Anomaly,0,EntityFullyFormed,,
Nociosphere,Anomaly,0,EntityFullyFormed,,Pawn_Nociosphere_Wounded
Metalhorror,Anomaly,0,MetalhorrorLarva,,
Metalhorror,Anomaly,1,MetalhorrorJuvenile,0.016667,
Metalhorror,Anomaly,2,MetalhorrorMature,0.05,
Revenant,Anomaly,0,EntityFullyFormed,,Pawn_Revenant_Wounded
Sightstealer,Anomaly,0,EntityFullyFormed,,Pawn_Sightstealer_Wounded
CreepJoiner,Anomaly,0,HumanlikeBaby,0,
CreepJoiner,Anomaly,1,HumanlikeChild,3,
CreepJoiner,Anomaly,2,HumanlikePreTeenager,9,
CreepJoiner,Anomaly,3,HumanlikeTeenager,13,
CreepJoiner,Anomaly,4,HumanlikeAdult,18,
Noctol,Anomaly,0,EntityFullyFormed,,Pawn_Noctol_Wounded
FleshmassNucleus,Anomaly,0,EntityFullyFormed,,
Gorehulk,Anomaly,0,EntityFullyFormed,,Pawn_Gorehulk_Wounded
Devourer,Anomaly,0,EntityFullyFormed,,Pawn_Devourer_Wounded
Chimera,Anomaly,0,EntityFullyFormed,,Pawn_Chimera_Wounded
Bulbfreak,Anomaly,0,EntityFullyFormed,,Pawn_Fleshbeast_Bulbfreak_Wounded
Toughspike,Anomaly,0,FullyFormed_Toughspike,,Pawn_Fleshbeast_Toughspike_Wounded
Trispike,Anomaly,0,EntityFullyFormed,,Pawn_Fleshbeast_Trispike_Wounded
Fingerspike,Anomaly,0,EntityFullyFormed,,Pawn_Fleshbeast_Fingerspike_Wounded
Dreadmeld,Anomaly,0,EntityFullyFormed,,Pawn_Fleshbeast_Dreadmeld_Wounded
BogHound,Odyssey,0,AnimalBaby,0,
BogHound,Odyssey,1,AnimalJuvenile,0.25,
BogHound,Odyssey,2,AnimalAdult,0.5,Pawn_Warg_Wounded
MonitorLizard,Odyssey,0,AnimalBaby,0,
MonitorLizard,Odyssey,1,AnimalJuvenile,0.1,
MonitorLizard,Odyssey,2,AnimalAdult,0.2222,Pawn_Iguana_Wounded
PrairieDog,Odyssey,0,AnimalBaby,0,
PrairieDog,Odyssey,1,AnimalJuvenile,0.1,
PrairieDog,Odyssey,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Porcupine,Odyssey,0,AnimalBaby,0,
Porcupine,Odyssey,1,AnimalJuvenile,0.1,
Porcupine,Odyssey,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Mastodon,Odyssey,0,AnimalBaby,0,
Mastodon,Odyssey,1,AnimalJuvenile,0.3,
Mastodon,Odyssey,2,AnimalAdult,0.666,Pawn_Elephant_Injured
Cat_Scimitar,Odyssey,0,AnimalBaby,0,
Cat_Scimitar,Odyssey,1,AnimalJuvenile,0.25,
Cat_Scimitar,Odyssey,2,AnimalAdult,0.5,Pawn_Cougar_Injured
Wolverine,Odyssey,0,AnimalBaby,0,
Wolverine,Odyssey,1,AnimalJuvenile,0.1,
Wolverine,Odyssey,2,AnimalAdult,0.2222,Pawn_Wolverine_Wounded
Wolf_Great,Odyssey,0,AnimalBaby,0,
Wolf_Great,Odyssey,1,AnimalJuvenile,0.2,
Wolf_Great,Odyssey,2,AnimalAdult,0.5,Pawn_Dog_Injured
Moose,Odyssey,0,AnimalBaby,0,
Moose,Odyssey,1,AnimalJuvenile,0.20,
Moose,Odyssey,2,AnimalAdult,0.3333,Pawn_Elk_Wounded
AlphaThrumbo,Odyssey,0,AnimalBaby,0,
AlphaThrumbo,Odyssey,1,AnimalJuvenile,0.75,
AlphaThrumbo,Odyssey,2,AnimalAdult,1.332,Pawn_Thrumbo_Pain
Muskox,Odyssey,0,AnimalBaby,0,
Muskox,Odyssey,1,AnimalJuvenile,0.20,
Muskox,Odyssey,2,AnimalAdult,0.3333,Pawn_Bison_Wounded
Tiger,Odyssey,0,AnimalBaby,0,
Tiger,Odyssey,1,AnimalJuvenile,0.25,
Tiger,Odyssey,2,AnimalAdult,0.5,Pawn_Cougar_Injured
Mink,Odyssey,0,AnimalBaby,0,
Mink,Odyssey,1,AnimalJuvenile,0.11,
Mink,Odyssey,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Gorilla,Odyssey,0,AnimalBaby,0,
Gorilla,Odyssey,1,AnimalJuvenile,0.2,
Gorilla,Odyssey,2,AnimalAdult,0.266,Pawn_Gorilla_Wounded
Badger,Odyssey,0,AnimalBaby,0,
Badger,Odyssey,1,AnimalJuvenile,0.1,
Badger,Odyssey,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Panda,Odyssey,0,AnimalBaby,0,
Panda,Odyssey,1,AnimalJuvenile,0.2,
Panda,Odyssey,2,AnimalAdult,0.5,Pawn_Bear_Injured
Hippo,Odyssey,0,AnimalBaby,0,
Hippo,Odyssey,1,AnimalJuvenile,0.3,
Hippo,Odyssey,2,AnimalAdult,0.55,Pawn_Rhinoceros_Wounded
Megavole,Odyssey,0,AnimalBaby,0,
Megavole,Odyssey,1,AnimalJuvenile,0.1,
Megavole,Odyssey,2,AnimalAdult,0.2222,Pawn_Megavole_Wounded
Armadillo,Odyssey,0,AnimalBaby,0,
Armadillo,Odyssey,1,AnimalJuvenile,0.1,
Armadillo,Odyssey,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Alligator,Odyssey,0,AnimalBaby,0,
Alligator,Odyssey,1,AnimalJuvenile,0.1,
Alligator,Odyssey,2,AnimalAdult,0.2222,Pawn_Alligator_Wounded
Bullfrog,Odyssey,0,AnimalBaby,0,
Bullfrog,Odyssey,1,AnimalJuvenile,0.1,
Bullfrog,Odyssey,2,AnimalAdult,0.2222,Pawn_Frog_Wounded
ColossusToad,Odyssey,0,AnimalBaby,0,
ColossusToad,Odyssey,1,AnimalJuvenile,0.1,
ColossusToad,Odyssey,2,AnimalAdult,0.2222,Pawn_Frog_Wounded
LavaSnail,Odyssey,0,AnimalBaby,0,
LavaSnail,Odyssey,1,AnimalJuvenile,0.1,
LavaSnail,Odyssey,2,AnimalAdult,0.2222,Pawn_Crab_Wounded
,Odyssey,0,AnimalBabyTiny,0,
,Odyssey,1,AnimalJuvenile,0.12,
Sparrow,Odyssey,0,AnimalAdult,0.2,Pawn_Sparrow_Wounded
Crow,Odyssey,0,AnimalAdult,0.2,Pawn_Crow_Wounded
Bluebird,Odyssey,0,AnimalAdult,0.2,Pawn_Bluebird_Wounded
Quail,Odyssey,0,AnimalAdult,0.2,Pawn_Quail_Wounded
Macaw,Odyssey,0,AnimalAdult,0.5,Pawn_Macaw_Wounded
,Odyssey,0,AnimalBabyTiny,0,
,Odyssey,1,AnimalJuvenile,0.12,
,Odyssey,2,AnimalAdult,0.2,
Flamingo,Odyssey,0,AnimalBabyTiny,0,
Flamingo,Odyssey,1,AnimalJuvenile,0.12,
Flamingo,Odyssey,2,AnimalAdult,0.2,Pawn_Flamingo_Wounded
Heron,Odyssey,0,AnimalBabyTiny,0,
Heron,Odyssey,1,AnimalJuvenile,0.12,
Heron,Odyssey,2,AnimalAdult,0.2,Pawn_Heron_Wounded
Swan,Odyssey,0,AnimalBabyTiny,0,
Swan,Odyssey,1,AnimalJuvenile,0.12,
Swan,Odyssey,2,AnimalAdult,0.2,Pawn_Swan_Wounded
,Odyssey,0,AnimalBabyTiny,0,
,Odyssey,1,AnimalJuvenile,0.12,
,Odyssey,2,AnimalAdult,0.2,
Peacock,Odyssey,0,AnimalBabyTiny,0,
Peacock,Odyssey,1,AnimalJuvenile,0.12,
Peacock,Odyssey,2,AnimalAdult,0.2,Pawn_Peacock_Wounded
Vulture,Odyssey,0,AnimalBabyTiny,0,
Vulture,Odyssey,1,AnimalJuvenile,0.12,
Vulture,Odyssey,2,AnimalAdult,0.2,Pawn_Vulture_Wounded
Penguin,Odyssey,0,AnimalBabyTiny,0,
Penguin,Odyssey,1,AnimalJuvenile,0.12,
Penguin,Odyssey,2,AnimalAdult,0.2,Pawn_Penguin_Wounded
Walrus,Odyssey,0,AnimalBaby,0,
Walrus,Odyssey,1,AnimalJuvenile,0.1,
Walrus,Odyssey,2,AnimalAdult,0.3333,Pawn_Pinniped_Wounded
SeaLion,Odyssey,0,AnimalBaby,0,
SeaLion,Odyssey,1,AnimalJuvenile,0.1,
SeaLion,Odyssey,2,AnimalAdult,0.3333,Pawn_Pinniped_Wounded
Seal,Odyssey,0,AnimalBaby,0,
Seal,Odyssey,1,AnimalJuvenile,0.1,
Seal,Odyssey,2,AnimalAdult,0.3333,Pawn_Pinniped_Wounded
HermitCrab,Odyssey,0,AnimalBaby,0,
HermitCrab,Odyssey,1,AnimalJuvenile,0.15,
HermitCrab,Odyssey,2,AnimalAdult,0.2222,Pawn_Crab_Wounded
StoneCrab,Odyssey,0,AnimalBaby,0,
StoneCrab,Odyssey,1,AnimalJuvenile,0.15,
StoneCrab,Odyssey,2,AnimalAdult,0.2222,Pawn_Crab_Wounded
SeaTurtle,Odyssey,0,AnimalBaby,0,
SeaTurtle,Odyssey,1,AnimalJuvenile,0.15,
SeaTurtle,Odyssey,2,AnimalAdult,0.2222,Pawn_Tortoise_Wounded
Otter,Odyssey,0,AnimalBaby,0,
Otter,Odyssey,1,AnimalJuvenile,0.1,
Otter,Odyssey,2,AnimalAdult,0.2222,Pawn_Otter_Wounded
Larva,Odyssey,0,EusocialInsectAdult,0,Pawn_Larva_Wounded
HiveQueen,Odyssey,0,EusocialInsectAdult,,Pawn_HiveQueen_Wounded
Locust,Odyssey,0,EusocialInsectLarva,0,
Locust,Odyssey,1,EusocialInsectJuvenile,0.03,
Locust,Odyssey,2,EusocialInsectAdult,0.4,Pawn_Locust_Wounded
Drone_Hunter,Odyssey,0,MechanoidFullyFormed,0,Pawn_Hunter_Wounded
Drone_Wasp,Odyssey,0,MechanoidFullyFormed,0,Pawn_Wasp_Wounded
Drone_Sentry,Odyssey,0,MechanoidFullyFormed,0,Pawn_Sentry_Wounded
Mech_Cyclops,Odyssey,0,MechanoidFullyFormed,,Pawn_Cyclops_Wounded
Mech_Cyclops,Odyssey,1,MechanoidFullyFormed,100,Pawn_Cyclops_Wounded
BS_Centaur,Big and Small - Framework,0,HumanlikeBaby,0,
BS_Centaur,Big and Small - Framework,1,HumanlikeChild,3,
BS_Centaur,Big and Small - Framework,2,HumanlikePreTeenager,9,
BS_Centaur,Big and Small - Framework,3,HumanlikeTeenager,13,
BS_Centaur,Big and Small - Framework,4,HumanlikeAdult,18,
,Big and Small - Framework,0,HumanlikeBaby,0,
,Big and Small - Framework,1,HumanlikeChild,3,
,Big and Small - Framework,2,HumanlikePreTeenager,9,
,Big and Small - Framework,3,HumanlikeTeenager,13,
,Big and Small - Framework,4,HumanlikeAdult,18,
BS_HumanFouramed,Big and Small - Framework,0,HumanlikeBaby,0,
BS_HumanFouramed,Big and Small - Framework,1,HumanlikeChild,3,
BS_HumanFouramed,Big and Small - Framework,2,HumanlikePreTeenager,9,
BS_HumanFouramed,Big and Small - Framework,3,HumanlikeTeenager,13,
BS_HumanFouramed,Big and Small - Framework,4,HumanlikeAdult,18,
BS_Naga,Big and Small - Framework,0,HumanlikeBaby,0,
BS_Naga,Big and Small - Framework,1,HumanlikeChild,3,
