AncientRuins	Odyssey	ruins	The remains of an ancient settlement. These ruins may contain a wide variety of possible threats.	blac:SeaIce,IceSheet,GlacialPlain,AB_MechanoidIntrusion,AB_PropaneLakes,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach
AncientRuins_Frozen	Odyssey	frozen ruins	The ruins of an ancient settlement, now encased in solid ice. These ruins may contain untold dangers.	whit:IceSheet,GlacialPlain,AB_PropaneLakes,ZBiome_GlacialShield
AncientQuarry	Odyssey	ancient quarry	This area was once mined for its natural resources, and the remains of the ancient quarry are still here.	minHilliness=Mountainous
AncientSmokeVent	Odyssey	ancient smoke vent	This area has a number of massive exhaust vents. An ancient mechanism buried deep beneath the earth will occasionally vent large amounts of smoke, blocking out the sun for days at a time.	whit:Scarlands,BorealForest,TemperateForest,TropicalRainforest,AridShrubland,Desert,ExtremeDesert,Grasslands,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_Badlands
AncientToxVent	Odyssey	ancient toxic vent	Massive toxic vents will regularly spew toxic fallout into the air. The vents connect to an ancient substructure buried deep beneath the earth.	whit:Scarlands,BorealForest,TemperateForest,TropicalRainforest,AridShrubland,Desert,ExtremeDesert,Grasslands,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_Badlands
AncientHeatVent	Odyssey	ancient heat vent	Ancient ducts will regularly vent heat from an underground megastructure, dramatically raising the temperature of the surrounding area.	whit:AridShrubland,Desert,ExtremeDesert,Savanna,AB_RockyCrags,AB_GallatrossGraveyard,ZBiome_Badlands,ZBiome_DesertOasis,ZBiome_CoastalDunes,ZBiome_Grasslands
AbandonedColonyTribal	Odyssey	abandoned colony	A recently abandoned colony.	blac:Scarlands,SeaIce,IceSheet,AB_MechanoidIntrusion,AB_PropaneLakes,AB_PyroclasticConflagration,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach
AbandonedColonyOutlander	Odyssey	abandoned colony	A recently abandoned colony.	blac:Scarlands,SeaIce,IceSheet,AB_MechanoidIntrusion,AB_PropaneLakes,AB_PyroclasticConflagration,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach
Harbor	Odyssey	harbor	An abandoned coastal settlement.	blac:Scarlands,SeaIce,IceSheet,AB_MechanoidIntrusion,AB_PropaneLakes,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach,ZBiome_Badlands
Stockpile	Odyssey	stockpile	This area contains an underground stockpile of resources. Be careful, some of the ancient defense systems may still be active.	blac:SeaIce,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach
AncientUplink	Odyssey	ancient uplink	This area contains an uplink used for communication with a low orbit satellite. Hacking the uplink will reveal a hidden location in orbit.	
AnimalLife_Increased	Odyssey	increased animal life	Animals are more abundant here.	poll=0..0.25; freeChance=0.02
AnimalLife_Decreased	Odyssey	decreased animal life	Animals are less abundant here than normal.	freeChance=0.01
AnimalHabitat	Odyssey	animal habitat	A natural habitat for {ANIMALKIND_labelPlural}. They appear in greater numbers here.	poll=0..0.25; freeChance=0.02
PlantLife_Increased	Odyssey	increased plant life	Plant life is more abundant here.	poll=0..0.25; blac:IceSheet,SeaIce,AB_MechanoidIntrusion,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach; freeChance=0.02
PlantLife_Decreased	Odyssey	decreased plant life	Plant life is less abundant here.	freeChance=0.01
PlantGrove	Odyssey	plant grove	This area contains a large number of {0}s.	poll=0..0.25; whit:TemperateForest,TemperateSwamp,ColdBog,BorealForest,TropicalSwamp,TropicalRainforest,Glowforest,AB_FeraliskInfestedJungle,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_Marsh,ZBiome_Grasslands,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; freeChance=0.02
WildPlants	Odyssey	wild plants	When warm enough, this area can grow a large number of {0}.	poll=0..0.25; whit:AridShrubland,BorealForest,ColdBog,GlacialPlain,Grasslands,LavaField,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_TarPits,AB_GallatrossGraveyard,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; freeChance=0.03
WildTropicalPlants	Odyssey	wild plants	This area can grow a large number of {0}s.	poll=0..0.25; whit:TropicalRainforest,TropicalSwamp,AB_MiasmicMangrove,AB_MycoticJungle,AB_FeraliskInfestedJungle,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimond,BiomeGRimphire,BiomeGRuby,BiomeGRuquoise,BiomeGrindland,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis; freeChance=0.01
Junkyard	Odyssey	junkyard	An old dumping ground for various kinds of junk.	maxHilliness=SmallHills; freeChance=0.01
SteamGeysers_Increased	Odyssey	high geothermal activity	Steam geysers are more common in this area.	blac:Grasslands,GlacialPlain,AB_MechanoidIntrusion,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach,ZBiome_DesertOasis; freeChance=0.01
MineralRich	Odyssey	mineral rich		blac:IceSheet,SeaIce,AB_PropaneLakes,AB_GelatinousSuperorganism,AB_IdyllicMeadows,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach
ArcheanTrees	Odyssey	archean trees	This area contains ancient archean trees. These trees host a special microbial community in their roots which converts nearby terrain into rich soil. Their delicate root system makes it impossible to replant them.	poll=0..0.25; whit:AridShrubland,BorealForest,ColdBog,GlacialPlain,Grasslands,LavaField,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,AB_FeraliskInfestedJungle,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh
FoggyMutator	Odyssey	foggy	Fog is common in this area.	whit:BorealForest,ColdBog,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Grasslands,Glowforest,Scarlands,AB_FeraliskInfestedJungle,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,ZBiome_Iceberg_NoBeach,ZBiome_Sandbar_NoBeach,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; wx:Fog x1 +10; freeChance=0.01
SunnyMutator	Odyssey	sunny	Clear weather is much more common here.	blac:Glowforest,AB_RockyCrags,BiomeGRuby; wx:Clear x1 +10; freeChance=0.02
WetClimate	Odyssey	wet climate	Precipitation is much more common here.	whit:BorealForest,ColdBog,IceSheet,SeaIce,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Glowforest,Wetland,PoisonForest,AB_FeraliskInfestedJungle,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_TarPits,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,ZBiome_Iceberg_NoBeach,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; wx:Rain,RainyThunderstorm,SnowGentle,SnowHard,Blizzard,FoggyRain x1 +10; freeChance=0.01
WindyMutator	Odyssey	windy	Winds are much stronger in this area.	whit:AridShrubland,Desert,ExtremeDesert,IceSheet,SeaIce,Tundra,Grasslands,GlacialPlain,LavaField,Scarlands,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CoastalDunes,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; cond:WindyGameCondition; wx:Windy x1 +10; freeChance=0.01
Pollution_Increased	Odyssey	increased pollution	This area is contaminated with toxic pollutants.	
Fish_Increased	Odyssey	increased fish	This area has more fish than normal.	poll=0..0.25; blac:Scarlands,Desert,ExtremeDesert,Savanna,Wasteland,Volcano,AB_RockyCrags,AB_GallatrossGraveyard,AB_MechanoidIntrusion,AB_PropaneLakes,ZBiome_Badlands
Fish_Decreased	Odyssey	decreased fish	This area has fewer fish than normal.	blac:Scarlands,Wasteland
DryGround	Odyssey	dry ground	The ground in this area is drier than normal. There are no small ponds or bodies of water.	whit:Scarlands,BorealForest,Tundra,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_Badlands; freeChance=0.02
ObsidianDeposits	Odyssey	obsidian deposits	This area has deposits of volcanic obsidian, which can be mined for obsidian glass.	whit:LavaField,Volcano,BiomeGRimphire,BiomeGRimworld,BiomeToxlands; freeChance=0.05
Headwater	Odyssey	headwater	A river's origin point.	
RiverConfluence	Odyssey	river confluence	A merging of two rivers.	
RiverIsland	Odyssey	river island	A river splitting into two and then merging again.	
RiverDelta	Odyssey	delta	A river splitting into many branches as it enters the ocean.	
Lake	Odyssey	lake	A large body of fresh water.	whit:BorealForest,GlacialPlain,Glowforest,TemperateForest,TropicalRainforest,Grasslands,Tundra,Wetland,AB_FeraliskInfestedJungle,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; coast=0..0
LakeWithIsland	Odyssey	lake with island	A large body of fresh water encircles one or more islands.	whit:BorealForest,GlacialPlain,Glowforest,TemperateForest,TropicalRainforest,Grasslands,Tundra,Wetland,AB_FeraliskInfestedJungle,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; coast=0..0; noRiver
LakeWithIslands	Odyssey	lake with island	A large body of fresh water encircles one or more islands.	whit:BorealForest,GlacialPlain,Glowforest,TemperateForest,TropicalRainforest,Grasslands,Tundra,Wetland,AB_FeraliskInfestedJungle,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; coast=0..0; noRiver
Pond	Odyssey	pond	A small body of fresh water.	whit:AridShrubland,BorealForest,GlacialPlain,Glowforest,Grasslands,TemperateForest,TropicalRainforest,Tundra,AB_FeraliskInfestedJungle,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh,COMIGO_GreaterSwamp_Temperate,COMIGO_GreaterSwamp_Cold,COMIGO_GreaterSwamp_Tropical; coast=0..0
Oasis	Odyssey	oasis	A lush spring featuring abundant plant life and water.	temp=20..60; whit:Desert,ExtremeDesert,Savanna,AB_GallatrossGraveyard,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGrindland,ZBiome_DesertOasis,ZBiome_Grasslands; plants:Plant_TreePalm,Plant_RatPalm,Plant_Grass,Plant_GrayGrass,Plant_Reeds; noRiver
DryLake	Odyssey	dry lake	The remains of a former lake.	whit:Desert,ExtremeDesert,Tundra,AridShrubland,Grasslands,Savanna,AB_GallatrossGraveyard,AB_RockyCrags,AB_TarPits,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_Badlands,ZBiome_Grasslands; coast=0..0; noRiver
ToxicLake	Odyssey	toxic lake	A body of water that has been poisoned by chemicals leaching out of the ground. The water will cause toxic buildup.	whit:Glowforest,Scarlands,Wasteland,BiomeGRimerald,BiomeGRimonade,BiomeGRimworld,BiomeMist,BiomeToxlands; noRiver
Wetland	Odyssey	wetland	Large interconnected waterways dominate the area.	whit:BorealForest,ColdBog,Glowforest,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,AB_FeraliskInfestedJungle,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_CloudForest,ZBiome_Grasslands,ZBiome_Marsh; coast=0..0
HotSprings	Odyssey	hot springs	A hot water spring, heated by geothermal activity.	whit:BorealForest,LavaField,TemperateForest,Tundra,GlacialPlain,Wetland,AB_FeraliskInfestedJungle,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MiasmicMangrove,AB_MycoticJungle,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_GlacialShield,ZBiome_Marsh; minHilliness=Mountainous; coast=0..0; noRiver
Valley	Odyssey	valley	A steep valley carved through a mountain.	minHilliness=Mountainous; coast=0..0
Cavern	Odyssey	cavern	A network of caves formed by various geological processes.	minHilliness=Mountainous
Chasm	Odyssey	chasm	Geological movement has caused deep fissures in this mountain.	minHilliness=Mountainous
Crevasse	Odyssey	crevasse	A massive rift created by glacial movement.	whit:GlacialPlain,ZBiome_AlpineMeadow,ZBiome_GlacialShield; maxHilliness=Flat; coast=0..0
Plateau	Odyssey	plateau	A small rise with sharp cliffs and a flat top.	whit:AridShrubland,Grasslands,Glowforest,Desert,Tundra,Savanna,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_GlacialShield,ZBiome_Grasslands; maxHilliness=Flat; hillinessForElevationGen=Flat
IceDunes	Odyssey	ice dunes	Massive rolling hills made from compacted windswept snow.	whit:SeaIce,IceSheet,BiomeArcticOasis,BiomeGRimonade; maxHilliness=Flat
Cliffs	Odyssey	cliffs	Steep cliffs surround three sides of this area.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,IceSheet,LavaField,SeaIce,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Wasteland,Wetland,Savanna,Wasteland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh; minHilliness=Mountainous; hillinessForElevationGen=Flat
Hollow	Odyssey	hollow	A small open area surrounded by cliffs.	minHilliness=Mountainous
