tile,lat,lon,arc,elev_m,rain_mm,biome,region,hilliness,source_rule
19481,-15.8696,-24.2973,28.75,1515.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
21418,-26.3063,-52.2132,56.68,1366.0,15.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21419,-27.4167,-53.3793,58.03,1316.0,296.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21420,-27.1028,-55.0793,59.36,1297.0,307.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21421,-25.702,-55.5762,59.38,1475.0,363.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21422,-22.1514,-53.7475,56.79,1547.0,238.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21423,-20.7854,-54.2322,56.88,1518.0,154.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21430,-19.6942,-53.1109,55.59,1311.0,144.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21431,-18.3474,-53.5892,55.71,1258.0,334.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
21644,0.0,37.2676,37.27,1211.0,5.0,ExtremeDesert,Dune Sea,4,widened_elev1200_rain
21648,0.0,40.1093,40.11,1364.0,10.0,ExtremeDesert,Fall Line,4,widened_elev1200_rain
