distinct supply tags: 823  capture: None None
    1  KotORClothing_exchange
    2  KotORClothing_pilot
    1  KotORClothing_simplecloak
    4  KotORClothing_smuggler
    2  KotORClothing_undersuit
    6  KotORDroidArmorT1
    1  KotORDroidArmorT1_czerka
    3  KotORDroidArmorT1_gladiator
    2  KotORDroidArmorT1_mid
    2  KotORDroidArmorT1_miningdroid
    2  KotORDroidArmorT1_strong
    1  KotORDroidArmorT1_stuffable
    2  KotORDroidArmorT1_weak
    6  KotORDroidArmorT2
    1  KotORDroidArmorT2_czerka
    3  KotORDroidArmorT2_gladiator
    2  KotORDroidArmorT2_mid
    2  KotORDroidArmorT2_miningdroid
    2  KotORDroidArmorT2_strong
    1  KotORDroidArmorT2_stuffable
    2  KotORDroidArmorT2_weak
    6  KotORDroidArmorT3
    1  KotORDroidArmorT3_czerka
    2  KotORDroidArmorT3_mid
    2  KotORDroidArmorT3_miningdroid
    2  KotORDroidArmorT3_strong
    1  KotORDroidArmorT3_stuffable
    2  KotORDroidArmorT3_weak
    1  KotORDroidGadget_firefighter
    1  KotORDroidGadget_medic
    1  KotORDroidGadget_repairdroid
    1  KotORDroidShield_advdeflector
    1  KotORDroidShield_balmorran
    1  KotORDroidShield_deflector
    1  KotORDroidShield_melee
    3  KotORDroidShield_mid
    1  KotORDroidShield_miningdroid
    3  KotORDroidShield_rare
    2  KotORDroidShield_strong
    3  KotORDroidShield_t1
    5  KotORDroidShield_t2
    5  KotORDroidShield_t3
    2  KotORDroidShield_weak
    1  KotORDroidStealth
    2  KotORDroidUpgrade_T3M4
   14  KotORDroidUpgrade_combat
    6  KotORDroidUpgrade_computers
    1  KotORDroidUpgrade_goto
    3  KotORDroidUpgrade_hacking
    2  KotORDroidUpgrade_hk
    3  KotORDroidUpgrade_repair
   11  KotORDroidUpgrade_tech
    6  KotORDroidWeapon_asndroid
    3  KotORDroidWeapon_battledroid
    2  KotORDroidWeapon_explosive
    1  KotORDroidWeapon_flamethrower
    1  KotORDroidWeapon_holdout
    6  KotORDroidWeapon_hvy_any
    1  KotORDroidWeapon_ion
    2  KotORDroidWeapon_krath
    6  KotORDroidWeapon_light_any
    5  KotORDroidWeapon_mid
    1  KotORDroidWeapon_nonlethal
    6  KotORDroidWeapon_strong
    3  KotORDroidWeapon_utilitydroid
    5  KotORDroidWeapon_wardroid
    4  KotORDroidWeapon_weak
    8  KotOREquipment_adv
    9  KotOREquipment_basic
    2  KotOREquipment_czerkatech
    6  KotOREquipment_jedi
    1  KotOREquipment_moncal
    6  KotOREquipment_officer
    4  KotOREquipment_rare
    7  KotOREquipment_sith
    3  KotOREquipment_tech
    3  KotORGloves_basic
    1  KotORGloves_bothan
    7  KotORGloves_combat
    1  KotORGloves_czerka
    2  KotORGloves_force
    1  KotORGloves_gamorrean
    4  KotORGloves_rare
    1  KotORGloves_sith
    4  KotORGloves_tech
    2  KotORHeadband_AdvGasmask
    1  KotORHeadband_bandana
    4  KotORHeadband_combat
    1  KotORHeadband_exchange
    3  KotORHeadband_fieldofficer
    1  KotORHeadband_gasmask
    2  KotORHeadband_goggles
    2  KotORHeadband_jedi
    2  KotORHeadband_melee
    1  KotORHeadband_neuralband
    1  KotORHeadband_regalvisor
    2  KotORHeadband_sapper
    3  KotORHeadband_tech
    2  KotORHeadband_utility
    9  KotORHeroAccessories_bastila
    7  KotORHeroAccessories_canderous
   13  KotORHeroAccessories_canderousMerc
    5  KotORHeroAccessories_exile
    4  KotORHeroAccessories_handmaiden
    8  KotORHeroAccessories_hanharr
   10  KotORHeroAccessories_juhani
    1  KotORHeroAccessories_mira
    8  KotORHeroAccessories_mission
    4  KotORHeroAccessories_sion
    7  KotORHeroAccessories_visas
    5  KotORHeroAccessories_yuthura
    8  KotORHeroAccessories_zaalbar
    1  KotORHvyShield_civilian
    1  KotORHvyShield_deflector
    1  KotORHvyShield_melee
    2  KotORHvyShield_mid
    1  KotORHvyShield_strong
    2  KotORHvyShield_weak
    2  KotORLgtCannon_antiarmor
    2  KotORLgtCannon_antipersonnel
    1  KotORLgtCannon_artillery
    1  KotORLgtCannon_disruptor
    1  KotORLgtCannon_firefighter
    1  KotORLgtCannon_flame
    1  KotORLgtCannon_ion
    2  KotORLgtCannon_miningdroid
    2  KotORLgtCannon_repeater
    1  KotORLgtCannon_sniper
    5  KotORLgtCannon_strong
   20  KotORRoyaltyTag_AnyCharacterApparel
   14  KotORRoyaltyTag_AnyHighTier
    4  KotORRoyaltyTag_AnyJediTunic
    4  KotORRoyaltyTag_AnyMandoArmor
    4  KotORRoyaltyTag_AnyRepublicArmor
    3  KotORRoyaltyTag_BasicRepublicOutfit
   14  KotORRoyaltyTag_DSCharacterApparel
    1  KotORRoyaltyTag_ExchangeJacket
    1  KotORRoyaltyTag_ExchangeShades
    8  KotORRoyaltyTag_LSCharacterApparel
    2  KotORRoyaltyTag_ORprivI
    2  KotORRoyaltyTag_ORprivII
    1  KotORRoyaltyTag_RegalVisor
    2  KotORRoyaltyTag_RepComArmor
    1  KotORRoyaltyTag_RepublicOfficerCap
    1  KotORRoyaltyTag_RepublicOfficerUniform
    2  KotORRoyaltyTag_RepublicUniform
    2  KotORRoyaltyTag_drip
    1  KotORShield_basic
    2  KotORShield_echani
    1  KotORShield_hapan
    2  KotORShield_mando
    3  KotORShield_mid
    1  KotORShield_sith
    3  KotORShield_strong
    2  KotORShield_weak
    2  KotORStealthBelt_adv
    2  KotORStealthBelt_basic
    1  KotORStealthBelt_rare
    1  KotORUtility_StabilizerGauntlets
    4  KotORUtility_engi
    3  KotORUtility_engi_novisor
    2  KotORUtility_medic
    2  KotORUtility_sapper
    3  KotORUtility_stronggrenade
    3  KotORUtility_utilitygrenade
    2  KotORUtility_weakgrenade
    1  KotORWristgun
    1  Lasso
    4  MNCFactionArmor
    2  MNC_helmet_hood
    1  MNC_hood
    1  MNC_jetpack_light
    1  MNC_jetpack_mid
    2  MNC_outfit_heavy
    2  MNC_outfit_mandalore
    2  MNC_outfit_mid
    2  MNC_outfit_supercom
    2  MandalorianJetpack
   10  Mechlord
    3  MedicalKit
    6  MedievalMilitary
   12  Neolithic
    1  NerveAmplifier
    4  NewRepublic_RebelAgent_hats
    2  NewRepublic_RebelBackpackMix
    2  NewRepublic_RebelSniperOnSkin
    2  NewRepublic_RebelTrooperOnSkin
    1  NewRepublic_alderaanguard
    2  NewRepublic_engineer
    1  NewRepublic_pilot
    2  NewRepublic_rebeltrooper
    1  NewRepublic_sharpshooterhat
    1  NewRepublic_tankpilot
    6  ORBasicApparel
    1  ORBodysuit
    3  ORBoneArmour
    3  ORChitinArmour
    1  ORClassyApparel
    3  ORCompositeArmour
    1  ORCryoBanGrenadeBelt
    2  ORForceUser
    1  ORFragGrenadeBelt
    4  ORHermit
    1  ORIonGrenadeBelt
    4  ORJawa
    3  ORPaddedArmour
    2  ORScrapper
    1  ORStunGrenadeBelt
    3  ORThermalDetBelt
    3  ORTusken
    1  OR_apparel_bastila
    1  OR_apparel_ensign
    2  OR_apparel_helmet_cap
    1  OR_apparel_jolee
    1  OR_apparel_juhani
    2  OR_apparel_officer
    1  OR_apparel_pilot
    3  OR_apparel_revan
    2  OR_apparel_trooper
    2  OR_apparel_visas
    2  OR_equipment_saboteur
    7  OR_jedi
    2  OR_jedicloak_light
    1  OR_jeditunic_formal
    1  OR_jeditunic_light
    1  OR_jeditunic_simple
    1  OR_jeditunic_trad
    8  Outlander
    2  PM_apparel_cop
    2  PM_apparel_helmet
    6  PM_apparel_jediexile
    1  PM_trooperarmor
    1  PReb_apparel_cop
    1  PReb_apparel_heavyhelmet
    2  PReb_apparel_maskedhats
    2  PReb_apparel_trooper
    3  PReb_apparel_trooperhelmet
    2  PartisanAlliance_sniperOnSkin
    1  PartisanAlliance_trooperOnSkin
    3  PartisanAlliance_trooperheadwear
   22  PrestigeCombatGear
    9  Psychic
    1  RBHunter
    2  RebelFleetTrooper
    4  RebelForestCamo
    1  RebelJetpack
    3  RebelOfficer
    1  RemnantEmpire_armytrooper
    1  RemnantEmpire_impworker
    1  RepairKit
    1  RepublicCloneApparel
    1  RepublicJetpack
    4  ResearchKit
   20  Royal
    1  RoyalRobe
    9  RoyalTier2
    3  RoyalTier3
    2  RoyalTier4
    5  RoyalTier5
    4  RoyalTier6
    7  RoyalTier7
    2  SE_apparel_commando
    1  SE_apparel_elitetrooper
    1  SE_apparel_engi
    2  SE_apparel_ensign
    1  SE_apparel_exarkun
    2  SE_apparel_malak
    3  SE_apparel_malgus
    3  SE_apparel_nihilus
    2  SE_apparel_officer
    3  SE_apparel_revan
    2  SE_apparel_shocktrooper
    1  SE_apparel_sion
    1  SE_apparel_traya
    3  SE_apparel_trooper
    2  SE_sithapprentice
    2  SE_sithassassin
    4  SE_sithmarauder
    1  SE_sithmask
    2  SE_sithwarrior
    1  SE_starforgedroid
    2  SWCPAccessory_CloakOrPlainPoncho
    5  SWCPDroidApparelRestrictionTag_Backpacks
    1  SWCPDroidApparelRestrictionTag_DroidCloakingDevice
    1  SWCPDroidApparelRestrictionTag_DroidScavUpgrade
    1  SWCPDroidApparelRestrictionTag_DroidWarfareUpgrade
    1  SWCPDroidApparelRestrictionTag_G0T0Only
    4  SWCPDroidApparelRestrictionTag_GadgetWeaponSlot
    7  SWCPDroidApparelRestrictionTag_GrenadeDetpackBelts
    1  SWCPDroidApparelRestrictionTag_HK47Only
    6  SWCPDroidApparelRestrictionTag_HardwareTechSlot
    7  SWCPDroidApparelRestrictionTag_HeavyArmor
    9  SWCPDroidApparelRestrictionTag_HeavyCannonSlot
   10  SWCPDroidApparelRestrictionTag_HeavyShieldSlot
    6  SWCPDroidApparelRestrictionTag_HeavyWeaponSlot
    7  SWCPDroidApparelRestrictionTag_LightArmor
    6  SWCPDroidApparelRestrictionTag_LightCannonSlot
    7  SWCPDroidApparelRestrictionTag_MediumArmor
    9  SWCPDroidApparelRestrictionTag_SensorTechSlot
   14  SWCPDroidApparelRestrictionTag_ShieldSlot
    7  SWCPDroidApparelRestrictionTag_SoftwareTechSlot
    6  SWCPDroidApparelRestrictionTag_StandardWeaponSlot
    2  SWCPDroidApparelRestrictionTag_T3M4Only
    9  SWCPDroidApparelRestrictionTag_TorsoAccessory
    1  SWCPSpecificApparelItem_AltRebelCamoClothing
    1  SWCPSpecificApparelItem_Bandana
    1  SWCPSpecificApparelItem_BlackPantsTwoToneRusticClothing
    1  SWCPSpecificApparelItem_CamoPoncho
    1  SWCPSpecificApparelItem_ChewbaccaBandolier
    1  SWCPSpecificApparelItem_CosmopolitanClothing
    1  SWCPSpecificApparelItem_DashRendarJetpack
    1  SWCPSpecificApparelItem_DoubleBandolier
    1  SWCPSpecificApparelItem_DyeableFatigues
    1  SWCPSpecificApparelItem_EngineerSuspenders
    1  SWCPSpecificApparelItem_FlakHat
    1  SWCPSpecificApparelItem_FlightVest
    1  SWCPSpecificApparelItem_GCWRebelBackpack
    1  SWCPSpecificApparelItem_GCWRebelHeavyBackpack
    1  SWCPSpecificApparelItem_GamorreanHood
    1  SWCPSpecificApparelItem_GamorreanLeathers
    1  SWCPSpecificApparelItem_GandRobes
    1  SWCPSpecificApparelItem_GenericUniform
    1  SWCPSpecificApparelItem_GenericUniformHat
    1  SWCPSpecificApparelItem_GogglesFlakHat
    1  SWCPSpecificApparelItem_HeavySuspenders
    1  SWCPSpecificApparelItem_ImperialWorkerHelmet
    1  SWCPSpecificApparelItem_KotORBigBackpack
    1  SWCPSpecificApparelItem_KotORFlightArmor
    1  SWCPSpecificApparelItem_KotORJawaHood
    1  SWCPSpecificApparelItem_KotORJawaRobes
    1  SWCPSpecificApparelItem_KotOROnderonRebelHat
    1  SWCPSpecificApparelItem_KotOROnderonRobes
    1  SWCPSpecificApparelItem_KotORScorchBackpack
    1  SWCPSpecificApparelItem_KotORScoundrelJacket
    1  SWCPSpecificApparelItem_KotORSithUniformHat
    1  SWCPSpecificApparelItem_KotORSmallBackpack
    1  SWCPSpecificApparelItem_LightClothing
    1  SWCPSpecificApparelItem_MaskedHeadwrap
    1  SWCPSpecificApparelItem_MaskedHood
    1  SWCPSpecificApparelItem_OpenHeadwrap
    1  SWCPSpecificApparelItem_PlainClothing
    1  SWCPSpecificApparelItem_PlainPoncho
    1  SWCPSpecificApparelItem_RebelCamoClothing
    1  SWCPSpecificApparelItem_RebelEngineerHat
    1  SWCPSpecificApparelItem_RebelFlightSuitBox
    1  SWCPSpecificApparelItem_RusticClothing
    1  SWCPSpecificApparelItem_SabineJetpack
    1  SWCPSpecificApparelItem_ScoutVest
    1  SWCPSpecificApparelItem_SimpleCloak
    1  SWCPSpecificApparelItem_SimpleHood
    1  SWCPSpecificApparelItem_SimpleSuspenders
    1  SWCPSpecificApparelItem_SmugglerClothing
    1  SWCPSpecificApparelItem_SovereignTuskenBodyWraps
    1  SWCPSpecificApparelItem_SovereignTuskenMask
    1  SWCPSpecificApparelItem_StripedFatigues
    1  SWCPSpecificApparelItem_ThrowingKnifeBandolier
    1  SWCPSpecificApparelItem_TravelerBag
    1  SWCPSpecificApparelItem_TrendyClothing
    1  SWCPSpecificApparelItem_TrendyVest
    1  SWCPSpecificApparelItem_TuskenRobes
    1  SWCPSpecificApparelItem_TwoTonePlainClothing
    1  SWCPSpecificApparelItem_TwoToneRusticClothing
    1  SWCPSpecificApparelItem_VacSealedBodysuit
    1  SWCPSpecificApparelItem_ZuckussRobes
    1  SWCPSpecificDroidArmor_AgriniumLight
    1  SWCPSpecificDroidArmor_CompositeHeavy
    1  SWCPSpecificDroidArmor_CompositeLight
    1  SWCPSpecificDroidArmor_CompositeMedium
    1  SWCPSpecificDroidArmor_CzerkaHeavy
    1  SWCPSpecificDroidArmor_CzerkaLight
    1  SWCPSpecificDroidArmor_CzerkaMedium
    1  SWCPSpecificDroidArmor_DeshHeavy
    1  SWCPSpecificDroidArmor_DeshLight
    1  SWCPSpecificDroidArmor_DeshMedium
    1  SWCPSpecificDroidArmor_DiatiumHeavy
    1  SWCPSpecificDroidArmor_EnvironmentHeavy
    1  SWCPSpecificDroidArmor_EnvironmentLight
    1  SWCPSpecificDroidArmor_EnvironmentMedium
    1  SWCPSpecificDroidArmor_ImpactHeavy
    1  SWCPSpecificDroidArmor_ImpactLight
    1  SWCPSpecificDroidArmor_ImpactMedium
    1  SWCPSpecificDroidArmor_QuadraniumMedium
    1  SWCPSpecificDroidArmor_StuffableHeavy
    1  SWCPSpecificDroidArmor_StuffableLight
    1  SWCPSpecificDroidArmor_StuffableMedium
    1  SWCPSpecificDroidTech_EMPResistanceSensor
    1  SWCPSpecificDroidTech_G0T0Sensor
    1  SWCPSpecificDroidTech_HK47Sensor
    1  SWCPSpecificDroidTech_Plus10HackingHardware
    1  SWCPSpecificDroidTech_Plus1Accuracy2AwarenessSensor
    1  SWCPSpecificDroidTech_Plus1DefenseHardware
    1  SWCPSpecificDroidTech_Plus1Dodge3AwarenessSensor
    1  SWCPSpecificDroidTech_Plus2Accuracy2DefenseSensor
    1  SWCPSpecificDroidTech_Plus2Accuracy8AwarenessSensor
    1  SWCPSpecificDroidTech_Plus2Defense1AgilityHardware
    1  SWCPSpecificDroidTech_Plus2Defense4AgilityHardware
    1  SWCPSpecificDroidTech_Plus2HackingSoftware
    1  SWCPSpecificDroidTech_Plus2ResearchSoftware
    1  SWCPSpecificDroidTech_Plus3Accuracy2Agility2DefenseSensor
    1  SWCPSpecificDroidTech_Plus3Accuracy2Dexterity2AwarenessSensor
    1  SWCPSpecificDroidTech_Plus3AccuracySoftware
    1  SWCPSpecificDroidTech_Plus3Agility3DexterityHardware
    1  SWCPSpecificDroidTech_Plus3AgilityHardware
    1  SWCPSpecificDroidTech_Plus3HackingResearchSoftware
    1  SWCPSpecificDroidTech_Plus4AwarenessSoftware
    1  SWCPSpecificDroidTech_Plus4RepairSensor
    1  SWCPSpecificDroidTech_Plus4RepairSoftware
    1  SWCPSpecificDroidTech_Plus5AwarenessSensor
    1  SWCPSpecificDroidTech_Plus5Research2LearningSensor
    1  SWCPSpecificDroidTech_ScavengerRepairHardware
    1  SWCPSpecificGadgetItem_AccuracyGloves
    1  SWCPSpecificGadgetItem_AdvCONCapacityBelt
    1  SWCPSpecificGadgetItem_AdvDEXCapacityBelt
    1  SWCPSpecificGadgetItem_AdvEngineerGloves
    1  SWCPSpecificGadgetItem_AdvJalSheyBelt
    1  SWCPSpecificGadgetItem_AdvSTRBelt
    1  SWCPSpecificGadgetItem_BothanGloves
    1  SWCPSpecificGadgetItem_CONCapacityBelt
    1  SWCPSpecificGadgetItem_CortosisArmband
    1  SWCPSpecificGadgetItem_CzerkaUtilityBelt
    1  SWCPSpecificGadgetItem_DEXBelt
    1  SWCPSpecificGadgetItem_DEXCapacityBelt
    1  SWCPSpecificGadgetItem_DetonatorGloves
    1  SWCPSpecificGadgetItem_DominatorSTRGloves
    1  SWCPSpecificGadgetItem_EngineerGloves
    1  SWCPSpecificGadgetItem_EriaduSTRGloves
    1  SWCPSpecificGadgetItem_FragGrenadeBelt
    1  SWCPSpecificGadgetItem_GamorreanGloves
    1  SWCPSpecificGadgetItem_InfiltratorGloves
    1  SWCPSpecificGadgetItem_InsulatedGloves
    1  SWCPSpecificGadgetItem_IonGrenadeBelt
    1  SWCPSpecificGadgetItem_JalSheyBelt
    1  SWCPSpecificGadgetItem_JalSheyGloves
    1  SWCPSpecificGadgetItem_JediArmband
    1  SWCPSpecificGadgetItem_KarakanGloves
    1  SWCPSpecificGadgetItem_MedicBelt
    1  SWCPSpecificGadgetItem_MedicGloves
    1  SWCPSpecificGadgetItem_MonCalamariArmband
    1  SWCPSpecificGadgetItem_NagaiGloves
    1  SWCPSpecificGadgetItem_NerveAmplifierBelt
    1  SWCPSpecificGadgetItem_PlasmaGrenadeBelt
    1  SWCPSpecificGadgetItem_PoisonGrenadeBelt
    1  SWCPSpecificGadgetItem_PowerBelt
    1  SWCPSpecificGadgetItem_ProgrammerGloves
    1  SWCPSpecificGadgetItem_STRBelt
    1  SWCPSpecificGadgetItem_STRCapacityBelt
    1  SWCPSpecificGadgetItem_SafetyBelt
    1  SWCPSpecificGadgetItem_SithSTRGloves
    1  SWCPSpecificGadgetItem_SonicGrenadeBelt
    1  SWCPSpecificGadgetItem_StunGrenadeBelt
    1  SWCPSpecificGadgetItem_ThermalDetonatorBelt
    1  SWCPSpecificGadgetItem_ZeisonShaGloves
    1  SWKotORSpecificApparelItem_BaragwinHeavyCombatSuit
    1  SWKotORSpecificApparelItem_BaragwinLightBattleHelmet
    1  SWKotORSpecificApparelItem_BastilaTunic
    1  SWKotORSpecificApparelItem_BastionMilitarySuit
    1  SWKotORSpecificApparelItem_BattleArmor
    1  SWKotORSpecificApparelItem_BonadanHeavyCombatSuit
    1  SWKotORSpecificApparelItem_BronziumLightBattleArmor
    1  SWKotORSpecificApparelItem_CinnagarBattleArmor
    1  SWKotORSpecificApparelItem_CinnagarCombatHelmet
    1  SWKotORSpecificApparelItem_CinnagarCombatSuit
    1  SWKotORSpecificApparelItem_CinnagarMilitarySuit
    1  SWKotORSpecificApparelItem_ColorableSithCommandoArmor
    1  SWKotORSpecificApparelItem_ColorableSithCommandoHelmet
    1  SWKotORSpecificApparelItem_ColorableSithMarauderArmor
    1  SWKotORSpecificApparelItem_ColorableSithMarauderNeck
    1  SWKotORSpecificApparelItem_ColorableSithTrooperArmor
    1  SWKotORSpecificApparelItem_ColorableSithTrooperHelmet
    1  SWKotORSpecificApparelItem_CombatHelmet
    1  SWKotORSpecificApparelItem_CombatSuit
    1  SWKotORSpecificApparelItem_CorellianBattleArmor
    1  SWKotORSpecificApparelItem_CzerkaBodysuit
    1  SWKotORSpecificApparelItem_CzerkaEmployeeClothes
    1  SWKotORSpecificApparelItem_CzerkaLightBattleArmor
    1  SWKotORSpecificApparelItem_CzerkaLightBattleHelmet
    1  SWKotORSpecificApparelItem_CzerkaOfficerClothes
    1  SWKotORSpecificApparelItem_DurasteelHeavyBattleArmor
    1  SWKotORSpecificApparelItem_EchaniCombatSuit
    1  SWKotORSpecificApparelItem_EchaniHeavyBattleArmor
    1  SWKotORSpecificApparelItem_EchaniMilitarySuit
    1  SWKotORSpecificApparelItem_ElectromeshCombatSuit
    1  SWKotORSpecificApparelItem_ElectromeshLightBattleArmor
    1  SWKotORSpecificApparelItem_EriaduHeavyCombatSuit
    1  SWKotORSpecificApparelItem_ExchangeJacket
    1  SWKotORSpecificApparelItem_FiberHeavyCombatSuit
    1  SWKotORSpecificApparelItem_FlexHeavyBattleArmor
    1  SWKotORSpecificApparelItem_FormalJediTunic
    1  SWKotORSpecificApparelItem_GamorreanHeavyBattleArmor
    1  SWKotORSpecificApparelItem_HeavyBattleArmor
    1  SWKotORSpecificApparelItem_HeavyBattleHelmet
    1  SWKotORSpecificApparelItem_HeavyCombatSuit
    1  SWKotORSpecificApparelItem_HuttCombatHelmet
    1  SWKotORSpecificApparelItem_HuttHeavyCombatSuit
    1  SWKotORSpecificApparelItem_JoleeTunic
    1  SWKotORSpecificApparelItem_JuhaniTunic
    1  SWKotORSpecificApparelItem_KotORTuskenMask
    1  SWKotORSpecificApparelItem_KrathLightBattleArmor
    1  SWKotORSpecificApparelItem_LightBattleHelmet
    1  SWKotORSpecificApparelItem_LightJediTunic
    1  SWKotORSpecificApparelItem_MandoAssaultArmor
    1  SWKotORSpecificApparelItem_MandoBattleArmor
    1  SWKotORSpecificApparelItem_MandoNeoCrusaderHood
    1  SWKotORSpecificApparelItem_MandoReconArmor
    1  SWKotORSpecificApparelItem_MandoSupercommandoArmor
    1  SWKotORSpecificApparelItem_MandoSupercommandoHelmet
    1  SWKotORSpecificApparelItem_MatrixHeavyBattleArmor
    1  SWKotORSpecificApparelItem_MilitaryHelmet
    1  SWKotORSpecificApparelItem_MilitarySuit
    1  SWKotORSpecificApparelItem_MilitiaMilitaryHelmet
    1  SWKotORSpecificApparelItem_MilitiaMilitarySuit
    1  SWKotORSpecificApparelItem_OldJediTunic
    1  SWKotORSpecificApparelItem_OldRepublicCommandoArmor
    1  SWKotORSpecificApparelItem_OldRepublicCommandoHelmet
    1  SWKotORSpecificApparelItem_OldRepublicEnsignUniform
    1  SWKotORSpecificApparelItem_OldRepublicOfficerHat
    1  SWKotORSpecificApparelItem_OldRepublicOfficerUniform
    1  SWKotORSpecificApparelItem_OldRepublicTrooperArmor
    1  SWKotORSpecificApparelItem_OldRepublicTrooperHelmet
    1  SWKotORSpecificApparelItem_OnderonCombatSuit
    1  SWKotORSpecificApparelItem_PilotMilitaryHelmet
    1  SWKotORSpecificApparelItem_PoweredBattleArmor
    1  SWKotORSpecificApparelItem_PoweredHeavyBattleHelmet
    1  SWKotORSpecificApparelItem_PoweredLightBattleArmor
    1  SWKotORSpecificApparelItem_RebelMilitaryHelmet
    1  SWKotORSpecificApparelItem_SilverSithCommandoArmor
    1  SWKotORSpecificApparelItem_SilverSithCommandoHelmet
    1  SWKotORSpecificApparelItem_SilverSithMarauderArmor
    1  SWKotORSpecificApparelItem_SilverSithMarauderNeck
    1  SWKotORSpecificApparelItem_SilverSithTrooperArmor
    1  SWKotORSpecificApparelItem_SilverSithTrooperHelmet
    1  SWKotORSpecificApparelItem_SimpleJediTunic
    1  SWKotORSpecificApparelItem_SithApprenticeTunic
    1  SWKotORSpecificApparelItem_SithAssassinMask
    1  SWKotORSpecificApparelItem_SithAssassinTunic
    1  SWKotORSpecificApparelItem_SithEnsignUniform
    1  SWKotORSpecificApparelItem_SithOfficerHat
    1  SWKotORSpecificApparelItem_SithOfficerUniform
    1  SWKotORSpecificApparelItem_SithWarriorMask
    1  SWKotORSpecificApparelItem_SithWarriorTunic
    1  SWKotORSpecificApparelItem_TSFOldRepublicTrooperArmor
    1  SWKotORSpecificApparelItem_TSFOldRepublicTrooperHelmet
    1  SWKotORSpecificApparelItem_TraditionalJediTunic
    1  SWKotORSpecificApparelItem_VerpineBattleArmor
    1  SWKotORSpecificApparelItem_VerpineMilitarySuit
    1  SWKotORSpecificApparelItem_VintageMilitaryHelmet
    1  SWKotORSpecificApparelItem_VisasHood
    1  SWKotORSpecificApparelItem_VisasRobes
    1  SWKotORSpecificApparelItem_ZabrakCombatSuit
    1  SWKotORSpecificApparelItem_ZabrakHeavyCombatSuit
    1  SWKotORSpecificDroidGadget_2minDroidStealthDevice
    1  SWKotORSpecificDroidGadget_AdvDeflectorShield
    1  SWKotORSpecificDroidGadget_ArkanianEnergyShield
    1  SWKotORSpecificDroidGadget_BalmorranHeavyShield
    1  SWKotORSpecificDroidGadget_BaragwinEnergyShield
    1  SWKotORSpecificDroidGadget_BaragwinHeavyShield
    1  SWKotORSpecificDroidGadget_BasicEnergyHeavyShield
    1  SWKotORSpecificDroidGadget_DeflectorHeavyShield
    1  SWKotORSpecificDroidGadget_DeflectorShield
    1  SWKotORSpecificDroidGadget_EchaniEnergyHeavyShield
