id,faction_def,faction,name,tile,why
188,TribeCivil,Deep Desert Tribes,The Dry Moot,6431,
189,TribeCivil,Deep Desert Tribes,Barno,21629,
190,TribeCivil,Deep Desert Tribes,The Long Camp,16536,
191,TribeCivil,Deep Desert Tribes,Ashfoot,9146,
192,TribeCivil,Deep Desert Tribes,Knife Canyon,1537,
193,TribeCivil,Deep Desert Tribes,The Blind Wells,8869,
195,OutlanderCivil,Homestead Defense League,Condenser Flats,9956,
197,OutlanderCivil,Homestead Defense League,Mistcatch,421,
199,OutlanderCivil,Homestead Defense League,Rainshadow,9962,
200,OutlanderCivil,Homestead Defense League,Vaporfall,20770,
201,OutlanderCivil,Homestead Defense League,Longfurrow,7253,
203,OutlanderCivil,Homestead Defense League,Greenline,15051,
204,OutlanderCivil,Homestead Defense League,The Dripworks,241,
206,OutlanderCivil,Homestead Defense League,Aquifer Station,7777,
207,OutlanderCivil,Homestead Defense League,Dryhold,14351,
208,OutlanderCivil,Homestead Defense League,Fogline,13779,
209,OutlanderCivil,Homestead Defense League,The Catchment,11263,
210,OutlanderCivil,Homestead Defense League,Saltfurrow,695,
211,OutlanderCivil,Homestead Defense League,Dewfall,2126,
212,OutlanderCivil,Homestead Defense League,Stillwater Farm,655,
213,OutlanderCivil,Homestead Defense League,The Vaporworks,685,
214,OutlanderCivil,Homestead Defense League,Nightdew,1417,
215,OutlanderCivil,Homestead Defense League,Cold Catch,4848,
216,OutlanderCivil,Homestead Defense League,The Sumps,413,
217,OutlanderCivil,Homestead Defense League,Brinefield,815,
218,OutlanderCivil,Homestead Defense League,Farrow,1752,
219,OutlanderCivil,Homestead Defense League,The Standpipe,3452,
220,OutlanderCivil,Homestead Defense League,Mistfoot,5816,
221,OutlanderCivil,Homestead Defense League,Dripstone,15585,
222,OutlanderCivil,Homestead Defense League,The Long Furrow,1457,
223,OutlanderCivil,Homestead Defense League,Whistledew,979,
224,OutlanderCivil,Homestead Defense League,Pumphouse,3436,
225,OutlanderCivil,Homestead Defense League,Greenpatch,4669,
226,OutlanderCivil,Homestead Defense League,Cloudtrap,4872,
227,OutlanderCivil,Homestead Defense League,Sweetwell,5538,
228,OutlanderCivil,Homestead Defense League,Hollowdew,5813,
229,OutlanderCivil,Homestead Defense League,Thornfurrow,8075,
230,OutlanderCivil,Homestead Defense League,Chalkwell,19680,
231,Jawa_HuttCartel,Hutt Cartel,Norba's Toll,165,
232,Jawa_HuttCartel,Hutt Cartel,Hurgo's Kennels,528,
233,Jawa_HuttCartel,Hutt Cartel,Hurgo's Waystation,11880,
234,Jawa_HuttCartel,Hutt Cartel,Zeddo's Toll,3240,
235,Jawa_HuttCartel,Hutt Cartel,Bloatu's Market,12868,
236,Jawa_HuttCartel,Hutt Cartel,Norba's Vault,1011,
237,Jawa_HuttCartel,Hutt Cartel,Rulla's Market,19519,
238,Jawa_HuttCartel,Hutt Cartel,Zeddo's Station,4865,
240,Jawa_HuttCartel,Hutt Cartel,Vexxa's Spicehouse,1820,
241,Jawa_HuttCartel,Hutt Cartel,Mokka the Unpaid's Palace,4686,
244,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Owner,21549,
246,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Free Charge,3653,
247,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Second Speaker,9936,
249,Jawa_AscendantHelix,Ascendant Helix,Cold Archive,10940,
250,Jawa_AscendantHelix,Ascendant Helix,The Revision,17595,
251,Jawa_AscendantHelix,Ascendant Helix,Specimen Hall,1707,
252,Jawa_AscendantHelix,Ascendant Helix,The Fair Copy,2741,
253,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Cracking Station,20808,
254,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Coldfire,4227,
255,PlayerColony,New Arrivals,Colony,16877,
257,TradersGuild,Voidborn Bazaar,Corona Station,151,
260,Jawa_DeepwaterCompact,Deepwater Compact,Kettle Deep,6455,
261,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Vent Nine,2892,
262,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Trade Socket,248,
