tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region
42,-40.1893,-105.7836,101.99,221.28,982,-5.8,40,AB_RockyCrags,0,0,The Nightspill
43,-78.95,-90.0,90.0,258.95,115,13.4,34,AridShrubland,0,0,
44,-58.5465,-49.8746,70.35,244.93,12,29.7,26,ZBiome_DesertOasis,0,0,
45,-58.5465,-130.1254,109.65,244.93,1416,-17.4,18,AB_RockyCrags,0,0,
46,-40.1893,-74.2164,78.01,221.28,245,22.2,515,AB_RockyCrags,0,0,
47,-40.1893,105.7836,101.99,318.72,12,-0.5,21,AridShrubland,0,0,The Sunreach
48,-58.5465,130.1254,109.65,295.07,12,-9.6,18,Wasteland,0,0,
49,-78.95,90.0,90.0,281.05,128,13.3,188,PoisonForest,0,0,
50,-58.5465,49.8746,70.35,295.07,216,28.5,452,AridShrubland,0,0,
51,-40.1893,74.2164,78.01,318.72,12,23.5,31,PoisonForest,0,0,
52,-11.0156,180.0,168.98,270.0,882,-76.8,18,AB_RockyCrags,0,0,The Umbra
53,-47.3048,162.1548,130.2,285.79,1001,-39.7,18,AB_RockyCrags,0,0,The South Crags
54,-47.3048,-162.1548,130.2,254.21,820,-38.8,18,AB_RockyCrags,0,0,
55,-23.5048,158.4933,148.56,310.13,952,-61.5,18,AB_RockyCrags,0,0,
56,-23.5048,-158.4933,148.56,229.87,408,-58.5,18,BMT_CrystalCaverns,0,0,
57,47.3048,-162.1548,130.2,105.79,1003,-39.8,18,AB_RockyCrags,0,0,
58,47.3048,162.1548,130.2,74.21,1454,-42.2,18,AB_RockyCrags,0,0,
59,23.5048,158.4933,148.56,49.87,62,-56.6,18,AB_PropaneLakes,0,0,The Ammonia Flats
60,23.5048,-158.4933,148.56,130.13,1329,-63.6,18,AB_RockyCrags,0,0,
61,11.0156,180.0,168.98,90.0,14,-72.0,18,AB_RockyCrags,0,0,The Ammonia Flats
62,-23.5048,-21.5067,31.44,229.87,168,56.1,962,AB_FeraliskInfestedJungle,0,0,The Dune Sea
63,-47.3048,17.8452,49.8,285.79,412,42.5,19,Desert,0,0,
64,-23.5048,21.5067,31.44,310.13,184,56.0,19,ExtremeDesert,0,0,The Dune Sea
65,-47.3048,-17.8452,49.8,254.21,320,43.0,19,ZBiome_Badlands,0,0,
66,-11.0156,0.0,11.02,270.0,95,65.1,20,Scarlands,0,232,The Scorch
67,47.3048,-17.8452,49.8,105.79,446,42.4,33,Desert,0,0,
68,23.5048,-21.5067,31.44,130.13,12,57.0,74,ExtremeDesert,0,0,The Dune Sea
69,11.0156,0.0,11.02,90.0,393,63.4,18,AB_MechanoidIntrusion,0,0,The Rust Cathedral
70,47.3048,17.8452,49.8,74.21,12,44.7,19,ZBiome_DesertOasis,0,224,
71,23.5048,21.5067,31.44,49.87,111,56.4,18,Desert,0,0,The Dune Sea
72,11.9905,41.2835,42.69,17.84,254,48.1,38,Desert,0,0,The Fall Line Barrens
73,-19.6422,64.9429,66.49,338.5,52,32.5,210,ZBiome_Grasslands,0,0,The Pyrelands
74,0.0,78.9831,78.98,0.0,-30,22.8,90,Ocean,1,0,The Gray Sea
75,-11.9905,41.2835,42.69,342.16,365,47.5,25,ExtremeDesert,0,0,The Fall Line Barrens
76,19.6422,64.9429,66.49,21.5,243,31.5,260,Desert,0,0,The Ashfall Range
77,19.6422,115.0571,113.51,21.5,576,-17.4,18,ZBiome_Badlands,0,0,The Gray Crags
78,-11.9905,138.7165,137.31,342.16,626,-46.2,18,AridShrubland,0,0,
79,-19.6422,115.0571,113.51,338.5,12,-14.3,18,AridShrubland,0,0,The Sunreach
80,11.9905,138.7165,137.31,17.84,638,-46.3,18,AB_RockyCrags,0,0,
81,0.0,101.0169,101.02,0.0,-30,0.8,90,Ocean,1,0,The Gray Sea
82,19.6422,-64.9429,66.49,158.5,-30,32.8,90,Ocean,1,0,The Twilight Sea
83,0.0,-78.9831,78.98,180.0,322,21.0,791,ZBiome_DesertOasis,0,0,The Dew Belt
84,-19.6422,-64.9429,66.49,201.5,623,29.4,1668,Desert,0,0,The Dew Horn
85,11.9905,-41.2835,42.69,162.16,904,44.6,1668,AB_FeraliskInfestedJungle,0,0,The Scald Spine
86,-11.9905,-41.2835,42.69,197.84,2511,35.7,90,Lake,1,0,The Scald
87,11.9905,-138.7165,137.31,162.16,582,-46.0,18,BMT_FungalForest,0,0,
88,19.6422,-115.0571,113.51,158.5,110,-14.8,18,AB_RockyCrags,0,0,The Twilight Crags
89,-11.9905,-138.7165,137.31,197.84,835,-47.4,18,AB_RockyCrags,0,0,
90,0.0,-101.0169,101.02,180.0,-30,0.8,90,Ocean,1,0,The Twilight Sea
91,-19.6422,-115.0571,113.51,201.5,570,-17.3,18,AB_RockyCrags,0,0,The Nightspill
92,47.0282,-90.0,90.0,132.97,12,13.9,34,Wasteland,0,0,
93,53.3733,-108.1197,100.69,125.24,12,1.1,22,AridShrubland,0,0,The Nightspill
94,66.5171,-106.7312,96.59,112.59,12,6.0,26,AB_RockyCrags,0,0,
95,66.5171,-73.2688,83.41,112.59,12,19.2,34,PoisonForest,0,0,
96,53.3733,-71.8803,79.31,125.24,12,22.5,32,PoisonForest,0,0,
97,66.5171,73.2688,83.41,67.41,132,18.5,727,AB_MycoticJungle,0,0,
98,53.3733,71.8803,79.31,54.76,333,20.7,86,AB_RockyCrags,0,0,
99,66.5171,106.7312,96.59,67.41,315,4.4,75,AB_RockyCrags,0,0,
100,47.0282,90.0,90.0,47.03,421,11.7,609,AB_RockyCrags,0,0,
101,53.3733,108.1197,100.69,54.76,384,-0.9,90,AB_RockyCrags,0,0,The Sunreach
102,-53.3733,-108.1197,100.69,234.76,815,-3.3,22,AridShrubland,0,0,The Nightspill
103,-66.5171,-73.2688,83.41,247.41,108,18.7,34,AridShrubland,0,0,
104,-53.3733,-71.8803,79.31,234.76,12,22.5,32,ZBiome_DesertOasis,0,0,
105,-66.5171,-106.7312,96.59,247.41,909,1.1,83,AridShrubland,0,0,
106,-47.0282,-90.0,90.0,227.03,267,12.5,34,AB_MycoticJungle,0,0,
107,-47.0282,90.0,90.0,312.97,12,13.9,34,AridShrubland,0,0,
108,-53.3733,108.1197,100.69,305.24,12,1.1,22,Wasteland,0,0,The Sunreach
109,-66.5171,106.7312,96.59,292.59,102,5.5,140,Wasteland,0,0,
110,-66.5171,73.2688,83.41,292.59,12,19.2,34,PoisonForest,0,0,
111,-53.3733,71.8803,79.31,305.24,12,22.5,32,AB_MycoticJungle,0,0,
112,-22.4178,172.8755,156.53,286.73,765,-67.0,18,AB_MycoticJungle,0,0,The Umbra
113,-42.9599,-180.0,137.04,270.0,340,-44.3,18,AB_MycoticJungle,0,0,
114,-34.5307,-166.9858,143.39,251.88,320,-51.8,18,BMT_FungalForest,0,0,
115,-34.5307,166.9858,143.39,288.12,154,-50.9,18,AB_RockyCrags,0,0,
116,-22.4178,-172.8755,156.53,253.27,619,-66.2,18,BMT_CrystalCaverns,0,0,The Umbra
117,42.9599,180.0,137.04,90.0,1345,-49.8,18,AB_RockyCrags,0,0,
118,34.5307,166.9858,143.39,71.88,1083,-56.0,18,AB_PropaneLakes,0,0,The Ammonia Flats
119,22.4178,172.8755,156.53,73.27,12,-62.9,18,AB_PropaneLakes,0,0,The Ammonia Flats
120,34.5307,-166.9858,143.39,108.12,1413,-57.8,18,AB_RockyCrags,0,0,
121,22.4178,-172.8755,156.53,106.73,1298,-69.9,18,AB_RockyCrags,0,0,The Ammonia Flats
122,-34.5307,-13.0142,36.61,251.88,117,52.9,27,ExtremeDesert,0,0,The Dune Sea
123,-34.5307,13.0142,36.61,288.12,12,53.5,18,ExtremeDesert,0,0,The Dune Sea
124,-22.4178,7.1245,23.47,286.73,119,60.0,18,ExtremeDesert,0,0,The Dune Sea
125,-42.9599,0.0,42.96,270.0,32,49.2,19,ExtremeDesert,0,0,
126,-22.4178,-7.1245,23.47,253.27,131,59.9,50,ExtremeDesert,0,0,The Dune Sea
127,34.5307,-13.0142,36.61,108.12,113,53.0,22,ExtremeDesert,0,0,The Dune Sea
128,22.4178,-7.1245,23.47,106.73,727,56.6,27,ExtremeDesert,0,0,The Dune Sea
129,22.4178,7.1245,23.47,73.27,279,59.1,18,ExtremeDesert,0,0,The Dune Sea
130,42.9599,0.0,42.96,90.0,12,49.3,18,Desert,0,0,
131,34.5307,13.0142,36.61,71.88,12,53.5,18,ExtremeDesert,0,0,The Dune Sea
132,0.0,47.0345,47.03,0.0,322,44.9,74,Desert,0,0,The Fall Line
133,-6.5828,67.4227,67.58,352.88,152,31.1,766,Desert,0,0,The Ashfall Range
134,6.5828,67.4227,67.58,7.12,288,30.4,1668,ZBiome_Badlands,0,0,The Ashfall Range
135,-10.6897,54.7658,55.47,346.99,659,37.4,20,Desert,0,0,The Ashfall Range
136,10.6897,54.7658,55.47,13.01,12,41.0,20,Desert,0,0,The Fall Line
137,6.5828,112.5773,112.42,7.12,964,-18.2,18,ZBiome_Badlands,0,0,The Gray Crags
138,0.0,132.9655,132.97,0.0,635,-41.1,18,Wasteland,0,0,
139,-10.6897,125.2342,124.53,346.99,374,-29.5,18,Wasteland,0,0,
140,10.6897,125.2342,124.53,13.01,425,-29.8,18,AB_RockyCrags,0,0,
141,-6.5828,112.5773,112.42,352.88,410,-15.2,18,Wasteland,0,0,The Gray Crags
142,6.5828,-67.4227,67.58,172.88,720,28.0,1668,ZBiome_DesertOasis,0,0,The Dew Horn
143,-6.5828,-67.4227,67.58,187.12,998,26.4,1668,Desert,0,0,The Dew Horn
144,-10.6897,-54.7658,55.47,193.01,581,37.8,799,AB_FeraliskInfestedJungle,0,0,The Dew Belt
145,10.6897,-54.7658,55.47,166.99,77,40.6,1171,AB_FeraliskInfestedJungle,0,0,The Dew Belt
146,0.0,-47.0346,47.03,180.0,2511,32.8,90,Lake,1,0,The Scald
147,0.0,-132.9655,132.97,180.0,404,-39.8,18,AB_MycoticJungle,0,0,
148,10.6897,-125.2342,124.53,166.99,421,-29.8,18,AB_MycoticJungle,0,0,
149,-10.6897,-125.2342,124.53,193.01,583,-30.7,18,AB_MycoticJungle,0,0,
150,6.5828,-112.5773,112.42,172.88,-30,-12.9,90,Ocean,1,0,The Twilight Sea
151,-6.5828,-112.5773,112.42,187.12,694,-16.7,18,AB_RockyCrags,0,0,The Twilight Crags
152,45.3793,-123.2789,112.67,129.52,630,-16.7,18,AB_RockyCrags,0,0,The Twilight Crags
153,47.8837,-142.7859,122.28,118.67,793,-29.1,18,AB_RockyCrags,0,0,
154,35.9504,-151.5701,135.39,123.28,784,-44.8,18,AB_RockyCrags,0,0,
155,23.9221,-144.2532,137.89,142.79,810,-47.9,18,AB_RockyCrags,0,0,
156,22.6644,-129.5165,125.96,151.57,460,-31.7,18,AB_RockyCrags,0,0,
157,32.2725,-118.663,113.93,144.26,888,-19.6,18,PoisonForest,0,0,The Twilight Crags
158,71.7908,-139.73,103.79,102.0,45,-2.8,21,AB_RockyCrags,0,0,
159,82.929,180.0,97.07,90.0,12,5.4,25,AB_RockyCrags,0,0,
160,71.7908,139.73,103.79,78.0,468,-5.1,20,AB_RockyCrags,0,0,
161,59.7622,155.6126,117.3,76.47,1024,-24.4,18,AB_RockyCrags,0,0,
162,59.7622,-155.6126,117.3,103.53,405,-21.0,18,AB_RockyCrags,0,0,
163,55.6121,180.0,124.39,90.0,828,-31.8,18,AB_RockyCrags,0,0,
164,71.7908,-40.27,76.21,102.0,12,25.0,30,AB_MycoticJungle,0,0,
165,59.7622,-24.3874,62.7,103.53,349,33.9,116,Desert,0,0,
166,82.929,0.0,82.93,90.0,12,19.6,34,PoisonForest,0,0,
167,71.7908,40.27,76.21,78.0,59,24.7,30,AridShrubland,0,0,
168,55.6121,0.0,55.61,90.0,12,40.9,20,Desert,0,0,
169,59.7622,24.3874,62.7,76.47,12,35.8,22,ZBiome_Badlands,0,0,
170,45.3793,-56.7211,67.33,129.52,12,32.1,24,Desert,0,0,
171,32.2725,-61.337,66.07,144.26,12,33.1,69,AB_MiasmicMangrove,0,0,The Salt Gate
172,47.8837,-37.2141,57.72,118.67,359,37.5,207,Desert,0,0,
173,35.9504,-28.4298,44.61,123.28,169,47.3,19,Desert,0,0,
174,22.6644,-50.4835,54.04,151.57,42,41.7,181,AB_FeraliskInfestedJungle,0,0,The Dew Horn
175,23.9221,-35.7468,42.11,142.79,12,49.9,144,AB_FeraliskInfestedJungle,0,0,
176,27.2871,-103.5267,102.0,152.05,-30,-0.4,90,Ocean,1,0,The Twilight Sea
177,34.3737,-90.0,90.0,145.63,-30,14.0,90,Ocean,1,0,The Twilight Sea
178,27.2871,-76.4733,78.0,152.05,-30,23.6,90,Ocean,1,0,The Twilight Sea
179,13.7773,-78.0093,78.36,165.93,-30,23.3,90,Ocean,1,0,The Twilight Sea
180,13.7773,-101.9907,101.64,165.93,-30,0.0,90,Ocean,1,0,The Twilight Sea
181,7.0166,-90.0,90.0,172.98,-30,14.0,90,Ocean,1,0,The Twilight Sea
182,45.3793,123.2789,112.67,50.48,1503,-21.5,18,AB_RockyCrags,0,0,The Gray Crags
183,32.2725,118.663,113.93,35.74,588,-17.9,18,AB_RockyCrags,0,0,The Gray Crags
184,47.8837,142.7859,122.28,61.33,1154,-31.1,18,AB_RockyCrags,0,0,
185,35.9504,151.5702,135.39,56.72,1423,-48.3,18,AB_RockyCrags,0,0,
186,22.6644,129.5165,125.96,28.43,620,-32.6,18,AB_RockyCrags,0,0,
187,23.9221,144.2532,137.89,37.21,1078,-49.4,18,AB_RockyCrags,0,0,
188,-11.6394,-165.9258,161.81,220.27,940,-71.8,18,AB_RockyCrags,0,0,The Umbra
189,-11.9958,-152.0475,149.77,204.38,456,-60.2,18,AB_RockyCrags,0,0,
190,11.6394,-165.9258,161.81,139.73,739,-70.7,18,AB_RockyCrags,0,0,The Umbra
191,0.0,-172.9826,172.98,180.0,271,-76.3,18,AB_RockyCrags,0,0,The Umbra
192,11.9958,-152.0475,149.77,155.62,1061,-63.6,18,BMT_FungalForest,0,0,
193,0.0,-145.6218,145.62,180.0,625,-56.2,18,AB_MycoticJungle,0,0,
194,-34.3737,-90.0,90.0,214.37,757,9.8,55,AB_RockyCrags,0,0,
195,-27.2871,-76.4733,78.0,207.95,563,20.5,334,AridShrubland,0,0,
196,-7.0166,-90.0,90.0,187.02,208,12.9,45,PoisonForest,0,0,The Dew Belt
197,-13.7773,-78.0093,78.36,194.07,544,20.3,417,Desert,0,0,The Dew Belt
198,-13.7773,-101.9907,101.64,194.07,238,-1.3,21,AB_RockyCrags,0,0,The Nightspill
199,-27.2871,-103.5267,102.0,207.95,881,-5.2,21,AB_RockyCrags,0,0,The Twilight Crags
200,-11.6394,-14.0742,18.19,220.27,474,60.1,1668,ExtremeDesert,0,0,The Anvil
201,0.0,-7.0174,7.02,180.0,744,63.1,245,ExtremeDesert,0,0,The Anvil
202,11.9958,-27.9525,30.23,155.62,2511,44.0,90,Lake,1,0,The Scald
203,11.6394,-14.0742,18.19,139.73,677,59.0,263,AB_FeraliskInfestedJungle,0,0,The Anvil
204,0.0,-34.3782,34.38,180.0,2511,41.3,90,Lake,1,0,The Scald
205,-11.9958,-27.9525,30.23,204.38,2511,44.0,90,Lake,1,0,The Scald
206,47.8837,37.2141,57.72,61.33,276,38.0,29,Desert,0,0,
207,45.3793,56.7211,67.33,50.48,681,28.4,169,ZBiome_Grasslands,0,0,The Pyrelands
208,35.9504,28.4299,44.61,56.72,12,48.2,19,ExtremeDesert,0,0,
209,23.9221,35.7468,42.11,37.21,381,47.8,18,Desert,0,0,
210,22.6644,50.4835,54.04,28.43,374,39.9,52,Desert,0,0,
211,32.2725,61.337,66.07,35.74,855,28.4,130,ZBiome_Grasslands,0,0,The Pyrelands
212,-45.3793,123.2789,112.67,309.52,12,-13.3,18,AridShrubland,0,0,The Sunreach
213,-47.8837,142.7859,122.28,298.67,336,-26.6,18,Wasteland,0,0,
214,-35.9504,151.5701,135.39,303.28,169,-41.4,18,PoisonForest,0,0,The South Crags
215,-23.9221,144.2532,137.89,322.79,474,-46.1,18,PoisonForest,0,0,
216,-22.6644,129.5165,125.96,331.57,374,-31.2,18,Wasteland,0,0,
217,-32.2725,118.663,113.93,324.26,12,-14.8,18,AridShrubland,0,0,The Sunreach
218,-71.7908,-139.73,103.79,258.0,748,-6.7,26,AridShrubland,0,0,
219,-59.7622,-155.6126,117.3,256.47,1142,-25.0,18,AB_RockyCrags,0,0,The South Crags
220,-71.7908,139.73,103.79,282.0,541,-5.5,20,Wasteland,0,0,
221,-82.929,-180.0,97.07,270.0,631,2.0,45,AridShrubland,0,0,
222,-59.7622,155.6126,117.3,283.53,633,-22.2,18,Wasteland,0,0,
223,-55.6121,-180.0,124.39,270.0,999,-32.8,18,AB_RockyCrags,0,0,The South Crags
224,-82.929,0.0,82.93,270.0,209,18.5,78,Wasteland,0,0,
225,-71.7908,-40.27,76.21,258.0,12,25.0,30,AB_MycoticJungle,0,0,
226,-71.7908,40.27,76.21,282.0,89,24.5,270,AB_MycoticJungle,0,0,
227,-59.7622,24.3874,62.7,283.53,379,33.8,88,AridShrubland,0,0,
228,-55.6121,0.0,55.61,270.0,30,40.8,30,Desert,0,0,
229,-59.7622,-24.3874,62.7,256.47,12,35.8,22,ZBiome_DesertOasis,0,0,
230,-45.3793,56.7211,67.33,309.52,231,30.9,95,AridShrubland,0,0,
231,-32.2725,61.337,66.07,324.26,155,32.3,677,Wasteland,0,0,
232,-47.8837,37.2141,57.72,298.67,342,37.6,21,AB_TarPits,0,0,
233,-35.9504,28.4298,44.61,303.28,12,48.2,19,Desert,0,0,
234,-22.6644,50.4835,54.04,331.57,748,37.9,78,Desert,0,0,The Ashfall Range
235,-23.9221,35.7468,42.11,322.79,42,49.7,22,ExtremeDesert,0,0,
236,-27.2871,103.5267,102.0,332.05,12,-0.5,21,AridShrubland,0,0,The Sunreach
237,-34.3737,90.0,90.0,325.63,12,13.9,34,AridShrubland,0,0,
238,-27.2871,76.4733,78.0,332.05,12,23.5,31,PoisonForest,0,0,
239,-13.7773,78.0093,78.36,345.93,-30,23.3,90,Ocean,1,0,The Gray Sea
240,-13.7773,101.9907,101.64,345.93,12,-0.0,21,Wasteland,0,0,The Gray Crags
241,-7.0166,90.0,90.0,352.98,12,13.9,34,Wasteland,0,0,The Salt
242,0.0,172.9826,172.98,0.0,12,-74.9,18,AB_PropaneLakes,0,0,The Ammonia Flats
243,-11.6394,165.9258,161.81,319.73,789,-71.0,18,AB_RockyCrags,0,0,The Umbra
244,11.9958,152.0475,149.77,24.38,12,-57.8,18,AB_PropaneLakes,0,0,The Ammonia Flats
245,11.6394,165.9258,161.81,40.27,12,-66.7,18,AB_PropaneLakes,0,0,The Ammonia Flats
246,-11.9958,152.0475,149.77,335.62,577,-60.9,18,AB_RockyCrags,0,0,
247,0.0,145.6218,145.62,0.0,458,-55.3,18,AB_RockyCrags,0,0,
248,-32.2725,-118.663,113.93,215.74,929,-19.8,18,AB_RockyCrags,0,0,The Nightspill
249,-45.3793,-123.2789,112.67,230.48,1536,-21.7,18,AB_RockyCrags,0,0,The Nightspill
250,-47.8837,-142.7859,122.28,241.33,1124,-30.9,18,AB_RockyCrags,0,0,
251,-35.9504,-151.5702,135.39,236.72,598,-43.8,18,AB_RockyCrags,0,0,
252,-23.9221,-144.2532,137.89,217.21,862,-48.2,18,AB_MycoticJungle,0,0,
253,-22.6644,-129.5165,125.96,208.43,1082,-35.1,18,AB_MycoticJungle,0,0,
254,-47.8837,-37.2141,57.72,241.33,62,39.2,58,Desert,0,0,
255,-45.3793,-56.7211,67.33,230.48,12,32.1,25,AB_FeraliskInfestedJungle,0,0,
256,-23.9221,-35.7468,42.11,217.21,267,48.5,1668,AB_FeraliskInfestedJungle,0,163,
257,-35.9504,-28.4299,44.61,236.72,257,46.8,38,Desert,0,0,
258,-32.2725,-61.337,66.07,215.74,365,31.1,356,Desert,0,0,
259,-22.6644,-50.4835,54.04,208.43,1103,35.9,1595,Desert,0,0,The Dew Horn
260,-11.9958,27.9525,30.23,335.62,367,55.8,18,Desert,0,0,The Dune Sea
261,-11.6394,14.0742,18.19,319.73,113,62.1,18,ExtremeDesert,0,0,The Anvil
262,0.0,7.0174,7.02,0.0,712,63.3,18,AB_MechanoidIntrusion,0,0,The Rust Cathedral
263,11.6394,14.0742,18.19,40.27,534,59.8,18,ExtremeDesert,0,0,The Anvil
264,11.9958,27.9525,30.23,24.38,12,57.8,18,ExtremeDesert,0,0,The Dune Sea
265,0.0,34.3782,34.38,0.0,661,51.4,20,ExtremeDesert,0,0,The Dune Sea
266,27.2871,76.4733,78.0,27.95,166,22.7,758,Wasteland,0,0,The Salt
267,34.3737,90.0,90.0,34.37,46,13.7,740,AB_RockyCrags,0,0,
268,7.0166,90.0,90.0,7.02,-30,14.0,90,Ocean,1,0,The Gray Sea
269,13.7773,78.0093,78.36,14.07,12,23.2,130,ZBiome_Badlands,0,0,The Salt
270,27.2871,103.5267,102.0,27.95,-30,-0.4,90,Ocean,1,0,The Gray Sea
271,13.7773,101.9907,101.64,14.07,-30,0.0,90,Ocean,1,0,The Gray Sea
272,53.2118,-84.0441,86.44,126.64,12,16.8,36,Wasteland,0,0,
273,53.2118,-95.9559,93.56,126.64,12,9.7,29,AridShrubland,0,0,
274,59.6526,-101.4798,95.77,119.85,12,7.0,26,AB_RockyCrags,0,0,
275,64.3391,-90.0,90.0,115.66,12,13.9,34,AridShrubland,0,0,
276,59.6526,-78.5202,84.23,119.85,12,18.6,35,AridShrubland,0,0,
277,59.6526,78.5202,84.23,60.15,303,17.0,169,AB_RockyCrags,0,0,
278,53.2118,84.0441,86.44,53.36,496,14.1,174,AB_RockyCrags,0,0,
279,64.3391,90.0,90.0,64.34,321,12.2,43,AB_RockyCrags,0,0,
280,53.2118,95.9559,93.56,53.36,457,7.2,56,AB_RockyCrags,0,0,
281,59.6526,101.4798,95.77,60.15,175,6.1,96,AB_RockyCrags,0,0,
282,-59.6526,-101.4798,95.77,240.15,926,2.0,27,AridShrubland,0,0,
283,-59.6526,-78.5202,84.23,240.15,99,18.1,35,AridShrubland,0,0,
284,-53.2118,-84.0441,86.44,233.36,126,16.2,41,AridShrubland,0,0,
285,-64.3391,-90.0,90.0,244.34,340,12.1,34,AridShrubland,0,0,
286,-53.2118,-95.9559,93.56,233.36,489,7.0,40,AridShrubland,0,0,
287,-53.2118,84.0441,86.44,306.64,12,16.8,36,AridShrubland,0,0,
288,-53.2118,95.9559,93.56,306.64,12,9.7,29,AridShrubland,0,0,
289,-59.6526,101.4798,95.77,299.85,12,7.0,26,AridShrubland,0,0,
290,-64.3391,90.0,90.0,295.66,12,13.9,34,Wasteland,0,0,
291,-59.6526,78.5202,84.23,299.85,12,18.6,35,PoisonForest,0,0,
292,-29.6668,173.3562,149.66,281.48,347,-59.5,18,AB_RockyCrags,0,0,
293,-36.5464,-175.5644,143.22,264.04,156,-50.7,18,BMT_FungalForest,0,0,
294,-29.6668,-173.3562,149.66,258.52,277,-59.1,18,BMT_CrystalCaverns,0,0,
295,-36.5464,175.5644,143.22,275.96,277,-51.4,18,AB_RockyCrags,0,0,
296,-25.6474,-180.0,154.35,270.0,536,-64.1,18,AB_RockyCrags,0,0,The Umbra
297,36.5464,175.5644,143.22,84.04,1127,-56.1,18,AB_PropaneLakes,0,0,The Ammonia Flats
298,29.6668,173.3562,149.66,78.52,885,-62.5,18,AB_PropaneLakes,0,0,The Ammonia Flats
299,25.6474,180.0,154.35,90.0,968,-66.5,18,AB_PropaneLakes,0,0,The Ammonia Flats
300,36.5464,-175.5644,143.22,95.96,1314,-57.1,18,AB_RockyCrags,0,0,The Ammonia Flats
301,29.6668,-173.3562,149.66,101.48,1488,-65.8,18,AB_RockyCrags,0,0,The Ammonia Flats
