tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region,hilliness,swampiness
22,-35.2596,135.0,125.27,315.01,584,-31.5,18,AridShrubland,0,0,The South Crags,2,0.0
23,-69.0771,180.0,110.92,270.0,863,-15.9,18,AridShrubland,0,0,,2,0.0
24,-69.0771,0.0,69.08,270.0,12,30.7,19,Desert,0,0,,1,0.0
25,-35.2596,45.0,54.73,315.01,399,39.3,39,Desert,0,0,,4,0.0
26,-20.9026,90.0,90.0,339.1,12,13.9,20,AridShrubland,0,0,,1,0.0
27,0.0,159.0948,159.09,0.0,340,-66.5,18,AB_PropaneLakes,0,0,The Ammonia Flats,3,0.3
28,-35.2596,-135.0,125.27,224.99,1122,-34.5,18,AB_MycoticJungle,0,0,,3,0.4
29,-35.2596,-45.0,54.73,224.99,432,39.1,36,ExtremeDesert,0,0,,1,0.0
30,0.0,20.9052,20.91,0.0,375,59.6,18,Scarlands,0,0,The Scorch,2,0.0
31,20.9026,90.0,90.0,20.9,-30,14.0,90,Ocean,1,0,The Gray Sea,1,0.0
32,40.1893,-105.7836,101.99,138.72,12,-0.5,18,AB_TarPits,0,0,The Nightspill,1,0.0
33,58.5465,-130.1254,109.65,115.07,12,-9.6,18,AB_RockyCrags,0,0,,2,0.0
34,78.95,-90.0,90.0,101.05,12,13.9,20,PoisonForest,0,0,,1,0.35
35,58.5465,-49.8746,70.35,115.07,12,29.7,19,Desert,0,0,,1,0.0
36,40.1893,-74.2164,78.01,138.72,12,23.5,20,Wasteland,0,0,,1,0.0
37,78.95,90.0,90.0,78.95,117,13.4,71,AB_GelatinousSuperorganism,0,0,,1,0.0
38,58.5465,49.8746,70.35,64.93,335,27.9,29,Desert,0,0,,1,0.0
39,58.5465,130.1254,109.65,64.93,536,-12.5,18,AB_MycoticJungle,0,0,The Gray Crags,3,0.4
40,40.1893,74.2164,78.01,41.28,702,19.7,55,AridShrubland,0,0,,2,0.0
41,40.1893,105.7836,101.99,41.28,305,-2.1,24,AB_RockyCrags,0,0,The Sunreach,3,0.0
42,-40.1893,-105.7836,101.99,221.28,1016,-6.0,21,AB_MycoticJungle,0,0,The Nightspill,1,0.4
43,-78.95,-90.0,90.0,258.95,180,13.0,20,AridShrubland,0,0,,2,0.0
44,-58.5465,-49.8746,70.35,244.93,12,29.7,19,Desert,0,0,,1,0.0
45,-58.5465,-130.1254,109.65,244.93,1431,-17.5,18,AB_RockyCrags,0,0,,2,0.0
46,-40.1893,-74.2164,78.01,221.28,385,21.5,80,BMT_FungalForest,0,0,,2,0.25
47,-40.1893,105.7836,101.99,318.72,12,-0.5,18,AridShrubland,0,0,The Sunreach,1,0.0
48,-58.5465,130.1254,109.65,295.07,12,-9.6,18,Wasteland,0,0,,1,0.0
49,-78.95,90.0,90.0,281.05,148,13.2,43,Wasteland,0,0,,2,0.0
50,-58.5465,49.8746,70.35,295.07,261,28.3,63,AridShrubland,0,0,,3,0.0
51,-40.1893,74.2164,78.01,318.72,12,23.5,20,AridShrubland,0,0,,1,0.0
52,-11.0156,180.0,168.98,270.0,882,-76.8,18,AB_RockyCrags,0,0,The Umbra,3,0.0
53,-47.3048,162.1548,130.2,285.79,1005,-39.8,18,AB_RockyCrags,0,0,The South Crags,3,0.0
54,-47.3048,-162.1548,130.2,254.21,826,-38.8,18,AB_RockyCrags,0,0,,3,0.0
55,-23.5048,158.4933,148.56,310.13,952,-61.5,18,AB_RockyCrags,0,0,,3,0.0
56,-23.5048,-158.4933,148.56,229.87,460,-58.8,18,BMT_CrystalCaverns,0,0,,2,0.0
57,47.3048,-162.1548,130.2,105.79,1046,-40.0,18,BMT_FungalForest,0,0,,1,0.25
58,47.3048,162.1548,130.2,74.21,1454,-42.2,18,AB_MycoticJungle,0,0,,3,0.4
59,23.5048,158.4933,148.56,49.87,62,-56.6,18,AB_PropaneLakes,0,0,The Ammonia Flats,3,0.3
60,23.5048,-158.4933,148.56,130.13,1329,-63.6,18,AB_RockyCrags,0,0,,2,0.0
61,11.0156,180.0,168.98,90.0,14,-72.0,18,AB_RockyCrags,0,0,The Ammonia Flats,2,0.0
62,-23.5048,-21.5067,31.44,229.87,161,56.2,1668,AB_FeraliskInfestedJungle,0,0,The Dune Sea,1,0.45
63,-47.3048,17.8452,49.8,285.79,439,42.4,18,Desert,0,0,,3,0.0
64,-23.5048,21.5067,31.44,310.13,186,56.0,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
65,-47.3048,-17.8452,49.8,254.21,324,43.0,18,Desert,0,0,,2,0.0
66,-11.0156,0.0,11.02,270.0,324,63.8,21,Scarlands,0,0,The Scorch,2,0.0
67,47.3048,-17.8452,49.8,105.79,463,42.3,19,Desert,0,0,,2,0.0
68,23.5048,-21.5067,31.44,130.13,22,56.9,112,ExtremeDesert,0,0,The Dune Sea,1,0.0
69,11.0156,0.0,11.02,90.0,412,63.3,19,AB_MechanoidIntrusion,0,0,The Rust Cathedral,2,0.0
70,47.3048,17.8452,49.8,74.21,12,44.7,18,ExtremeDesert,0,0,,1,0.0
71,23.5048,21.5067,31.44,49.87,111,56.4,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
72,11.9905,41.2835,42.69,17.84,316,47.8,19,Desert,0,0,The Fall Line Barrens,2,0.0
73,-19.6422,64.9429,66.49,338.5,101,32.3,36,Desert,0,0,,3,0.0
74,0.0,78.9831,78.98,0.0,-30,22.8,90,Ocean,1,0,The Gray Sea,1,0.0
75,-11.9905,41.2835,42.69,342.16,376,47.5,18,ExtremeDesert,0,0,The Fall Line Barrens,2,0.0
76,19.6422,64.9429,66.49,21.5,426,30.5,41,ExtremeDesert,0,0,The Ashfall Range,3,0.0
77,19.6422,115.0571,113.51,21.5,576,-17.4,18,ZBiome_Badlands,0,0,The Gray Crags,3,0.0
78,-11.9905,138.7165,137.31,342.16,626,-46.2,18,AridShrubland,0,0,,2,0.0
79,-19.6422,115.0571,113.51,338.5,12,-14.3,18,AridShrubland,0,0,The Sunreach,1,0.0
80,11.9905,138.7165,137.31,17.84,638,-46.3,18,AB_RockyCrags,0,0,,2,0.0
81,0.0,101.0169,101.02,0.0,-30,0.8,90,Ocean,1,0,The Gray Sea,1,0.0
82,19.6422,-64.9429,66.49,158.5,-30,32.8,90,Ocean,1,0,The Twilight Sea,1,0.0
83,0.0,-78.9831,78.98,180.0,357,20.9,118,ZBiome_DesertOasis,0,0,The Dew Belt,3,0.2
84,-19.6422,-64.9429,66.49,201.5,930,27.7,419,Desert,0,0,The Dew Horn,4,0.0
85,11.9905,-41.2835,42.69,162.16,857,44.8,1668,AB_FeraliskInfestedJungle,0,3830,The Scald Spine,4,0.45
86,-11.9905,-41.2835,42.69,197.84,-30,41.8,90,Lake,1,0,The Scald,1,0.0
87,11.9905,-138.7165,137.31,162.16,582,-46.0,18,AB_RockyCrags,0,0,,2,0.0
88,19.6422,-115.0571,113.51,158.5,110,-14.8,18,AB_RockyCrags,0,0,The Twilight Crags,3,0.0
89,-11.9905,-138.7165,137.31,197.84,835,-47.4,18,AB_RockyCrags,0,0,,2,0.0
90,0.0,-101.0169,101.02,180.0,-30,0.8,90,Ocean,1,0,The Twilight Sea,1,0.0
91,-19.6422,-115.0571,113.51,201.5,733,-18.2,18,AB_MycoticJungle,0,0,The Nightspill,1,0.4
92,47.0282,-90.0,90.0,132.97,12,13.9,20,Wasteland,0,0,,1,0.0
93,53.3733,-108.1197,100.69,125.24,12,1.1,19,AridShrubland,0,0,The Nightspill,1,0.0
94,66.5171,-106.7312,96.59,112.59,12,6.0,19,AB_RockyCrags,0,0,,2,0.0
95,66.5171,-73.2688,83.41,112.59,12,19.2,20,AridShrubland,0,0,,1,0.0
96,53.3733,-71.8803,79.31,125.24,12,22.5,20,Wasteland,0,0,,1,0.0
97,66.5171,73.2688,83.41,67.41,146,18.5,115,AridShrubland,0,0,,2,0.0
98,53.3733,71.8803,79.31,54.76,547,19.5,27,AB_RockyCrags,0,0,,2,0.0
99,66.5171,106.7312,96.59,67.41,373,4.0,27,BMT_FungalForest,0,0,,1,0.25
100,47.0282,90.0,90.0,47.03,461,11.5,104,AB_MycoticJungle,0,0,,2,0.4
101,53.3733,108.1197,100.69,54.76,439,-1.2,29,AB_MycoticJungle,0,0,The Sunreach,2,0.4
102,-53.3733,-108.1197,100.69,234.76,1129,-5.0,19,AridShrubland,0,0,The Nightspill,2,0.0
103,-66.5171,-73.2688,83.41,247.41,175,18.3,20,Desert,0,0,,1,0.0
104,-53.3733,-71.8803,79.31,234.76,12,22.5,20,ExtremeDesert,0,0,,1,0.0
105,-66.5171,-106.7312,96.59,247.41,954,0.8,28,AridShrubland,0,0,,1,0.0
106,-47.0282,-90.0,90.0,227.03,292,12.4,20,AridShrubland,0,0,,2,0.0
107,-47.0282,90.0,90.0,312.97,12,13.9,20,AridShrubland,0,0,,1,0.0
108,-53.3733,108.1197,100.69,305.24,12,1.1,19,Wasteland,0,0,The Sunreach,1,0.0
109,-66.5171,106.7312,96.59,292.59,110,5.5,36,Wasteland,0,0,,2,0.0
110,-66.5171,73.2688,83.41,292.59,12,19.2,20,Wasteland,0,0,,1,0.0
111,-53.3733,71.8803,79.31,305.24,12,22.5,20,AridShrubland,0,0,,1,0.0
112,-22.4178,172.8755,156.53,286.73,768,-67.0,18,AB_RockyCrags,0,0,The Umbra,3,0.0
113,-42.9599,-180.0,137.04,270.0,340,-44.3,18,AB_RockyCrags,0,0,,2,0.0
114,-34.5307,-166.9858,143.39,251.88,320,-51.8,18,AB_RockyCrags,0,0,,2,0.0
115,-34.5307,166.9858,143.39,288.12,264,-51.5,18,AB_RockyCrags,0,0,,2,0.0
116,-22.4178,-172.8755,156.53,253.27,643,-66.3,18,BMT_CrystalCaverns,0,0,The Umbra,1,0.0
117,42.9599,180.0,137.04,90.0,1350,-49.9,18,AB_RockyCrags,0,0,,3,0.0
118,34.5307,166.9858,143.39,71.88,1161,-56.4,18,AB_PropaneLakes,0,0,The Ammonia Flats,1,0.3
119,22.4178,172.8755,156.53,73.27,12,-62.9,18,AB_PropaneLakes,0,0,The Ammonia Flats,1,0.3
120,34.5307,-166.9858,143.39,108.12,1413,-57.8,18,AB_RockyCrags,0,0,,2,0.0
121,22.4178,-172.8755,156.53,106.73,1298,-69.9,18,AB_RockyCrags,0,0,The Ammonia Flats,2,0.0
122,-34.5307,-13.0142,36.61,251.88,120,52.9,20,ZBiome_Grasslands,0,0,The Dune Sea,1,0.05
123,-34.5307,13.0142,36.61,288.12,12,53.5,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
124,-22.4178,7.1245,23.47,286.73,123,59.9,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
125,-42.9599,0.0,42.96,270.0,48,49.1,18,ExtremeDesert,0,0,,1,0.0
126,-22.4178,-7.1245,23.47,253.27,157,59.7,58,ExtremeDesert,0,0,The Dune Sea,4,0.0
127,34.5307,-13.0142,36.61,108.12,116,53.0,18,ExtremeDesert,0,0,The Dune Sea,2,0.0
128,22.4178,-7.1245,23.47,106.73,735,56.6,22,ExtremeDesert,0,0,The Dune Sea,4,0.0
129,22.4178,7.1245,23.47,73.27,285,59.0,18,ZBiome_Grasslands,0,0,The Dune Sea,2,0.05
130,42.9599,0.0,42.96,90.0,12,49.3,18,ExtremeDesert,0,0,,1,0.0
131,34.5307,13.0142,36.61,71.88,12,53.5,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
132,0.0,47.0345,47.03,0.0,449,44.2,20,Desert,0,0,The Fall Line,4,0.0
133,-6.5828,67.4227,67.58,352.88,234,30.7,90,ExtremeDesert,0,0,The Ashfall Range,3,0.0
134,6.5828,67.4227,67.58,7.12,418,29.6,205,ZBiome_Badlands,0,0,The Ashfall Range,4,0.0
135,-10.6897,54.7658,55.47,346.99,783,36.7,18,ExtremeDesert,0,0,The Ashfall Range,3,0.0
136,10.6897,54.7658,55.47,13.01,12,41.0,18,ExtremeDesert,0,0,The Fall Line,1,0.0
137,6.5828,112.5773,112.42,7.12,964,-18.2,18,ZBiome_Badlands,0,0,The Gray Crags,3,0.0
138,0.0,132.9655,132.97,0.0,635,-41.1,18,Wasteland,0,0,,2,0.0
139,-10.6897,125.2342,124.53,346.99,392,-29.6,18,Wasteland,0,0,,2,0.0
140,10.6897,125.2342,124.53,13.01,433,-29.8,18,AB_RockyCrags,0,0,,2,0.0
141,-6.5828,112.5773,112.42,352.88,418,-15.2,18,Wasteland,0,0,The Gray Crags,3,0.0
142,6.5828,-67.4227,67.58,172.88,897,27.0,618,ZBiome_DesertOasis,0,0,The Dew Horn,4,0.2
143,-6.5828,-67.4227,67.58,187.12,1387,24.3,772,Desert,0,0,The Dew Horn,4,0.0
144,-10.6897,-54.7658,55.47,193.01,594,37.8,1414,ZBiome_DesertOasis,0,0,The Dew Belt,4,0.2
145,10.6897,-54.7658,55.47,166.99,89,40.5,1667,AB_FeraliskInfestedJungle,0,0,The Dew Belt,2,0.45
146,0.0,-47.0346,47.03,180.0,-30,38.9,90,Lake,1,0,The Scald,1,0.0
147,0.0,-132.9655,132.97,180.0,453,-40.1,18,AB_RockyCrags,0,0,,3,0.0
148,10.6897,-125.2342,124.53,166.99,421,-29.8,18,AB_MycoticJungle,0,0,,1,0.4
149,-10.6897,-125.2342,124.53,193.01,623,-30.9,18,AB_MycoticJungle,0,0,,1,0.4
150,6.5828,-112.5773,112.42,172.88,-30,-12.9,90,Ocean,1,0,The Twilight Sea,1,0.0
151,-6.5828,-112.5773,112.42,187.12,697,-16.7,18,AB_MycoticJungle,0,0,The Twilight Crags,4,0.4
152,45.3793,-123.2789,112.67,129.52,630,-16.7,18,AB_RockyCrags,0,0,The Twilight Crags,3,0.0
153,47.8837,-142.7859,122.28,118.67,793,-29.1,18,AB_RockyCrags,0,0,,2,0.0
154,35.9504,-151.5701,135.39,123.28,890,-45.4,18,AB_RockyCrags,0,0,,2,0.0
155,23.9221,-144.2532,137.89,142.79,810,-47.9,18,AB_RockyCrags,0,0,,2,0.0
156,22.6644,-129.5165,125.96,151.57,495,-31.9,18,AB_RockyCrags,0,0,,2,0.0
157,32.2725,-118.663,113.93,144.26,888,-19.6,18,PoisonForest,0,0,The Twilight Crags,2,0.35
158,71.7908,-139.73,103.79,102.0,47,-2.8,18,AB_RockyCrags,0,0,,2,0.0
159,82.929,180.0,97.07,90.0,12,5.4,19,AB_RockyCrags,0,0,,2,0.0
160,71.7908,139.73,103.79,78.0,475,-5.2,18,AB_MycoticJungle,0,0,,2,0.4
161,59.7622,155.6126,117.3,76.47,1043,-24.5,18,AB_RockyCrags,0,0,,3,0.0
162,59.7622,-155.6126,117.3,103.53,406,-21.0,18,AB_MycoticJungle,0,0,,2,0.4
163,55.6121,180.0,124.39,90.0,831,-31.8,18,AB_MycoticJungle,0,0,,2,0.4
164,71.7908,-40.27,76.21,102.0,12,25.0,19,ZBiome_Badlands,0,0,,2,0.0
165,59.7622,-24.3874,62.7,103.53,401,33.6,26,Desert,0,0,,2,0.0
166,82.929,0.0,82.93,90.0,12,19.6,20,PoisonForest,0,0,,1,0.35
167,71.7908,40.27,76.21,78.0,87,24.6,19,AridShrubland,0,0,,2,0.0
168,55.6121,0.0,55.61,90.0,12,40.9,18,Desert,0,0,,1,0.0
169,59.7622,24.3874,62.7,76.47,12,35.8,18,ZBiome_Badlands,0,0,,2,0.0
170,45.3793,-56.7211,67.33,129.52,12,32.1,19,ExtremeDesert,0,0,,1,0.0
171,32.2725,-61.337,66.07,144.26,12,33.1,23,AB_MiasmicMangrove,0,0,The Salt Gate,1,0.85
172,47.8837,-37.2141,57.72,118.67,391,37.4,31,Desert,0,0,,3,0.0
173,35.9504,-28.4298,44.61,123.28,182,47.3,18,ExtremeDesert,0,0,,3,0.0
174,22.6644,-50.4835,54.04,151.57,65,41.6,165,AB_FeraliskInfestedJungle,0,0,The Dew Horn,3,0.45
175,23.9221,-35.7468,42.11,142.79,12,49.9,240,AB_FeraliskInfestedJungle,0,0,,1,0.45
176,27.2871,-103.5267,102.0,152.05,-30,-0.4,90,Ocean,1,0,The Twilight Sea,1,0.0
177,34.3737,-90.0,90.0,145.63,-30,14.0,90,Ocean,1,0,The Twilight Sea,1,0.0
178,27.2871,-76.4733,78.0,152.05,-30,23.6,90,Ocean,1,0,The Twilight Sea,1,0.0
179,13.7773,-78.0093,78.36,165.93,-30,23.3,90,Ocean,1,0,The Twilight Sea,1,0.0
180,13.7773,-101.9907,101.64,165.93,-30,0.0,90,Ocean,1,0,The Twilight Sea,1,0.0
181,7.0166,-90.0,90.0,172.98,-30,14.0,90,Ocean,1,0,The Twilight Sea,1,0.0
182,45.3793,123.2789,112.67,50.48,1503,-21.5,18,AB_RockyCrags,0,0,The Gray Crags,4,0.0
183,32.2725,118.663,113.93,35.74,597,-18.0,18,AB_RockyCrags,0,0,The Gray Crags,2,0.0
184,47.8837,142.7859,122.28,61.33,1212,-31.4,18,AB_RockyCrags,0,0,,2,0.0
185,35.9504,151.5702,135.39,56.72,1423,-48.3,18,AB_RockyCrags,0,0,,2,0.0
186,22.6644,129.5165,125.96,28.43,702,-33.0,18,AB_RockyCrags,0,0,,2,0.0
187,23.9221,144.2532,137.89,37.21,1078,-49.4,18,AB_RockyCrags,0,0,,2,0.0
188,-11.6394,-165.9258,161.81,220.27,940,-71.8,18,AB_RockyCrags,0,0,The Umbra,2,0.0
189,-11.9958,-152.0475,149.77,204.38,541,-60.7,18,AB_RockyCrags,0,0,,2,0.0
190,11.6394,-165.9258,161.81,139.73,740,-70.7,18,AB_RockyCrags,0,0,The Umbra,3,0.0
191,0.0,-172.9826,172.98,180.0,298,-76.5,18,AB_RockyCrags,0,0,The Umbra,2,0.0
192,11.9958,-152.0475,149.77,155.62,1065,-63.6,18,AB_RockyCrags,0,0,,2,0.0
193,0.0,-145.6218,145.62,180.0,625,-56.2,18,AB_RockyCrags,0,0,,2,0.0
194,-34.3737,-90.0,90.0,214.37,866,9.2,23,AB_MycoticJungle,0,0,,1,0.4
195,-27.2871,-76.4733,78.0,207.95,683,19.8,58,Desert,0,0,,2,0.0
196,-7.0166,-90.0,90.0,187.02,236,12.7,22,Desert,0,0,The Dew Belt,2,0.0
197,-13.7773,-78.0093,78.36,194.07,657,19.7,69,Desert,0,0,The Dew Belt,2,0.0
198,-13.7773,-101.9907,101.64,194.07,496,-2.7,18,AB_RockyCrags,0,0,The Nightspill,2,0.0
199,-27.2871,-103.5267,102.0,207.95,913,-5.4,18,AB_RockyCrags,0,0,The Twilight Crags,3,0.0
200,-11.6394,-14.0742,18.19,220.27,785,58.4,60,ExtremeDesert,0,0,The Anvil,2,0.0
201,0.0,-7.0174,7.02,180.0,795,62.8,475,ExtremeDesert,0,0,The Anvil,3,0.0
202,11.9958,-27.9525,30.23,155.62,-30,50.1,90,Lake,1,0,The Scald,1,0.0
203,11.6394,-14.0742,18.19,139.73,653,59.1,504,AB_FeraliskInfestedJungle,0,0,The Anvil,4,0.45
204,0.0,-34.3782,34.38,180.0,-30,47.3,90,Lake,1,0,The Scald,1,0.0
205,-11.9958,-27.9525,30.23,204.38,-30,50.1,90,Lake,1,0,The Scald,1,0.0
206,47.8837,37.2141,57.72,61.33,285,38.0,19,ExtremeDesert,0,0,,2,0.0
207,45.3793,56.7211,67.33,50.48,764,27.9,32,Desert,0,0,,2,0.0
208,35.9504,28.4299,44.61,56.72,12,48.2,18,ExtremeDesert,0,0,,1,0.0
209,23.9221,35.7468,42.11,37.21,391,47.8,18,ExtremeDesert,0,0,,3,0.0
210,22.6644,50.4835,54.04,28.43,503,39.2,20,ExtremeDesert,0,0,,2,0.0
211,32.2725,61.337,66.07,35.74,915,28.1,28,ExtremeDesert,0,0,,2,0.0
212,-45.3793,123.2789,112.67,309.52,12,-13.3,18,AridShrubland,0,0,The Sunreach,1,0.0
213,-47.8837,142.7859,122.28,298.67,353,-26.7,18,Wasteland,0,0,,3,0.0
214,-35.9504,151.5701,135.39,303.28,326,-42.3,18,PoisonForest,0,0,The South Crags,3,0.35
215,-23.9221,144.2532,137.89,322.79,474,-46.1,18,PoisonForest,0,0,,2,0.35
216,-22.6644,129.5165,125.96,331.57,376,-31.2,18,Wasteland,0,0,,2,0.0
217,-32.2725,118.663,113.93,324.26,12,-14.8,18,AridShrubland,0,0,The Sunreach,1,0.0
218,-71.7908,-139.73,103.79,258.0,765,-6.8,19,AridShrubland,0,0,,1,0.0
219,-59.7622,-155.6126,117.3,256.47,1155,-25.1,18,BMT_FungalForest,0,0,The South Crags,2,0.25
220,-71.7908,139.73,103.79,282.0,583,-5.8,18,Wasteland,0,0,,1,0.0
221,-82.929,-180.0,97.07,270.0,654,1.9,22,AridShrubland,0,0,,2,0.0
222,-59.7622,155.6126,117.3,283.53,633,-22.2,18,Wasteland,0,0,,2,0.0
223,-55.6121,-180.0,124.39,270.0,1007,-32.8,18,BMT_FungalForest,0,0,The South Crags,3,0.25
224,-82.929,0.0,82.93,270.0,219,18.5,26,Wasteland,0,0,,1,0.0
225,-71.7908,-40.27,76.21,258.0,12,25.0,19,Desert,0,0,,1,0.0
226,-71.7908,40.27,76.21,282.0,99,24.5,48,AridShrubland,0,0,,1,0.0
227,-59.7622,24.3874,62.7,283.53,409,33.6,24,Desert,0,0,,2,0.0
228,-55.6121,0.0,55.61,270.0,108,40.3,19,Desert,0,0,,2,0.0
229,-59.7622,-24.3874,62.7,256.47,12,35.8,18,Desert,0,0,,1,0.0
230,-45.3793,56.7211,67.33,309.52,245,30.8,25,AridShrubland,0,0,,2,0.0
231,-32.2725,61.337,66.07,324.26,186,32.1,79,Wasteland,0,0,,3,0.0
232,-47.8837,37.2141,57.72,298.67,376,37.5,18,Desert,0,0,,2,0.0
233,-35.9504,28.4298,44.61,303.28,12,48.2,18,ExtremeDesert,0,0,,1,0.0
234,-22.6644,50.4835,54.04,331.57,795,37.6,22,ExtremeDesert,0,0,The Ashfall Range,3,0.0
235,-23.9221,35.7468,42.11,322.79,61,49.6,18,ExtremeDesert,0,0,,3,0.0
236,-27.2871,103.5267,102.0,332.05,12,-0.5,18,AridShrubland,0,0,The Sunreach,1,0.0
237,-34.3737,90.0,90.0,325.63,12,13.9,20,AridShrubland,0,0,,1,0.0
238,-27.2871,76.4733,78.0,332.05,12,23.5,20,AridShrubland,0,0,,1,0.0
239,-13.7773,78.0093,78.36,345.93,-30,23.3,90,Ocean,1,0,The Gray Sea,1,0.0
240,-13.7773,101.9907,101.64,345.93,12,-0.0,18,Wasteland,0,0,The Gray Crags,1,0.0
241,-7.0166,90.0,90.0,352.98,12,13.9,20,Wasteland,0,0,The Salt,1,0.0
242,0.0,172.9826,172.98,0.0,12,-74.9,18,AB_PropaneLakes,0,0,The Ammonia Flats,1,0.3
243,-11.6394,165.9258,161.81,319.73,789,-71.0,18,AB_RockyCrags,0,0,The Umbra,2,0.0
244,11.9958,152.0475,149.77,24.38,12,-57.8,18,AB_PropaneLakes,0,0,The Ammonia Flats,1,0.3
245,11.6394,165.9258,161.81,40.27,12,-66.7,18,AB_PropaneLakes,0,0,The Ammonia Flats,1,0.3
246,-11.9958,152.0475,149.77,335.62,580,-60.9,18,AB_RockyCrags,0,0,,2,0.0
247,0.0,145.6218,145.62,0.0,489,-55.4,18,AB_RockyCrags,0,0,,2,0.0
248,-32.2725,-118.663,113.93,215.74,945,-19.9,18,BMT_FungalForest,0,0,The Nightspill,2,0.25
249,-45.3793,-123.2789,112.67,230.48,1536,-21.7,18,AB_MycoticJungle,0,0,The Nightspill,3,0.4
250,-47.8837,-142.7859,122.28,241.33,1166,-31.2,18,AB_RockyCrags,0,0,,3,0.0
251,-35.9504,-151.5702,135.39,236.72,706,-44.3,18,AB_RockyCrags,0,0,,2,0.0
252,-23.9221,-144.2532,137.89,217.21,862,-48.2,18,AB_MycoticJungle,0,0,,1,0.4
253,-22.6644,-129.5165,125.96,208.43,1086,-35.1,18,AB_MycoticJungle,0,0,,2,0.4
254,-47.8837,-37.2141,57.72,241.33,69,39.1,21,ExtremeDesert,0,0,,1,0.0
255,-45.3793,-56.7211,67.33,230.48,12,32.1,19,ExtremeDesert,0,0,,1,0.0
256,-23.9221,-35.7468,42.11,217.21,267,48.5,1668,AB_FeraliskInfestedJungle,0,11206,,3,0.45
257,-35.9504,-28.4299,44.61,236.72,260,46.8,31,Desert,0,0,,2,0.0
258,-32.2725,-61.337,66.07,215.74,422,30.8,58,ExtremeDesert,0,0,,3,0.0
259,-22.6644,-50.4835,54.04,208.43,1202,35.4,1668,ZBiome_Grasslands,0,0,The Dew Horn,4,0.05
260,-11.9958,27.9525,30.23,335.62,370,55.8,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
261,-11.6394,14.0742,18.19,319.73,136,62.0,18,ExtremeDesert,0,0,The Anvil,2,0.0
262,0.0,7.0174,7.02,0.0,764,63.0,18,AB_MechanoidIntrusion,0,0,The Rust Cathedral,3,0.0
263,11.6394,14.0742,18.19,40.27,537,59.8,18,ExtremeDesert,0,0,The Anvil,3,0.0
264,11.9958,27.9525,30.23,24.38,33,57.7,18,ExtremeDesert,0,0,The Dune Sea,2,0.0
265,0.0,34.3782,34.38,0.0,714,51.2,18,ExtremeDesert,0,0,The Dune Sea,4,0.0
266,27.2871,76.4733,78.0,27.95,184,22.6,110,Desert,0,0,The Salt,2,0.0
