tile,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution,riverDist,feature,featureId,waterCovered,roadCount,riverCount,mutatorCount
49,Wasteland,148.0,13.2,0.0,SmallHills,0.0,0.0,0,Scour,58,False,0,0,0
50,Desert,261.0,27.4,0.0,LargeHills,0.0,0.0,0,Thornbelt,59,False,0,0,0
51,Desert,43.0,25.3,0.0,Flat,0.0,0.0,0,Thornbelt,59,False,0,0,2
52,BMT_CrystalCaverns,882.0,-77.1,0.0,LargeHills,0.0,0.0,0,Umbra,37,False,0,0,1
53,HorrorWastes,1005.0,-39.2,0.0,LargeHills,0.0,0.0,0,South Crags,39,False,0,0,1
54,HorrorWastes,826.0,-37.8,0.0,LargeHills,0.0,0.0,0,Deadstone,25,False,0,0,1
55,BMT_CrystalCaverns,952.0,-62.5,0.0,LargeHills,0.0,0.0,0,Deadstone,25,False,0,0,1
56,BMT_CrystalCaverns,460.0,-58.2,0.0,SmallHills,0.0,0.0,0,Lantern Deeps,60,False,0,0,0
57,BMT_FungalForest,1046.0,-39.7,0.0,Flat,0.239215687,0.0,0,Stillwood,61,False,0,0,0
58,AB_MycoticJungle,1454.0,-41.6,0.0,LargeHills,0.509803951,0.0,0,Stillwood,61,False,0,0,0
59,AB_PropaneLakes,62.0,-55.5,0.0,LargeHills,0.2509804,0.8357061,0,Ammonia Flats,26,False,0,0,0
60,BMT_CrystalCaverns,1329.0,-65.1,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
61,AB_RockyCrags,419.0,-74.0,0.0,SmallHills,0.0,0.0,0,Ammonia Flats,26,False,0,0,0
62,AB_FeraliskInfestedJungle,161.0,55.1,0.0,Flat,0.368627459,0.0,0,Dune Sea,27,False,0,0,0
63,Desert,439.0,42.1,0.0,LargeHills,0.0,0.0,0,Kiln,42,False,0,0,0
64,ExtremeDesert,186.0,57.5,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,1
65,Desert,324.0,42.4,0.0,SmallHills,0.0,0.0,0,Kiln,42,False,0,0,0
66,Scarlands,324.0,65.8,0.0,SmallHills,0.0,0.3,0,Scorch,45,False,0,0,0
67,Desert,463.0,41.7,0.0,SmallHills,0.0,0.891798258,0,Glare,38,False,0,0,0
68,ExtremeDesert,22.0,57.9,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,0
69,AB_MechanoidIntrusion,637.0,63.6,0.0,Flat,0.0,0.95,0,Rust Cathedral,62,False,0,0,0
70,ExtremeDesert,1.0,43.7,0.0,Flat,0.0,0.0,0,Glare,38,False,0,0,3
71,ExtremeDesert,111.0,55.8,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,1
72,Desert,316.0,48.5,0.0,SmallHills,0.0,0.0,0,Fall Line Barrens,63,False,0,0,0
73,Desert,101.0,31.4,0.0,LargeHills,0.0,0.0,0,Notch,64,False,0,0,0
74,Ocean,-350.0,22.8,0.0,Flat,0.0,0.0,0,Grey Sea,46,True,0,0,0
75,ExtremeDesert,376.0,46.1,0.0,SmallHills,0.0,0.0,0,Fall Line Barrens,63,False,0,0,0
76,ExtremeDesert,426.0,31.6,0.0,LargeHills,0.0,0.0,0,Ashfall Range,28,False,0,0,0
77,ZBiome_Badlands,576.0,-16.6,0.0,LargeHills,0.0,0.0,0,Gray Crags,52,False,0,0,0
78,HorrorWastes,626.0,-44.7,0.0,SmallHills,0.0,0.0,54,Thornend,65,False,0,0,0
79,Desert,21.0,-13.8,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,0
80,HorrorWastes,638.0,-46.8,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
81,AridShrubland,1.0,0.8,0.0,Flat,0.0,0.0,23,Grey Sea,46,False,0,0,0
82,Ocean,-350.0,32.8,0.0,Flat,0.0,0.0,0,Twilight Sea,35,True,0,0,0
83,ZBiome_DesertOasis,357.0,22.8,0.0,LargeHills,0.2509804,0.0,0,Dew Belt,30,False,0,0,1
84,AridShrubland,930.0,28.3,105.0,Mountainous,0.0,0.0,0,Dew Horn,66,False,0,0,1
85,AB_OcularForest,857.0,42.5,1390.0,Mountainous,0.5882353,0.0,10,Scald Spine,67,False,2,2,2
86,Lake,-350.0,41.8,0.0,Flat,0.0,0.0,0,Scald,68,True,0,0,0
87,HorrorWastes,582.0,-44.6,0.0,SmallHills,0.0,0.8082399,0,Deadstone,25,False,0,0,0
88,AB_RockyCrags,110.0,-6.9,0.0,LargeHills,0.0,0.0,0,Twilight Crags,69,False,0,0,1
89,HorrorWastes,835.0,-48.1,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
90,AridShrubland,1.0,0.8,0.0,Flat,0.0,0.0,0,Twilight Sea,35,False,0,0,0
91,AB_MycoticJungle,733.0,-19.3,0.0,Flat,0.3882353,1.0,0,Nightspill,31,False,0,0,0
92,Wasteland,1.0,12.8,0.0,Flat,0.0,0.0,0,Pan,21,False,0,0,2
93,Desert,8.0,0.8,0.0,Flat,0.0,0.0,0,Nightspill,31,False,0,0,0
94,Desert,34.0,7.3,0.0,SmallHills,0.0,0.0,0,Glass Reach,50,False,0,0,0
95,Desert,28.0,20.1,0.0,Flat,0.0,0.0,0,Fanground,70,False,0,0,0
96,Wasteland,25.0,23.3,0.0,Flat,0.0,0.0,0,Glass Reach,50,False,2,0,2
97,Desert,146.0,18.0,0.0,SmallHills,0.0,0.0,0,Sunward Scrub,53,False,0,0,0
98,Desert,547.0,19.5,0.0,SmallHills,0.0,0.0,0,Tallow Ground,71,False,0,0,0
99,BMT_FungalForest,373.0,4.0,0.0,Flat,0.298039228,0.0,0,Sporefields,22,False,0,0,0
100,AB_MycoticJungle,461.0,12.4,0.0,SmallHills,0.360784322,0.0,0,Sporefields,22,False,0,0,0
101,AB_MycoticJungle,439.0,-0.9,0.0,SmallHills,0.5019608,0.0,0,Sunreach,29,False,0,0,0
102,Desert,1129.0,-5.0,0.0,SmallHills,0.0,0.0,0,Nightspill,31,False,0,0,0
103,Desert,175.0,18.3,0.0,Flat,0.0,0.0,0,Long Sand,41,False,0,0,0
104,ExtremeDesert,7.0,22.2,0.0,Flat,0.0,0.0,0,Long Sand,41,False,2,0,1
105,Desert,954.0,1.3,0.0,Flat,0.0,0.0,0,Sinkground,54,False,0,0,6
106,Desert,292.0,11.5,0.0,SmallHills,0.0,0.0,0,Sinkground,54,False,0,0,0
107,AB_RockyCrags,810.0,15.0,0.0,Mountainous,0.0,0.0,0,Damp,43,False,0,0,1
108,Wasteland,1.0,0.3,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,0
109,Wasteland,110.0,4.6,0.0,SmallHills,0.0,0.0,0,Scour,58,False,0,0,0
110,ZBiome_Badlands,124.0,17.9,0.0,Flat,0.0,0.0,0,Blight,72,False,0,0,1
111,Desert,16.0,22.8,0.0,Flat,0.0,0.0,0,Thornbelt,59,False,0,0,0
112,AB_RockyCrags,1200.0,-66.3,0.0,SmallHills,0.0,0.0,0,Umbra,37,False,0,0,1
113,HorrorWastes,340.0,-43.0,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
114,HorrorWastes,320.0,-51.4,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
115,IceSheet,264.0,-52.6,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
116,BMT_CrystalCaverns,643.0,-65.2,0.0,Flat,0.0,0.0,78,Umbra,37,False,0,0,1
117,HorrorWastes,1350.0,-48.9,0.0,LargeHills,0.0,0.0,0,Deadstone,25,False,0,0,3
118,AB_PropaneLakes,1161.0,-55.3,0.0,Flat,0.360784322,0.0,0,Ammonia Flats,26,False,0,0,0
119,AB_RockyCrags,270.0,-62.4,0.0,SmallHills,0.309803933,0.0,0,Ammonia Flats,26,False,0,0,0
120,BMT_CrystalCaverns,1413.0,-58.6,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
121,BMT_CrystalCaverns,1298.0,-71.4,0.0,SmallHills,0.0,0.0,0,Ammonia Flats,26,False,0,0,0
122,ZBiome_Grasslands,120.0,51.8,0.0,Flat,0.0509803928,0.0,0,Dune Sea,27,False,0,0,0
123,ExtremeDesert,26.0,54.3,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,1
124,ExtremeDesert,123.0,61.4,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,3
125,ExtremeDesert,48.0,48.1,0.0,Flat,0.0,0.825894535,0,Kiln,42,False,2,0,1
126,AridShrubland,157.0,59.2,14.0,Mountainous,0.0,0.0,0,Dune Sea,27,False,0,0,1
127,ExtremeDesert,116.0,54.1,0.0,SmallHills,0.0,0.0,0,Dune Sea,27,False,0,0,0
128,ExtremeDesert,735.0,55.9,6.0,Mountainous,0.0,0.0,0,Dune Sea,27,False,0,0,1
129,ZBiome_Grasslands,285.0,57.9,0.0,SmallHills,0.0392156877,0.25,4,Dune Sea,27,False,0,0,0
130,ExtremeDesert,1.0,48.0,0.0,Flat,0.0,0.900709569,0,Glare,38,False,0,0,1
131,ExtremeDesert,4.0,53.1,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,3
132,Desert,449.0,44.2,5.0,Mountainous,0.0,0.0,0,Fall Line,73,False,2,0,1
133,AridShrubland,234.0,29.4,0.0,LargeHills,0.0,0.0,0,Ashfall Range,28,False,2,0,0
134,ZBiome_Badlands,418.0,29.2,171.0,Mountainous,0.0,0.0,0,Ashfall Range,28,False,0,0,1
135,Desert,783.0,35.9,0.0,LargeHills,0.0,0.0,0,Ashfall Range,28,False,0,0,0
136,ExtremeDesert,15.0,41.2,0.0,Flat,0.0,0.0,0,Fall Line,73,False,0,0,1
137,ZBiome_Badlands,964.0,-17.5,0.0,LargeHills,0.0,0.0,0,Gray Crags,52,False,0,0,0
138,Wasteland,635.0,-40.1,0.0,SmallHills,0.0,0.0,0,Cinderdark,74,False,0,0,0
139,Wasteland,392.0,-28.7,0.0,SmallHills,0.0,0.0,43,Sunreach,29,False,0,0,0
140,HorrorWastes,433.0,-30.5,0.0,SmallHills,0.0,0.8241398,0,Sunreach,29,False,0,0,0
141,Wasteland,418.0,-16.6,0.0,LargeHills,0.0,0.0,0,Gray Crags,52,False,0,0,0
142,ZBiome_DesertOasis,897.0,28.9,464.0,Mountainous,0.2509804,0.0,0,Dew Horn,66,False,0,0,2
143,ZBiome_Badlands,1387.0,25.1,193.0,Mountainous,0.0,0.0,0,Dew Horn,66,False,0,0,1
144,ZBiome_DesertOasis,594.0,38.5,354.0,Mountainous,0.2,0.0,0,Dew Belt,30,False,0,0,2
145,ZBiome_DesertOasis,89.0,39.6,0.0,SmallHills,0.368627459,0.0,0,Dew Belt,30,False,2,0,0
146,Lake,-350.0,38.9,0.0,Flat,0.0,0.0,0,Scald,68,True,0,0,0
147,HorrorWastes,453.0,-40.1,0.0,LargeHills,0.0,0.0,0,Deadstone,25,False,0,0,1
148,AB_MycoticJungle,421.0,-29.0,0.0,Flat,0.478431374,0.0,0,Blindwood,75,False,0,0,0
149,AB_MycoticJungle,623.0,-31.1,0.0,Flat,0.4509804,0.0,0,Blindwood,75,False,0,0,0
150,SeaIce,-350.0,-5.2,0.0,Flat,0.0,0.0,0,Twilight Sea,35,True,0,0,0
151,AB_MycoticJungle,697.0,-14.1,12.0,Mountainous,0.4509804,0.0,0,Twilight Crags,69,False,0,0,1
152,AB_RockyCrags,630.0,-17.2,0.0,LargeHills,0.0,0.0,0,Twilight Crags,69,False,0,0,1
153,HorrorWastes,793.0,-30.1,0.0,SmallHills,0.0,0.0,0,Rimewall,47,False,0,0,0
154,HorrorWastes,890.0,-47.0,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
155,HorrorWastes,810.0,-47.8,0.0,SmallHills,0.0,1.0,0,Deadstone,25,False,0,0,0
156,HorrorWastes,495.0,-31.2,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
157,PoisonForest,888.0,-20.0,0.0,SmallHills,0.349019617,0.0,0,Twilight Crags,69,False,0,0,0
158,AB_RockyCrags,47.0,-1.1,0.0,SmallHills,0.0,0.0,0,Rimewall,47,False,0,0,0
159,Desert,16.0,5.6,0.0,SmallHills,0.0,0.0,0,Knuckles,76,False,0,0,0
160,AB_MycoticJungle,475.0,-6.5,0.0,SmallHills,0.2784314,0.0,0,Mould Marches,77,False,0,0,0
161,AB_RockyCrags,1043.0,-25.9,0.0,LargeHills,0.0,0.0,0,Rimewall,47,False,0,0,1
162,AB_MycoticJungle,406.0,-20.4,0.0,SmallHills,0.349019617,0.0,0,Frostcaps,32,False,0,0,0
163,AB_MycoticJungle,831.0,-31.2,0.0,SmallHills,0.4117647,0.0,0,Frostcaps,32,False,0,0,0
164,ZBiome_Badlands,12.0,25.0,0.0,SmallHills,0.0,0.0,0,Cracklands,33,False,0,0,0
165,Desert,401.0,33.9,0.0,SmallHills,0.0,0.0,0,Combs,49,False,1,0,0
166,PoisonForest,1.0,17.8,0.0,Flat,0.34117648,0.0,0,Slough,48,False,0,0,0
167,Desert,87.0,23.4,0.0,SmallHills,0.0,0.0,0,Sunward Scrub,53,False,0,0,0
168,Desert,1.0,39.4,0.0,Flat,0.0,0.0,0,Glare,38,False,0,0,0
169,ZBiome_Badlands,12.0,35.8,0.0,SmallHills,0.0,0.0,0,Cracklands,33,False,0,0,0
170,ExtremeDesert,10.0,32.0,0.0,Flat,0.0,0.0,0,Combs,49,False,0,0,3
171,AB_MiasmicMangrove,1.0,30.9,0.0,Flat,0.9019608,0.0,0,Salt Gate,78,False,0,0,1
172,Desert,391.0,37.6,0.0,LargeHills,0.0,0.0,0,Glare,38,False,0,0,0
173,ExtremeDesert,182.0,48.9,0.0,LargeHills,0.0,0.0,0,Glare,38,False,0,0,0
174,ZBiome_Badlands,65.0,40.8,0.0,LargeHills,0.4509804,0.0,0,Dew Horn,66,False,0,0,0
175,COMIGO_GreaterSwamp_Tropical,17.0,50.2,0.0,Flat,0.8509804,0.0,0,Fever Wood,79,False,0,0,4
176,SeaIce,-350.0,-0.4,0.0,Flat,0.0,0.0,0,Twilight Sea,35,True,0,0,0
177,Desert,1.0,14.0,0.0,Flat,0.0,0.0,0,Twilight Sea,35,False,0,0,1
178,Ocean,-350.0,23.6,0.0,Flat,0.0,0.0,0,Twilight Sea,35,True,0,0,0
179,Ocean,-350.0,23.3,0.0,Flat,0.0,0.827054262,3,Twilight Sea,35,True,0,0,0
180,SeaIce,-350.0,0.0,0.0,Flat,0.0,0.0,24,Twilight Sea,35,True,0,0,0
181,Ocean,-350.0,14.0,0.0,Flat,0.0,0.0,0,Twilight Sea,35,True,0,0,0
182,AB_RockyCrags,1503.0,-23.3,4.0,Mountainous,0.0,0.0,0,Gray Crags,52,False,0,0,4
183,AB_RockyCrags,597.0,-19.3,0.0,SmallHills,0.0,0.0,0,Gray Crags,52,False,0,0,0
184,HorrorWastes,1212.0,-33.0,0.0,SmallHills,0.0,0.0,0,Rimewall,47,False,0,0,0
185,HorrorWastes,1423.0,-47.9,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
186,HorrorWastes,702.0,-34.3,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
187,HorrorWastes,1078.0,-49.3,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
188,BMT_CrystalCaverns,940.0,-70.2,0.0,SmallHills,0.0,0.0,0,Umbra,37,False,0,0,0
189,AB_RockyCrags,980.0,-59.2,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
190,AB_PropaneLakes,740.0,-71.8,0.0,LargeHills,0.0,0.0,0,Umbra,37,False,0,0,1
191,AB_RockyCrags,790.0,-77.2,0.0,LargeHills,0.0,0.0,87,Umbra,37,False,0,0,0
192,BMT_CrystalCaverns,1065.0,-62.7,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
193,HorrorWastes,625.0,-54.6,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
194,AB_MycoticJungle,866.0,8.4,0.0,Flat,0.4392157,0.0,21,Stepwood,80,False,0,0,0
195,Desert,683.0,19.7,0.0,SmallHills,0.0,0.0,0,Long Sand,41,False,0,0,0
196,Desert,236.0,13.7,0.0,SmallHills,0.0,0.0,0,Dew Belt,30,False,0,0,0
197,Desert,657.0,20.6,0.0,SmallHills,0.0,0.0,0,Dew Belt,30,False,0,0,0
198,AB_RockyCrags,496.0,-3.5,0.0,SmallHills,0.0,0.0,0,Nightspill,31,False,0,0,0
199,AB_RockyCrags,913.0,-6.6,0.0,LargeHills,0.0,0.0,0,Twilight Crags,69,False,0,0,1
200,ExtremeDesert,584.0,58.5,0.0,Flat,0.0,0.0,0,Anvil,81,False,0,0,0
201,ExtremeDesert,600.0,64.4,0.0,Flat,0.0,0.45,0,Anvil,81,False,0,0,1
202,Lake,-350.0,50.1,0.0,Flat,0.0,0.0,0,Scald,68,True,0,0,0
203,AB_FeraliskInfestedJungle,611.0,59.4,294.0,Flat,0.5411765,0.0,0,Anvil,81,False,0,0,0
204,Lake,-350.0,47.3,0.0,Flat,0.0,0.0,0,Scald,68,True,0,0,0
205,Lake,-350.0,50.1,0.0,Flat,0.0,0.978255868,0,Scald,68,True,0,0,0
206,ExtremeDesert,285.0,38.1,0.0,SmallHills,0.0,0.892423868,0,Glare,38,False,0,0,0
207,Desert,764.0,29.1,0.0,SmallHills,0.0,0.0,0,Dry Marches,51,False,0,0,0
208,ExtremeDesert,1.0,47.5,0.0,Flat,0.0,0.0,0,Glare,38,False,0,0,1
209,ExtremeDesert,391.0,47.9,0.0,LargeHills,0.0,0.0,0,Glare,38,False,0,0,0
210,ExtremeDesert,503.0,39.7,0.0,SmallHills,0.0,0.0,0,Glare,38,False,0,0,0
211,ExtremeDesert,915.0,29.8,0.0,SmallHills,0.0,0.0,0,Dry Marches,51,False,0,0,0
212,Desert,14.0,-13.2,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,0
213,Wasteland,353.0,-26.9,0.0,LargeHills,0.0,0.0,0,The Verge,40,False,0,0,0
214,PoisonForest,326.0,-43.9,0.0,LargeHills,0.309803933,0.0,0,South Crags,39,False,0,0,0
215,PoisonForest,474.0,-46.4,0.0,SmallHills,0.4117647,0.0,0,Venom Wood,82,False,0,0,0
216,Wasteland,376.0,-30.4,0.0,SmallHills,0.0,0.0,0,Cinderdark,74,False,0,0,0
217,Desert,40.0,-13.2,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,2
218,Desert,765.0,-5.6,0.0,Flat,0.0,0.0,0,Coldshelf,83,False,0,0,0
219,BMT_FungalForest,1155.0,-25.1,0.0,SmallHills,0.298039228,0.0,0,South Crags,39,False,0,0,0
220,Wasteland,583.0,-5.8,0.0,Flat,0.0,0.0,0,Ashen Wastes,57,False,0,0,0
221,Desert,654.0,3.7,0.0,SmallHills,0.0,0.0,0,Sinkground,54,False,0,0,0
222,Wasteland,633.0,-22.5,0.0,SmallHills,0.0,0.0,0,Ashen Wastes,57,False,2,0,0
223,BMT_FungalForest,1007.0,-31.3,0.0,LargeHills,0.270588249,0.0,67,South Crags,39,False,0,0,0
224,Wasteland,219.0,18.3,0.0,Flat,0.0,0.0,0,Blight,72,False,2,0,2
225,Desert,35.0,26.3,0.0,Flat,0.0,0.0,0,Long Sand,41,False,0,0,0
226,Desert,99.0,22.8,0.0,Flat,0.0,0.0,0,Thornbelt,59,False,0,0,0
227,Desert,409.0,33.0,0.0,SmallHills,0.0,0.0,0,Long Sand,41,False,0,0,0
228,Desert,108.0,39.7,0.0,SmallHills,0.0,0.0,0,Kiln,42,False,0,0,0
229,Desert,37.0,37.2,0.0,Flat,0.0,0.0,0,Long Sand,41,False,0,0,2
230,Desert,245.0,31.3,0.0,SmallHills,0.0,0.0,0,Thornbelt,59,False,0,0,0
231,Wasteland,186.0,32.5,0.0,LargeHills,0.0,0.0,0,Cinders,84,False,2,0,0
232,Desert,376.0,38.5,0.0,SmallHills,0.0,0.0,0,Kiln,42,False,0,0,0
233,ExtremeDesert,39.0,49.8,0.0,Flat,0.0,0.0,0,Kiln,42,False,0,0,1
234,ExtremeDesert,795.0,36.9,0.0,LargeHills,0.0,0.0,0,Ashfall Range,28,False,0,0,0
235,ExtremeDesert,61.0,49.5,0.0,LargeHills,0.0,0.850522637,0,Kiln,42,False,0,0,0
236,ZBiome_Badlands,34.0,0.8,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,1
237,AridShrubland,14.0,14.0,0.0,Flat,0.0,0.0,0,Damp,43,False,0,0,0
238,Desert,10.0,23.4,0.0,Flat,0.0,0.0,0,Thornbelt,59,False,0,0,0
239,ZBiome_Badlands,36.0,23.3,0.0,Flat,0.0,0.821454167,0,Grey Sea,46,False,0,0,1
240,Wasteland,1.0,-0.7,0.0,Flat,0.0,0.0,0,Gray Crags,52,False,0,0,0
241,Wasteland,8.0,13.7,0.0,Flat,0.0,0.0,13,Salt,85,False,3,0,2
242,AB_RockyCrags,349.0,-76.5,0.0,SmallHills,0.211764708,0.0,0,Ammonia Flats,26,False,0,0,0
243,AB_PropaneLakes,789.0,-71.9,0.0,SmallHills,0.0,0.0,0,Umbra,37,False,0,0,0
244,AB_RockyCrags,287.0,-57.3,0.0,SmallHills,0.239215687,0.0,0,Ammonia Flats,26,False,0,0,0
245,AB_RockyCrags,360.0,-66.8,0.0,SmallHills,0.239215687,0.0,0,Ammonia Flats,26,False,0,0,0
246,AB_PropaneLakes,580.0,-61.0,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
247,HorrorWastes,489.0,-54.3,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
248,BMT_FungalForest,945.0,-21.6,0.0,SmallHills,0.23137255,0.0,0,Nightspill,31,False,0,0,0
249,AB_MycoticJungle,1536.0,-22.9,0.0,LargeHills,0.321568638,0.0,0,Nightspill,31,False,0,0,0
250,HorrorWastes,1166.0,-31.3,0.0,LargeHills,0.0,0.0,46,Deadstone,25,False,0,0,1
251,HorrorWastes,706.0,-43.6,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
252,AB_MycoticJungle,862.0,-48.3,0.0,Flat,0.309803933,0.0,0,Ashwood,44,False,0,0,0
