tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness
48,-58.5465,130.1254,Wasteland,1,-11.1,0,Flat,0
49,-78.95,90,Wasteland,148,13.2,0,SmallHills,0
50,-58.5465,49.8746,Desert,261,27.4,0,LargeHills,0
51,-40.1893,74.2164,Desert,43,25.3,0,Flat,0
52,-11.0156,180,BMT_CrystalCaverns,882,-77.1,0,LargeHills,0
53,-47.3048,162.1548,HorrorWastes,1005,-39.2,0,LargeHills,0
54,-47.3048,-162.1548,HorrorWastes,826,-37.8,0,LargeHills,0
55,-23.5048,158.4933,BMT_CrystalCaverns,952,-62.5,0,LargeHills,0
56,-23.5048,-158.4933,BMT_CrystalCaverns,460,-58.2,0,SmallHills,0
57,47.3048,-162.1548,BMT_FungalForest,1046,-39.7,0,Flat,0.2392
58,47.3048,162.1548,AB_MycoticJungle,1454,-41.6,0,LargeHills,0.5098
59,23.5048,158.4933,AB_PropaneLakes,62,-55.5,0,LargeHills,0.251
60,23.5048,-158.4933,BMT_CrystalCaverns,1329,-65.1,0,SmallHills,0
61,11.0156,180,AB_RockyCrags,419,-74,0,SmallHills,0
62,-23.5048,-21.5067,AB_FeraliskInfestedJungle,161,55.1,0,Flat,0.3686
63,-47.3048,17.8452,Desert,439,42.1,0,LargeHills,0
64,-23.5048,21.5067,ExtremeDesert,186,57.5,0,Flat,0
65,-47.3048,-17.8452,Desert,324,42.4,0,SmallHills,0
66,-11.0156,0,Scarlands,324,65.8,0,SmallHills,0
67,47.3048,-17.8452,Desert,463,41.7,0,SmallHills,0
68,23.5048,-21.5067,ExtremeDesert,22,57.9,0,Flat,0
69,11.0156,0,AB_MechanoidIntrusion,637,63.6,0,Flat,0
70,47.3048,17.8452,ExtremeDesert,1,43.7,0,Flat,0
71,23.5048,21.5067,ExtremeDesert,111,55.8,0,Flat,0
72,11.9905,41.2835,Desert,316,48.5,0,SmallHills,0
73,-19.6422,64.9429,Desert,101,31.4,0,LargeHills,0
74,0,78.9831,Ocean,-350,22.8,0,Flat,0
75,-11.9905,41.2835,ExtremeDesert,376,46.1,0,SmallHills,0
76,19.6422,64.9429,ExtremeDesert,426,31.6,0,LargeHills,0
77,19.6422,115.0571,ZBiome_Badlands,576,-16.6,0,LargeHills,0
78,-11.9905,138.7165,HorrorWastes,626,-44.7,0,SmallHills,0
79,-19.6422,115.0571,Desert,21,-13.8,0,Flat,0
80,11.9905,138.7165,HorrorWastes,638,-46.8,0,SmallHills,0
81,0,101.0169,AridShrubland,1,0.8,0,Flat,0
82,19.6422,-64.9429,Ocean,-350,32.8,0,Flat,0
83,0,-78.9831,ZBiome_DesertOasis,357,22.8,0,LargeHills,0.251
84,-19.6422,-64.9429,AridShrubland,930,28.3,105,Mountainous,0
85,11.9905,-41.2835,AB_OcularForest,857,42.5,1390,Mountainous,0.5882
86,-11.9905,-41.2835,Lake,-350,41.8,0,Flat,0
87,11.9905,-138.7165,HorrorWastes,582,-44.6,0,SmallHills,0
88,19.6422,-115.0571,AB_RockyCrags,110,-6.9,0,LargeHills,0
89,-11.9905,-138.7165,HorrorWastes,835,-48.1,0,SmallHills,0
90,0,-101.0169,AridShrubland,1,0.8,0,Flat,0
91,-19.6422,-115.0571,AB_MycoticJungle,733,-19.3,0,Flat,0.3882
92,47.0282,-90,Wasteland,1,12.8,0,Flat,0
93,53.3733,-108.1197,Desert,8,0.8,0,Flat,0
94,66.5171,-106.7312,Desert,34,7.3,0,SmallHills,0
95,66.5171,-73.2688,Desert,28,20.1,0,Flat,0
96,53.3733,-71.8803,Wasteland,25,23.3,0,Flat,0
97,66.5171,73.2688,Desert,146,18,0,SmallHills,0
98,53.3733,71.8803,Desert,547,19.5,0,SmallHills,0
99,66.5171,106.7312,BMT_FungalForest,373,4,0,Flat,0.298
100,47.0282,90,AB_MycoticJungle,461,12.4,0,SmallHills,0.3608
101,53.3733,108.1197,AB_MycoticJungle,439,-0.9,0,SmallHills,0.502
102,-53.3733,-108.1197,Desert,1129,-5,0,SmallHills,0
103,-66.5171,-73.2688,Desert,175,18.3,0,Flat,0
104,-53.3733,-71.8803,ExtremeDesert,7,22.2,0,Flat,0
105,-66.5171,-106.7312,Desert,954,1.3,0,Flat,0
106,-47.0282,-90,Desert,292,11.5,0,SmallHills,0
107,-47.0282,90,AB_RockyCrags,810,15,0,Mountainous,0
108,-53.3733,108.1197,Wasteland,1,0.3,0,Flat,0
109,-66.5171,106.7312,Wasteland,110,4.6,0,SmallHills,0
110,-66.5171,73.2688,ZBiome_Badlands,124,17.9,0,Flat,0
111,-53.3733,71.8803,Desert,16,22.8,0,Flat,0
112,-22.4178,172.8755,AB_RockyCrags,1200,-66.3,0,SmallHills,0
113,-42.9599,-180,HorrorWastes,340,-43,0,SmallHills,0
114,-34.5307,-166.9858,HorrorWastes,320,-51.4,0,SmallHills,0
115,-34.5307,166.9858,IceSheet,264,-52.6,0,SmallHills,0
116,-22.4178,-172.8755,BMT_CrystalCaverns,643,-65.2,0,Flat,0
117,42.9599,180,HorrorWastes,1350,-48.9,0,LargeHills,0
118,34.5307,166.9858,AB_PropaneLakes,1161,-55.3,0,Flat,0.3608
119,22.4178,172.8755,AB_RockyCrags,270,-62.4,0,SmallHills,0.3098
120,34.5307,-166.9858,BMT_CrystalCaverns,1413,-58.6,0,SmallHills,0
121,22.4178,-172.8755,BMT_CrystalCaverns,1298,-71.4,0,SmallHills,0
122,-34.5307,-13.0142,ZBiome_Grasslands,120,51.8,0,Flat,0.051
123,-34.5307,13.0142,ExtremeDesert,26,54.3,0,Flat,0
124,-22.4178,7.1245,ExtremeDesert,123,61.4,0,Flat,0
125,-42.9599,0,ExtremeDesert,48,48.1,0,Flat,0
126,-22.4178,-7.1245,AridShrubland,157,59.2,14,Mountainous,0
127,34.5307,-13.0142,ExtremeDesert,116,54.1,0,SmallHills,0
128,22.4178,-7.1245,ExtremeDesert,735,55.9,6,Mountainous,0
129,22.4178,7.1245,ZBiome_Grasslands,285,57.9,0,SmallHills,0.0392
130,42.9599,0,ExtremeDesert,1,48,0,Flat,0
131,34.5307,13.0142,ExtremeDesert,4,53.1,0,Flat,0
132,0,47.0345,Desert,449,44.2,5,Mountainous,0
133,-6.5828,67.4227,AridShrubland,234,29.4,0,LargeHills,0
134,6.5828,67.4227,ZBiome_Badlands,418,29.2,171,Mountainous,0
135,-10.6897,54.7658,Desert,783,35.9,0,LargeHills,0
136,10.6897,54.7658,ExtremeDesert,15,41.2,0,Flat,0
137,6.5828,112.5773,ZBiome_Badlands,964,-17.5,0,LargeHills,0
138,0,132.9655,Wasteland,635,-40.1,0,SmallHills,0
139,-10.6897,125.2342,Wasteland,392,-28.7,0,SmallHills,0
140,10.6897,125.2342,HorrorWastes,433,-30.5,0,SmallHills,0
141,-6.5828,112.5773,Wasteland,418,-16.6,0,LargeHills,0
142,6.5828,-67.4227,ZBiome_DesertOasis,897,28.9,464,Mountainous,0.251
143,-6.5828,-67.4227,ZBiome_Badlands,1387,25.1,193,Mountainous,0
144,-10.6897,-54.7658,ZBiome_DesertOasis,594,38.5,354,Mountainous,0.2
145,10.6897,-54.7658,ZBiome_DesertOasis,89,39.6,0,SmallHills,0.3686
146,0,-47.0346,Lake,-350,38.9,0,Flat,0
147,0,-132.9655,HorrorWastes,453,-40.1,0,LargeHills,0
148,10.6897,-125.2342,AB_MycoticJungle,421,-29,0,Flat,0.4784
149,-10.6897,-125.2342,AB_MycoticJungle,623,-31.1,0,Flat,0.451
150,6.5828,-112.5773,SeaIce,-350,-5.2,0,Flat,0
151,-6.5828,-112.5773,AB_MycoticJungle,697,-14.1,12,Mountainous,0.451
152,45.3793,-123.2789,AB_RockyCrags,630,-17.2,0,LargeHills,0
153,47.8837,-142.7859,HorrorWastes,793,-30.1,0,SmallHills,0
154,35.9504,-151.5701,HorrorWastes,890,-47,0,SmallHills,0
155,23.9221,-144.2532,HorrorWastes,810,-47.8,0,SmallHills,0
156,22.6644,-129.5165,HorrorWastes,495,-31.2,0,SmallHills,0
157,32.2725,-118.663,PoisonForest,888,-20,0,SmallHills,0.349
158,71.7908,-139.73,AB_RockyCrags,47,-1.1,0,SmallHills,0
159,82.929,180,Desert,16,5.6,0,SmallHills,0
160,71.7908,139.73,AB_MycoticJungle,475,-6.5,0,SmallHills,0.2784
161,59.7622,155.6126,AB_RockyCrags,1043,-25.9,0,LargeHills,0
162,59.7622,-155.6126,AB_MycoticJungle,406,-20.4,0,SmallHills,0.349
163,55.6121,180,AB_MycoticJungle,831,-31.2,0,SmallHills,0.4118
164,71.7908,-40.27,ZBiome_Badlands,12,25,0,SmallHills,0
165,59.7622,-24.3874,Desert,401,33.9,0,SmallHills,0
166,82.929,0,PoisonForest,1,17.8,0,Flat,0.3412
167,71.7908,40.27,Desert,87,23.4,0,SmallHills,0
168,55.6121,0,Desert,1,39.4,0,Flat,0
169,59.7622,24.3874,ZBiome_Badlands,12,35.8,0,SmallHills,0
170,45.3793,-56.7211,ExtremeDesert,10,32,0,Flat,0
171,32.2725,-61.337,AB_MiasmicMangrove,1,30.9,0,Flat,0.902
172,47.8837,-37.2141,Desert,391,37.6,0,LargeHills,0
173,35.9504,-28.4298,ExtremeDesert,182,48.9,0,LargeHills,0
174,22.6644,-50.4835,ZBiome_Badlands,65,40.8,0,LargeHills,0.451
175,23.9221,-35.7468,COMIGO_GreaterSwamp_Tropical,17,50.2,0,Flat,0.851
176,27.2871,-103.5267,SeaIce,-350,-0.4,0,Flat,0
177,34.3737,-90,Desert,1,14,0,Flat,0
178,27.2871,-76.4733,Ocean,-350,23.6,0,Flat,0
179,13.7773,-78.0093,Ocean,-350,23.3,0,Flat,0
180,13.7773,-101.9907,SeaIce,-350,0,0,Flat,0
181,7.0166,-90,Ocean,-350,14,0,Flat,0
182,45.3793,123.2789,AB_RockyCrags,1503,-23.3,4,Mountainous,0
183,32.2725,118.663,AB_RockyCrags,597,-19.3,0,SmallHills,0
184,47.8837,142.7859,HorrorWastes,1212,-33,0,SmallHills,0
185,35.9504,151.5702,HorrorWastes,1423,-47.9,0,SmallHills,0
186,22.6644,129.5165,HorrorWastes,702,-34.3,0,SmallHills,0
187,23.9221,144.2532,HorrorWastes,1078,-49.3,0,SmallHills,0
188,-11.6394,-165.9258,BMT_CrystalCaverns,940,-70.2,0,SmallHills,0
189,-11.9958,-152.0475,AB_RockyCrags,980,-59.2,0,SmallHills,0
190,11.6394,-165.9258,AB_PropaneLakes,740,-71.8,0,LargeHills,0
191,0,-172.9826,AB_RockyCrags,790,-77.2,0,LargeHills,0
192,11.9958,-152.0475,BMT_CrystalCaverns,1065,-62.7,0,SmallHills,0
193,0,-145.6218,HorrorWastes,625,-54.6,0,SmallHills,0
194,-34.3737,-90,AB_MycoticJungle,866,8.4,0,Flat,0.4392
195,-27.2871,-76.4733,Desert,683,19.7,0,SmallHills,0
196,-7.0166,-90,Desert,236,13.7,0,SmallHills,0
197,-13.7773,-78.0093,Desert,657,20.6,0,SmallHills,0
198,-13.7773,-101.9907,AB_RockyCrags,496,-3.5,0,SmallHills,0
199,-27.2871,-103.5267,AB_RockyCrags,913,-6.6,0,LargeHills,0
200,-11.6394,-14.0742,ExtremeDesert,584,58.5,0,Flat,0
201,0,-7.0174,ExtremeDesert,600,64.4,0,Flat,0
202,11.9958,-27.9525,Lake,-350,50.1,0,Flat,0
203,11.6394,-14.0742,AB_FeraliskInfestedJungle,611,59.4,294,Flat,0.5412
204,0,-34.3782,Lake,-350,47.3,0,Flat,0
205,-11.9958,-27.9525,Lake,-350,50.1,0,Flat,0
206,47.8837,37.2141,ExtremeDesert,285,38.1,0,SmallHills,0
207,45.3793,56.7211,Desert,764,29.1,0,SmallHills,0
208,35.9504,28.4299,ExtremeDesert,1,47.5,0,Flat,0
209,23.9221,35.7468,ExtremeDesert,391,47.9,0,LargeHills,0
210,22.6644,50.4835,ExtremeDesert,503,39.7,0,SmallHills,0
211,32.2725,61.337,ExtremeDesert,915,29.8,0,SmallHills,0
212,-45.3793,123.2789,Desert,14,-13.2,0,Flat,0
213,-47.8837,142.7859,Wasteland,353,-26.9,0,LargeHills,0
214,-35.9504,151.5701,PoisonForest,326,-43.9,0,LargeHills,0.3098
215,-23.9221,144.2532,PoisonForest,474,-46.4,0,SmallHills,0.4118
216,-22.6644,129.5165,Wasteland,376,-30.4,0,SmallHills,0
217,-32.2725,118.663,Desert,40,-13.2,0,Flat,0
218,-71.7908,-139.73,Desert,765,-5.6,0,Flat,0
219,-59.7622,-155.6126,BMT_FungalForest,1155,-25.1,0,SmallHills,0.298
220,-71.7908,139.73,Wasteland,583,-5.8,0,Flat,0
221,-82.929,-180,Desert,654,3.7,0,SmallHills,0
222,-59.7622,155.6126,Wasteland,633,-22.5,0,SmallHills,0
223,-55.6121,-180,BMT_FungalForest,1007,-31.3,0,LargeHills,0.2706
224,-82.929,0,Wasteland,219,18.3,0,Flat,0
225,-71.7908,-40.27,Desert,35,26.3,0,Flat,0
226,-71.7908,40.27,Desert,99,22.8,0,Flat,0
227,-59.7622,24.3874,Desert,409,33,0,SmallHills,0
228,-55.6121,0,Desert,108,39.7,0,SmallHills,0
229,-59.7622,-24.3874,Desert,37,37.2,0,Flat,0
230,-45.3793,56.7211,Desert,245,31.3,0,SmallHills,0
231,-32.2725,61.337,Wasteland,186,32.5,0,LargeHills,0
232,-47.8837,37.2141,Desert,376,38.5,0,SmallHills,0
233,-35.9504,28.4298,ExtremeDesert,39,49.8,0,Flat,0
234,-22.6644,50.4835,ExtremeDesert,795,36.9,0,LargeHills,0
235,-23.9221,35.7468,ExtremeDesert,61,49.5,0,LargeHills,0
236,-27.2871,103.5267,ZBiome_Badlands,34,0.8,0,Flat,0
237,-34.3737,90,AridShrubland,14,14,0,Flat,0
238,-27.2871,76.4733,Desert,10,23.4,0,Flat,0
239,-13.7773,78.0093,ZBiome_Badlands,36,23.3,0,Flat,0
240,-13.7773,101.9907,Wasteland,1,-0.7,0,Flat,0
241,-7.0166,90,Wasteland,8,13.7,0,Flat,0
242,0,172.9826,AB_RockyCrags,349,-76.5,0,SmallHills,0.2118
243,-11.6394,165.9258,AB_PropaneLakes,789,-71.9,0,SmallHills,0
244,11.9958,152.0475,AB_RockyCrags,287,-57.3,0,SmallHills,0.2392
245,11.6394,165.9258,AB_RockyCrags,360,-66.8,0,SmallHills,0.2392
246,-11.9958,152.0475,AB_PropaneLakes,580,-61,0,SmallHills,0
247,0,145.6218,HorrorWastes,489,-54.3,0,SmallHills,0
248,-32.2725,-118.663,BMT_FungalForest,945,-21.6,0,SmallHills,0.2314
249,-45.3793,-123.2789,AB_MycoticJungle,1536,-22.9,0,LargeHills,0.3216
250,-47.8837,-142.7859,HorrorWastes,1166,-31.3,0,LargeHills,0
251,-35.9504,-151.5702,HorrorWastes,706,-43.6,0,SmallHills,0
252,-23.9221,-144.2532,AB_MycoticJungle,862,-48.3,0,Flat,0.3098
253,-22.6644,-129.5165,AB_MycoticJungle,1086,-35.6,0,SmallHills,0.4392
254,-47.8837,-37.2141,ExtremeDesert,69,40.7,0,Flat,0
255,-45.3793,-56.7211,ExtremeDesert,44,33.9,0,Flat,0
256,-23.9221,-35.7468,BiomeCypreJungle,267,48.4,0,LargeHills,0.3686
257,-35.9504,-28.4299,Desert,260,46.4,0,SmallHills,0
258,-32.2725,-61.337,ExtremeDesert,422,32.1,0,LargeHills,0
259,-22.6644,-50.4835,ZBiome_Badlands,1202,36.7,417,Mountainous,0.051
260,-11.9958,27.9525,ExtremeDesert,370,54.9,0,Flat,0
261,-11.6394,14.0742,ExtremeDesert,585,63.1,0,Flat,0
262,0,7.0174,AB_MechanoidIntrusion,618,63.7,0,Flat,0
263,11.6394,14.0742,ExtremeDesert,611,58.2,0,Flat,0
264,11.9958,27.9525,ExtremeDesert,33,56.2,0,SmallHills,0
265,0,34.3782,ExtremeDesert,714,49.6,4,Mountainous,0
266,27.2871,76.4733,Desert,184,23.8,0,SmallHills,0
267,34.3737,90,Desert,74,13.7,0,LargeHills,0
268,7.0166,90,Ocean,-350,14,0,Flat,0
269,13.7773,78.0093,ZBiome_Badlands,26,23.5,0,SmallHills,0
270,27.2871,103.5267,SeaIce,-350,-0.4,0,Flat,0
271,13.7773,101.9907,SeaIce,-350,0,0,Flat,0
272,53.2118,-84.0441,Wasteland,8,16.6,0,Flat,0
273,53.2118,-95.9559,Desert,4,9.2,0,Flat,0
274,59.6526,-101.4798,Desert,22,7.6,0,SmallHills,0
275,64.3391,-90,Desert,27,14.7,0,Flat,0
276,59.6526,-78.5202,Desert,25,19.4,0,Flat,0
277,59.6526,78.5202,AB_MycoticJungle,323,17.1,0,Flat,0.349
278,53.2118,84.0441,AB_MycoticJungle,529,14.1,0,Flat,0.349
279,64.3391,90,BMT_FungalForest,340,12.4,0,Flat,0.2196
280,53.2118,95.9559,AB_MycoticJungle,476,7.8,0,Flat,0.4118
281,59.6526,101.4798,BMT_FungalForest,365,5,0,Flat,0.2706
282,-59.6526,-101.4798,Desert,948,1.6,0,SmallHills,0
283,-59.6526,-78.5202,Desert,143,17.9,0,SmallHills,0
284,-53.2118,-84.0441,Desert,154,15.3,0,Flat,0
285,-64.3391,-90,Desert,522,10.8,0,SmallHills,0
286,-53.2118,-95.9559,Desert,584,6.3,0,SmallHills,0
287,-53.2118,84.0441,ZBiome_Badlands,72,17.3,0,Flat,0
288,-53.2118,95.9559,ZBiome_Badlands,16,9.9,0,Flat,0
289,-59.6526,101.4798,AridShrubland,1,6.2,0,Flat,0
290,-64.3391,90,AB_RockyCrags,493,13.1,0,Mountainous,0
291,-59.6526,78.5202,ZBiome_Badlands,132,18,0,Flat,0
292,-29.6668,173.3562,AB_PropaneLakes,351,-59.4,0,SmallHills,0
293,-36.5464,-175.5644,HorrorWastes,160,-49.9,0,LargeHills,0
294,-29.6668,-173.3562,BMT_CrystalCaverns,286,-58.6,0,SmallHills,0
295,-36.5464,175.5644,HorrorWastes,305,-51.1,0,SmallHills,0
296,-25.6474,-180,AB_RockyCrags,1116,-63.3,0,LargeHills,0
297,36.5464,175.5644,AB_RockyCrags,1897,-55.3,0,Mountainous,0.4
298,29.6668,173.3562,AB_PropaneLakes,1145,-63.2,0,SmallHills,0.3608
299,25.6474,180,AB_RockyCrags,1900,-66.8,4,Mountainous,0.3804
300,36.5464,-175.5644,BMT_CrystalCaverns,1319,-56.6,0,LargeHills,0
301,29.6668,-173.3562,BMT_CrystalCaverns,1494,-66.4,0,SmallHills,0
302,-36.5464,-4.4356,ExtremeDesert,1,52.3,0,Flat,0
303,-29.6668,6.6438,ExtremeDesert,23,58.3,0,Flat,0
304,-25.6474,0,ExtremeDesert,18,60,0,Flat,0
305,-36.5464,4.4356,ExtremeDesert,69,52.6,0,SmallHills,0
306,-29.6668,-6.6438,ExtremeDesert,1,57,0,Flat,0
307,29.6668,-6.6438,Desert,65,57.3,0,SmallHills,0
308,25.6474,0,AB_MiasmicMangrove,133,58.1,0,SmallHills,0.6196
309,29.6668,6.6438,ExtremeDesert,62,56.8,0,SmallHills,0
310,36.5464,-4.4356,ExtremeDesert,5,53,0,Flat,0
311,36.5464,4.4356,ExtremeDesert,1,52.6,0,Flat,0
312,-3.5617,53.3675,ExtremeDesert,491,39.4,0,SmallHills,0
313,0,64.3501,AridShrubland,1923,23.6,395,Mountainous,0
314,5.769,60.1639,ExtremeDesert,568,34.3,0,LargeHills,0
315,-5.769,60.1639,Desert,942,32.1,4,Mountainous,0
316,3.5617,53.3675,ExtremeDesert,541,39.7,0,SmallHills,0
317,0,115.6499,Wasteland,260,-18.8,0,Flat,0
318,3.5617,126.6326,Wasteland,415,-31.8,0,Flat,0
319,-3.5617,126.6326,Wasteland,601,-32.5,0,SmallHills,0
320,5.769,119.8362,Wasteland,494,-24.3,0,SmallHills,0
321,-5.769,119.8362,Wasteland,309,-23.4,0,SmallHills,0
322,0,-64.3501,ZBiome_Badlands,1228,28.4,22,Mountainous,0
323,-5.769,-60.1639,ZBiome_Badlands,1062,31.9,26,Mountainous,0
324,-3.5617,-53.3675,AB_FeraliskInfestedJungle,788,37,1390,Mountainous,0.5294
325,5.769,-60.1639,ZBiome_Badlands,431,35.5,0,LargeHills,0.051
326,3.5617,-53.3675,AB_FeraliskInfestedJungle,322,39.4,0,Flat,0.3804
327,-3.5617,-126.6326,AB_MycoticJungle,575,-33.3,0,SmallHills,0.502
328,3.5617,-126.6326,AB_MycoticJungle,175,-30.5,0,SmallHills,0.5098
329,-5.769,-119.8362,BMT_FungalForest,591,-22.5,0,Flat,0.2784
330,5.769,-119.8362,AB_MycoticJungle,226,-15,0,LargeHills,0.5608
331,0,-115.6499,SeaIce,-350,-8.2,0,Flat,0
332,43.1105,-133.6302,AB_RockyCrags,567,-25.9,0,SmallHills,0
333,39.8997,-143.1129,HorrorWastes,843,-37.7,0,SmallHills,0
334,31.89,-143.6128,HorrorWastes,780,-42.8,0,SmallHills,0
335,27.4125,-136.2769,HorrorWastes,762,-37.9,0,SmallHills,0
336,30.2395,-127.7049,AB_RockyCrags,638,-27.6,0,SmallHills,0
337,37.8411,-125.6687,PoisonForest,1019,-24.7,0,LargeHills,0.3294
338,75.4542,-164.2857,AB_RockyCrags,114,-3,0,LargeHills,0
339,75.4542,164.2857,AB_RockyCrags,331,-5.5,0,LargeHills,0
340,67.627,158.7523,AB_RockyCrags,567,-14.9,0,SmallHills,0
341,61.9775,171.4349,AB_MycoticJungle,653,-22.8,0,SmallHills,0.4314
342,67.627,-158.7523,AB_MycoticJungle,251,-11.4,0,SmallHills,0.298
343,61.9775,-171.4349,AB_MycoticJungle,404,-21.1,0,LargeHills,0.4
344,67.627,-21.2477,Desert,161,29.7,0,SmallHills,0
345,61.9775,-8.5651,Desert,112,35,0,Flat,0
346,75.4542,-15.7143,ZBiome_Badlands,45,23.3,0,SmallHills,0
347,75.4542,15.7143,Desert,109,22.8,0,SmallHills,0
348,61.9775,8.5651,ZBiome_Badlands,78,34.9,0,SmallHills,0
349,67.627,21.2477,ZBiome_Badlands,74,29.2,0,SmallHills,0
350,37.8411,-54.3313,ZBiome_Grasslands,1,35.3,0,Flat,0.051
351,30.2395,-52.2951,ZBiome_Badlands,272,36.8,69,Mountainous,0.4784
352,43.1105,-46.3698,Desert,16,38.3,0,Flat,0
353,39.8997,-36.8871,Desert,110,43.6,0,SmallHills,0
354,27.4125,-43.7231,AB_MiasmicMangrove,12,44.5,0,Flat,0.949
355,31.89,-36.3872,ExtremeDesert,31,47.8,0,Flat,0
356,20.7612,-98.4775,Ocean,-350,4.5,0,Flat,0
357,27.667,-94.5296,AridShrubland,1,9.2,0,Flat,0
358,27.667,-85.4704,Ocean,-350,17.2,0,Flat,0
359,20.7612,-81.5225,Ocean,-350,20.3,0,Flat,0.149
360,13.9643,-94.0124,Ocean,-350,9.3,0,Flat,0.149
361,13.9643,-85.9876,Wasteland,30,17.1,0,Flat,0
362,37.8411,125.6687,AB_MycoticJungle,1066,-26.1,0,SmallHills,0.4196
363,30.2395,127.7049,HorrorWastes,843,-31,0,LargeHills,0
364,43.1105,133.6302,AB_MycoticJungle,1066,-30,0,SmallHills,0.349
365,39.8997,143.1129,AB_MycoticJungle,1342,-39.6,0,SmallHills,0.298
366,27.4125,136.2769,HorrorWastes,1068,-41.3,0,SmallHills,0
367,31.89,143.6128,HorrorWastes,1316,-45.8,0,SmallHills,0
368,-7.9223,-159.0268,AB_PropaneLakes,744,-66.1,0,SmallHills,0
369,-4.0102,-152.2557,AB_RockyCrags,1168,-61.4,0,LargeHills,0
370,3.8932,-166.001,AB_RockyCrags,1115,-72,4,LargeHills,0
371,-3.8932,-166.0011,AB_RockyCrags,1398,-72,0,Mountainous,0
372,7.9223,-159.0268,BMT_CrystalCaverns,979,-68.9,0,SmallHills,0
373,4.0102,-152.2557,BMT_CrystalCaverns,885,-63.1,0,LargeHills,0
374,-27.667,-85.4704,AB_MycoticJungle,691,13.3,0,Flat,0.4118
375,-20.7612,-81.5225,Desert,596,16.9,0,Flat,0
376,-13.9643,-94.0124,Desert,658,5.2,0,Flat,0
377,-13.9643,-85.9876,Desert,434,15.1,0,Flat,0
378,-20.7612,-98.4775,Desert,746,0.1,0,SmallHills,0
379,-27.667,-94.5296,Desert,932,3.6,0,SmallHills,0
380,-3.8932,-13.999,ExtremeDesert,595,61.7,367,Flat,0
