tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution,tempMin,tempMax,seasonalShift,riverDist,feature,featureId,waterCovered,roadCount,riverCount,mutatorCount
23,-69.0771,180,Desert,863,-14.8,0,SmallHills,0,0,-41.0359,11.4413,-26.2416,0,The Verge,40,0,0,0,0
24,-69.0771,0,Desert,23,31.3,0,Flat,0,0,5.0641,57.5413,-26.2416,0,Long Sand,41,0,0,0,2
25,-35.2596,45,Desert,399,40,10,Mountainous,0,0,23.2762,56.7273,-16.7275,0,Kiln,42,0,0,0,2
26,-20.9026,90,AridShrubland,1,12.9,0,Flat,0,0,2.0549,23.7473,-10.8475,19,Damp,43,0,0,0,0
27,0,159.0948,AB_PropaneLakes,340,-67.2,0,LargeHills,0.2706,0,-70.1993,-64.2,-3,0,Ammonia Flats,26,0,0,0,0
28,-35.2596,-135,AB_MycoticJungle,1122,-34.7,0,LargeHills,0.3804,0,-51.4239,-17.9727,-16.7275,0,Ashwood,44,0,0,0,0
29,-35.2596,-45,ExtremeDesert,432,40.6,0,Flat,0,0,23.8762,57.3273,-16.7275,0,Kiln,42,0,0,0,1
30,0,20.9052,Scarlands,375,58.1,0,SmallHills,0,0.3,55.1,61.0993,3,0,Scorch,45,0,0,0,0
31,20.9026,90,Desert,1,14,0,Flat,0,0,3.1527,24.8451,10.8475,0,Grey Sea,46,0,0,0,1
32,40.1893,-105.7836,AB_TarPits,1,-1.7,0,Flat,0,0,-20.2415,16.8377,18.5417,0,Nightspill,31,0,0,0,0
33,58.5465,-130.1254,AB_RockyCrags,28,-8.7,0,SmallHills,0,0,-32.7814,15.3764,24.0817,0,Rimewall,47,0,0,0,0
34,78.95,-90,PoisonForest,13,13.9,0,Flat,0.3882,0,-13.6052,41.3996,27.5056,0,Slough,48,0,0,0,0
35,58.5465,-49.8746,Desert,38,31.2,0,Flat,0,0,7.1186,55.2764,24.0817,0,Combs,49,0,0,0,2
36,40.1893,-74.2164,Wasteland,1,22.5,0,Flat,0,0,3.9585,41.0377,18.5417,0,Glass Reach,50,0,2,0,1
37,78.95,90,AB_GelatinousSuperorganism,117,12.8,0,Flat,0,0,-14.7052,40.2996,27.5056,0,Slough,48,0,0,0,2
38,58.5465,49.8746,Desert,335,27.6,0,Flat,0,0,3.5186,51.6764,24.0817,0,Dry Marches,51,0,0,0,0
39,58.5465,130.1254,AB_MycoticJungle,536,-14.4,0,LargeHills,0.3608,0,-38.4814,9.6764,24.0817,0,Gray Crags,52,0,0,0,0
40,40.1893,74.2164,Desert,702,20.3,0,SmallHills,0,0,1.7585,38.8377,18.5417,0,Sunward Scrub,53,0,0,0,0
41,40.1893,105.7836,AB_RockyCrags,305,-0.4,0,LargeHills,0,0,-18.9415,18.1377,18.5417,0,Sunreach,29,0,0,0,1
42,-40.1893,-105.7836,AB_MycoticJungle,1016,-6.6,0,Flat,0.4196,0,-25.1377,11.9415,-18.5417,0,Nightspill,31,0,0,0,0
43,-78.95,-90,Desert,180,13.6,0,SmallHills,0,0,-13.8996,41.1052,-27.5056,0,Sinkground,54,0,0,0,0
44,-58.5465,-49.8746,Desert,45,31.6,0,Flat,0,0,7.5236,55.6814,-24.0817,0,Long Sand,41,0,0,0,2
45,-58.5465,-130.1254,AB_RockyCrags,1431,-17.2,0,SmallHills,0,0,-41.2764,6.8814,-24.0817,0,Coldstone,55,0,0,0,0
46,-40.1893,-74.2164,BMT_FungalForest,385,20.9,0,SmallHills,0.298,0,17.1925,24.6083,-3.7083,10,Sweatwood,56,0,0,0,0
47,-40.1893,105.7836,Desert,31,0.6,0,Flat,0,0,-17.9377,19.1415,-18.5417,0,Sunreach,29,0,0,0,0
48,-58.5465,130.1254,Wasteland,1,-11.1,0,Flat,0,0,-35.1764,12.9814,-24.0817,0,Ashen Wastes,57,0,0,0,0
49,-78.95,90,Wasteland,148,13.2,0,SmallHills,0,0,-14.2996,40.7052,-27.5056,0,Scour,58,0,0,0,0
50,-58.5465,49.8746,Desert,261,27.4,0,LargeHills,0,0,3.3236,51.4814,-24.0817,0,Thornbelt,59,0,0,0,0
51,-40.1893,74.2164,Desert,43,25.3,0,Flat,0,0,6.7623,43.8415,-18.5417,0,Thornbelt,59,0,0,0,2
52,-11.0156,180,BMT_CrystalCaverns,882,-77.1,0,LargeHills,0,0,-78.3855,-75.8143,-1.2857,0,Umbra,37,0,0,0,1
53,-47.3048,162.1548,HorrorWastes,1005,-39.2,0,LargeHills,0,0,-60.128,-18.2677,-20.9326,0,South Crags,39,0,0,0,1
54,-47.3048,-162.1548,HorrorWastes,826,-37.8,0,LargeHills,0,0,-58.728,-16.8677,-20.9326,0,Deadstone,25,0,0,0,1
55,-23.5048,158.4933,BMT_CrystalCaverns,952,-62.5,0,LargeHills,0,0,-64.8932,-60.1063,-2.3937,0,Deadstone,25,0,0,0,1
56,-23.5048,-158.4933,BMT_CrystalCaverns,460,-58.2,0,SmallHills,0,0,-60.5932,-55.8063,-2.3937,0,Lantern Deeps,60,0,0,0,0
57,47.3048,-162.1548,BMT_FungalForest,1046,-39.7,0,Flat,0.2392,0,-43.8865,-35.5144,4.1865,0,Stillwood,61,0,0,0,0
58,47.3048,162.1548,AB_MycoticJungle,1454,-41.6,0,LargeHills,0.5098,0,-62.5323,-20.672,20.9326,0,Stillwood,61,0,0,0,0
59,23.5048,158.4933,AB_PropaneLakes,62,-55.5,0,LargeHills,0.251,0.8357,-67.4685,-43.5339,11.9687,0,Ammonia Flats,26,0,0,0,0
60,23.5048,-158.4933,BMT_CrystalCaverns,1329,-65.1,0,SmallHills,0,0,-67.4937,-62.7068,2.3937,0,Deadstone,25,0,0,0,0
61,11.0156,180,AB_RockyCrags,419,-74,0,SmallHills,0,0,-80.4286,-67.5727,6.4287,0,Ammonia Flats,26,0,0,0,0
62,-23.5048,-21.5067,AB_FeraliskInfestedJungle,161,55.1,0,Flat,0.3686,0,43.1339,67.0685,-11.9687,0,Dune Sea,27,0,0,0,0
63,-47.3048,17.8452,Desert,439,42.1,0,LargeHills,0,0,21.172,63.0323,-20.9326,0,Kiln,42,0,0,0,0
64,-23.5048,21.5067,ExtremeDesert,186,57.5,0,Flat,0,0,45.5339,69.4685,-11.9687,0,Dune Sea,27,0,0,0,1
65,-47.3048,-17.8452,Desert,324,42.4,0,SmallHills,0,0,21.472,63.3323,-20.9326,0,Kiln,42,0,0,0,0
66,-11.0156,0,Scarlands,324,65.8,0,SmallHills,0,0.3,59.3727,72.2286,-6.4287,0,Scorch,45,0,0,0,0
67,47.3048,-17.8452,Desert,463,41.7,0,SmallHills,0,0.8918,20.7677,62.628,20.9326,0,Glare,38,0,0,0,0
68,23.5048,-21.5067,ExtremeDesert,22,57.9,0,Flat,0,0,45.9315,69.8661,11.9687,0,Dune Sea,27,0,0,0,0
69,11.0156,0,AB_MechanoidIntrusion,637,63.6,0,Flat,0,0.95,57.1714,70.0273,6.4287,0,Rust Cathedral,62,0,0,0,0
70,47.3048,17.8452,ExtremeDesert,1,43.7,0,Flat,0,0,22.7677,64.628,20.9326,0,Glare,38,0,0,0,3
71,23.5048,21.5067,ExtremeDesert,111,55.8,0,Flat,0,0,43.8315,67.7661,11.9687,0,Dune Sea,27,0,0,0,1
72,11.9905,41.2835,Desert,316,48.5,0,SmallHills,0,0,41.6268,55.3718,6.8733,0,Fall Line Barrens,63,0,0,0,0
73,-19.6422,64.9429,Desert,101,31.4,0,LargeHills,0,0,21.105,41.6971,-10.2972,0,Notch,64,0,0,0,0
74,0,78.9831,Ocean,-350,22.8,0,Flat,0,0,19.8007,25.8,-3,0,Grey Sea,46,1,0,0,0
75,-11.9905,41.2835,ExtremeDesert,376,46.1,0,SmallHills,0,0,39.2282,52.9732,-6.8733,0,Fall Line Barrens,63,0,0,0,0
76,19.6422,64.9429,ExtremeDesert,426,31.6,0,LargeHills,0,0,21.3029,41.895,10.2972,0,Ashfall Range,28,0,0,0,0
77,19.6422,115.0571,ZBiome_Badlands,576,-16.6,0,LargeHills,0,0,-26.8971,-6.305,10.2972,0,Gray Crags,52,0,0,0,0
78,-11.9905,138.7165,HorrorWastes,626,-44.7,0,SmallHills,0,0,-51.5718,-37.8268,-6.8733,54,Thornend,65,0,0,0,0
79,-19.6422,115.0571,Desert,21,-13.8,0,Flat,0,0,-24.095,-3.5029,-10.2972,0,Sunreach,29,0,0,0,0
80,11.9905,138.7165,HorrorWastes,638,-46.8,0,SmallHills,0,0,-53.6732,-39.9282,6.8733,0,Deadstone,25,0,0,0,0
81,0,101.0169,AridShrubland,1,0.8,0,Flat,0,0,-2.2,3.7993,3,23,Grey Sea,46,0,0,0,0
82,19.6422,-64.9429,Ocean,-350,32.8,0,Flat,0,0,22.5029,43.095,10.2972,0,Twilight Sea,35,1,0,0,0
83,0,-78.9831,ZBiome_DesertOasis,357,22.8,0,LargeHills,0.251,0,19.8,25.7993,3,0,Dew Belt,30,0,0,0,1
84,-19.6422,-64.9429,AridShrubland,930,28.3,105,Mountainous,0,0,18.005,38.5971,-10.2972,0,Dew Horn,66,0,0,0,1
85,11.9905,-41.2835,AB_OcularForest,857,42.5,1390,Mountainous,0.5882,0,35.6268,49.3718,6.8733,10,Scald Spine,67,0,2,2,2
86,-11.9905,-41.2835,Lake,-350,41.8,0,Flat,0,0,34.9282,48.6732,-6.8733,0,Scald,68,1,0,0,0
87,11.9905,-138.7165,HorrorWastes,582,-44.6,0,SmallHills,0,0.8082,-51.4732,-37.7282,6.8733,0,Deadstone,25,0,0,0,0
88,19.6422,-115.0571,AB_RockyCrags,110,-6.9,0,LargeHills,0,0,-17.1971,3.395,10.2972,0,Twilight Crags,69,0,0,0,1
89,-11.9905,-138.7165,HorrorWastes,835,-48.1,0,SmallHills,0,0,-54.9718,-41.2268,-6.8733,0,Deadstone,25,0,0,0,0
90,0,-101.0169,AridShrubland,1,0.8,0,Flat,0,0,-2.2,3.7993,3,0,Twilight Sea,35,0,0,0,0
91,-19.6422,-115.0571,AB_MycoticJungle,733,-19.3,0,Flat,0.3882,1,-29.595,-9.0029,-10.2972,0,Nightspill,31,0,0,0,0
92,47.0282,-90,Wasteland,1,12.8,0,Flat,0,0,-8.0447,33.6405,20.845,0,Pan,21,0,0,0,2
93,53.3733,-108.1197,Desert,8,0.8,0,Flat,0,0,-21.9341,23.5294,22.7344,0,Nightspill,31,0,0,0,0
94,66.5171,-106.7312,Desert,34,7.3,0,SmallHills,0,0,-18.4911,33.0858,25.7914,0,Glass Reach,50,0,0,0,0
95,66.5171,-73.2688,Desert,28,20.1,0,Flat,0,0,-5.6911,45.8858,25.7914,0,Fanground,70,0,0,0,0
96,53.3733,-71.8803,Wasteland,25,23.3,0,Flat,0,0,0.5659,46.0294,22.7344,0,Glass Reach,50,0,2,0,2
97,66.5171,73.2688,Desert,146,18,0,SmallHills,0,0,-7.7911,43.7858,25.7914,0,Sunward Scrub,53,0,0,0,0
98,53.3733,71.8803,Desert,547,19.5,0,SmallHills,0,0,-3.2341,42.2294,22.7344,0,Tallow Ground,71,0,0,0,0
99,66.5171,106.7312,BMT_FungalForest,373,4,0,Flat,0.298,0,-1.1582,9.1572,5.1583,0,Sporefields,22,0,0,0,0
100,47.0282,90,AB_MycoticJungle,461,12.4,0,SmallHills,0.3608,0,-8.4448,33.2405,20.845,0,Sporefields,22,0,0,0,0
101,53.3733,108.1197,AB_MycoticJungle,439,-0.9,0,SmallHills,0.502,0,-23.6341,21.8294,22.7344,0,Sunreach,29,0,0,0,0
102,-53.3733,-108.1197,Desert,1129,-5,0,SmallHills,0,0,-27.7294,17.7341,-22.7344,0,Nightspill,31,0,0,0,0
103,-66.5171,-73.2688,Desert,175,18.3,0,Flat,0,0,-7.4858,44.0911,-25.7914,0,Long Sand,41,0,0,0,0
104,-53.3733,-71.8803,ExtremeDesert,7,22.2,0,Flat,0,0,-0.5294,44.9341,-22.7344,0,Long Sand,41,0,2,0,1
105,-66.5171,-106.7312,Desert,954,1.3,0,Flat,0,0,-24.4858,27.0911,-25.7914,0,Sinkground,54,0,0,0,6
106,-47.0282,-90,Desert,292,11.5,0,SmallHills,0,0,-9.3405,32.3448,-20.845,0,Sinkground,54,0,0,0,0
107,-47.0282,90,AB_RockyCrags,810,15,0,Mountainous,0,0,-5.8405,35.8448,-20.845,0,Damp,43,0,0,0,1
108,-53.3733,108.1197,Wasteland,1,0.3,0,Flat,0,0,-22.4294,23.0341,-22.7344,0,Sunreach,29,0,0,0,0
109,-66.5171,106.7312,Wasteland,110,4.6,0,SmallHills,0,0,-21.1858,30.3911,-25.7914,0,Scour,58,0,0,0,0
110,-66.5171,73.2688,ZBiome_Badlands,124,17.9,0,Flat,0,0,-7.8858,43.6911,-25.7914,0,Blight,72,0,0,0,1
111,-53.3733,71.8803,Desert,16,22.8,0,Flat,0,0,0.0706,45.5341,-22.7344,0,Thornbelt,59,0,0,0,0
112,-22.4178,172.8755,AB_RockyCrags,1200,-66.3,0,SmallHills,0,0,-77.8004,-54.7973,-11.5029,0,Umbra,37,0,0,0,1
113,-42.9599,-180,HorrorWastes,340,-43,0,SmallHills,0,0,-62.502,-23.494,-19.5063,0,Deadstone,25,0,0,0,0
114,-34.5307,-166.9858,HorrorWastes,320,-51.4,0,SmallHills,0,0,-67.8457,-34.951,-16.4493,0,Deadstone,25,0,0,0,0
115,-34.5307,166.9858,IceSheet,264,-52.6,0,SmallHills,0,0,-69.0457,-36.151,-16.4493,0,Deadstone,25,0,0,0,0
116,-22.4178,-172.8755,BMT_CrystalCaverns,643,-65.2,0,Flat,0,0,-67.5001,-62.8995,-2.3006,78,Umbra,37,0,0,0,1
117,42.9599,180,HorrorWastes,1350,-48.9,0,LargeHills,0,0,-68.4061,-29.398,19.5063,0,Deadstone,25,0,0,0,3
118,34.5307,166.9858,AB_PropaneLakes,1161,-55.3,0,Flat,0.3608,0,-71.749,-38.8543,16.4493,0,Ammonia Flats,26,0,0,0,0
119,22.4178,172.8755,AB_RockyCrags,270,-62.4,0,SmallHills,0.3098,0,-73.9027,-50.8997,11.5029,0,Ammonia Flats,26,0,0,0,0
120,34.5307,-166.9858,BMT_CrystalCaverns,1413,-58.6,0,SmallHills,0,0,-61.8898,-55.3109,3.2899,0,Deadstone,25,0,0,0,0
121,22.4178,-172.8755,BMT_CrystalCaverns,1298,-71.4,0,SmallHills,0,0,-73.7006,-69.0999,2.3006,0,Ammonia Flats,26,0,0,0,0
122,-34.5307,-13.0142,ZBiome_Grasslands,120,51.8,0,Flat,0.051,0,35.3543,68.249,-16.4493,0,Dune Sea,27,0,0,0,0
123,-34.5307,13.0142,ExtremeDesert,26,54.3,0,Flat,0,0,37.8543,70.749,-16.4493,0,Dune Sea,27,0,0,0,1
124,-22.4178,7.1245,ExtremeDesert,123,61.4,0,Flat,0,0,49.8997,72.9027,-11.5029,0,Dune Sea,27,0,0,0,3
125,-42.9599,0,ExtremeDesert,48,48.1,0,Flat,0,0.8259,28.598,67.606,-19.5063,0,Kiln,42,0,2,0,1
126,-22.4178,-7.1245,AridShrubland,157,59.2,14,Mountainous,0,0,47.6997,70.7027,-11.5029,0,Dune Sea,27,0,0,0,1
127,34.5307,-13.0142,ExtremeDesert,116,54.1,0,SmallHills,0,0,37.651,70.5457,16.4493,0,Dune Sea,27,0,0,0,0
128,22.4178,-7.1245,ExtremeDesert,735,55.9,6,Mountainous,0,0,44.3973,67.4004,11.5029,0,Dune Sea,27,0,0,0,1
129,22.4178,7.1245,ZBiome_Grasslands,285,57.9,0,SmallHills,0.0392,0.25,46.3973,69.4004,11.5029,4,Dune Sea,27,0,0,0,0
130,42.9599,0,ExtremeDesert,1,48,0,Flat,0,0.9007,28.494,67.502,19.5063,0,Glare,38,0,0,0,1
131,34.5307,13.0142,ExtremeDesert,4,53.1,0,Flat,0,0,36.651,69.5457,16.4493,0,Dune Sea,27,0,0,0,3
132,0,47.0345,Desert,449,44.2,5,Mountainous,0,0,41.2007,47.2,-3,0,Fall Line,73,0,2,0,1
133,-6.5828,67.4227,AridShrubland,234,29.4,0,LargeHills,0,0,25.0106,33.7903,-4.3904,0,Ashfall Range,28,0,2,0,0
134,6.5828,67.4227,ZBiome_Badlands,418,29.2,171,Mountainous,0,0,24.8097,33.5894,4.3904,0,Ashfall Range,28,0,0,0,1
135,-10.6897,54.7658,Desert,783,35.9,0,LargeHills,0,0,29.6217,42.1796,-6.2797,0,Ashfall Range,28,0,0,0,0
136,10.6897,54.7658,ExtremeDesert,15,41.2,0,Flat,0,0,34.9204,47.4784,6.2797,0,Fall Line,73,0,0,0,1
137,6.5828,112.5773,ZBiome_Badlands,964,-17.5,0,LargeHills,0,0,-21.8903,-13.1106,4.3904,0,Gray Crags,52,0,0,0,0
138,0,132.9655,Wasteland,635,-40.1,0,SmallHills,0,0,-43.1,-37.1007,3,0,Cinderdark,74,0,0,0,0
139,-10.6897,125.2342,Wasteland,392,-28.7,0,SmallHills,0,0,-34.9784,-22.4204,-6.2797,43,Sunreach,29,0,0,0,0
140,10.6897,125.2342,HorrorWastes,433,-30.5,0,SmallHills,0,0.8241,-36.7796,-24.2217,6.2797,0,Sunreach,29,0,0,0,0
141,-6.5828,112.5773,Wasteland,418,-16.6,0,LargeHills,0,0,-20.9894,-12.2097,-4.3904,0,Gray Crags,52,0,0,0,0
142,6.5828,-67.4227,ZBiome_DesertOasis,897,28.9,464,Mountainous,0.251,0,24.5097,33.2894,4.3904,0,Dew Horn,66,0,0,0,2
143,-6.5828,-67.4227,ZBiome_Badlands,1387,25.1,193,Mountainous,0,0,20.7106,29.4903,-4.3904,0,Dew Horn,66,0,0,0,1
144,-10.6897,-54.7658,ZBiome_DesertOasis,594,38.5,354,Mountainous,0.2,0,32.2217,44.7796,-6.2797,0,Dew Belt,30,0,0,0,2
145,10.6897,-54.7658,ZBiome_DesertOasis,89,39.6,0,SmallHills,0.3686,0,33.3204,45.8784,6.2797,0,Dew Belt,30,0,2,0,0
146,0,-47.0346,Lake,-350,38.9,0,Flat,0,0,35.9,41.8994,3,0,Scald,68,1,0,0,0
147,0,-132.9655,HorrorWastes,453,-40.1,0,LargeHills,0,0,-43.0993,-37.1,-3,0,Deadstone,25,0,0,0,1
148,10.6897,-125.2342,AB_MycoticJungle,421,-29,0,Flat,0.4784,0,-35.2796,-22.7217,6.2797,0,Blindwood,75,0,0,0,0
149,-10.6897,-125.2342,AB_MycoticJungle,623,-31.1,0,Flat,0.451,0,-37.3784,-24.8204,-6.2797,0,Blindwood,75,0,0,0,0
150,6.5828,-112.5773,SeaIce,-350,-5.2,0,Flat,0,0,-9.5903,-0.8106,4.3904,0,Twilight Sea,35,1,0,0,0
151,-6.5828,-112.5773,AB_MycoticJungle,697,-14.1,12,Mountainous,0.451,0,-18.4894,-9.7097,-4.3904,0,Twilight Crags,69,0,0,0,1
152,45.3793,-123.2789,AB_RockyCrags,630,-17.2,0,LargeHills,0,0,-37.5137,3.1095,20.3139,0,Twilight Crags,69,0,0,0,1
153,47.8837,-142.7859,HorrorWastes,793,-30.1,0,SmallHills,0,0,-51.214,-8.9904,21.1143,0,Rimewall,47,0,0,0,0
154,35.9504,-151.5701,HorrorWastes,890,-47,0,SmallHills,0,0,-63.9887,-30.0148,16.9889,0,Deadstone,25,0,0,0,0
155,23.9221,-144.2532,HorrorWastes,810,-47.8,0,SmallHills,0,1,-59.9463,-35.6562,12.1465,0,Deadstone,25,0,0,0,0
156,22.6644,-129.5165,HorrorWastes,495,-31.2,0,SmallHills,0,0,-42.8087,-19.5937,11.6089,0,Deadstone,25,0,0,0,0
157,32.2725,-118.663,PoisonForest,888,-20,0,SmallHills,0.349,0,-35.5717,-4.4315,15.5719,0,Twilight Crags,69,0,0,0,0
158,71.7908,-139.73,AB_RockyCrags,47,-1.1,0,SmallHills,0,0,-27.7642,25.5587,26.6646,0,Rimewall,47,0,0,0,0
159,82.929,180,Desert,16,5.6,0,SmallHills,0,0,-22.1968,33.3911,27.7972,0,Knuckles,76,0,0,0,0
160,71.7908,139.73,AB_MycoticJungle,475,-6.5,0,SmallHills,0.2784,0,-33.1642,20.1587,26.6646,0,Mould Marches,77,0,0,0,0
161,59.7622,155.6126,AB_RockyCrags,1043,-25.9,0,LargeHills,0,0,-50.2715,-1.5335,24.3718,0,Rimewall,47,0,0,0,1
162,59.7622,-155.6126,AB_MycoticJungle,406,-20.4,0,SmallHills,0.349,0,-44.7715,3.9665,24.3718,0,Frostcaps,32,0,0,0,0
163,55.6121,180,AB_MycoticJungle,831,-31.2,0,SmallHills,0.4118,0,-54.5392,-7.8656,23.3396,0,Frostcaps,32,0,0,0,0
164,71.7908,-40.27,ZBiome_Badlands,12,25,0,SmallHills,0,0,-1.6642,51.6587,26.6646,0,Cracklands,33,0,0,0,0
165,59.7622,-24.3874,Desert,401,33.9,0,SmallHills,0,0,9.5285,58.2665,24.3718,0,Combs,49,0,1,0,0
166,82.929,0,PoisonForest,1,17.8,0,Flat,0.3412,0,-9.9968,45.5911,27.7972,0,Slough,48,0,0,0,0
167,71.7908,40.27,Desert,87,23.4,0,SmallHills,0,0,-3.2642,50.0587,26.6646,0,Sunward Scrub,53,0,0,0,0
168,55.6121,0,Desert,1,39.4,0,Flat,0,0,16.0608,62.7344,23.3396,0,Glare,38,0,0,0,0
169,59.7622,24.3874,ZBiome_Badlands,12,35.8,0,SmallHills,0,0,11.4285,60.1665,24.3718,0,Cracklands,33,0,0,0,0
170,45.3793,-56.7211,ExtremeDesert,10,32,0,Flat,0,0,11.6863,52.3095,20.3139,0,Combs,49,0,0,0,3
171,32.2725,-61.337,AB_MiasmicMangrove,1,30.9,0,Flat,0.902,0,15.3283,46.4685,15.5719,0,Salt Gate,78,0,0,0,1
172,47.8837,-37.2141,Desert,391,37.6,0,LargeHills,0,0,16.486,58.7097,21.1143,0,Glare,38,0,0,0,0
173,35.9504,-28.4298,ExtremeDesert,182,48.9,0,LargeHills,0,0,31.9113,65.8852,16.9889,0,Glare,38,0,0,0,0
174,22.6644,-50.4835,ZBiome_Badlands,65,40.8,0,LargeHills,0.451,0,29.1913,52.4064,11.6089,0,Dew Horn,66,0,0,0,0
175,23.9221,-35.7468,COMIGO_GreaterSwamp_Tropical,17,50.2,0,Flat,0.851,0,38.0537,62.3438,12.1465,0,Fever Wood,79,0,0,0,4
176,27.2871,-103.5267,SeaIce,-350,-0.4,0,Flat,0,0,-13.9584,13.1557,13.5586,0,Twilight Sea,35,1,0,0,0
177,34.3737,-90,Desert,1,14,0,Flat,0,0,-2.3888,30.3854,16.389,0,Twilight Sea,35,0,0,0,1
178,27.2871,-76.4733,Ocean,-350,23.6,0,Flat,0,0,10.0416,37.1557,13.5586,0,Twilight Sea,35,1,0,0,0
179,13.7773,-78.0093,Ocean,-350,23.3,0,Flat,0,0.8271,15.6161,30.9823,7.684,3,Twilight Sea,35,1,0,0,0
180,13.7773,-101.9907,SeaIce,-350,0,0,Flat,0,0,-7.6839,7.6823,7.684,24,Twilight Sea,35,1,0,0,0
181,7.0166,-90,Ocean,-350,14,0,Flat,0,0,9.4092,18.5899,4.5909,0,Twilight Sea,35,1,0,0,0
182,45.3793,123.2789,AB_RockyCrags,1503,-23.3,4,Mountainous,0,0,-43.6137,-2.9905,20.3139,0,Gray Crags,52,0,0,0,4
183,32.2725,118.663,AB_RockyCrags,597,-19.3,0,SmallHills,0,0,-34.8717,-3.7315,15.5719,0,Gray Crags,52,0,0,0,0
184,47.8837,142.7859,HorrorWastes,1212,-33,0,SmallHills,0,0,-54.114,-11.8904,21.1143,0,Rimewall,47,0,0,0,0
185,35.9504,151.5702,HorrorWastes,1423,-47.9,0,SmallHills,0,0,-64.8887,-30.9148,16.9889,0,Deadstone,25,0,0,0,0
186,22.6644,129.5165,HorrorWastes,702,-34.3,0,SmallHills,0,0,-45.9087,-22.6937,11.6089,0,Deadstone,25,0,0,0,0
187,23.9221,144.2532,HorrorWastes,1078,-49.3,0,SmallHills,0,0,-61.4463,-37.1562,12.1465,0,Deadstone,25,0,0,0,0
188,-11.6394,-165.9258,BMT_CrystalCaverns,940,-70.2,0,SmallHills,0,0,-71.5424,-68.8574,-1.3427,0,Umbra,37,0,0,0,0
189,-11.9958,-152.0475,AB_RockyCrags,980,-59.2,0,SmallHills,0,0,-66.0742,-52.3244,-6.8757,0,Deadstone,25,0,0,0,0
