tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region,hilliness,swampiness,temp_min_c,temp_max_c,seasonal_shift_c,pollution,river_dist,road_count,river_count,mutator_count,feature_id
31,20.9026,90.0000,90.0,20.90,1,14.0,0,Desert,0,0,Grey Sea,1,0,3.1527,24.8451,10.8475,0,0,0,0,1,46
32,40.1893,-105.7836,102.0,138.72,1,-1.7,0,AB_TarPits,0,0,Nightspill,1,0,-20.2415,16.8377,18.5417,0,0,0,0,0,31
33,58.5465,-130.1254,109.7,115.07,28,-8.7,0,AB_RockyCrags,0,0,Rimewall,2,0,-32.7814,15.3764,24.0817,0,0,0,0,0,47
34,78.9500,-90.0000,90.0,101.05,13,13.9,0,PoisonForest,0,0,Slough,1,0.3882,-13.6052,41.3996,27.5056,0,0,0,0,0,48
35,58.5465,-49.8746,70.3,115.07,38,31.2,0,Desert,0,0,Combs,1,0,7.1186,55.2764,24.0817,0,0,0,0,2,49
36,40.1893,-74.2164,78.0,138.72,1,22.5,0,Wasteland,0,0,Glass Reach,1,0,3.9585,41.0377,18.5417,0,0,2,0,1,50
37,78.9500,90.0000,90.0,78.95,117,12.8,0,AB_GelatinousSuperorganism,0,0,Slough,1,0,-14.7052,40.2996,27.5056,0,0,0,0,2,48
38,58.5465,49.8746,70.3,64.93,335,27.6,0,Desert,0,0,Dry Marches,1,0,3.5186,51.6764,24.0817,0,0,0,0,0,51
39,58.5465,130.1254,109.7,64.93,536,-14.4,0,AB_MycoticJungle,0,0,Gray Crags,3,0.3608,-38.4814,9.6764,24.0817,0,0,0,0,0,52
40,40.1893,74.2164,78.0,41.28,702,20.3,0,Desert,0,0,Sunward Scrub,2,0,1.7585,38.8377,18.5417,0,0,0,0,0,53
41,40.1893,105.7836,102.0,41.28,305,-0.4,0,AB_RockyCrags,0,0,Sunreach,3,0,-18.9415,18.1377,18.5417,0,0,0,0,1,29
42,-40.1893,-105.7836,102.0,221.28,1016,-6.6,0,AB_MycoticJungle,0,0,Nightspill,1,0.4196,-25.1377,11.9415,-18.5417,0,0,0,0,0,31
43,-78.9500,-90.0000,90.0,258.95,180,13.6,0,Desert,0,0,Sinkground,2,0,-13.8996,41.1052,-27.5056,0,0,0,0,0,54
44,-58.5465,-49.8746,70.3,244.93,45,31.6,0,Desert,0,0,Long Sand,1,0,7.5236,55.6814,-24.0817,0,0,0,0,2,41
45,-58.5465,-130.1254,109.7,244.93,1431,-17.2,0,AB_RockyCrags,0,0,Coldstone,2,0,-41.2764,6.8814,-24.0817,0,0,0,0,0,55
46,-40.1893,-74.2164,78.0,221.28,385,20.9,0,BMT_FungalForest,0,0,Sweatwood,2,0.298,17.1925,24.6083,-3.7083,0,10,0,0,0,56
47,-40.1893,105.7836,102.0,318.72,31,0.6,0,Desert,0,0,Sunreach,1,0,-17.9377,19.1415,-18.5417,0,0,0,0,0,29
48,-58.5465,130.1254,109.7,295.07,1,-11.1,0,Wasteland,0,0,Ashen Wastes,1,0,-35.1764,12.9814,-24.0817,0,0,0,0,0,57
49,-78.9500,90.0000,90.0,281.05,148,13.2,0,Wasteland,0,0,Scour,2,0,-14.2996,40.7052,-27.5056,0,0,0,0,0,58
50,-58.5465,49.8746,70.3,295.07,261,27.4,0,Desert,0,0,Thornbelt,3,0,3.3236,51.4814,-24.0817,0,0,0,0,0,59
51,-40.1893,74.2164,78.0,318.72,43,25.3,0,Desert,0,0,Thornbelt,1,0,6.7623,43.8415,-18.5417,0,0,0,0,2,59
52,-11.0156,180.0000,169.0,270.00,882,-77.1,0,BMT_CrystalCaverns,0,0,Umbra,3,0,-78.3855,-75.8143,-1.2857,0,0,0,0,1,37
53,-47.3048,162.1548,130.2,285.79,1005,-39.2,0,HorrorWastes,0,0,South Crags,3,0,-60.128,-18.2677,-20.9326,0,0,0,0,1,39
54,-47.3048,-162.1548,130.2,254.21,826,-37.8,0,HorrorWastes,0,0,Deadstone,3,0,-58.728,-16.8677,-20.9326,0,0,0,0,1,25
55,-23.5048,158.4933,148.6,310.13,952,-62.5,0,BMT_CrystalCaverns,0,0,Deadstone,3,0,-64.8932,-60.1063,-2.3937,0,0,0,0,1,25
56,-23.5048,-158.4933,148.6,229.87,460,-58.2,0,BMT_CrystalCaverns,0,0,Lantern Deeps,2,0,-60.5932,-55.8063,-2.3937,0,0,0,0,0,60
57,47.3048,-162.1548,130.2,105.79,1046,-39.7,0,BMT_FungalForest,0,0,Stillwood,1,0.2392,-43.8865,-35.5144,4.1865,0,0,0,0,0,61
58,47.3048,162.1548,130.2,74.21,1454,-41.6,0,AB_MycoticJungle,0,0,Stillwood,3,0.5098,-62.5323,-20.672,20.9326,0,0,0,0,0,61
59,23.5048,158.4933,148.6,49.87,62,-55.5,0,AB_PropaneLakes,0,0,Ammonia Flats,3,0.251,-67.4685,-43.5339,11.9687,0.8357,0,0,0,0,26
60,23.5048,-158.4933,148.6,130.13,1329,-65.1,0,BMT_CrystalCaverns,0,0,Deadstone,2,0,-67.4937,-62.7068,2.3937,0,0,0,0,0,25
61,11.0156,180.0000,169.0,90.00,419,-74.0,0,AB_RockyCrags,0,0,Ammonia Flats,2,0,-80.4286,-67.5727,6.4287,0,0,0,0,0,26
62,-23.5048,-21.5067,31.4,229.87,161,55.1,0,AB_FeraliskInfestedJungle,0,0,Dune Sea,1,0.3686,43.1339,67.0685,-11.9687,0,0,0,0,0,27
63,-47.3048,17.8452,49.8,285.79,439,42.1,0,Desert,0,0,Kiln,3,0,21.172,63.0323,-20.9326,0,0,0,0,0,42
64,-23.5048,21.5067,31.4,310.13,186,57.5,0,ExtremeDesert,0,0,Dune Sea,1,0,45.5339,69.4685,-11.9687,0,0,0,0,1,27
65,-47.3048,-17.8452,49.8,254.21,324,42.4,0,Desert,0,0,Kiln,2,0,21.472,63.3323,-20.9326,0,0,0,0,0,42
66,-11.0156,0.0000,11.0,270.00,324,65.8,0,Scarlands,0,0,Scorch,2,0,59.3727,72.2286,-6.4287,0.3,0,0,0,0,45
67,47.3048,-17.8452,49.8,105.79,463,41.7,0,Desert,0,0,Glare,2,0,20.7677,62.628,20.9326,0.8918,0,0,0,0,38
68,23.5048,-21.5067,31.4,130.13,22,57.9,0,ExtremeDesert,0,0,Dune Sea,1,0,45.9315,69.8661,11.9687,0,0,0,0,0,27
69,11.0156,0.0000,11.0,90.00,637,63.6,0,AB_MechanoidIntrusion,0,0,Rust Cathedral,1,0,57.1714,70.0273,6.4287,0.95,0,0,0,0,62
70,47.3048,17.8452,49.8,74.21,1,43.7,0,ExtremeDesert,0,0,Glare,1,0,22.7677,64.628,20.9326,0,0,0,0,3,38
71,23.5048,21.5067,31.4,49.87,111,55.8,0,ExtremeDesert,0,0,Dune Sea,1,0,43.8315,67.7661,11.9687,0,0,0,0,1,27
72,11.9905,41.2835,42.7,17.84,316,48.5,0,Desert,0,0,Fall Line Barrens,2,0,41.6268,55.3718,6.8733,0,0,0,0,0,63
73,-19.6422,64.9429,66.5,338.50,101,31.4,0,Desert,0,0,Notch,3,0,21.105,41.6971,-10.2972,0,0,0,0,0,64
74,0.0000,78.9831,79.0,0.00,-350,22.8,0,Ocean,1,0,Grey Sea,1,0,19.8007,25.8,-3,0,0,0,0,0,46
75,-11.9905,41.2835,42.7,342.16,376,46.1,0,ExtremeDesert,0,0,Fall Line Barrens,2,0,39.2282,52.9732,-6.8733,0,0,0,0,0,63
76,19.6422,64.9429,66.5,21.50,426,31.6,0,ExtremeDesert,0,0,Ashfall Range,3,0,21.3029,41.895,10.2972,0,0,0,0,0,28
77,19.6422,115.0571,113.5,21.50,576,-16.6,0,ZBiome_Badlands,0,0,Gray Crags,3,0,-26.8971,-6.305,10.2972,0,0,0,0,0,52
78,-11.9905,138.7165,137.3,342.16,626,-44.7,0,HorrorWastes,0,0,Thornend,2,0,-51.5718,-37.8268,-6.8733,0,54,0,0,0,65
79,-19.6422,115.0571,113.5,338.50,21,-13.8,0,Desert,0,0,Sunreach,1,0,-24.095,-3.5029,-10.2972,0,0,0,0,0,29
80,11.9905,138.7165,137.3,17.84,638,-46.8,0,HorrorWastes,0,0,Deadstone,2,0,-53.6732,-39.9282,6.8733,0,0,0,0,0,25
81,0.0000,101.0169,101.0,0.00,1,0.8,0,AridShrubland,0,0,Grey Sea,1,0,-2.2,3.7993,3,0,23,0,0,0,46
82,19.6422,-64.9429,66.5,158.50,-350,32.8,0,Ocean,1,0,Twilight Sea,1,0,22.5029,43.095,10.2972,0,0,0,0,0,35
83,0.0000,-78.9831,79.0,180.00,357,22.8,0,ZBiome_DesertOasis,0,0,Dew Belt,3,0.251,19.8,25.7993,3,0,0,0,0,1,30
84,-19.6422,-64.9429,66.5,201.50,930,28.3,105,AridShrubland,0,0,Dew Horn,4,0,18.005,38.5971,-10.2972,0,0,0,0,1,66
85,11.9905,-41.2835,42.7,162.16,857,42.5,1390,AB_OcularForest,0,3830,Scald Spine,4,0.5882,35.6268,49.3718,6.8733,0,10,2,2,2,67
86,-11.9905,-41.2835,42.7,197.84,-350,41.8,0,Lake,1,0,Scald,1,0,34.9282,48.6732,-6.8733,0,0,0,0,0,68
87,11.9905,-138.7165,137.3,162.16,582,-44.6,0,HorrorWastes,0,0,Deadstone,2,0,-51.4732,-37.7282,6.8733,0.8082,0,0,0,0,25
88,19.6422,-115.0571,113.5,158.50,110,-6.9,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-17.1971,3.395,10.2972,0,0,0,0,1,69
89,-11.9905,-138.7165,137.3,197.84,835,-48.1,0,HorrorWastes,0,0,Deadstone,2,0,-54.9718,-41.2268,-6.8733,0,0,0,0,0,25
90,0.0000,-101.0169,101.0,180.00,1,0.8,0,AridShrubland,0,0,Twilight Sea,1,0,-2.2,3.7993,3,0,0,0,0,0,35
91,-19.6422,-115.0571,113.5,201.50,733,-19.3,0,AB_MycoticJungle,0,0,Nightspill,1,0.3882,-29.595,-9.0029,-10.2972,1,0,0,0,0,31
92,47.0282,-90.0000,90.0,132.97,1,12.8,0,Wasteland,0,0,Pan,1,0,-8.0447,33.6405,20.845,0,0,0,0,2,21
93,53.3733,-108.1197,100.7,125.24,8,0.8,0,Desert,0,0,Nightspill,1,0,-21.9341,23.5294,22.7344,0,0,0,0,0,31
94,66.5171,-106.7312,96.6,112.59,34,7.3,0,Desert,0,0,Glass Reach,2,0,-18.4911,33.0858,25.7914,0,0,0,0,0,50
95,66.5171,-73.2688,83.4,112.59,28,20.1,0,Desert,0,0,Fanground,1,0,-5.6911,45.8858,25.7914,0,0,0,0,0,70
96,53.3733,-71.8803,79.3,125.24,25,23.3,0,Wasteland,0,0,Glass Reach,1,0,0.5659,46.0294,22.7344,0,0,2,0,2,50
97,66.5171,73.2688,83.4,67.41,146,18.0,0,Desert,0,0,Sunward Scrub,2,0,-7.7911,43.7858,25.7914,0,0,0,0,0,53
98,53.3733,71.8803,79.3,54.76,547,19.5,0,Desert,0,0,Tallow Ground,2,0,-3.2341,42.2294,22.7344,0,0,0,0,0,71
99,66.5171,106.7312,96.6,67.41,373,4.0,0,BMT_FungalForest,0,0,Sporefields,1,0.298,-1.1582,9.1572,5.1583,0,0,0,0,0,22
100,47.0282,90.0000,90.0,47.03,461,12.4,0,AB_MycoticJungle,0,0,Sporefields,2,0.3608,-8.4448,33.2405,20.845,0,0,0,0,0,22
101,53.3733,108.1197,100.7,54.76,439,-0.9,0,AB_MycoticJungle,0,0,Sunreach,2,0.502,-23.6341,21.8294,22.7344,0,0,0,0,0,29
102,-53.3733,-108.1197,100.7,234.76,1129,-5.0,0,Desert,0,0,Nightspill,2,0,-27.7294,17.7341,-22.7344,0,0,0,0,0,31
103,-66.5171,-73.2688,83.4,247.41,175,18.3,0,Desert,0,0,Long Sand,1,0,-7.4858,44.0911,-25.7914,0,0,0,0,0,41
104,-53.3733,-71.8803,79.3,234.76,7,22.2,0,ExtremeDesert,0,0,Long Sand,1,0,-0.5294,44.9341,-22.7344,0,0,2,0,1,41
105,-66.5171,-106.7312,96.6,247.41,954,1.3,0,Desert,0,0,Sinkground,1,0,-24.4858,27.0911,-25.7914,0,0,0,0,6,54
106,-47.0282,-90.0000,90.0,227.03,292,11.5,0,Desert,0,0,Sinkground,2,0,-9.3405,32.3448,-20.845,0,0,0,0,0,54
107,-47.0282,90.0000,90.0,312.97,810,15.0,0,AB_RockyCrags,0,0,Damp,4,0,-5.8405,35.8448,-20.845,0,0,0,0,1,43
108,-53.3733,108.1197,100.7,305.24,1,0.3,0,Wasteland,0,0,Sunreach,1,0,-22.4294,23.0341,-22.7344,0,0,0,0,0,29
109,-66.5171,106.7312,96.6,292.59,110,4.6,0,Wasteland,0,0,Scour,2,0,-21.1858,30.3911,-25.7914,0,0,0,0,0,58
110,-66.5171,73.2688,83.4,292.59,124,17.9,0,ZBiome_Badlands,0,0,Blight,1,0,-7.8858,43.6911,-25.7914,0,0,0,0,1,72
111,-53.3733,71.8803,79.3,305.24,16,22.8,0,Desert,0,0,Thornbelt,1,0,0.0706,45.5341,-22.7344,0,0,0,0,0,59
112,-22.4178,172.8755,156.5,286.73,1200,-66.3,0,AB_RockyCrags,0,0,Umbra,2,0,-77.8004,-54.7973,-11.5029,0,0,0,0,1,37
113,-42.9599,-180.0000,137.0,270.00,340,-43.0,0,HorrorWastes,0,0,Deadstone,2,0,-62.502,-23.494,-19.5063,0,0,0,0,0,25
114,-34.5307,-166.9858,143.4,251.88,320,-51.4,0,HorrorWastes,0,0,Deadstone,2,0,-67.8457,-34.951,-16.4493,0,0,0,0,0,25
115,-34.5307,166.9858,143.4,288.12,264,-52.6,0,IceSheet,0,0,Deadstone,2,0,-69.0457,-36.151,-16.4493,0,0,0,0,0,25
116,-22.4178,-172.8755,156.5,253.27,643,-65.2,0,BMT_CrystalCaverns,0,0,Umbra,1,0,-67.5001,-62.8995,-2.3006,0,78,0,0,1,37
117,42.9599,180.0000,137.0,90.00,1350,-48.9,0,HorrorWastes,0,0,Deadstone,3,0,-68.4061,-29.398,19.5063,0,0,0,0,3,25
118,34.5307,166.9858,143.4,71.88,1161,-55.3,0,AB_PropaneLakes,0,0,Ammonia Flats,1,0.3608,-71.749,-38.8543,16.4493,0,0,0,0,0,26
119,22.4178,172.8755,156.5,73.27,270,-62.4,0,AB_RockyCrags,0,0,Ammonia Flats,2,0.3098,-73.9027,-50.8997,11.5029,0,0,0,0,0,26
120,34.5307,-166.9858,143.4,108.12,1413,-58.6,0,BMT_CrystalCaverns,0,0,Deadstone,2,0,-61.8898,-55.3109,3.2899,0,0,0,0,0,25
121,22.4178,-172.8755,156.5,106.73,1298,-71.4,0,BMT_CrystalCaverns,0,0,Ammonia Flats,2,0,-73.7006,-69.0999,2.3006,0,0,0,0,0,26
122,-34.5307,-13.0142,36.6,251.88,120,51.8,0,ZBiome_Grasslands,0,0,Dune Sea,1,0.051,35.3543,68.249,-16.4493,0,0,0,0,0,27
123,-34.5307,13.0142,36.6,288.12,26,54.3,0,ExtremeDesert,0,0,Dune Sea,1,0,37.8543,70.749,-16.4493,0,0,0,0,1,27
124,-22.4178,7.1245,23.5,286.73,123,61.4,0,ExtremeDesert,0,0,Dune Sea,1,0,49.8997,72.9027,-11.5029,0,0,0,0,3,27
125,-42.9599,0.0000,43.0,270.00,48,48.1,0,ExtremeDesert,0,0,Kiln,1,0,28.598,67.606,-19.5063,0.8259,0,2,0,1,42
126,-22.4178,-7.1245,23.5,253.27,157,59.2,14,AridShrubland,0,0,Dune Sea,4,0,47.6997,70.7027,-11.5029,0,0,0,0,1,27
127,34.5307,-13.0142,36.6,108.12,116,54.1,0,ExtremeDesert,0,0,Dune Sea,2,0,37.651,70.5457,16.4493,0,0,0,0,0,27
128,22.4178,-7.1245,23.5,106.73,735,55.9,6,ExtremeDesert,0,0,Dune Sea,4,0,44.3973,67.4004,11.5029,0,0,0,0,1,27
129,22.4178,7.1245,23.5,73.27,285,57.9,0,ZBiome_Grasslands,0,0,Dune Sea,2,0.0392,46.3973,69.4004,11.5029,0.25,4,0,0,0,27
130,42.9599,0.0000,43.0,90.00,1,48.0,0,ExtremeDesert,0,0,Glare,1,0,28.494,67.502,19.5063,0.9007,0,0,0,1,38
131,34.5307,13.0142,36.6,71.88,4,53.1,0,ExtremeDesert,0,0,Dune Sea,1,0,36.651,69.5457,16.4493,0,0,0,0,3,27
132,0.0000,47.0345,47.0,0.00,449,44.2,5,Desert,0,0,Fall Line,4,0,41.2007,47.2,-3,0,0,2,0,1,73
133,-6.5828,67.4227,67.6,352.88,234,29.4,0,AridShrubland,0,0,Ashfall Range,3,0,25.0106,33.7903,-4.3904,0,0,2,0,0,28
134,6.5828,67.4227,67.6,7.12,418,29.2,171,ZBiome_Badlands,0,0,Ashfall Range,4,0,24.8097,33.5894,4.3904,0,0,0,0,1,28
135,-10.6897,54.7658,55.5,346.99,783,35.9,0,Desert,0,0,Ashfall Range,3,0,29.6217,42.1796,-6.2797,0,0,0,0,0,28
136,10.6897,54.7658,55.5,13.01,15,41.2,0,ExtremeDesert,0,0,Fall Line,1,0,34.9204,47.4784,6.2797,0,0,0,0,1,73
137,6.5828,112.5773,112.4,7.12,964,-17.5,0,ZBiome_Badlands,0,0,Gray Crags,3,0,-21.8903,-13.1106,4.3904,0,0,0,0,0,52
138,0.0000,132.9655,133.0,0.00,635,-40.1,0,Wasteland,0,0,Cinderdark,2,0,-43.1,-37.1007,3,0,0,0,0,0,74
139,-10.6897,125.2342,124.5,346.99,392,-28.7,0,Wasteland,0,0,Sunreach,2,0,-34.9784,-22.4204,-6.2797,0,43,0,0,0,29
140,10.6897,125.2342,124.5,13.01,433,-30.5,0,HorrorWastes,0,0,Sunreach,2,0,-36.7796,-24.2217,6.2797,0.8241,0,0,0,0,29
141,-6.5828,112.5773,112.4,352.88,418,-16.6,0,Wasteland,0,0,Gray Crags,3,0,-20.9894,-12.2097,-4.3904,0,0,0,0,0,52
142,6.5828,-67.4227,67.6,172.88,897,28.9,464,ZBiome_DesertOasis,0,0,Dew Horn,4,0.251,24.5097,33.2894,4.3904,0,0,0,0,2,66
143,-6.5828,-67.4227,67.6,187.12,1387,25.1,193,ZBiome_Badlands,0,0,Dew Horn,4,0,20.7106,29.4903,-4.3904,0,0,0,0,1,66
144,-10.6897,-54.7658,55.5,193.01,594,38.5,354,ZBiome_DesertOasis,0,0,Dew Belt,4,0.2,32.2217,44.7796,-6.2797,0,0,0,0,2,30
145,10.6897,-54.7658,55.5,166.99,89,39.6,0,ZBiome_DesertOasis,0,0,Dew Belt,2,0.3686,33.3204,45.8784,6.2797,0,0,2,0,0,30
146,0.0000,-47.0346,47.0,180.00,-350,38.9,0,Lake,1,0,Scald,1,0,35.9,41.8994,3,0,0,0,0,0,68
147,0.0000,-132.9655,133.0,180.00,453,-40.1,0,HorrorWastes,0,0,Deadstone,3,0,-43.0993,-37.1,-3,0,0,0,0,1,25
148,10.6897,-125.2342,124.5,166.99,421,-29.0,0,AB_MycoticJungle,0,0,Blindwood,1,0.4784,-35.2796,-22.7217,6.2797,0,0,0,0,0,75
149,-10.6897,-125.2342,124.5,193.01,623,-31.1,0,AB_MycoticJungle,0,0,Blindwood,1,0.451,-37.3784,-24.8204,-6.2797,0,0,0,0,0,75
150,6.5828,-112.5773,112.4,172.88,-350,-5.2,0,SeaIce,1,0,Twilight Sea,1,0,-9.5903,-0.8106,4.3904,0,0,0,0,0,35
151,-6.5828,-112.5773,112.4,187.12,697,-14.1,12,AB_MycoticJungle,0,0,Twilight Crags,4,0.451,-18.4894,-9.7097,-4.3904,0,0,0,0,1,69
152,45.3793,-123.2789,112.7,129.52,630,-17.2,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-37.5137,3.1095,20.3139,0,0,0,0,1,69
153,47.8837,-142.7859,122.3,118.67,793,-30.1,0,HorrorWastes,0,0,Rimewall,2,0,-51.214,-8.9904,21.1143,0,0,0,0,0,47
154,35.9504,-151.5701,135.4,123.28,890,-47.0,0,HorrorWastes,0,0,Deadstone,2,0,-63.9887,-30.0148,16.9889,0,0,0,0,0,25
155,23.9221,-144.2532,137.9,142.79,810,-47.8,0,HorrorWastes,0,0,Deadstone,2,0,-59.9463,-35.6562,12.1465,1,0,0,0,0,25
156,22.6644,-129.5165,126.0,151.57,495,-31.2,0,HorrorWastes,0,0,Deadstone,2,0,-42.8087,-19.5937,11.6089,0,0,0,0,0,25
157,32.2725,-118.6630,113.9,144.26,888,-20.0,0,PoisonForest,0,0,Twilight Crags,2,0.349,-35.5717,-4.4315,15.5719,0,0,0,0,0,69
158,71.7908,-139.7300,103.8,102.00,47,-1.1,0,AB_RockyCrags,0,0,Rimewall,2,0,-27.7642,25.5587,26.6646,0,0,0,0,0,47
159,82.9290,180.0000,97.1,90.00,16,5.6,0,Desert,0,0,Knuckles,2,0,-22.1968,33.3911,27.7972,0,0,0,0,0,76
160,71.7908,139.7300,103.8,78.00,475,-6.5,0,AB_MycoticJungle,0,0,Mould Marches,2,0.2784,-33.1642,20.1587,26.6646,0,0,0,0,0,77
161,59.7622,155.6126,117.3,76.47,1043,-25.9,0,AB_RockyCrags,0,0,Rimewall,3,0,-50.2715,-1.5335,24.3718,0,0,0,0,1,47
162,59.7622,-155.6126,117.3,103.53,406,-20.4,0,AB_MycoticJungle,0,0,Frostcaps,2,0.349,-44.7715,3.9665,24.3718,0,0,0,0,0,32
163,55.6121,180.0000,124.4,90.00,831,-31.2,0,AB_MycoticJungle,0,0,Frostcaps,2,0.4118,-54.5392,-7.8656,23.3396,0,0,0,0,0,32
164,71.7908,-40.2700,76.2,102.00,12,25.0,0,ZBiome_Badlands,0,0,Cracklands,2,0,-1.6642,51.6587,26.6646,0,0,0,0,0,33
165,59.7622,-24.3874,62.7,103.53,401,33.9,0,Desert,0,0,Combs,2,0,9.5285,58.2665,24.3718,0,0,1,0,0,49
166,82.9290,0.0000,82.9,90.00,1,17.8,0,PoisonForest,0,0,Slough,1,0.3412,-9.9968,45.5911,27.7972,0,0,0,0,0,48
167,71.7908,40.2700,76.2,78.00,87,23.4,0,Desert,0,0,Sunward Scrub,2,0,-3.2642,50.0587,26.6646,0,0,0,0,0,53
168,55.6121,0.0000,55.6,90.00,1,39.4,0,Desert,0,0,Glare,1,0,16.0608,62.7344,23.3396,0,0,0,0,0,38
169,59.7622,24.3874,62.7,76.47,12,35.8,0,ZBiome_Badlands,0,0,Cracklands,2,0,11.4285,60.1665,24.3718,0,0,0,0,0,33
170,45.3793,-56.7211,67.3,129.52,10,32.0,0,ExtremeDesert,0,0,Combs,1,0,11.6863,52.3095,20.3139,0,0,0,0,3,49
