tile,mutator,landmark,coastalByAdjacency
269,Coast,,
275,VEE_MineralDevoid,,
275,VEE_DeepOreDevoid,,
290,Cliffs,,
291,VEE_SaltPlains,,
293,Caves,,
296,Caves,,
299,Mountain,,
300,Caves,,
302,Dunes,,
303,Dunes,,
304,VEE_MineralDevoid,,
304,VEE_DeepOreDevoid,,
304,Dunes,,
306,Dunes,,
310,Dunes,,
311,VEE_MineralDevoid,,
311,VEE_DeepOreDevoid,,
311,Dunes,,
313,Mountain,,
313,MineralRich,,
313,VEE_DeepOreRich,,
315,Mountain,,
315,MineralRich,,
322,Mountain,,
323,Mountain,,
324,Mountain,,
338,Caves,,
339,Caves,,
345,VEE_MineralDevoid,,
345,VEE_DeepOreDevoid,,
351,Mountain,,
354,Marshy,,
354,VEE_IncreasedInfestations,,
354,AB_FeraliskNest,,
354,VEE_RottenStench,,
354,River,,
355,Dunes,,
359,CoastalIsland,,
360,CoastalIsland,,
361,CoastalIsland,,
363,Caves,,
370,Mountain,,
370,Caves,,
371,Caves,,
373,Caves,,
375,VEE_MineralDevoid,,
375,VEE_DeepOreDevoid,,
385,Mountain,,
385,MineralRich,,
386,VEE_MineralDevoid,,
386,VEE_DeepOreDevoid,,
386,Dunes,,
390,Dunes,Dunes,
390,Dunes,Dunes,
404,VEE_MineralDevoid,,
404,VEE_DeepOreDevoid,,
411,VEE_MineralDevoid,,
411,VEE_DeepOreDevoid,,
415,VEE_SaltPlains,VEE_SaltPlains,
416,Mountain,,
417,DryGround,,
420,DryGround,,
423,Caves,,
434,Dunes,,
440,Mountain,,
445,Dunes,,
446,VEE_MineralDevoid,VEE_GravelBeach,
446,VEE_DeepOreDevoid,VEE_GravelBeach,
446,VEE_GravelBeach,VEE_GravelBeach,
450,VEE_SaltPlains,,
451,VEE_SaltPlains,,
454,Mountain,,
456,VEE_SaltPlains,,
457,AB_TarLakes,AB_TarLakes,
461,Caves,,
464,VEE_MineralDevoid,,
464,VEE_DeepOreDevoid,,
469,VEE_FleshPits,VEE_FleshPits,
469,VEE_FleshPits,VEE_FleshPits,
470,VEE_MineralDevoid,,
470,VEE_DeepOreDevoid,,
474,VEE_MineralDevoid,,
474,VEE_DeepOreDevoid,,
476,AB_TarLakes,AB_TarLakes,
478,Dunes,,
479,VEE_MineralDevoid,,
479,VEE_DeepOreDevoid,,
479,Dunes,,
492,VEE_MineralDevoid,Dunes,
492,VEE_DeepOreDevoid,Dunes,
492,Dunes,Dunes,
492,Dunes,Dunes,
495,Mountain,,
499,VEE_SerpentineCanyons,VEE_SerpentineCanyons,
499,Caves,VEE_SerpentineCanyons,
499,MineralRich,VEE_SerpentineCanyons,
499,VEE_DeepOreRich,VEE_SerpentineCanyons,
508,Caves,,
511,Caves,,
519,VEE_DustBowl,VEE_DustBowl,
519,VEE_PlantLife_Decimated,VEE_DustBowl,
519,VEE_Fertility_Reduced,VEE_DustBowl,
519,VEE_DustStorms,VEE_DustBowl,
522,VEE_MineralDevoid,,
522,VEE_DeepOreDevoid,,
526,VEE_MineralDevoid,,
526,VEE_DeepOreDevoid,,
527,Dunes,,
528,Dunes,,
529,VEE_MineralDevoid,,
529,VEE_DeepOreDevoid,,
529,Dunes,,
530,Caves,,
542,VEE_MineralDevoid,,
542,VEE_DeepOreDevoid,,
546,Cliffs,,
547,Mountain,,
550,VEE_MineralDevoid,,
550,VEE_DeepOreDevoid,,
555,VEE_MineralDevoid,,
555,VEE_DeepOreDevoid,,
557,AncientChemfuelRefinery,AncientChemfuelRefinery,
562,VEE_MineralDevoid,,
562,VEE_DeepOreDevoid,,
566,VEE_SaltPlains,,
567,DryGround,,
570,VEE_MineralDevoid,,
570,VEE_DeepOreDevoid,,
572,Caves,,
575,Cliffs,Cliffs,
575,Caves,Cliffs,
576,Caves,,
577,Caves,,
578,Caves,,
579,Caves,,
581,Mountain,,
582,Caves,,
583,Mountain,,
591,Caves,,
594,Caves,,
599,Caves,,
601,Caves,,
603,Caves,,
609,AncientRuins,Ruins,
609,AncientRuins,Ruins,
618,AncientRuins_Frozen,FrozenRuins,
618,AncientRuins_Frozen,FrozenRuins,
623,Caves,,
627,MineralRich,,
629,Caves,,
632,Oasis,,
633,Mountain,,
634,Mountain,HotSprings,
634,HotSprings,HotSprings,
635,Cliffs,,
635,River,,
639,VEE_QuicksandDunes,VEE_QuicksandDunes,
639,VEE_QuicksandDunes,VEE_QuicksandDunes,
642,VEE_MineralDevoid,,
642,VEE_DeepOreDevoid,,
643,Dunes,,
644,Dunes,,
646,VEE_MineralDevoid,,
646,VEE_DeepOreDevoid,,
646,Dunes,,
648,Dunes,,
649,Dunes,,
650,VEE_SaltPlains,,
650,MineralRich,,
651,VEE_MineralDevoid,,
651,VEE_DeepOreDevoid,,
651,Dunes,,
657,MineralRich,,
658,MineralRich,,
661,MineralRich,,
661,VEE_DeepOreRich,,
662,VEE_MineralDevoid,,
662,VEE_DeepOreDevoid,,
662,Dunes,,
674,VEE_RottenStench,VEE_SulfuricLake,
674,VEE_SulfuricLake,VEE_SulfuricLake,
674,PlantLife_Increased,VEE_SulfuricLake,
674,VEE_RottenStench,VEE_SulfuricLake,
675,River,,
678,AncientGarrison,AncientGarrison,
680,Dunes,,
681,VEE_MineralDevoid,,
681,VEE_DeepOreDevoid,,
681,Dunes,,
682,Dunes,,
683,Dunes,,
685,VEE_MineralDevoid,,
685,VEE_DeepOreDevoid,,
685,Dunes,,
687,Dunes,,
688,Dunes,,
689,VEE_MineralDevoid,,
689,VEE_DeepOreDevoid,,
689,Dunes,,
690,Dunes,,
691,Dunes,,
698,Mountain,,
700,VEE_MineralDevoid,,
700,VEE_DeepOreDevoid,,
706,VEE_SaltPlains,,
708,VEE_SaltPlains,,
709,VEE_GravelBeach,VEE_GravelBeach,
710,MineralRich,,
712,Mountain,,
712,MineralRich,,
717,Mountain,,
718,Mountain,,
722,Caves,,
724,Caves,,
725,Caves,,
727,Mountain,,
728,VEE_MineralDevoid,,
728,VEE_DeepOreDevoid,,
733,Caves,,
739,Mountain,,
741,Caves,,
743,Caves,,
747,Mountain,,
750,CoastalIsland,,
751,CoastalIsland,,
753,Mountain,,
755,Mountain,,
758,Coast,,
759,Mountain,,
760,VEE_SaltPlains,,
761,VEE_SaltPlains,,
763,Oasis,,
765,VEE_DryRiver,VEE_DryRiver,
766,VEE_MineralDevoid,,
766,VEE_DeepOreDevoid,,
766,Dunes,,
768,Mountain,,
768,MineralRich,,
769,Mountain,,
770,Oasis,,
773,Marshy,,
773,Oasis,,
773,VEE_IncreasedInfestations,,
773,AB_LocustPlagues,,
776,Mountain,,
776,River,,
777,Cliffs,,
777,MineralRich,,
777,VEE_DeepOreRich,,
780,Cliffs,,
780,MineralRich,,
781,Mountain,,
781,River,,
784,Caves,,
786,Caves,,
788,Peninsula,Peninsula,
790,Caves,,
791,Caves,,
796,Caves,,
798,Caves,,
799,Caves,,
801,Mountain,,
801,Caves,,
802,CoastalIsland,,
804,VEE_SaltPlains,,
808,Caves,,
809,Cliffs,Cliffs,
809,Caves,Cliffs,
814,VEE_MineralDevoid,,
814,VEE_DeepOreDevoid,,
827,VEE_SaltPlains,,
828,Mountain,,
830,Chasm,,
835,Caves,,
842,Dunes,,
843,Dunes,,
844,VEE_MineralDevoid,,
844,VEE_DeepOreDevoid,,
844,Dunes,,
845,Dunes,,
846,Dunes,,
850,VEE_MineralDevoid,,
850,VEE_DeepOreDevoid,,
850,Dunes,,
853,Mountain,,
853,MineralRich,,
855,Mountain,,
855,MineralRich,,
861,VEE_MineralDevoid,,
861,VEE_DeepOreDevoid,,
862,Mountain,,
863,Oasis,,
872,Caves,,
876,VEE_MeteorCrater,VEE_MeteorCrater,
877,Caves,,
890,Marshy,,
890,AB_LocustPlagues,,
890,VEE_RottenStench,,
890,InsectMegahive,,
891,VEE_IncreasedInfestations,,
891,AB_LocustPlagues,,
891,VEE_StagnantRivulet,,
891,ToxicLake,,
891,Pond,,
891,River,,
895,VEE_MineralDevoid,,
895,VEE_DeepOreDevoid,,
895,Dunes,,
900,CoastalIsland,,
910,Caves,,
912,Caves,,
913,Caves,,
920,Mountain,,
920,VEE_RedDesert,,
920,VEE_RedDesertPlants,,
920,VEE_Sandstorms,,
923,Cliffs,,
924,Cliffs,,
925,Mountain,,
931,Oasis,Oasis,
946,VEE_MineralDevoid,,
946,VEE_DeepOreDevoid,,
949,VEE_MineralDevoid,,
949,VEE_DeepOreDevoid,,
956,DryGround,,
957,ToxicLake,,
972,Caves,,
974,VEE_MineralDevoid,,
974,VEE_DeepOreDevoid,,
974,Dunes,,
981,Mountain,,
986,VEE_SaltPlains,,
986,CoastalIsland,,
991,CoastalIsland,,
992,VEE_FleshPits,VEE_FleshPits,
992,VEE_FleshPits,VEE_FleshPits,
994,AB_TarLakes,AB_TarLakes,
996,VEE_SaltPlains,,
1001,Caves,,
1003,Caves,,
1006,VEE_MineralDevoid,,
1006,VEE_DeepOreDevoid,,
1011,VEE_MineralDevoid,,
1011,VEE_DeepOreDevoid,,
1014,VEE_MineralDevoid,,
1014,VEE_DeepOreDevoid,,
1016,Coast,,
1017,Dunes,,
1018,Dunes,,
1019,VEE_MineralDevoid,,
1019,VEE_DeepOreDevoid,,
1019,Dunes,,
1020,CoastalIsland,,
1032,VEE_MineralDevoid,,
1032,VEE_DeepOreDevoid,,
1035,Mountain,,
1037,VEE_RockRidge,VEE_RockRidge,
1038,Mountain,,
1039,Mountain,,
1046,VEE_GravelBeach,VEE_GravelBeach,
1051,Caves,,
1062,VEE_FleshPits,VEE_FleshPits,
1062,VEE_FleshPits,VEE_FleshPits,
1066,VEE_MineralDevoid,,
1066,VEE_DeepOreDevoid,,
1067,Dunes,,
1068,Dunes,,
1069,VEE_MineralDevoid,,
1069,VEE_DeepOreDevoid,,
1072,Caves,,
1073,Caves,,
1084,VEE_MineralDevoid,,
1084,VEE_DeepOreDevoid,,
1087,VEE_MineralDevoid,,
1087,VEE_DeepOreDevoid,,
1091,VEE_MineralDevoid,,
1091,VEE_DeepOreDevoid,,
1095,VEE_MineralDevoid,,
1095,VEE_DeepOreDevoid,,
1104,VEE_MineralDevoid,,
1104,VEE_DeepOreDevoid,,
1107,DryGround,,
1108,VEE_MineralDevoid,,
1108,VEE_DeepOreDevoid,,
1111,VEE_MineralDevoid,,
1111,VEE_DeepOreDevoid,,
1118,Caves,,
1123,Caves,,
1127,Caves,,
1128,Caves,,
1129,Caves,,
1134,Caves,,
1140,Caves,,
1145,VEE_Cenotes,VEE_Cenotes,
1145,VEE_Cenotes,VEE_Cenotes,
1151,Hollow,Hollow,
1152,Caves,,
1153,VEE_RockRidge,VEE_RockRidge,
1155,Mountain,,
1156,Cavern,Cavern,
1161,Caves,,
1162,Caves,,
1163,Caves,,
1168,Caves,,
1169,Caves,,
1172,Oasis,,
1174,VEE_StagnantRivulet,,
1174,River,,
1175,VEE_StagnantRivulet,,
1175,River,,
1178,Dunes,,
1180,Mountain,,
1181,Dunes,Dunes,
1181,Dunes,Dunes,
1184,VEE_MineralDevoid,,
1184,VEE_DeepOreDevoid,,
1184,Dunes,,
1187,Dunes,,
1188,Dunes,,
1189,VEE_MineralDevoid,,
1189,VEE_DeepOreDevoid,,
1189,Dunes,,
1192,VEE_QuicksandDunes,VEE_QuicksandDunes,
1192,VEE_QuicksandDunes,VEE_QuicksandDunes,
1198,MineralRich,,
1210,VEE_MineralDevoid,,
1210,VEE_DeepOreDevoid,,
1220,Dunes,,
1222,Dunes,,
1223,VEE_MineralDevoid,,
1223,VEE_DeepOreDevoid,,
1223,Dunes,,
1224,Dunes,,
1226,Dunes,,
1227,VEE_MineralDevoid,,
1227,VEE_DeepOreDevoid,,
1227,Dunes,,
1228,Dunes,,
1229,Dunes,,
1230,VEE_MineralDevoid,,
1230,VEE_DeepOreDevoid,,
1230,Dunes,,
1231,Dunes,,
1236,VEE_MineralDevoid,,
1236,VEE_DeepOreDevoid,,
1238,Mountain,AbandonedColonyTribal,
1238,AbandonedColonyTribal,AbandonedColonyTribal,
1238,AbandonedColonyTribal,AbandonedColonyTribal,
1246,VEE_SaltPlains,,
1246,CoastalIsland,,
1247,VEE_SaltPlains,,
1247,CoastalIsland,,
1251,VEE_MineralDevoid,,
1251,VEE_DeepOreDevoid,,
1251,Dunes,,
1252,Dunes,,
1254,Dunes,,
1255,VEE_MineralDevoid,,
1255,VEE_DeepOreDevoid,,
1255,Dunes,,
1257,Mountain,,
1259,Mountain,,
1263,Mountain,,
1266,Mountain,,
1275,Mountain,,
1276,VEE_MineralDevoid,,
1276,VEE_DeepOreDevoid,,
1284,VEE_StoneForest,VEE_StoneForest,
1286,CoastalIsland,,
1290,CoastalIsland,,
1291,CoastalIsland,,
1294,CoastalIsland,,
1295,Mountain,,
1295,Coast,,
1296,CoastalIsland,,
1300,VEE_SaltPlains,,
1301,Oasis,,
1303,Oasis,Oasis,
1305,Mountain,,
1308,Mountain,,
1309,Mountain,,
1312,Mountain,,
1312,VEE_StagnantRivulet,,
1312,River,,
1313,River,,
1314,Oasis,,
1315,Mountain,,
1316,Mountain,,
1316,MineralRich,,
1316,VEE_DeepOreRich,,
1317,Cliffs,,
1321,Mountain,,
1321,MineralRich,,
1321,River,,
1324,Caves,,
1331,Mountain,,
1331,Caves,,
1333,Mountain,,
1336,Caves,,
1338,Caves,,
1341,Mountain,,
1341,Caves,,
1344,VEE_SaltPlains,,
1345,VEE_SaltPlains,,
1349,Caves,,
1352,VEE_MineralDevoid,,
1352,VEE_DeepOreDevoid,,
1356,VEE_MineralDevoid,,
1356,VEE_DeepOreDevoid,,
1360,VEE_MineralDevoid,,
1360,VEE_DeepOreDevoid,,
1368,VEE_MineralDevoid,,
1368,VEE_DeepOreDevoid,,
1372,VEE_MineralDevoid,,
1372,VEE_DeepOreDevoid,,
1376,VEE_MineralDevoid,,
1376,VEE_DeepOreDevoid,,
1379,VEE_MineralDevoid,,
1379,VEE_DeepOreDevoid,,
1380,Dunes,,
1385,VEE_MineralDevoid,,
1385,VEE_DeepOreDevoid,,
1389,Caves,,
1415,AB_QuicksandPits,AB_QuicksandPits,
1423,VEE_MineralDevoid,,
1423,VEE_DeepOreDevoid,,
1426,Dunes,,
1427,VEE_MineralDevoid,,
1427,VEE_DeepOreDevoid,,
1427,Dunes,,
1428,Dunes,,
1437,VEE_MineralDevoid,,
1437,VEE_DeepOreDevoid,,
1442,DryGround,,
1444,DryGround,,
1445,Mountain,,
1446,VEE_SaltPlains,,
1446,AB_TarLakes,,
1447,DryGround,,
1447,AncientHeatVent,,
1450,VEE_MineralDevoid,,
1450,VEE_DeepOreDevoid,,
1453,VEE_MineralDevoid,,
1453,VEE_DeepOreDevoid,,
1455,Chasm,,
1456,VEE_MineralDevoid,,
1456,VEE_DeepOreDevoid,,
1460,VEE_SaltPlains,,
1462,VEE_SaltPlains,,
1464,VEE_MineralDevoid,,
1464,VEE_DeepOreDevoid,,
1466,VEE_SaltPlains,,
1467,DryGround,,
1468,VEE_MineralDevoid,,
1468,VEE_DeepOreDevoid,,
1472,Caves,,
1474,Caves,,
1475,Caves,,
1477,Caves,,
1486,Caves,,
1490,Caves,,
1494,Caves,,
1505,Caves,Ruins,
1505,AncientRuins,Ruins,
1505,AncientRuins,Ruins,
1507,Caves,,
1514,Mountain,,
1515,Mountain,,
1516,AncientRuins_Frozen,FrozenRuins,
1516,AncientRuins_Frozen,FrozenRuins,
1522,Caves,,
1524,Caves,,
1526,Mountain,,
1526,Caves,,
1526,MineralRich,,
1530,Caves,,
1530,MineralRich,,
1531,Caves,,
1532,VEE_MineralDevoid,,
1532,VEE_DeepOreDevoid,,
1532,Dunes,,
1534,VEE_StagnantRivulet,,
1534,River,,
1535,VEE_StagnantRivulet,,
1535,River,,
1536,Dunes,,
1536,DryGround,,
1537,Dunes,,
1538,VEE_MineralDevoid,,
1538,VEE_DeepOreDevoid,,
1538,Dunes,,
1541,Dunes,,
1542,Dunes,,
1543,VEE_MineralDevoid,,
1543,VEE_DeepOreDevoid,,
1543,Dunes,,
1546,Dunes,,
1549,Dunes,,
1550,VEE_MineralDevoid,,
1550,VEE_DeepOreDevoid,,
1550,Dunes,,
1551,Dunes,,
1555,Dunes,,
1556,Mountain,,
1557,VEE_MineralDevoid,,
1557,VEE_DeepOreDevoid,,
1557,Dunes,,
1558,Dunes,,
1560,Valley,Valley,
1560,MineralRich,Valley,
1560,VEE_DeepOreRich,Valley,
1561,Mountain,,
1562,Dunes,,
1563,VEE_MineralDevoid,,
1563,VEE_DeepOreDevoid,,
1563,Dunes,,
1578,Dunes,,
1580,Dunes,,
1581,VEE_MineralDevoid,,
1581,VEE_DeepOreDevoid,,
1581,Dunes,,
1582,Dunes,,
1583,Dunes,,
1584,VEE_MineralDevoid,,
1584,VEE_DeepOreDevoid,,
1584,Dunes,,
1585,Dunes,,
1586,Dunes,,
1587,VEE_MineralDevoid,,
1587,VEE_DeepOreDevoid,,
1587,Dunes,,
1588,Dunes,,
1589,Dunes,,
1590,VEE_MineralDevoid,,
1590,VEE_DeepOreDevoid,,
1590,Dunes,,
1591,Dunes,,
1594,Mountain,,
1595,Cliffs,,
1595,MineralRich,,
1596,Dunes,,
1598,Mountain,,
1598,MineralRich,,
1598,VEE_DeepOreRich,,
1599,Mountain,,
1603,Mountain,,
1604,Chasm,Chasm,
1605,Mountain,,
1607,VEE_MineralDevoid,,
1607,VEE_DeepOreDevoid,,
1608,Mountain,,
1610,VEE_PebbleDunes,VEE_PebbleDunes,
1610,VEE_PebbleDunes,VEE_PebbleDunes,
1612,Mountain,,
1615,Mountain,,
1615,MineralRich,,
1615,VEE_DeepOreRich,,
1616,Mountain,,
1619,Dunes,,
1620,Mountain,,
1622,VEE_MineralDevoid,,
1622,VEE_DeepOreDevoid,,
1625,Mountain,,
1626,Mountain,,
1627,Mountain,,
1640,Caves,,
1641,TerraformingScar,TerraformingScar,
1642,Caves,,
1643,Caves,,
1647,VEE_MineralDevoid,,
1647,VEE_DeepOreDevoid,,
1650,Mountain,,
1651,Mountain,,
1652,Mountain,,
1652,Oasis,,
1653,Oasis,,
1654,Mountain,,
1654,Oasis,,
1656,Mountain,,
1659,Mountain,,
1659,MineralRich,,
1659,VEE_DeepOreRich,,
1660,Oasis,,
1661,Oasis,Oasis,
1662,Mountain,,
1664,Mountain,,
1665,Oasis,,
1666,Mountain,,
1667,Oasis,,
1668,Mountain,,
1668,HotSprings,,
1669,Mountain,,
1669,River,,
1672,VEE_PlantLife_Overgrown,,
1672,VEE_NoTrees,,
1673,Mountain,,
1677,Mountain,,
1677,Oasis,,
1678,Mountain,,
1678,Oasis,,
1697,Caves,,
1707,Mountain,,
1709,Mountain,,
1709,Caves,,
1711,Caves,,
1712,Caves,,
1714,Caves,,
1715,Mountain,,
1716,Caves,,
1728,Caves,,
1732,Caves,,
1736,Caves,,
1738,Caves,,
1755,Caves,,
1766,Caves,,
1767,Caves,,
1768,Mountain,,
1769,Caves,,
1782,VEE_Cenotes,VEE_Cenotes,
1782,VEE_Cenotes,VEE_Cenotes,
1784,VEE_MineralDevoid,,
1784,VEE_DeepOreDevoid,,
1792,VEE_MineralDevoid,,
1792,VEE_DeepOreDevoid,,
1793,Dunes,,
1795,VEE_MineralDevoid,,
1795,VEE_DeepOreDevoid,,
1810,VEE_MineralDevoid,,
1810,VEE_DeepOreDevoid,,
1812,Dunes,,
1814,VEE_MineralDevoid,,
1814,VEE_DeepOreDevoid,,
1817,VEE_RottenStench,VEE_SulfuricLake,
1817,VEE_SulfuricLake,VEE_SulfuricLake,
1817,PlantLife_Increased,VEE_SulfuricLake,
1817,VEE_RottenStench,VEE_SulfuricLake,
1821,Dunes,,
1822,VEE_MineralDevoid,,
1822,VEE_DeepOreDevoid,,
1822,Dunes,,
1824,Dunes,,
1825,VEE_MineralDevoid,,
1825,VEE_DeepOreDevoid,,
1828,Coast,,
1829,CoastalIsland,,
1834,VEE_MineralDevoid,,
1834,VEE_DeepOreDevoid,,
1837,sw_DeadSarlaccCave,sw_DeadSarlacc,
1837,sw_DeadSarlaccCave,sw_DeadSarlacc,
1840,DryLake,DryLake,
1842,VEE_SaltPlains,VEE_SaltPlains,
1843,Dunes,,
1844,Mountain,,
1847,Mountain,,
1848,Marshy,,
1848,AB_FeraliskNest,,
1848,VEE_RottenStench,,
1848,VEE_StagnantRivulet,,
1848,AB_BumbledroneNests,,
1849,Marshy,,
1849,AB_FeraliskNest,,
1849,VEE_RottenStench,,
1849,AB_LocustPlagues,,
1850,Marshy,,
1850,VEE_IncreasedInfestations,,
1850,AB_LocustPlagues,,
1850,VEE_IncreasedDiseases,,
1850,River,,
1854,Pond,,
1854,AB_LocustPlagues,,
1854,VEE_StagnantRivulet,,
1854,AB_BumbledroneNests,,
1854,VEE_RotstinkVents,,
1854,River,,
1855,VEE_StagnantRivulet,,
1855,River,,
1856,VEE_SaltPlains,,
1857,VEE_SaltPlains,,
1859,AB_TarLakes,AB_TarLakes,
1860,Mountain,,
1863,VEE_SaltPlains,,
1864,VEE_SaltPlains,,
1865,VEE_SaltPlains,,
1866,AB_TarLakes,AB_TarLakes,
1867,VEE_SaltPlains,,
1889,VEE_SaltPlains,,
1891,VEE_SaltPlains,,
1892,Caves,,
1892,MineralRich,,
1893,Caves,,
1893,MineralRich,,
1895,Mountain,,
1895,Caves,,
1896,Caves,,
1896,MineralRich,,
1897,Mountain,,
1897,Caves,,
1897,MineralRich,,
1899,Caves,,
1900,Caves,,
1906,Caves,,
1906,MineralRich,,
1907,Cliffs,Cliffs,
1907,Caves,Cliffs,
1907,MineralRich,Cliffs,
1907,VEE_DeepOreRich,Cliffs,
1908,Caves,,
1908,MineralRich,,
1911,Caves,,
1915,Mountain,,
1916,Caves,,
1917,Caves,,
1921,Caves,,
1923,Caves,,
1924,Caves,,
1926,Caves,,
1931,Caves,,
1932,Caves,,
1940,Caves,,
1942,Cliffs,Cliffs,
1942,Caves,Cliffs,
1944,Caves,,
1945,Caves,,
1947,Caves,,
1948,Caves,,
1949,Caves,,
1951,Caves,,
1953,Caves,,
1955,Caves,,
1957,Caves,,
1960,Caves,,
1961,Caves,,
1971,VEE_MineralDevoid,,
1971,VEE_DeepOreDevoid,,
1973,ToxicLake,ToxicLake,
1978,VEE_SaltPlains,,
1983,VEE_MineralDevoid,,
1983,VEE_DeepOreDevoid,,
1986,Oasis,Oasis,
1990,Caves,,
1992,Mountain,,
1992,Caves,,
1994,Caves,,
1997,Caves,,
1999,Mountain,,
1999,Caves,,
2000,MineralRich,,
2001,Cliffs,,
2001,MineralRich,,
2008,MineralRich,,
2009,MineralRich,,
2011,VEE_PlantLife_Overgrown,,
2011,VEE_NoTrees,,
2014,Mountain,,
2014,VEE_StagnantRivulet,,
2015,Mountain,,
2015,VEE_StagnantRivulet,,
2015,River,,
2019,Oasis,,
2020,Mountain,,
2020,VEE_StagnantRivulet,,
2020,River,,
2021,VEE_PlantLife_Overgrown,,
2021,VEE_NoTrees,,
2032,Valley,Valley,
2033,Mountain,,
2035,Cliffs,,
2035,River,,
2039,VEE_MineralDevoid,Oasis,
2039,VEE_DeepOreDevoid,Oasis,
2039,Oasis,Oasis,
2041,Dunes,,
2048,VEE_MineralDevoid,,
2048,VEE_DeepOreDevoid,,
2048,Dunes,,
2049,Dunes,,
2050,Dunes,,
2051,VEE_MineralDevoid,,
2051,VEE_DeepOreDevoid,,
2051,Dunes,,
2052,Dunes,,
2053,Dunes,,
2057,VEE_MineralDevoid,,
2057,VEE_DeepOreDevoid,,
2057,Dunes,,
2064,Mountain,,
2066,VEE_PebbleDunes,VEE_PebbleDunes,
2066,VEE_PebbleDunes,VEE_PebbleDunes,
2067,Dunes,,
2068,VEE_MineralDevoid,,
2068,VEE_DeepOreDevoid,,
2068,Dunes,,
2072,VEE_MineralDevoid,,
2072,VEE_DeepOreDevoid,,
2075,VEE_MineralDevoid,,
2075,VEE_DeepOreDevoid,,
2082,VEE_MineralDevoid,,
2082,VEE_DeepOreDevoid,,
2084,Mountain,,
2087,Mountain,,
2088,Caves,,
2100,VEE_MineralDevoid,,
2100,VEE_DeepOreDevoid,,
2105,VEE_MineralDevoid,,
2105,VEE_DeepOreDevoid,,
2109,VEE_MineralDevoid,,
2109,VEE_DeepOreDevoid,,
2112,Caves,,
2121,VEE_MineralDevoid,,
2121,VEE_DeepOreDevoid,,
2128,VEE_MineralDevoid,,
2128,VEE_DeepOreDevoid,,
2136,ToxicLake,ToxicLake,
2137,VEE_MineralDevoid,,
